Company Name,Subindustry,Sub Subindustry,Address,Phone,Website,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA,Location 1,Area
Europa Cafe,Café / Deli,,3 Times Sq,212-239-0160,www.euorpacafe.com,1,10036.0,40.756376,-73.986713,5.0,3.0,119.0,1024686.0,1010140033.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986713', 'needs_recoding': False, 'human_address': '{""address"":""3 Times Sq"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756376'}",212-239-0160
Ranch 1,Quick Serve,Fast Food,832 Eighth Ave,2129561111,,1,10019.0,40.762444,-73.985983,5.0,3.0,131.0,1024809.0,1010220002.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.985983', 'needs_recoding': False, 'human_address': '{""address"":""832 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762444'}",2129561111
Starbucks,Coffee,,"871-879 Eighth Ave, Suite# 871",2122467699,www.starbucks.com,1,10019.0,40.763644,-73.985134,4.0,3.0,133.0,1025257.0,1010437501.0,Clinton                                                                    ,"{'longitude': '-73.985134', 'needs_recoding': False, 'human_address': '{""address"":""871-879 Eighth Ave, Suite# 871"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.763644'}",
Caffe Cielo,Full Serve,Italian,881 Eighth Ave,212 246-9555,,1,10019.0,40.763885,-73.984954,4.0,3.0,133.0,1025323.0,1010437502.0,Clinton                                                                    ,"{'longitude': '-73.984954', 'needs_recoding': False, 'human_address': '{""address"":""881 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.763885'}",
Cosmic Diner,Full Serve,Diner,888 Eighth Ave,212 333-5888,,1,10019.0,40.764072,-73.984791,5.0,3.0,131.0,1024825.0,1010240001.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.984791', 'needs_recoding': False, 'human_address': '{""address"":""888 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.764072'}",
Green Emporium,Café / Deli,,791 Eighth Ave,2124591924,,1,10019.0,40.761133,-73.986958,4.0,3.0,127.0,1025141.0,1010390029.0,Clinton                                                                    ,"{'longitude': '-73.986958', 'needs_recoding': False, 'human_address': '{""address"":""791 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.761133'}",
Rosie O'Grady's Saloon,Full Serve,American,800 Seventh Ave,212-582-2975,,1,10019.0,40.762441,-73.982294,5.0,4.0,131.0,1024827.0,1010240029.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.982294', 'needs_recoding': False, 'human_address': '{""address"":""800 Seventh Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762441'}",
"810 Deli, Inc",Café / Deli,,810 Seventh Ave,2125414136,www.810deli.com,1,10019.0,40.762639,-73.982146,5.0,4.0,131.0,1024828.0,1010240038.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.982146', 'needs_recoding': False, 'human_address': '{""address"":""810 Seventh Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762639'}",
Starbucks,Coffee,,825 Eighth Ave,2124622020,www.starbucks.com,1,10019.0,40.762074,-73.986275,4.0,3.0,127.0,1076203.0,1010400029.0,Clinton                                                                    ,"{'longitude': '-73.986275', 'needs_recoding': False, 'human_address': '{""address"":""825 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762074'}",
The Library @ Paramount Hotel,Full Serve,American,235 W 46th St,212 827-4183,www.paramountNewYork.solmelia.com,1,10036.0,40.759132,-73.986348,5.0,3.0,125.0,1024737.0,1010180006.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986348', 'needs_recoding': False, 'human_address': '{""address"":""235 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759132'}",
Auntie Anne's,Quick Serve,Fast Food,664 Eighth Ave,2127641542,www.auntieannes.com,1,10036.0,40.757436,-73.989633,5.0,3.0,119.0,1087142.0,1010140001.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.989633', 'needs_recoding': False, 'human_address': '{""address"":""664 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757436'}",
B.B. King Blues Club & Grill,Full Serve,American,237 W 42nd St,2129974144,www.bbkingblues.com,1,10036.0,40.756785,-73.988702,5.0,3.0,119.0,1087142.0,1010140001.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.988702', 'needs_recoding': False, 'human_address': '{""address"":""237 W 42nd St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756785'}",
Cold Stone Creamery/ Tim Horton's,Quick Serve,Dessert,243 W 42nd St,2123981882,www.coldstonecreamery.com,1,10036.0,40.756821,-73.988789,5.0,3.0,119.0,1087142.0,1010140001.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.988789', 'needs_recoding': False, 'human_address': '{""address"":""243 W 42nd St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756821'}",
Dallas BBQ,Full Serve,Barbecue,27 West 72nd Street,2128732004,,1,10023.0,40.776988,-73.977766,7.0,6.0,157.0,1087511.0,1011257502.0,Lincoln Square                                                             ,"{'longitude': '-73.977766', 'needs_recoding': False, 'human_address': '{""address"":""27 West 72nd Street"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.776988'}",
Starbucks,Coffee,,251 W 42nd St,2123981982,www.starbucks.com,1,10036.0,40.756867,-73.988901,5.0,3.0,119.0,1087142.0,1010140001.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.988901', 'needs_recoding': False, 'human_address': '{""address"":""251 W 42nd St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756867'}",
Pongsri Thai Restaurant,Full Serve,Thai,244 W 48th St,2125823392,,1,10036.0,40.76052,-73.985817,5.0,3.0,125.0,1024765.0,1010190059.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.985817', 'needs_recoding': False, 'human_address': '{""address"":""244 W 48th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.76052'}",
Shula's Steakhouse,Full Serve,Steakhouse,250 W 43rd St,2122012776,http://www.donshula.com,1,10036.0,40.757309,-73.987901,5.0,3.0,119.0,1085096.0,1010140055.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.987901', 'needs_recoding': False, 'human_address': '{""address"":""250 W 43rd St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757309'}",
Scarlatto,Full Serve,Italian,250 W 47th St,212 730-4535,scarlattonyc.com,1,10036.0,40.759892,-73.986276,5.0,3.0,125.0,1024744.0,1010180054.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986276', 'needs_recoding': False, 'human_address': '{""address"":""250 W 47th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759892'}",
Pergola des Artistes,Full Serve,French,252 W 46th St,2123027500,pergoladesartistes.com,1,10036.0,40.759261,-73.986695,5.0,3.0,119.0,1024729.0,1010170057.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986695', 'needs_recoding': False, 'human_address': '{""address"":""252 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759261'}",
Just Pies Inc,Quick Serve,Dessert,260 W 44th St,2127217001,,1,10036.0,40.758124,-73.987897,5.0,3.0,119.0,1024710.0,1010150059.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.987897', 'needs_recoding': False, 'human_address': '{""address"":""260 W 44th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.758124'}",
Sunrise Deli,Café / Deli,,1441 Broadway,2122216490,,1,10018.0,40.754707,-73.986753,5.0,3.0,113.0,1022569.0,1009930055.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986753', 'needs_recoding': False, 'human_address': '{""address"":""1441 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.754707'}",
Restaurant Charlotte @ Millennium Broadway Hotel,Full Serve,American,145 W 44th St,212 789-7508,millenniumbroadway.com,1,10036.0,40.756667,-73.984396,5.0,4.0,119.0,1085016.0,1009970010.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.984396', 'needs_recoding': False, 'human_address': '{""address"":""145 W 44th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756667'}",
O'Lunney's Times Square Pub,Full Serve,American,145 W 45th St,212 840-6688,www.olunneys.com,1,10036.0,40.757336,-73.984017,5.0,4.0,119.0,1022634.0,1009980012.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.984017', 'needs_recoding': False, 'human_address': '{""address"":""145 W 45th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757336'}",
Vacant (Juan Valdez Coffee),Coffee,,1451 Broadway,212 871-7515,,1,10036.0,40.755152,-73.986613,5.0,3.0,113.0,1086069.0,1009940001.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986613', 'needs_recoding': False, 'human_address': '{""address"":""1451 Broadway"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.755152'}",
Dervish Turkish Restaurant,Full Serve,Turkish,146 W 47th St,212 997-0070,www.dervishrestaurant.com,1,10036.0,40.758579,-73.98315,5.0,4.0,125.0,1022670.0,1009990053.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.98315', 'needs_recoding': False, 'human_address': '{""address"":""146 W 47th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.758579'}",
