Company Name,Subindustry,Sub Subindustry,Address,Phone,Website,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA,Location 1,Area
Europa Cafe,Café / Deli,,3 Times Sq,212-239-0160,www.euorpacafe.com,1,10036.0,40.756376,-73.986713,5.0,3.0,119.0,1024686.0,1010140033.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986713', 'needs_recoding': False, 'human_address': '{""address"":""3 Times Sq"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756376'}",212-239-0160
Ranch 1,Quick Serve,Fast Food,832 Eighth Ave,2129561111,,1,10019.0,40.762444,-73.985983,5.0,3.0,131.0,1024809.0,1010220002.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.985983', 'needs_recoding': False, 'human_address': '{""address"":""832 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762444'}",2129561111
Sosa Borella,Full Serve,Argentinian,832 Eighth Ave,(212) 262-8282,http://www.sosaborella.com/,1,10019.0,40.762444,-73.985983,5.0,3.0,131.0,1024809.0,1010220002.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.985983', 'needs_recoding': False, 'human_address': '{""address"":""832 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762444'}",(212) 262-8282
Mi Nidito (Cantina Mexicana),Full Serve,Mexican,852 Eighth Ave,(212) 265-0022,,1,10019.0,40.763128,-73.985481,5.0,3.0,131.0,1081646.0,1010230002.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.985481', 'needs_recoding': False, 'human_address': '{""address"":""852 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.763128'}",
Starbucks,Coffee,,"871-879 Eighth Ave, Suite# 871",2122467699,www.starbucks.com,1,10019.0,40.763644,-73.985134,4.0,3.0,133.0,1025257.0,1010437501.0,Clinton                                                                    ,"{'longitude': '-73.985134', 'needs_recoding': False, 'human_address': '{""address"":""871-879 Eighth Ave, Suite# 871"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.763644'}",
China Gourmet,Full Serve,Chinese,877 Eighth Ave,(212) 246-8181,,1,10019.0,40.763789,-73.985026,4.0,3.0,133.0,1025257.0,1010437501.0,Clinton                                                                    ,"{'longitude': '-73.985026', 'needs_recoding': False, 'human_address': '{""address"":""877 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.763789'}",
Rino Trattoria,Full Serve,Italian,877 Eighth Ave,(212) 307-0666,www.rinotrattoria.com,1,10019.0,40.763789,-73.985026,4.0,3.0,133.0,1025257.0,1010437501.0,Clinton                                                                    ,"{'longitude': '-73.985026', 'needs_recoding': False, 'human_address': '{""address"":""877 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.763789'}",
Caffe Cielo,Full Serve,Italian,881 Eighth Ave,212 246-9555,,1,10019.0,40.763885,-73.984954,4.0,3.0,133.0,1025323.0,1010437502.0,Clinton                                                                    ,"{'longitude': '-73.984954', 'needs_recoding': False, 'human_address': '{""address"":""881 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.763885'}",
Cosmic Diner,Full Serve,Diner,888 Eighth Ave,212 333-5888,,1,10019.0,40.764072,-73.984791,5.0,3.0,131.0,1024825.0,1010240001.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.984791', 'needs_recoding': False, 'human_address': '{""address"":""888 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.764072'}",
Brasserie Athena,Full Serve,French,300 W 46th St,(212) 399-1100,,1,10036.0,40.759963,-73.988355,4.0,3.0,121.0,1081654.0,1010360036.0,Clinton                                                                    ,"{'longitude': '-73.988355', 'needs_recoding': False, 'human_address': '{""address"":""300 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759963'}",
Seasons,Full Serve,American,888 Eighth Ave,(212) 586-2257,,1,10019.0,40.764072,-73.984791,5.0,3.0,131.0,1024825.0,1010240001.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.984791', 'needs_recoding': False, 'human_address': '{""address"":""888 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.764072'}",
World of Nuts and Ice Cream,Quick Serve,Dessert,888 Eighth Ave,(212) 245-0398,www.worldofnutsandicecream.com,1,10019.0,40.764072,-73.984791,5.0,3.0,131.0,1024825.0,1010240001.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.984791', 'needs_recoding': False, 'human_address': '{""address"":""888 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.764072'}",
Green Emporium,Café / Deli,,791 Eighth Ave,2124591924,,1,10019.0,40.761133,-73.986958,4.0,3.0,127.0,1025141.0,1010390029.0,Clinton                                                                    ,"{'longitude': '-73.986958', 'needs_recoding': False, 'human_address': '{""address"":""791 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.761133'}",
Rosie O'Grady's Saloon,Full Serve,American,800 Seventh Ave,212-582-2975,,1,10019.0,40.762441,-73.982294,5.0,4.0,131.0,1024827.0,1010240029.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.982294', 'needs_recoding': False, 'human_address': '{""address"":""800 Seventh Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762441'}",
"810 Deli, Inc",Café / Deli,,810 Seventh Ave,2125414136,www.810deli.com,1,10019.0,40.762639,-73.982146,5.0,4.0,131.0,1024828.0,1010240038.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.982146', 'needs_recoding': False, 'human_address': '{""address"":""810 Seventh Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762639'}",
Deli / Café,Café / Deli,,810 Seventh Ave,(212) 541-4136,http://www.810deli.com/,1,10019.0,40.762639,-73.982146,5.0,4.0,131.0,1024828.0,1010240038.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.982146', 'needs_recoding': False, 'human_address': '{""address"":""810 Seventh Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762639'}",
Ichi Masa Japanese Sushi,Full Serve,Japanese,825 Eighth Ave,(212) 315-4800,http://ichimasany.com/,1,10019.0,40.762074,-73.986275,4.0,3.0,127.0,1076203.0,1010400029.0,Clinton                                                                    ,"{'longitude': '-73.986275', 'needs_recoding': False, 'human_address': '{""address"":""825 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762074'}",
Starbucks,Coffee,,825 Eighth Ave,2124622020,www.starbucks.com,1,10019.0,40.762074,-73.986275,4.0,3.0,127.0,1076203.0,1010400029.0,Clinton                                                                    ,"{'longitude': '-73.986275', 'needs_recoding': False, 'human_address': '{""address"":""825 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762074'}",
Starbucks,Coffee,,156 W 52nd St,(212) 581-6410,,1,10019.0,40.762027,-73.981622,5.0,4.0,131.0,1023157.0,1010040020.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.981622', 'needs_recoding': False, 'human_address': '{""address"":""156 W 52nd St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762027'}",
The Library @ Paramount Hotel,Full Serve,American,235 W 46th St,212 827-4183,www.paramountNewYork.solmelia.com,1,10036.0,40.759132,-73.986348,5.0,3.0,125.0,1024737.0,1010180006.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986348', 'needs_recoding': False, 'human_address': '{""address"":""235 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759132'}",
46 Bar (Paramount Hotel),Bar / Lounge,,235 W 46th St,(212) 764-5500,http://www.nycparamount.com/,1,10036.0,40.759132,-73.986348,5.0,3.0,125.0,1024737.0,1010180006.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.986348', 'needs_recoding': False, 'human_address': '{""address"":""235 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759132'}",
Victor's Cafe,Café / Deli,,236 W 52nd St,(212) 586-7714 ,www.victorscafe.com,1,10019.0,40.762968,-73.983853,5.0,3.0,131.0,1080858.0,1010230051.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.983853', 'needs_recoding': False, 'human_address': '{""address"":""236 W 52nd St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762968'}",
Auntie Anne's,Quick Serve,Fast Food,664 Eighth Ave,2127641542,www.auntieannes.com,1,10036.0,40.757436,-73.989633,5.0,3.0,119.0,1087142.0,1010140001.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.989633', 'needs_recoding': False, 'human_address': '{""address"":""664 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.757436'}",
B.B. King Blues Club & Grill,Full Serve,American,237 W 42nd St,2129974144,www.bbkingblues.com,1,10036.0,40.756785,-73.988702,5.0,3.0,119.0,1087142.0,1010140001.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.988702', 'needs_recoding': False, 'human_address': '{""address"":""237 W 42nd St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756785'}",
Cold Stone Creamery/ Tim Horton's,Quick Serve,Dessert,243 W 42nd St,2123981882,www.coldstonecreamery.com,1,10036.0,40.756821,-73.988789,5.0,3.0,119.0,1087142.0,1010140001.0,Midtown-Midtown South                                                      ,"{'longitude': '-73.988789', 'needs_recoding': False, 'human_address': '{""address"":""243 W 42nd St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756821'}",
