Company Name,Subindustry,Sub Subindustry,Address,Phone,Website,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA,Location 1
Europa Cafe,Café / Deli,,3 Times Sq,212-239-0160,www.euorpacafe.com,1,10036,40.756376,-73.986713,5,3,119,1024686,1010140033,Midtown-Midtown South                                                      ,"{'longitude': '-73.986713', 'needs_recoding': False, 'human_address': '{""address"":""3 Times Sq"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.756376'}"
Ranch 1,Quick Serve,Fast Food,832 Eighth Ave,2129561111,,1,10019,40.762444,-73.985983,5,3,131,1024809,1010220002,Midtown-Midtown South                                                      ,"{'longitude': '-73.985983', 'needs_recoding': False, 'human_address': '{""address"":""832 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762444'}"
Sosa Borella,Full Serve,Argentinian,832 Eighth Ave,(212) 262-8282,http://www.sosaborella.com/,1,10019,40.762444,-73.985983,5,3,131,1024809,1010220002,Midtown-Midtown South                                                      ,"{'longitude': '-73.985983', 'needs_recoding': False, 'human_address': '{""address"":""832 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.762444'}"
Mi Nidito (Cantina Mexicana),Full Serve,Mexican,852 Eighth Ave,(212) 265-0022,,1,10019,40.763128,-73.985481,5,3,131,1081646,1010230002,Midtown-Midtown South                                                      ,"{'longitude': '-73.985481', 'needs_recoding': False, 'human_address': '{""address"":""852 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.763128'}"
Starbucks,Coffee,,"871-879 Eighth Ave, Suite# 871",2122467699,www.starbucks.com,1,10019,40.763644,-73.985134,4,3,133,1025257,1010437501,Clinton                                                                    ,"{'longitude': '-73.985134', 'needs_recoding': False, 'human_address': '{""address"":""871-879 Eighth Ave, Suite# 871"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.763644'}"
China Gourmet,Full Serve,Chinese,877 Eighth Ave,(212) 246-8181,,1,10019,40.763789,-73.985026,4,3,133,1025257,1010437501,Clinton                                                                    ,"{'longitude': '-73.985026', 'needs_recoding': False, 'human_address': '{""address"":""877 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.763789'}"
Rino Trattoria,Full Serve,Italian,877 Eighth Ave,(212) 307-0666,www.rinotrattoria.com,1,10019,40.763789,-73.985026,4,3,133,1025257,1010437501,Clinton                                                                    ,"{'longitude': '-73.985026', 'needs_recoding': False, 'human_address': '{""address"":""877 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.763789'}"
Laxmi Corp. Newsstand,Café / Deli,,879 Eighth Ave,,,1,10019,40.763839,-73.98499,4,3,133,1025257,1010437501,Clinton                                                                    ,"{'longitude': '-73.98499', 'needs_recoding': False, 'human_address': '{""address"":""879 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.763839'}"
Caffe Cielo,Full Serve,Italian,881 Eighth Ave,212 246-9555,,1,10019,40.763885,-73.984954,4,3,133,1025323,1010437502,Clinton                                                                    ,"{'longitude': '-73.984954', 'needs_recoding': False, 'human_address': '{""address"":""881 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.763885'}"
Cosmic Diner,Full Serve,Diner,888 Eighth Ave,212 333-5888,,1,10019,40.764072,-73.984791,5,3,131,1024825,1010240001,Midtown-Midtown South                                                      ,"{'longitude': '-73.984791', 'needs_recoding': False, 'human_address': '{""address"":""888 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.764072'}"
Brasserie Athena,Full Serve,French,300 W 46th St,(212) 399-1100,,1,10036,40.759963,-73.988355,4,3,121,1081654,1010360036,Clinton                                                                    ,"{'longitude': '-73.988355', 'needs_recoding': False, 'human_address': '{""address"":""300 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.759963'}"
