,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,8,6,3,10,10,0,6,4,10,8,3,5,2,7,4
1,5,8,3,10,4,3,3,8,0,2,10,5,4,4,5
2,6,6,4,0,10,4,5,2,9,2,10,5,4,0,5
3,2,7,1,1,6,7,0,3,1,0,6,7,7,8,2
4,10,7,1,7,1,10,6,3,1,2,4,1,9,0,10
5,6,5,0,7,9,1,6,5,2,6,4,8,4,3,6
6,7,7,4,0,5,6,7,10,6,0,7,7,10,7,10
7,4,5,8,5,0,5,0,9,3,1,10,6,7,9,3
8,7,6,4,5,5,5,10,5,6,3,3,0,0,10,3
9,10,7,9,8,9,5,5,4,3,5,4,9,9,8,2
10,8,0,2,7,1,8,9,10,6,4,10,1,2,2,1
11,5,1,3,6,2,8,2,10,8,2,7,8,1,0,7
12,0,9,1,4,8,1,6,10,10,6,6,0,0,5,8
13,8,1,1,0,2,8,0,9,7,6,8,10,8,2,7
14,9,6,5,0,2,1,4,10,6,7,9,7,0,5,9
15,8,8,4,2,4,5,8,10,7,2,4,7,3,4,5
16,10,7,5,6,10,3,7,9,3,5,2,0,5,8,7
17,3,2,8,3,2,8,1,7,8,5,3,9,0,5,9
18,3,1,10,8,3,10,10,8,7,8,6,10,2,2,0
19,0,8,6,4,8,0,4,4,3,9,10,10,10,9,0
20,6,5,8,7,10,6,10,8,9,4,1,9,6,10,8
21,0,0,8,9,7,9,4,4,3,4,1,4,3,8,5
22,9,10,4,0,5,1,9,7,4,7,8,6,8,4,9
23,1,10,5,8,4,2,4,0,2,1,5,5,10,7,10
24,8,3,9,7,10,8,7,4,0,9,6,7,1,1,2
25,6,0,10,4,0,9,7,5,3,0,4,7,3,10,6
26,7,1,10,2,6,0,2,3,10,1,10,2,6,5,1
27,1,3,10,0,4,0,2,6,4,5,0,4,6,9,5
28,10,10,7,5,10,1,9,2,4,5,2,4,6,6,0
29,6,0,7,8,10,8,1,9,10,8,8,2,5,10,2
30,10,3,0,8,10,5,10,10,6,10,1,6,0,1,6
31,2,1,5,2,10,8,0,4,7,6,5,10,0,8,5
32,5,7,10,3,9,1,10,3,10,4,9,3,10,6,5
33,6,5,6,3,4,6,7,5,10,2,4,2,10,6,8
34,6,4,3,6,8,3,6,0,0,3,8,10,1,9,6
35,8,8,7,1,0,0,7,2,8,2,0,3,1,0,5
36,9,9,0,1,3,10,0,2,2,6,8,7,1,9,1
37,0,10,5,7,1,4,2,6,5,5,2,5,0,10,3
38,1,3,1,0,8,0,4,5,8,7,4,1,1,6,5
39,9,10,6,7,8,5,6,9,10,7,0,7,5,3,2
40,4,8,7,6,9,5,10,6,4,1,9,7,1,6,2
41,7,5,3,4,10,7,8,3,2,9,4,8,0,9,3
42,3,9,1,1,5,1,1,7,10,4,9,2,5,10,9
43,4,8,4,5,2,3,6,2,5,10,3,6,2,4,7
44,2,9,10,7,10,8,8,4,4,1,5,1,4,5,7
45,4,3,5,10,5,5,8,5,0,4,6,9,5,1,0
46,3,8,7,7,1,7,8,10,8,7,8,2,4,1,8
47,9,2,0,1,10,0,8,0,3,3,8,3,4,6,1
48,9,2,4,10,3,4,5,7,10,4,3,8,7,2,1
49,7,2,1,4,7,2,1,1,6,8,7,6,7,5,10
50,2,2,3,10,9,6,5,7,2,7,8,3,0,6,10
51,9,2,5,5,5,8,7,7,9,10,0,4,8,2,8
52,10,2,8,4,8,8,8,5,3,5,3,0,3,8,5
53,3,5,6,10,3,1,0,4,6,3,5,7,8,3,1
54,6,0,0,9,1,0,2,5,10,6,9,0,10,4,9
55,1,4,10,0,4,6,9,8,4,0,0,10,5,3,0
56,9,6,0,8,1,9,10,0,0,9,10,3,7,3,2
57,2,7,6,1,9,2,10,0,5,1,10,1,8,10,0
58,6,10,7,1,7,7,9,9,5,5,5,8,4,1,5
59,7,9,1,2,10,6,8,0,3,5,6,10,2,5,2
60,6,3,0,2,2,1,0,2,1,2,5,1,2,6,1
61,2,3,2,10,7,2,6,1,8,3,5,6,6,4,9
62,4,10,0,2,2,6,3,4,10,4,6,3,3,6,6
63,6,6,3,7,4,5,10,9,0,2,4,3,7,7,6
64,7,8,2,8,10,8,3,10,7,3,0,0,2,6,1
65,6,5,9,4,3,3,10,8,6,9,10,5,0,3,7
66,7,5,5,3,6,8,2,5,10,0,6,4,6,10,4
67,8,1,10,0,10,5,3,7,8,0,6,2,4,3,0
68,8,0,4,10,7,4,9,10,8,2,10,5,8,2,1
69,6,10,4,2,9,9,10,8,0,9,8,5,6,2,2
70,9,10,0,6,0,0,1,10,8,7,1,8,5,10,10
71,6,9,10,10,7,5,4,6,4,2,0,9,3,3,8
72,3,6,7,9,10,6,2,2,6,7,6,3,9,5,10
73,5,1,0,1,4,7,0,3,1,3,6,9,8,1,2
74,4,7,3,3,6,4,6,7,5,4,9,5,5,6,0
75,0,0,8,4,1,4,8,9,9,9,9,5,9,2,5
76,0,7,7,10,10,1,8,9,0,2,9,4,2,1,7
77,4,8,8,6,2,3,6,4,3,5,10,1,4,3,0
78,10,7,3,10,5,3,4,7,10,7,0,5,3,6,5
79,7,5,2,9,7,6,10,9,0,4,9,8,6,5,8
80,8,7,6,2,7,0,8,4,7,8,3,8,10,4,5
81,10,9,2,7,10,3,9,10,1,10,3,6,5,3,0
82,5,8,5,2,10,9,9,8,4,9,4,8,6,6,9
83,1,4,5,5,0,8,0,7,6,9,5,10,9,4,8
84,1,10,7,6,1,1,8,2,9,8,5,1,1,9,5
85,2,9,0,6,5,3,3,6,4,3,5,9,4,0,10
86,3,3,3,0,2,3,3,10,3,5,7,0,1,2,5
87,4,2,7,8,7,7,4,3,10,6,10,3,9,8,1
88,0,5,1,7,4,6,9,3,0,5,9,0,6,4,9
89,5,0,10,10,0,10,0,6,5,2,1,3,6,4,1
90,9,4,0,9,3,8,7,4,9,0,6,2,4,6,1
91,5,7,9,0,9,0,10,8,9,0,0,3,9,6,4
92,7,2,6,4,6,10,2,6,9,10,1,8,2,3,0
93,2,5,6,2,7,8,4,5,7,10,0,8,1,0,4
94,6,8,8,2,8,3,2,0,4,2,0,10,10,6,5
95,9,4,9,2,8,2,3,2,1,10,3,1,10,4,3
96,10,1,5,4,9,1,0,0,3,5,3,3,2,4,6
97,7,5,4,2,2,9,7,0,2,3,0,6,3,1,1
98,4,0,1,8,2,7,1,6,3,2,5,2,5,5,9
99,3,1,2,3,10,10,2,1,8,2,0,7,5,4,8
100,4,7,4,7,6,5,4,5,4,3,5,2,0,1,2
101,4,10,10,10,1,9,9,5,2,6,2,9,5,5,7
102,6,4,8,6,5,5,4,8,8,7,9,2,9,7,10
103,2,5,0,6,6,3,7,9,3,7,9,4,5,9,1
104,9,0,5,8,7,3,4,0,5,10,10,10,9,3,2
105,7,7,3,5,10,0,5,6,5,6,2,8,0,8,9
106,7,8,7,6,10,10,4,7,2,1,10,8,9,9,4
107,8,10,3,9,8,8,10,3,2,8,9,1,6,5,1
108,3,9,5,4,5,0,5,0,4,8,4,0,5,0,4
109,7,1,7,8,4,7,0,1,4,5,0,10,3,4,2
110,1,8,7,3,2,7,7,2,8,8,1,7,2,2,7
111,4,1,8,6,4,8,6,1,2,0,8,3,3,8,2
112,6,9,9,8,8,8,2,7,6,6,3,10,2,2,10
113,5,7,8,8,0,5,2,3,10,7,4,0,6,7,0
114,4,6,6,10,3,6,6,4,2,6,1,7,6,0,2
115,5,9,9,10,2,2,9,6,0,5,0,1,0,3,6
116,8,10,1,10,4,1,1,7,7,2,5,10,9,2,8
117,6,4,6,10,2,1,7,5,10,5,6,4,2,4,7
118,2,5,3,9,6,2,2,0,3,3,0,9,6,10,0
119,1,5,10,1,4,0,8,0,2,10,10,2,4,8,6
120,8,0,0,0,4,7,5,9,4,0,9,4,9,8,5
121,5,10,8,8,7,0,6,4,6,10,7,4,9,2,1
122,5,4,3,6,9,10,5,3,7,8,8,10,6,0,8
123,9,10,3,4,0,2,3,3,2,8,4,3,6,4,7
124,6,4,7,9,9,5,1,1,10,9,9,2,3,5,0
