0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
100,48,38,50,77,8,73,26,18,4,0,5,48,14,1
58,48,40,75,90,1,85,69,67,9,1,7,9,47,8
38,14,94,33,16,5,33,96,96,2,4,1,67,51,10
82,35,46,96,49,7,37,16,59,10,0,4,74,17,1
64,53,61,72,81,6,23,51,89,3,0,0,79,83,5
39,28,20,15,17,2,50,36,27,2,10,10,15,72,1
26,56,22,64,56,6,100,78,96,2,6,0,32,58,8
57,82,78,13,40,10,55,23,40,8,4,6,70,58,5
29,36,9,87,46,5,37,37,77,9,4,2,57,27,3
51,72,26,31,31,0,57,31,19,3,10,3,90,73,3
52,85,43,46,51,2,63,11,30,10,7,9,29,49,6
17,86,93,25,82,10,87,11,76,4,6,6,55,38,3
41,57,35,54,57,3,73,85,22,0,8,4,32,39,3
95,59,70,81,91,9,93,91,62,5,2,7,60,57,0
93,91,22,53,41,3,12,71,38,3,2,5,48,50,0
81,42,88,25,79,2,68,58,36,10,1,1,71,19,1
14,72,53,30,89,5,17,22,9,0,8,3,78,56,6
47,18,96,19,94,1,52,37,55,4,1,6,52,91,0
75,72,37,97,39,4,90,59,59,3,0,9,18,32,7
51,58,11,72,47,2,38,78,71,0,9,8,100,32,3
31,95,62,99,82,3,91,58,79,1,10,6,63,30,8
61,64,93,95,16,6,78,66,44,3,2,4,15,52,7
24,89,75,80,95,3,59,49,71,10,0,9,69,72,8
76,9,42,52,92,1,27,31,13,8,0,10,84,74,0
47,85,39,99,77,4,16,66,81,8,8,3,60,39,6
100,10,11,50,65,0,29,52,56,3,5,3,30,77,3
12,10,72,51,15,2,93,95,90,9,8,7,23,82,0
47,72,46,68,23,7,27,43,36,10,5,8,95,65,2
20,54,63,52,67,10,27,52,16,1,7,6,43,51,9
40,93,37,85,35,1,74,49,98,7,4,8,38,26,2
19,84,83,50,11,7,38,30,45,7,9,7,78,83,5
94,97,64,30,83,5,71,99,23,6,9,5,19,15,4
72,72,87,12,25,3,32,97,100,7,1,4,22,12,7
42,86,54,74,29,9,49,90,62,3,1,6,61,16,7
13,82,30,89,93,4,49,42,67,6,8,7,19,73,10
69,28,98,50,91,4,83,80,31,10,0,2,39,25,0
49,57,77,26,73,8,45,47,56,10,8,10,20,43,0
53,32,48,47,26,0,88,86,99,5,0,5,29,90,9
94,69,47,73,67,8,21,9,84,6,9,7,94,96,8
37,83,44,59,35,3,74,29,92,7,1,5,49,71,10
67,38,87,62,69,9,90,49,62,5,9,6,88,85,5
91,57,83,86,15,0,55,74,36,0,8,6,10,57,8
17,77,13,79,29,7,18,77,77,4,6,9,48,88,10
25,88,82,76,15,1,17,52,67,1,2,2,62,84,8
97,12,26,44,53,7,99,71,75,9,7,7,50,94,3
33,20,55,20,17,9,96,69,100,2,9,9,100,72,7
62,53,15,18,58,4,59,73,25,7,1,5,60,60,3
84,14,27,15,54,4,23,69,88,2,2,0,61,39,4
22,87,26,10,45,5,54,51,75,2,6,3,80,37,7
73,73,31,50,13,10,61,83,59,4,3,8,68,58,8
84,40,53,79,98,0,39,37,17,5,10,9,36,26,0
20,46,88,50,95,5,95,92,79,4,0,5,55,38,0
54,21,9,87,51,7,84,11,100,2,7,0,70,81,3
79,60,42,46,96,7,14,57,96,1,4,7,95,87,2
86,90,32,75,15,0,18,10,37,6,3,3,77,93,9
50,78,82,90,35,2,49,74,93,10,1,8,73,46,9
57,9,79,24,57,2,31,13,68,9,5,6,26,27,5
56,69,56,54,74,2,22,72,85,7,1,0,59,84,5
94,74,98,96,64,5,66,81,60,4,4,0,39,86,10
78,96,27,48,69,10,17,11,79,0,8,0,82,73,3
24,45,46,57,47,4,15,55,63,4,0,9,96,96,1
46,32,96,68,61,6,33,59,96,4,2,5,95,68,5
38,26,36,39,18,4,48,38,47,9,9,2,41,38,10
94,57,20,67,98,8,62,73,20,7,1,7,94,10,4
42,98,19,16,98,0,95,76,11,10,4,8,54,25,10
76,79,53,96,92,2,12,98,40,6,4,10,39,51,0
48,54,56,9,46,1,43,72,12,2,1,9,67,89,4
35,41,31,62,38,7,52,17,79,9,6,7,42,46,4
11,59,99,41,66,1,24,37,63,3,4,3,33,71,5
