0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
40,5,10,9,10,5,10,48,7,94,10,89,59,81,3
26,8,10,9,10,2,10,53,6,13,10,17,70,74,2
40,2,10,4,10,4,10,90,5,70,10,80,24,80,0
87,10,10,10,10,10,10,9,4,35,10,88,23,90,6
65,9,10,9,10,6,10,72,0,49,10,59,99,91,5
65,4,10,5,10,0,10,88,6,87,10,94,57,17,1
12,0,10,3,10,4,10,98,3,59,10,98,79,38,6
78,0,10,3,10,3,10,70,0,36,10,63,10,51,9
58,0,10,10,10,2,10,58,10,17,10,32,68,55,2
91,9,10,5,10,5,10,49,10,55,10,95,86,84,9
99,7,10,3,10,3,10,52,0,91,10,17,34,15,7
29,10,10,7,10,5,10,40,0,77,10,34,15,81,7
49,10,10,8,10,7,10,60,8,73,10,59,79,38,3
22,2,10,8,10,6,10,11,9,79,10,38,58,56,7
53,5,10,8,10,1,10,91,4,87,10,74,24,20,3
14,8,10,3,10,9,10,54,10,82,10,57,60,41,4
19,9,10,8,10,7,10,39,5,90,10,51,42,79,2
90,0,10,5,10,5,10,67,9,38,10,97,23,96,4
61,8,10,3,10,0,10,23,3,39,10,99,67,83,9
35,3,10,4,10,9,10,43,8,61,10,37,54,44,6
88,5,10,8,10,4,10,94,2,93,10,74,89,96,7
32,4,10,3,10,4,10,95,4,45,10,39,49,13,5
50,10,10,3,10,2,10,65,0,59,10,55,46,13,7
15,0,10,7,10,5,10,92,9,11,10,48,34,28,1
20,0,10,9,10,9,10,58,9,42,10,97,26,60,7
68,8,10,1,10,0,10,82,0,52,10,82,67,13,8
28,0,10,4,10,6,10,88,4,44,10,57,27,84,1
10,9,10,0,10,10,10,87,10,18,10,18,29,40,4
18,5,10,2,10,4,10,86,1,64,10,25,81,79,0
55,1,10,2,10,7,10,17,1,72,10,28,44,68,3
86,8,10,3,10,4,10,36,8,26,10,57,69,16,8
56,1,10,1,10,0,10,87,8,78,10,77,17,19,1
97,0,10,7,10,1,10,62,4,10,10,62,76,52,3
59,4,10,4,10,3,10,23,8,82,10,37,77,34,3
20,4,10,0,10,8,10,59,3,63,10,11,89,69,4
95,1,10,7,10,10,10,74,5,99,10,77,93,12,0
72,0,10,0,10,2,10,36,1,58,10,85,38,51,10
89,6,10,4,10,10,10,42,1,75,9,27,72,10,5
54,7,10,2,10,9,10,40,2,54,10,13,63,43,10
47,4,10,4,10,1,10,11,8,96,10,94,9,58,8
24,9,10,7,10,2,10,75,6,43,10,27,12,60,5
16,2,10,0,10,9,10,84,2,76,10,9,99,84,1
30,8,10,10,10,2,10,34,3,96,10,58,67,69,5
40,6,10,4,10,4,10,96,6,93,10,48,79,67,0
23,6,10,8,10,8,10,25,7,51,10,100,63,48,0
17,9,10,1,10,7,10,98,2,87,10,77,79,87,1
98,1,10,10,10,8,10,86,5,69,10,21,90,71,7
85,7,10,7,10,7,10,49,4,93,10,15,32,88,0
21,7,10,9,10,3,10,86,3,45,10,19,24,80,3
75,7,10,10,10,3,10,87,9,53,10,60,35,88,5
43,9,10,5,10,8,10,39,0,90,10,67,92,62,7
16,10,10,4,10,2,10,21,4,96,10,79,90,53,8
