,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,9,5,27,57,55,42,3,10,28,2,28,89,60,7,16
1,94,10,86,20,76,77,3,2,21,5,20,38,62,0,15
2,36,9,89,100,57,11,1,9,52,9,54,39,35,0,85
3,57,9,96,28,21,25,6,1,65,1,36,23,51,4,12
4,48,6,25,35,10,36,3,0,25,5,78,88,18,6,94
5,88,1,83,58,76,82,8,2,68,4,94,48,54,2,17
6,72,9,15,46,63,66,8,3,16,8,21,85,50,7,46
7,33,0,19,40,85,60,3,4,96,1,64,38,86,3,96
8,15,6,31,25,34,50,4,1,70,8,57,20,40,4,58
9,60,2,75,13,86,76,3,5,94,5,90,62,44,3,86
10,92,7,65,98,33,92,0,6,57,3,32,80,75,8,96
11,67,5,50,51,74,76,8,3,20,2,13,12,57,4,91
12,98,0,29,33,82,41,10,3,37,9,25,42,98,1,97
13,14,0,84,86,37,82,8,7,54,2,100,92,45,5,21
14,29,4,15,58,94,25,10,4,58,4,91,39,80,1,26
15,71,2,95,26,36,96,1,0,78,2,55,90,20,9,42
16,42,3,61,63,22,10,10,3,49,3,38,92,16,9,16
17,25,9,80,95,32,63,3,0,56,5,98,94,23,6,70
18,80,9,26,31,45,74,2,5,46,1,75,79,84,1,48
19,30,5,62,30,29,66,8,0,22,4,55,26,74,5,52
20,21,0,26,37,42,43,0,10,54,7,9,37,35,6,93
21,98,4,32,34,58,72,0,10,49,8,77,85,62,1,58
22,53,5,68,12,14,73,2,8,44,10,52,100,20,6,54
23,98,4,84,54,41,11,4,3,83,7,58,97,98,10,54
24,52,6,15,32,17,28,9,1,58,3,94,27,45,2,23
25,45,5,79,66,60,31,0,0,45,3,39,84,92,9,14
26,80,2,63,62,71,48,0,6,86,4,30,25,32,8,92
27,50,9,69,79,98,19,8,0,70,1,73,96,19,9,60
28,91,0,64,80,14,94,9,4,64,0,66,32,92,3,45
29,50,7,24,36,80,66,9,3,41,10,79,23,47,9,55
30,65,2,54,58,72,64,2,10,55,3,94,23,50,2,15
31,37,8,14,19,88,16,2,1,44,7,52,42,93,3,45
32,73,10,91,44,67,63,3,6,90,6,66,75,55,0,70
33,30,7,68,88,83,99,1,6,42,5,93,42,59,1,18
34,61,9,93,83,14,76,3,0,24,1,82,93,76,7,48
35,70,2,99,93,49,91,5,4,13,3,60,21,69,8,91
36,55,2,69,26,43,50,9,2,23,0,85,97,78,6,99
37,68,6,15,21,88,100,0,0,39,7,56,69,98,7,27
38,56,6,33,97,30,65,10,1,55,4,95,41,99,8,65
39,14,6,97,50,23,14,0,3,65,2,83,48,24,5,39
40,27,2,57,15,82,68,4,1,45,5,59,11,89,8,14
41,57,3,47,41,91,11,5,4,30,6,48,68,16,4,83
42,97,6,10,44,26,20,9,10,54,1,61,20,57,7,89
43,66,0,81,89,73,13,6,10,81,5,14,64,31,9,38
44,36,6,44,74,54,74,5,7,31,0,76,88,94,3,27
45,15,2,48,43,68,28,6,2,38,1,68,80,75,3,33
46,17,2,73,69,46,53,8,9,43,6,37,88,27,8,66
47,60,1,60,51,80,67,3,6,59,0,80,14,61,10,53
48,34,10,72,13,61,83,5,4,42,7,67,76,34,5,80
49,47,10,28,81,47,53,9,4,85,9,56,44,93,5,41
50,57,7,100,33,69,68,2,5,90,6,30,64,54,2,16
51,24,1,13,86,72,70,9,1,89,0,19,88,37,7,79
52,46,1,23,17,96,100,3,5,14,9,35,17,36,4,64
53,23,9,86,26,70,48,9,9,61,2,81,76,31,2,75
54,44,2,12,41,62,52,0,8,76,4,84,64,65,2,20
55,66,9,80,95,10,84,9,10,59,4,33,49,44,1,24
56,78,5,66,11,88,19,7,10,45,4,83,30,86,8,45
57,21,6,33,25,68,79,7,10,13,10,62,76,28,6,67
58,78,4,72,56,90,94,7,5,24,1,58,15,68,7,92
59,75,1,31,95,89,96,8,10,34,4,68,90,15,2,46
60,27,3,37,61,75,13,5,3,47,3,41,9,81,1,66
61,68,2,67,87,31,86,0,3,33,0,95,37,79,8,25
62,88,4,59,80,24,95,8,1,73,3,28,88,10,0,100
63,79,1,10,24,88,39,9,10,83,4,31,64,59,4,62
64,66,0,94,35,69,64,5,9,55,10,9,36,62,1,41
65,87,8,36,10,47,37,10,10,13,3,86,32,39,5,77
66,77,6,12,44,43,44,7,9,45,10,70,15,57,1,83
67,79,1,73,19,99,84,8,8,38,4,89,29,60,7,68
68,23,2,34,68,19,32,10,7,10,6,86,13,74,2,18
69,76,2,37,41,15,30,3,9,65,3,33,37,62,9,71
70,45,8,67,32,45,90,3,5,88,8,85,90,70,5,55
71,41,2,100,68,32,38,7,4,41,0,26,92,91,3,71
72,97,3,24,57,15,52,6,8,77,4,71,91,83,7,48
73,88,8,13,97,28,13,4,2,54,2,9,45,14,8,93
74,49,3,21,38,71,95,8,8,100,2,66,39,41,6,35
75,36,9,35,80,90,11,6,1,86,7,21,39,51,8,63
76,44,10,84,26,93,45,4,10,13,3,60,59,55,10,57
