0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,3,9,2.0,2,,,7,5
,,,,,4.0,,2,9,,7,,,4,6
,,,,,,,5,8,,2,,,9,4
,,,,,,,5,4,,7,,,4,10
,,,,,,,10,10,,7,1.0,,3,7
,,0.0,,,,,7,6,,1,,,3,2
,,,,,,,0,2,10.0,8,,6.0,0,8
6.0,,,2.0,4.0,,,8,2,,4,10.0,,6,5
6.0,,,8.0,,,,3,4,,9,,,10,7
6.0,,,,,1.0,,3,7,,6,,,5,2
6.0,,,8.0,,,,2,0,,0,9.0,,2,8
6.0,,,,,,,1,4,,9,0.0,,1,1
6.0,,,,,,,7,7,,6,6.0,,10,8
6.0,,,,,,0.0,0,6,,5,,,8,2
6.0,,,,,,,9,10,,8,,,6,3
6.0,,,,,,,5,4,,9,,,8,6
6.0,,,,,,,7,1,,1,,10.0,5,7
6.0,,9.0,4.0,,,,4,3,,0,,,1,2
6.0,7.0,,,,,,6,0,,5,,10.0,6,6
6.0,,,,,0.0,,4,2,,7,,,10,1
6.0,,,,,,,2,8,7.0,3,,,8,2
6.0,,,,,,,9,0,,8,,,1,1
6.0,,,,,,,10,8,,9,,,1,2
6.0,,,,,,,5,8,,9,2.0,,6,3
6.333333333333333,,,,2.0,,,10,9,,1,,,2,9
6.666666666666667,8.0,,,,,,4,4,,10,,,4,5
7.0,,,,,7.0,,3,9,,1,,,7,0
7.333333333333333,,,,,,,0,4,,0,,,8,8
7.666666666666666,,,10.0,0.0,,,0,4,,9,,,5,6
8.0,,,,,,1.0,3,7,,2,,10.0,3,9
8.333333333333332,,,,,,,7,1,1.0,10,7.0,,5,0
8.666666666666666,,,,,,,7,4,,0,,,0,4
9.0,,,,,,,6,4,,4,,7.0,2,1
9.05,,,,,,,10,8,,7,,0.0,2,4
9.1,,,,,,,4,0,0.0,8,,,1,2
9.15,9.0,,,,,,9,8,,0,,,2,10
9.2,,,,4.0,,,1,0,,4,,,6,0
9.25,,,,1.0,,,2,7,,9,,,2,10
9.3,,,,3.0,,,5,5,,4,6.0,,2,1
9.35,,5.0,,,,,9,0,,1,7.0,,0,8
9.4,,,,,,,3,2,,2,,,4,3
9.45,,,,,,,3,1,,10,,,0,4
9.5,,,,,,,4,1,,0,,,8,2
9.55,,,,,8.0,,7,1,0.0,9,,,4,10
9.6,,,,,,,2,8,,0,,,1,9
9.65,,,,,,,2,4,,5,,,7,2
9.7,,,,,,7.0,6,5,9.0,6,,,4,6
9.75,,,,5.0,,,10,6,,6,,,2,6
9.8,4.0,,,5.0,,,10,4,,4,,,6,7
9.85,,,,,,,8,9,6.0,1,,,3,4
9.9,,,,,,,4,8,10.0,8,,,6,0
9.95,3.0,,,,,,3,7,,9,,,9,7
10.0,10.0,,,,,,5,2,9.0,3,,,2,2
9.444444444444445,,,,,,4.0,4,3,,6,,,4,2
8.88888888888889,,,,,3.0,,0,4,0.0,1,,,5,10
8.333333333333334,,,9.0,,,,9,8,,10,,,0,10
7.777777777777778,,,9.0,,,9.0,1,6,7.0,2,,,7,2
7.222222222222222,,,0.0,,2.0,,3,8,,5,,1.0,10,2
6.666666666666666,,,,5.0,,,6,6,,10,,,6,0
6.111111111111111,,,,,,,2,9,,9,,,10,9
5.555555555555555,,,,,,4.0,6,5,,5,0.0,,1,4
5.0,,,,,,,8,1,,4,,,9,0
8.0,,,5.0,,,,1,5,,2,,3.0,7,3
7.2,2.0,,,,,,9,5,,9,,,8,10
6.4,8.0,,,,3.0,,1,9,,1,,,2,4
5.6,,,,,,,9,1,,8,,,6,2
4.8,,,,,,,1,4,,0,,,6,8
