,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,8.0,,6,,7,,,3,,,,,7,
1,7,,,7,,1,,,5,,,,,10,
2,7,,,0,,2,,,9,,,,,10,
3,6,,,5,,0,,,8,,,,,8,
4,5,0.0,,9,10.0,6,,,5,,,,,6,0.0
5,6,,5.0,6,,6,,,7,,,,10.0,0,
6,3,,,10,,0,,,10,,,,,4,
7,1,,,2,,2,,,4,,4.0,,,10,
8,1,,4.0,9,,7,,,9,,,,3.0,7,
9,3,,,1,,10,,,5,6.0,,,,7,
10,1,,,3,,1,,,0,,,,,3,
11,8,,,4,,1,,,10,,,,,7,2.0
12,0,,7.0,2,,6,,,3,,,8.0,,2,
13,7,,,5,,0,,8.0,5,,,,,1,
14,0,,,7,,9,,10.0,3,,3.0,6.0,,7,
15,3,,,8,7.0,5,,,3,,,,,2,
16,1,,,4,,0,,,4,,,,,8,
17,4,,7.0,2,,0,,,2,9.0,,,,2,
18,0,7.0,,5,,9,,,6,,,,,10,
19,4,,,5,,4,,,0,,,2.0,,7,
20,7,9.0,,5,6.0,1,,,7,,,,,10,
21,2,,,2,,2,,,6,,,2.0,,6,
22,7,,,5,,8,,3.0,6,,,,,2,
23,3,,,3,,8,,4.0,5,,0.0,1.0,,7,
24,3,,,2,,6,,,1,,,,,6,
25,3,,,1,,9,,,8,,,,,5,
26,6,,,5,3.0,4,,,0,,,,,5,
27,3,,,7,,4,,,5,,,,,4,
28,1,,,0,,1,,,9,,,,,1,
29,1,,,1,,0,9.0,,0,,,,,4,
30,9,,4.0,10,,8,4.0,,5,,,,,10,9.0
31,9,,,6,,9,,,1,,,,,6,
32,4,,,0,,3,,,0,,,,,3,5.0
33,3,,,3,,0,,,10,,,,,9,
34,6,,,10,,3,,,7,,,,,10,
35,7,,,3,,9,8.0,,0,,,,,7,
36,10,,,3,,7,,,5,,10.0,,,0,
37,3,,,6,,1,,,7,,,,,9,
38,1,,,3,,3,,,3,,,,,1,
39,5,,,8,,7,,7.0,0,,,,,9,
40,3,,,4,,9,,,6,10.0,6.0,,,9,1.0
41,10,7.0,,7,,4,,,9,,,,,2,2.0
42,6,,,4,,1,,,6,,,,,7,
43,1,,0.0,4,,2,4.0,7.0,6,,,,,7,
44,2,,,2,,2,,,10,,,,,10,
45,4,,,5,,0,,,7,,,,,2,
46,3,,,9,,9,,,7,,,,,10,
47,8,0.0,,2,,7,,8.0,8,,,,0.0,3,
48,7,,,3,,4,,,9,,,,,9,
49,6,,,4,10.0,8,,,10,,,,,9,
50,0,5.0,,2,,0,,,1,,,8.0,,8,7.0
51,6,,0.0,5,,5,,,8,,,,,9,
52,6,,,3,,0,,,3,,,8.0,7.0,5,
53,0,,,7,,2,,,1,,,,6.0,7,3.0
54,5,2.0,2.0,3,,8,,,5,,,,,0,
55,4,,,5,,2,,,0,,,,,9,
56,0,,,0,,6,,,9,,,,,9,
57,5,,,3,,2,,,7,,,,,10,
58,9,4.0,,2,,5,,,3,,,,,10,
59,1,,5.0,5,,8,,,2,,3.0,,,9,
60,4,,,1,,1,,,4,,,,,10,
61,5,,4.0,4,,0,,,10,,0.0,,,5,
62,7,,,6,,7,,,5,,,,9.0,7,0.0
63,9,0.0,,6,,6,3.0,,3,,,,,10,
64,9,,,9,,1,,,9,,10.0,,,5,
65,5,,7.0,8,,5,1.0,,7,,,,,4,
66,7,,,4,,1,,,2,,,4.0,,5,
67,7,,,6,,10,,5.0,5,,,,,5,
68,10,,,0,,10,,,8,,6.0,,,8,
69,6,,,0,,7,,,2,,,,,2,
70,1,,1.0,6,,2,,,4,,,2.0,,4,
71,3,,,4,,10,,9.0,6,,,,,9,
72,2,0.0,,1,,1,,,9,,,,,1,
73,9,,,2,,0,,,8,,10.0,,,9,
74,5,,,8,,0,,,10,,,,,5,
75,6,,,9,,9,,,5,,2.0,,,0,
76,9,6.0,,0,,10,,,5,,,,,3,8.0
77,0,,,9,,2,6.0,,2,1.0,,,,0,
78,6,,,2,,10,,,10,,,,,3,
79,7,,,10,,5,,,5,,,,9.0,2,
80,4,,,7,,5,,,8,,,,,2,
81,6,,,9,,2,,,3,,,,,10,
82,8,,4.0,9,,2,,,0,,,,,7,
83,10,,,1,5.0,0,,,1,,,,,3,
84,8,,5.0,6,,8,,,2,,,,,1,
85,1,,,9,,9,,,3,,,,,6,
86,9,,,0,,8,,,6,,2.0,,,4,
87,3,,,4,,7,,,1,,,,,5,
88,10,,,5,,1,,,10,,,,,7,
89,10,2.0,,3,5.0,4,,,2,,,,,6,
90,2,,,3,,9,,,5,,,,,1,
91,2,,,1,,7,,,5,,,,,10,
92,8,,,4,,1,,,1,,4.0,,,2,
93,0,,,8,,1,,,2,,,,,8,7.0
94,4,,6.0,4,,2,,,0,,,,,6,
95,6,,,6,,2,,,7,,,,,10,
96,1,,4.0,0,,2,9.0,7.0,1,,,,,5,
97,7,,,0,,1,,,3,,,,0.0,5,
98,1,,,1,,1,,,5,,,,,10,
99,10,,,8,,9,,,5,,,,,1,8.0
100,5,,,3,,2,,,8,0.0,,,0.0,3,
101,10,,,2,,8,,,4,5.0,,,,3,
102,3,,,8,,5,,,8,,10.0,,,7,
103,4,,,2,7.0,6,,,3,,,,,1,
104,1,,,5,,0,7.0,5.0,3,,,,,9,
105,3,,,9,,4,,,4,,,,,2,
106,2,,,2,,8,,,10,6.0,,,,0,
107,4,,,2,,5,,,5,,,,,2,
108,0,,6.0,8,,9,,,6,,,,,6,
109,3,,1.0,5,,7,,,8,,,,,3,
110,6,,,8,,6,,,8,,,,,2,
111,3,,,9,,7,,,5,,,,,0,
112,1,,,1,,10,,,1,,,,3.0,9,7.0
113,3,,,5,,1,,,8,,,,,0,2.0
114,8,,,5,,4,,,0,,,,,1,
115,0,,,2,,3,,,3,,,,,7,
116,6,,,10,,7,,,8,,,,,9,
117,8,,,9,,10,,,0,,,,,5,
118,1,,,4,,6,,,1,,,,8.0,7,
119,6,,,3,,10,,,0,,,,,4,
120,6,4.0,,5,,8,,,1,,,,,1,
121,4,,,8,,2,,,1,,,,,3,
122,8,,,8,,4,5.0,,0,1.0,,,,10,
123,10,,9.0,4,,0,,,10,,,,,9,
124,10,,,2,,3,,0.0,9,8.0,,,,9,6.0
125,9,,,3,,9,,,2,,,,,3,
126,1,,,2,,9,,,9,,,,,7,
127,10,,,7,,2,,,8,,,,,9,
128,6,,,1,,2,,,8,,,,,4,
129,5,,,4,,8,,,4,,,,,3,
130,1,,,7,4.0,5,,,4,,,,,7,
131,6,,,6,,10,,,5,,,,,4,
132,6,6.0,,8,,4,,,3,,,,,1,
133,0,,,1,,5,,,9,,,1.0,,6,
134,5,9.0,,7,,3,,,0,10.0,,,,9,
135,3,,0.0,2,,6,,,5,,,,,2,
136,9,3.0,,8,,7,,,9,,6.0,,,3,
137,3,3.0,2.0,7,,0,1.0,,2,,,,,0,
138,8,,,4,,0,,,2,,,,,5,
139,0,,,8,,5,,,0,,,,,0,
140,10,,5.0,7,,5,,,8,0.0,,0.0,,9,
