,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,7,6,4,6,9,0,10,0,3,8,8,1,8,4,6
1,8,6,5,10,10,7,2,8,2,8,3,5,6,3,7
2,6,9,10,10,10,2,3,3,3,4,10,1,7,6,1
3,4,8,9,10,7,2,4,1,4,9,7,6,7,7,8
4,0,10,8,9,1,2,7,4,1,0,4,4,9,8,7
5,6,10,6,3,4,6,4,6,10,10,4,5,10,3,10
6,10,3,10,9,8,10,3,2,5,6,1,6,5,5,5
7,10,5,9,3,4,8,6,0,2,4,5,8,10,2,2
8,7,0,8,10,2,7,8,10,10,10,5,4,5,8,8
9,3,9,8,0,1,6,0,0,4,7,2,9,0,5,7
10,8,0,9,5,7,3,6,4,7,7,7,10,6,4,9
11,3,6,9,0,5,5,1,10,5,8,4,1,10,9,9
12,7,8,8,6,9,6,5,1,6,2,10,1,5,7,4
13,5,2,5,2,0,5,8,1,4,7,6,2,8,4,8
14,7,5,10,7,3,5,6,9,6,5,2,3,5,5,0
15,2,2,6,10,8,1,2,1,9,6,6,3,6,4,10
16,1,10,7,6,2,10,9,3,5,5,6,0,10,9,10
17,7,6,8,5,9,5,1,9,8,0,4,9,1,5,1
18,3,3,5,0,10,7,9,4,10,4,8,8,9,4,4
19,2,3,1,6,9,7,8,7,4,4,8,7,10,8,8
20,6,9,10,0,6,3,3,4,8,8,8,10,8,7,10
21,9,4,0,0,1,0,10,1,3,3,3,6,6,2,2
22,10,1,10,0,1,0,1,0,1,2,3,4,4,7,0
23,6,4,1,0,10,8,2,6,5,8,1,4,3,7,8
24,6,6,8,10,8,10,9,6,4,8,10,8,3,3,7
25,0,7,0,7,5,6,10,0,7,8,1,2,5,1,2
26,2,2,1,1,5,7,9,3,4,6,5,7,2,0,9
27,0,4,3,1,6,9,2,0,5,4,0,10,8,6,4
28,4,8,3,9,10,5,10,9,9,6,1,8,8,4,10
29,7,8,1,10,8,10,2,3,1,3,10,5,10,8,9
30,7,2,6,2,2,0,3,2,7,5,5,5,2,0,3
31,8,3,10,4,1,9,7,4,0,8,6,7,8,2,10
32,5,7,10,3,0,0,6,10,5,7,5,2,0,3,7
33,10,4,8,4,1,4,6,10,0,6,10,3,4,2,2
34,5,4,10,10,8,6,2,10,6,9,9,7,8,2,5
35,6,10,6,9,8,8,5,9,9,5,5,9,4,7,4
36,9,4,7,9,10,7,1,6,6,1,8,5,6,3,8
37,6,0,9,10,9,4,8,3,2,5,10,3,8,9,9
38,6,2,1,0,10,4,8,8,7,7,5,6,2,2,2
39,0,6,8,3,7,0,0,5,9,3,5,1,3,9,9
40,1,1,2,8,9,0,7,4,4,3,4,2,9,0,5
41,0,1,7,2,1,6,2,4,2,5,7,9,2,4,9
42,5,9,6,1,4,3,6,2,7,8,4,7,6,0,8
43,2,3,3,1,9,9,1,8,3,1,6,5,7,0,2
44,5,0,1,3,7,0,0,4,8,6,3,5,9,0,4
45,8,3,8,1,4,1,5,9,9,2,0,8,4,4,2
46,7,9,6,5,8,2,4,9,1,5,7,6,6,10,8
47,9,4,1,1,8,4,6,3,2,3,4,10,10,10,5
48,2,3,0,4,8,5,7,7,7,5,1,2,1,6,5
49,1,10,9,6,2,5,7,2,8,6,5,5,5,2,4
50,4,10,4,4,6,8,4,6,9,3,2,8,10,7,6
51,4,7,10,4,7,10,1,6,9,1,0,6,5,0,5
52,0,7,2,6,0,3,10,5,1,3,7,1,0,0,1
53,8,5,10,4,6,5,2,10,9,9,0,10,7,5,2
54,9,4,10,1,2,2,7,1,9,1,7,9,9,3,9
55,6,5,2,7,2,6,10,9,3,3,6,0,6,4,5
56,0,6,5,2,0,2,5,3,6,10,5,0,8,7,1
57,1,1,7,9,8,3,5,3,3,9,9,3,4,7,3
58,0,7,7,6,1,9,0,8,3,0,0,3,10,2,7
59,2,7,9,9,9,6,10,0,4,1,8,6,2,8,6
60,1,4,4,4,3,10,3,9,4,8,2,0,6,10,5
61,2,3,8,3,8,6,9,10,10,1,1,5,0,7,4
62,5,8,7,4,9,4,5,5,3,9,2,1,5,10,8
63,0,6,9,2,7,6,9,7,8,5,5,3,0,10,7
64,4,8,3,8,8,7,10,2,1,0,4,4,9,5,1
65,3,5,7,0,4,7,2,0,4,7,10,6,4,6,3
66,6,8,9,6,8,7,10,10,3,1,0,3,0,1,2
67,6,0,2,2,5,4,8,6,0,1,2,8,8,9,5
68,9,6,2,4,4,6,8,9,5,5,4,1,1,9,0
69,9,8,9,1,4,6,2,0,1,4,8,7,4,4,5
70,4,1,6,5,8,0,7,4,3,3,10,4,10,4,10
71,5,7,0,1,3,4,7,10,4,0,9,9,10,8,6
72,9,9,7,1,4,8,10,9,9,2,6,4,3,3,2
73,1,1,4,1,1,0,6,6,1,5,5,10,6,2,7
74,8,4,3,7,6,4,5,1,8,8,9,1,1,8,4
75,3,7,4,1,9,8,5,1,7,4,8,1,0,5,5
76,7,5,3,8,0,5,4,5,1,1,8,2,5,7,5
77,10,0,7,7,1,7,1,5,9,2,4,2,10,1,4
78,10,3,0,2,1,2,9,9,8,4,8,6,1,0,4
79,10,3,0,4,7,7,6,10,5,1,4,3,10,1,6
80,0,4,0,1,6,0,1,6,5,2,6,2,10,2,4
81,9,1,6,8,3,4,0,10,10,2,8,2,2,6,3
82,6,9,2,6,8,0,10,2,0,10,0,9,3,3,8
83,3,9,1,8,9,3,9,9,2,3,5,4,2,7,9
84,3,6,1,3,0,4,6,3,7,1,5,8,8,9,9
85,6,1,5,8,0,4,10,5,2,0,7,2,5,4,1
86,1,4,3,4,1,5,1,6,1,10,4,3,3,7,3
