,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,7,2,4,4,2,4,1,6,0,0,0,1,8,1,7
1,8,10,9,1,10,8,3,9,7,6,2,4,9,1,4
2,6,10,0,3,8,0,3,2,2,9,1,5,0,8,7
3,10,4,9,9,3,2,3,6,9,10,1,6,4,10,6
4,1,4,7,4,3,9,8,0,6,5,4,6,7,8,6
5,6,4,5,3,10,1,9,0,5,0,4,7,5,3,7
6,3,5,1,10,8,8,7,0,2,7,9,0,10,7,7
7,7,6,10,9,6,5,7,5,10,9,6,5,0,1,2
8,7,5,8,0,2,2,5,4,6,7,7,10,3,3,7
9,2,4,6,2,4,2,4,8,1,10,0,10,6,8,1
10,10,7,3,4,9,7,5,9,4,0,5,1,7,9,4
11,5,2,10,9,0,10,4,5,2,3,6,0,7,4,8
12,7,2,0,3,9,3,10,9,1,8,7,9,2,8,1
13,6,0,8,8,0,9,2,10,5,9,7,0,1,10,4
14,10,0,6,3,5,4,2,6,1,6,2,5,4,3,7
15,9,3,4,9,3,3,4,4,1,9,0,1,0,10,6
16,2,10,3,6,1,9,0,8,5,8,9,0,7,9,1
17,6,5,8,10,9,1,5,8,8,7,2,1,1,6,7
18,4,0,1,10,2,5,10,6,5,0,8,0,2,0,3
19,0,4,3,8,6,10,6,3,6,9,3,4,4,10,8
20,7,2,9,5,9,2,2,7,6,6,6,9,8,6,4
21,7,3,7,5,1,10,8,8,7,8,10,6,5,3,3
22,8,10,6,8,1,7,6,3,2,4,1,4,5,7,9
23,5,10,0,2,6,7,8,5,10,9,10,7,10,0,8
24,2,8,3,3,1,10,2,2,4,6,4,9,10,10,3
25,4,1,9,5,3,9,9,7,8,5,10,7,2,0,2
26,1,10,6,3,1,6,9,9,10,8,9,6,7,1,2
27,0,4,10,8,9,7,8,2,5,7,5,3,5,0,2
28,7,10,2,4,0,4,7,2,5,2,9,0,1,7,1
29,9,10,3,8,7,9,1,8,0,10,4,4,6,6,5
30,4,10,9,1,5,9,4,10,6,8,8,6,3,8,3
31,6,0,1,4,2,2,9,7,3,4,0,6,10,0,9
32,0,1,5,4,3,8,2,5,6,4,1,3,7,8,7
33,4,1,3,10,4,5,2,8,8,0,3,10,5,2,6
34,1,1,4,1,2,6,0,4,8,1,2,7,9,7,0
35,8,7,4,10,0,2,1,4,3,10,3,1,6,9,0
36,4,0,1,5,9,2,2,4,9,1,6,3,6,3,10
37,10,0,10,2,5,3,4,2,3,9,2,3,6,2,5
38,4,7,8,9,0,2,1,5,5,6,10,0,10,5,5
39,4,10,3,2,9,5,1,7,10,2,10,3,5,7,4
40,8,0,8,9,7,5,1,3,2,10,0,2,9,1,4
41,3,6,0,3,10,8,6,3,8,2,8,2,6,6,0
42,1,3,10,3,3,2,10,10,3,10,7,2,6,10,7
43,3,5,6,9,6,2,1,3,2,2,8,7,10,1,1
44,0,0,2,0,7,8,5,0,1,7,6,4,9,3,6
45,5,0,1,9,10,0,8,4,3,8,0,8,8,3,1
46,1,2,9,5,8,9,3,1,3,2,7,2,5,7,1
47,0,1,7,8,2,4,4,9,8,2,6,7,1,5,10
48,9,7,2,2,2,4,6,4,10,9,3,0,3,3,8
49,1,6,5,7,1,3,6,10,0,4,5,4,5,6,7
50,7,1,0,1,10,6,2,8,8,0,1,7,7,7,4
51,0,7,6,6,2,8,9,3,7,7,8,7,6,4,2
52,1,2,9,2,2,5,4,7,5,1,10,3,0,0,9
53,8,1,8,8,1,10,9,6,3,8,4,3,5,10,3
54,6,10,2,9,3,9,5,3,10,4,2,5,9,8,8
55,5,9,3,0,6,2,9,5,10,1,5,0,6,4,0
56,5,7,7,8,0,7,10,2,0,1,4,5,7,10,5
57,2,8,9,6,3,4,10,10,9,6,4,5,10,6,8
58,9,5,5,10,7,1,9,10,7,7,8,6,3,0,5
59,8,8,6,10,8,1,2,9,2,9,1,4,6,0,10
60,2,7,1,5,2,9,6,6,1,9,4,0,8,3,3
61,1,7,3,6,2,5,5,0,1,0,2,5,9,7,9
62,4,10,1,2,9,1,4,0,1,8,8,1,4,2,0
63,5,8,0,0,0,7,9,4,2,3,7,3,1,8,5
