,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,72,9,32,68,65,70,61,0,48,94,36,89,19,43,85
1,12,10,14,12,42,86,27,3,61,77,91,22,18,77,69
2,52,2,95,49,89,62,11,2,62,20,82,71,94,99,42
3,75,3,40,80,10,45,30,10,100,67,83,40,13,100,65
4,80,9,47,34,36,14,75,0,62,49,87,51,74,51,87
5,55,1,12,71,19,52,35,2,69,94,90,60,71,76,62
6,32,0,26,57,27,39,67,4,80,11,56,19,89,74,57
7,12,9,9,55,87,51,30,9,55,88,41,24,49,32,27
8,24,1,50,73,25,26,77,8,11,69,98,83,64,65,89
9,86,9,85,57,64,38,50,9,55,25,54,96,71,44,53
10,34,5,68,63,28,57,43,2,61,68,49,63,39,59,34
11,23,4,95,99,52,20,70,9,77,33,40,29,71,51,34
12,31,10,40,89,67,27,15,1,74,39,12,12,17,75,24
13,46,2,31,91,99,94,50,5,46,26,98,58,39,88,94
14,9,8,74,14,37,58,29,4,96,75,53,18,24,68,23
15,11,9,62,40,52,27,26,5,22,40,47,67,33,21,97
16,10,0,57,76,47,69,58,0,48,71,99,21,19,60,81
17,55,1,11,51,13,83,17,4,44,58,98,59,52,68,51
18,45,4,43,73,86,28,93,7,98,34,24,55,15,93,82
19,50,7,30,28,34,76,76,5,84,95,43,89,49,73,9
20,41,5,21,97,14,32,76,7,65,30,64,23,24,21,25
21,100,10,86,25,56,19,85,4,40,56,33,37,64,23,65
22,73,3,60,38,65,80,82,7,20,91,40,53,52,70,28
23,86,8,43,11,43,22,82,4,57,12,41,34,13,21,85
24,37,5,71,38,87,42,98,2,19,87,71,41,98,63,19
25,16,0,57,46,16,20,33,1,57,83,30,89,95,58,49
26,18,10,33,33,21,53,30,9,21,58,15,61,18,81,35
27,92,3,10,31,21,63,47,2,16,26,37,95,44,51,20
28,37,6,24,90,84,51,82,5,81,31,22,55,70,71,69
29,92,9,14,41,93,83,33,3,48,20,45,45,89,21,38
30,12,5,13,24,27,82,83,5,9,67,83,11,86,23,35
31,48,9,82,100,37,30,94,6,80,18,39,38,17,18,69
32,99,0,37,59,52,69,52,1,21,58,22,90,60,18,65
33,43,9,86,34,26,17,13,1,96,67,73,80,65,32,53
34,53,3,21,78,79,21,56,5,73,36,65,95,82,83,92
35,70,8,53,54,53,93,14,3,95,38,72,14,95,87,18
36,78,9,63,76,96,10,25,3,42,30,62,43,49,13,69
37,72,3,53,78,50,9,58,6,80,60,49,9,90,12,10
38,58,6,93,20,22,11,100,1,23,62,69,97,35,71,58
39,13,4,97,56,94,14,76,0,74,58,65,20,21,52,38
40,36,8,36,50,84,25,75,9,18,61,37,15,12,11,34
41,54,10,91,17,91,58,31,5,23,36,75,95,49,33,35
42,30,4,20,13,54,56,12,3,43,83,86,48,98,76,23
43,27,10,38,90,90,88,75,2,42,61,80,80,62,60,22
44,55,2,34,44,55,53,95,9,39,19,91,81,47,68,48
