0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
40,97,18,85,78,44,73,19,5,89,12,72,21,3,80
92,26,96,54,39,30,71,100,6,14,50,27,45,6,96
36,31,30,44,83,16,27,100,9,22,22,74,100,6,27
35,25,49,86,93,30,19,92,5,75,58,62,55,4,26
46,43,48,16,82,52,64,58,9,31,72,10,12,1,64
57,35,26,27,38,65,83,38,4,56,43,88,75,4,42
21,69,64,22,90,32,20,92,10,27,22,67,9,2,31
93,42,69,59,35,26,64,44,0,35,27,43,88,3,21
47,23,54,80,66,9,96,58,3,86,13,27,10,2,83
69,91,58,27,52,10,18,78,4,38,22,17,87,0,75
54,29,67,69,50,43,81,56,5,52,45,35,86,1,26
41,34,19,97,92,68,10,74,8,68,68,56,62,8,27
22,92,78,77,71,90,91,58,5,34,51,92,79,9,27
76,98,44,40,92,76,43,48,4,46,11,90,51,0,26
90,56,29,29,37,9,92,31,3,78,62,92,95,1,24
43,53,33,80,31,15,91,31,9,93,92,70,72,1,9
74,86,42,15,22,52,91,24,4,44,70,10,65,2,51
99,50,30,31,95,29,14,35,6,36,60,37,50,9,43
77,58,85,36,23,83,73,95,7,49,22,27,60,1,24
80,23,100,38,97,47,26,77,8,84,90,10,41,9,84
67,95,49,9,12,43,50,97,8,66,19,81,83,8,32
92,100,56,61,60,80,79,28,10,52,96,87,33,2,15
58,83,26,56,70,67,81,29,3,70,56,46,43,5,95
90,79,24,95,81,13,72,42,9,91,93,33,85,8,40
40,38,89,39,9,70,77,35,5,36,83,52,52,5,54
47,79,44,14,95,12,85,26,4,80,62,26,58,8,77
40,57,96,31,57,46,73,51,6,39,58,57,91,8,12
66,25,72,81,76,47,95,42,5,98,31,72,23,9,41
86,65,31,32,39,54,70,31,5,100,84,99,64,4,92
44,33,52,20,51,92,59,63,8,85,12,61,19,9,43
43,35,34,95,46,77,60,70,3,97,19,74,57,2,26
37,53,78,96,23,54,42,37,1,59,24,96,85,5,63
18,43,26,38,13,43,60,74,7,54,18,96,13,9,73
14,20,13,61,33,37,86,19,4,22,13,23,82,4,34
73,97,42,99,39,11,95,60,9,57,96,39,57,6,19
49,37,81,82,56,25,94,28,10,47,44,16,18,6,26
48,40,31,100,48,96,26,77,8,45,53,67,91,4,21
67,39,94,16,80,70,38,71,10,64,48,41,99,8,86
86,25,38,49,78,35,56,100,0,67,18,93,73,3,96
68,68,47,22,14,35,87,60,9,14,79,50,12,4,52
16,72,33,88,63,75,72,73,0,91,33,55,86,3,51
16,69,60,21,55,40,16,34,3,83,55,38,40,10,98
18,69,71,39,56,76,81,51,4,35,37,34,82,8,83
27,77,9,100,16,41,77,93,6,25,73,56,23,7,17
77,9,24,95,47,59,61,33,10,38,9,14,30,10,56
10,74,33,19,25,54,86,33,4,99,27,40,81,8,91
67,21,65,13,67,61,88,35,10,39,50,9,65,0,17
16,34,25,93,87,57,83,39,2,9,36,95,78,2,34
74,52,67,72,19,85,29,51,8,35,81,10,89,7,69
36,53,57,25,12,27,15,55,2,98,19,99,77,0,66
29,58,35,16,27,92,90,71,5,96,17,97,91,4,31
57,25,71,18,61,76,43,34,5,90,27,21,68,4,63
38,38,98,64,36,16,21,28,0,40,76,26,96,5,100
22,41,58,43,73,72,33,97,2,83,12,24,30,6,45
24,94,47,24,41,14,85,33,6,52,52,92,58,0,60
72,98,13,48,90,84,76,9,1,44,12,62,53,2,64
11,48,81,38,96,19,76,76,2,27,13,21,46,2,72
66,18,9,18,49,89,32,57,5,31,40,27,100,5,81
83,85,25,18,15,76,33,58,2,90,16,56,46,10,67
14,46,52,89,94,54,63,54,1,43,27,100,54,3,74
17,42,48,26,63,89,82,25,6,24,86,87,18,10,30
9,29,64,49,64,51,18,42,1,99,86,12,80,7,26
15,87,65,84,85,46,34,91,2,19,57,49,84,6,63
44,97,83,25,46,53,86,77,10,17,83,54,99,6,61
13,90,92,32,81,61,22,55,5,86,37,82,64,8,100
26,46,53,96,12,52,57,60,2,81,75,52,71,6,67
41,70,83,61,48,95,33,87,5,53,71,21,12,2,44
71,60,50,28,81,90,40,98,0,73,98,23,99,8,18
48,38,10,71,11,39,52,9,8,97,25,25,27,6,30
77,47,51,24,41,99,100,85,2,27,25,12,39,1,48
35,22,41,32,33,63,57,42,3,90,12,97,37,5,56
53,69,29,68,73,20,49,83,1,79,45,92,81,2,33
9,86,33,87,74,14,49,82,4,47,26,78,37,5,9
76,48,81,57,24,90,14,76,9,65,43,85,21,9,60
94,45,62,96,84,77,96,81,8,79,31,54,9,6,85
45,62,81,72,75,99,62,17,3,25,51,84,36,0,55
88,76,71,12,78,76,54,40,0,53,62,88,86,6,82
48,62,32,77,12,98,29,77,9,53,28,85,45,8,49
31,10,53,9,94,65,48,86,1,93,86,96,21,6,74
86,54,60,82,80,43,55,44,4,77,59,51,68,9,92
88,58,20,50,33,44,78,61,10,53,83,58,80,9,63
58,20,25,42,61,31,48,14,6,53,28,100,50,10,43
64,84,49,89,56,32,68,12,1,95,94,53,56,6,44
84,82,59,16,56,27,43,57,8,35,16,79,44,0,45
75,73,56,65,23,60,88,92,0,43,40,58,35,6,17
81,41,18,33,28,58,29,77,2,82,85,80,98,10,39
48,59,45,13,29,78,42,74,8,69,11,54,47,1,90
51,60,68,64,77,50,24,30,2,22,50,56,10,1,17
67,54,79,90,32,94,45,22,8,82,49,92,45,0,35
12,50,29,58,34,96,56,96,4,78,46,83,76,3,94
77,89,55,74,47,76,30,78,8,19,58,79,73,7,89
83,33,58,23,98,47,19,64,4,27,69,70,90,2,80
56,15,51,93,86,17,12,54,9,44,52,27,66,10,84
12,67,53,33,18,67,76,77,6,78,88,28,70,3,45
90,26,34,59,68,71,35,16,8,35,49,75,34,0,42
92,72,82,61,99,92,69,85,8,61,37,24,91,1,58
58,45,98,40,61,94,69,91,1,62,41,38,66,7,34
93,20,50,48,90,52,27,63,2,22,26,73,37,10,14
22,61,21,62,88,56,56,49,10,18,53,48,73,6,9
73,43,78,9,60,62,46,62,0,64,83,95,34,5,98
36,63,83,52,20,62,68,32,3,92,17,11,55,4,20
60,48,69,83,63,71,97,53,5,68,80,47,9,9,66
62,93,45,82,19,58,41,15,4,60,65,80,63,3,95
9,98,67,52,65,16,58,9,9,96,48,68,35,3,56
63,79,9,57,65,60,94,97,5,93,50,63,41,10,19
58,52,13,50,54,45,14,75,2,80,78,60,53,1,93
17,90,73,54,81,86,29,21,3,69,19,86,17,4,63
71,46,64,94,41,100,70,74,9,10,12,78,98,4,92
45,67,94,17,72,56,22,87,4,50,64,79,82,7,90
12,54,55,33,22,50,19,15,2,89,57,20,13,1,97
20,13,55,55,43,42,80,81,4,53,10,40,27,2,26
14,35,13,32,31,49,45,64,7,45,95,60,47,10,16
73,50,46,14,63,61,13,76,6,28,98,20,43,10,87
23,65,78,19,92,97,73,59,5,58,84,65,79,0,25
62,33,11,11,11,68,89,91,3,91,78,16,96,7,34
79,84,61,97,71,24,66,34,6,59,49,82,36,2,52
44,47,71,36,84,31,78,72,5,74,45,25,100,10,82
24,17,77,49,26,81,49,98,6,11,88,28,81,6,45
25,78,52,60,36,30,84,54,4,48,50,82,37,8,93
19,84,59,78,90,71,79,27,2,53,91,83,60,3,18
69,92,44,81,35,39,20,37,1,39,18,12,11,2,48
57,85,22,100,94,23,18,9,5,13,20,84,18,0,79
98,78,21,100,21,82,15,66,9,54,40,15,72,9,25
12,15,27,52,71,25,94,51,4,35,68,49,76,1,80
16,25,58,30,28,38,95,36,7,18,78,43,25,1,62
44,73,49,16,69,49,65,19,0,69,25,11,31,6,11
21,33,67,21,28,25,55,30,6,49,96,98,88,7,56
9,61,74,62,37,26,19,69,9,94,20,27,94,7,59
56,65,37,13,18,86,11,77,3,9,91,52,50,10,23
89,82,96,62,53,32,69,32,2,32,42,85,60,10,50
82,32,90,67,87,97,92,51,9,59,77,30,29,10,43
49,78,17,43,50,65,54,61,4,30,84,79,96,5,100
46,20,37,31,47,9,78,12,9,63,27,51,92,2,98
85,55,49,23,86,70,13,54,9,55,40,88,14,6,100
31,46,22,42,26,60,31,88,4,91,36,54,94,9,79
50,56,89,45,99,12,51,50,0,88,83,44,57,5,85
30,97,38,51,22,83,86,88,5,40,56,20,60,10,23
97,34,68,83,31,84,27,64,9,100,98,59,80,4,93
22,40,24,23,43,47,91,43,10,44,42,25,12,0,58
73,70,9,76,69,25,51,56,1,85,16,75,21,7,30
82,57,86,11,38,55,98,44,5,63,13,79,41,3,63
51,15,44,54,86,20,13,43,8,13,21,58,38,2,89
89,68,65,76,54,99,98,73,5,15,56,25,46,9,90
26,30,18,27,94,66,36,17,1,85,54,29,74,6,57
11,60,70,86,54,33,22,59,1,94,53,90,69,10,13
40,33,23,36,64,91,17,92,7,78,80,82,22,10,12
43,93,63,47,78,47,53,78,1,50,82,54,85,7,59
44,60,88,24,20,30,61,62,1,53,93,39,94,4,46
34,82,40,76,28,20,42,42,10,35,90,50,87,8,48
15,86,70,59,23,76,33,80,4,56,64,96,74,7,41
100,17,77,39,40,40,12,71,6,41,14,61,70,4,61
10,83,96,82,49,96,70,94,6,12,33,77,92,3,10
98,82,14,67,81,26,65,20,3,34,96,94,73,0,73
23,74,14,25,23,11,42,48,3,97,64,25,64,2,38
26,84,74,10,42,38,50,12,3,52,28,84,29,8,76
87,18,88,53,44,47,15,77,9,35,96,65,55,2,71
61,38,78,42,71,70,89,10,9,43,19,57,29,4,87
19,18,53,43,51,38,31,53,2,37,11,90,24,2,28
63,73,9,51,40,62,11,29,6,89,21,75,49,1,79
60,12,46,94,48,19,49,99,1,23,22,83,90,4,62
94,77,78,29,64,89,57,23,4,29,57,46,22,1,58
95,31,61,84,24,47,35,34,1,10,47,75,15,3,48
89,75,68,81,9,63,41,39,0,83,31,46,58,6,55
11,43,95,27,64,10,83,84,10,12,44,12,67,0,99
23,67,77,88,37,74,79,9,1,39,99,26,25,2,68
40,71,36,12,29,71,95,71,3,48,43,64,86,8,25
39,54,91,98,33,17,14,73,0,79,36,74,79,0,100
54,84,37,51,25,23,66,77,0,81,95,67,71,9,72
70,32,94,93,16,27,14,13,9,83,65,44,89,8,81
59,100,91,95,60,70,13,19,6,23,96,87,10,0,79
57,70,48,11,73,74,78,45,6,84,68,43,80,4,48
37,54,76,80,70,55,39,33,0,23,42,81,62,4,75
66,66,48,78,22,34,46,16,3,66,48,16,38,1,86
38,40,77,86,81,94,43,98,7,54,41,96,56,1,26
41,10,71,20,42,74,24,63,10,29,76,54,21,1,58
26,78,73,25,51,96,96,10,8,56,17,21,34,4,79
44,59,19,33,36,39,92,86,2,37,34,49,86,0,39
20,17,19,100,38,45,39,84,6,26,24,41,97,9,56
64,73,43,15,27,32,70,90,10,67,86,20,62,4,100
10,59,32,35,13,17,89,35,5,87,86,70,28,1,31
53,25,77,61,51,23,33,39,1,40,56,83,38,0,92
54,66,12,64,14,57,79,67,1,43,66,14,67,9,31
65,97,22,19,64,74,62,15,3,9,12,87,64,9,22
11,57,81,65,77,79,79,73,0,81,18,49,71,0,61
19,58,73,43,70,52,49,18,3,68,86,34,65,3,47
35,62,36,29,19,92,32,89,2,35,98,33,93,2,17
79,42,40,46,14,77,56,21,10,73,26,41,69,7,53
44,40,42,33,84,60,83,97,9,13,78,40,91,10,61
35,13,90,77,25,94,35,14,4,79,85,32,14,7,14
16,84,69,39,10,64,33,84,2,40,25,88,55,8,63
54,67,55,80,20,60,88,67,2,95,74,87,87,9,72
12,20,82,47,28,22,86,12,5,27,29,82,31,0,42
68,75,55,64,93,86,55,38,4,39,26,73,23,9,49
18,31,12,62,76,87,11,36,4,96,89,26,62,1,20
93,81,82,37,45,22,44,10,3,75,76,99,82,4,81
45,70,63,80,17,38,60,91,6,64,67,70,21,5,94
78,44,33,63,91,97,11,42,2,55,48,70,76,9,75
19,41,13,34,58,50,56,47,0,35,52,55,100,4,33
83,93,9,63,21,80,83,24,7,42,41,63,15,10,31
81,61,78,14,43,73,56,45,1,10,23,60,86,6,10
11,94,58,59,99,54,26,17,7,96,63,29,84,1,73
52,74,67,24,63,74,68,51,3,65,81,84,65,5,53
30,85,39,70,94,13,19,59,3,42,86,89,87,0,86
13,52,52,36,39,54,84,60,9,63,32,25,18,0,70
77,11,80,91,73,76,58,62,6,26,43,90,41,8,20
67,21,15,29,19,63,74,46,2,72,15,60,53,6,32
24,9,73,84,68,66,43,18,3,29,87,9,47,4,69
97,67,61,50,58,94,91,41,6,100,27,89,99,9,51
21,86,85,39,62,58,46,41,9,54,57,77,87,8,38
63,25,77,44,38,10,9,10,8,28,34,79,39,10,10
74,84,38,24,63,86,9,15,5,9,66,58,68,0,81
92,36,56,83,79,85,64,21,1,60,19,32,36,1,10
53,23,46,41,23,74,18,58,0,91,69,72,42,5,54
36,19,43,94,75,40,98,70,9,32,41,65,62,9,58
54,89,28,51,27,83,38,95,0,84,49,79,73,3,49
43,17,34,27,16,22,78,16,5,79,56,93,66,8,30
60,26,39,98,83,96,42,30,0,11,41,36,66,1,93
97,90,79,52,36,100,53,49,10,95,78,76,64,4,35
12,25,46,10,43,92,63,33,6,87,45,63,53,8,76
80,26,47,58,96,11,58,65,4,23,55,43,40,8,75
81,67,30,51,10,68,36,82,5,64,95,48,37,1,58
94,28,83,50,15,95,30,60,0,13,9,88,76,0,77
41,71,97,37,85,28,43,99,10,13,83,91,87,2,88
19,80,22,48,55,77,92,92,5,36,10,72,60,7,51
26,18,98,90,78,58,42,29,8,78,16,26,13,2,66
69,70,94,24,72,91,29,31,1,66,79,55,90,3,36
78,65,60,55,64,66,71,46,8,26,19,98,24,5,65
90,31,9,83,72,70,72,96,2,100,30,93,27,7,74
89,96,21,34,91,78,39,51,6,29,38,56,73,7,9
26,90,35,14,41,75,56,66,0,28,53,70,58,4,46
21,43,48,39,10,67,52,86,7,62,45,22,65,5,24
90,16,38,85,45,70,58,63,6,73,26,74,65,1,65
23,78,56,48,11,67,35,57,0,81,71,75,97,3,90
54,85,37,19,19,10,59,72,5,81,45,27,45,7,27
32,41,58,32,58,76,69,69,6,93,45,23,29,9,72
95,66,73,75,96,22,41,76,1,29,36,86,31,10,61
97,85,55,86,38,10,41,16,10,77,36,62,41,3,52
69,21,74,94,20,54,10,77,2,60,27,85,49,8,87
62,34,26,12,64,18,21,34,1,41,25,84,88,8,94
89,44,44,20,93,72,67,24,3,79,89,95,44,0,34
17,18,47,31,48,32,38,57,9,50,60,14,59,3,41
82,93,54,27,89,15,79,68,7,9,87,41,74,6,80
73,31,76,84,41,51,81,78,1,75,72,61,55,4,29
30,84,69,24,53,74,33,36,7,59,67,96,80,9,42
44,63,65,42,14,80,96,11,0,21,81,49,88,2,36
26,79,61,71,39,39,94,62,5,84,78,28,82,5,54
45,86,62,28,83,36,75,51,8,76,99,52,22,9,95
67,86,45,91,23,15,74,61,0,81,83,99,18,4,12
18,69,24,99,83,59,56,24,6,45,84,15,14,8,92
47,58,92,49,67,31,68,36,0,69,85,29,9,5,43
67,92,22,93,86,52,91,42,6,9,15,87,79,6,32
66,35,63,58,85,42,93,70,7,75,59,49,72,9,27
84,71,80,25,43,27,95,92,2,79,86,44,55,1,98
17,23,41,99,16,36,41,35,7,85,27,70,14,8,43
29,23,84,13,30,28,69,17,7,64,65,32,62,9,17
17,22,22,57,97,21,59,42,1,95,37,84,45,8,23
77,24,38,26,66,79,97,35,0,69,65,59,27,9,51
53,38,27,38,48,80,53,38,4,85,15,73,15,0,34
64,77,41,45,55,93,10,80,6,67,26,23,91,6,10
22,88,38,97,62,49,84,79,8,50,76,58,98,6,58
71,32,71,12,50,45,53,97,8,26,63,59,90,7,91
73,92,62,62,19,55,78,77,7,73,30,70,34,0,25
45,80,81,45,68,11,30,61,2,10,82,57,89,5,62
20,20,23,51,68,24,75,88,4,45,78,10,9,9,18
58,82,31,71,21,66,16,57,6,93,46,59,45,6,69
13,96,97,97,61,43,76,91,10,32,84,88,62,6,32
90,50,76,73,32,80,22,37,1,94,84,52,62,7,61
60,61,21,63,26,39,78,52,6,26,91,13,99,2,17
96,51,71,55,73,69,98,35,4,13,23,39,43,8,46
30,96,77,64,85,82,94,86,4,55,31,78,16,8,55
42,16,31,14,50,25,30,98,8,92,37,96,73,1,31
56,37,57,50,75,85,95,99,7,64,73,52,96,3,71
42,31,18,20,40,63,52,96,3,86,61,23,35,1,45
46,29,92,52,76,19,44,48,3,18,12,37,54,3,57
60,97,59,35,33,40,68,87,5,19,10,70,26,3,98
44,97,84,99,64,60,31,57,4,84,98,32,78,0,77
73,90,53,75,84,11,80,55,8,51,21,52,97,9,46
71,98,10,38,67,76,13,27,7,13,72,55,95,2,17
