0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
40,10,10,85,10,10,73,19,5,89,12,72,21,3,10
92,10,10,54,10,10,71,100,6,14,50,27,45,6,10
36,10,10,44,10,10,27,100,9,22,22,74,100,6,10
35,10,10,86,10,10,19,92,5,75,58,62,55,4,10
46,10,10,16,10,10,64,58,9,31,72,10,12,1,10
57,10,10,27,10,10,83,38,4,56,43,88,75,4,10
21,10,10,22,10,10,20,92,10,27,22,67,9,2,10
93,10,10,59,10,10,64,44,0,35,27,43,88,3,10
47,10,10,80,10,9,96,58,3,86,13,27,10,2,10
69,10,10,27,10,10,18,78,4,38,22,17,87,0,10
54,10,10,69,10,10,81,56,5,52,45,35,86,1,10
41,10,10,97,10,10,10,74,8,68,68,56,62,8,10
22,10,10,77,10,10,91,58,5,34,51,92,79,9,10
76,10,10,40,10,10,43,48,4,46,11,90,51,0,10
90,10,10,29,10,9,92,31,3,78,62,92,95,1,10
43,10,10,80,10,10,91,31,9,93,92,70,72,1,9
74,10,10,15,10,10,91,24,4,44,70,10,65,2,10
99,10,10,31,10,10,14,35,6,36,60,37,50,9,10
77,10,10,36,10,10,73,95,7,49,22,27,60,1,10
80,10,10,38,10,10,26,77,8,84,90,10,41,9,10
67,10,10,9,10,10,50,97,8,66,19,81,83,8,10
92,10,10,61,10,10,79,28,10,52,96,87,33,2,10
58,10,10,56,10,10,81,29,3,70,56,46,43,5,10
90,10,10,95,10,10,72,42,9,91,93,33,85,8,10
40,10,10,39,9,10,77,35,5,36,83,52,52,5,10
47,10,10,14,10,10,85,26,4,80,62,26,58,8,10
40,10,10,31,10,10,73,51,6,39,58,57,91,8,10
66,10,10,81,10,10,95,42,5,98,31,72,23,9,10
86,10,10,32,10,10,70,31,5,100,84,99,64,4,10
44,10,10,20,10,10,59,63,8,85,12,61,19,9,10
43,10,10,95,10,10,60,70,3,97,19,74,57,2,10
37,10,10,96,10,10,42,37,1,59,24,96,85,5,10
18,10,10,38,10,10,60,74,7,54,18,96,13,9,10
14,10,10,61,10,10,86,19,4,22,13,23,82,4,10
73,10,10,99,10,10,95,60,9,57,96,39,57,6,10
49,10,10,82,10,10,94,28,10,47,44,16,18,6,10
48,10,10,100,10,10,26,77,8,45,53,67,91,4,10
67,10,10,16,10,10,38,71,10,64,48,41,99,8,10
86,10,10,49,10,10,56,100,0,67,18,93,73,3,10
68,10,10,22,10,10,87,60,9,14,79,50,12,4,10
16,10,10,88,10,10,72,73,0,91,33,55,86,3,10
16,10,10,21,10,10,16,34,3,83,55,38,40,10,10
18,10,10,39,10,10,81,51,4,35,37,34,82,8,10
27,10,9,100,10,10,77,93,6,25,73,56,23,7,10
77,9,10,95,10,10,61,33,10,38,9,14,30,10,10
10,10,10,19,10,10,86,33,4,99,27,40,81,8,10
67,10,10,13,10,10,88,35,10,39,50,9,65,0,10
16,10,10,93,10,10,83,39,2,9,36,95,78,2,10
74,10,10,72,10,10,29,51,8,35,81,10,89,7,10
36,10,10,25,10,10,15,55,2,98,19,99,77,0,10
29,10,10,16,10,10,90,71,5,96,17,97,91,4,10
57,10,10,18,10,10,43,34,5,90,27,21,68,4,10
38,10,10,64,10,10,21,28,0,40,76,26,96,5,10
22,10,10,43,10,10,33,97,2,83,12,24,30,6,10
24,10,10,24,10,10,85,33,6,52,52,92,58,0,10
72,10,10,48,10,10,76,9,1,44,12,62,53,2,10
11,10,10,38,10,10,76,76,2,27,13,21,46,2,10
66,10,9,18,10,10,32,57,5,31,40,27,100,5,10
83,10,10,18,10,10,33,58,2,90,16,56,46,10,10
14,10,10,89,10,10,63,54,1,43,27,100,54,3,10
17,10,10,26,10,10,82,25,6,24,86,87,18,10,10
9,10,10,49,10,10,18,42,1,99,86,12,80,7,10
15,10,10,84,10,10,34,91,2,19,57,49,84,6,10
44,10,10,25,10,10,86,77,10,17,83,54,99,6,10
13,10,10,32,10,10,22,55,5,86,37,82,64,8,10
26,10,10,96,10,10,57,60,2,81,75,52,71,6,10
41,10,10,61,10,10,33,87,5,53,71,21,12,2,10
71,10,10,28,10,10,40,98,0,73,98,23,99,8,10
48,10,10,71,10,10,52,9,8,97,25,25,27,6,10
77,10,10,24,10,10,100,85,2,27,25,12,39,1,10
35,10,10,32,10,10,57,42,3,90,12,97,37,5,10
53,10,10,68,10,10,49,83,1,79,45,92,81,2,10
9,10,10,87,10,10,49,82,4,47,26,78,37,5,9
76,10,10,57,10,10,14,76,9,65,43,85,21,9,10
94,10,10,96,10,10,96,81,8,79,31,54,9,6,10
45,10,10,72,10,10,62,17,3,25,51,84,36,0,10
88,10,10,12,10,10,54,40,0,53,62,88,86,6,10
48,10,10,77,10,10,29,77,9,53,28,85,45,8,10
31,10,10,9,10,10,48,86,1,93,86,96,21,6,10
86,10,10,82,10,10,55,44,4,77,59,51,68,9,10
88,10,10,50,10,10,78,61,10,53,83,58,80,9,10
58,10,10,42,10,10,48,14,6,53,28,100,50,10,10
64,10,10,89,10,10,68,12,1,95,94,53,56,6,10
84,10,10,16,10,10,43,57,8,35,16,79,44,0,10
75,10,10,65,10,10,88,92,0,43,40,58,35,6,10
81,10,10,33,10,10,29,77,2,82,85,80,98,10,10
48,10,10,13,10,10,42,74,8,69,11,54,47,1,10
51,10,10,64,10,10,24,30,2,22,50,56,10,1,10
67,10,10,90,10,10,45,22,8,82,49,92,45,0,10
12,10,10,58,10,10,56,96,4,78,46,83,76,3,10
77,10,10,74,10,10,30,78,8,19,58,79,73,7,10
83,10,10,23,10,10,19,64,4,27,69,70,90,2,10
56,10,10,93,10,10,12,54,9,44,52,27,66,10,10
12,10,10,33,10,10,76,77,6,78,88,28,70,3,10
90,10,10,59,10,10,35,16,8,35,49,75,34,0,10
92,10,10,61,10,10,69,85,8,61,37,24,91,1,10
58,10,10,40,10,10,69,91,1,62,41,38,66,7,10
93,10,10,48,10,10,27,63,2,22,26,73,37,10,10
22,10,10,62,10,10,56,49,10,18,53,48,73,6,9
73,10,10,9,10,10,46,62,0,64,83,95,34,5,10
36,10,10,52,10,10,68,32,3,92,17,11,55,4,10
60,10,10,83,10,10,97,53,5,68,80,47,9,9,10
62,10,10,82,10,10,41,15,4,60,65,80,63,3,10
9,10,10,52,10,10,58,9,9,96,48,68,35,3,10
63,10,9,57,10,10,94,97,5,93,50,63,41,10,10
58,10,10,50,10,10,14,75,2,80,78,60,53,1,10
17,10,10,54,10,10,29,21,3,69,19,86,17,4,10
71,10,10,94,10,10,70,74,9,10,12,78,98,4,10
45,10,10,17,10,10,22,87,4,50,64,79,82,7,10
12,10,10,33,10,10,19,15,2,89,57,20,13,1,10
20,10,10,55,10,10,80,81,4,53,10,40,27,2,10
14,10,10,32,10,10,45,64,7,45,95,60,47,10,10
73,10,10,14,10,10,13,76,6,28,98,20,43,10,10
23,10,10,19,10,10,73,59,5,58,84,65,79,0,10
62,10,10,11,10,10,89,91,3,91,78,16,96,7,10
79,10,10,97,10,10,66,34,6,59,49,82,36,2,10
44,10,10,36,10,10,78,72,5,74,45,25,100,10,10
24,10,10,49,10,10,49,98,6,11,88,28,81,6,10
25,10,10,60,10,10,84,54,4,48,50,82,37,8,10
19,10,10,78,10,10,79,27,2,53,91,83,60,3,10
69,10,10,81,10,10,20,37,1,39,18,12,11,2,10
57,10,10,100,10,10,18,9,5,13,20,84,18,0,10
98,10,10,100,10,10,15,66,9,54,40,15,72,9,10
12,10,10,52,10,10,94,51,4,35,68,49,76,1,10
16,10,10,30,10,10,95,36,7,18,78,43,25,1,10
44,10,10,16,10,10,65,19,0,69,25,11,31,6,10
21,10,10,21,10,10,55,30,6,49,96,98,88,7,10
9,10,10,62,10,10,19,69,9,94,20,27,94,7,10
56,10,10,13,10,10,11,77,3,9,91,52,50,10,10
89,10,10,62,10,10,69,32,2,32,42,85,60,10,10
82,10,10,67,10,10,92,51,9,59,77,30,29,10,10
