0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
67,42,63,9,52,64,54,62,91,5,88,56,34,93,94
59,48,94,0,70,44,86,86,80,5,86,49,67,90,98
98,84,59,6,30,45,64,39,32,2,22,13,23,61,60
12,81,47,0,31,26,33,43,32,8,53,79,95,60,81
97,55,62,2,62,27,34,85,41,5,51,81,91,92,63
61,31,58,0,13,41,11,45,37,10,22,32,28,13,34
53,46,13,9,96,41,36,52,75,4,65,26,67,96,39
71,97,67,6,53,99,63,56,18,8,42,41,81,17,37
23,32,40,8,24,38,20,25,97,2,88,57,51,58,79
89,84,45,2,29,69,18,96,89,10,49,81,13,57,25
23,82,81,3,42,64,48,93,60,0,24,66,33,72,62
75,52,41,2,34,91,66,86,49,2,94,95,22,87,33
22,26,80,4,34,70,29,13,17,0,9,64,67,95,81
15,78,17,2,97,42,9,30,26,3,26,94,61,12,56
63,10,41,9,84,16,9,59,9,10,39,76,23,41,95
48,92,78,2,86,54,83,47,81,7,27,79,66,19,35
70,35,18,6,97,35,10,70,92,4,73,9,54,97,48
56,87,94,1,59,98,51,76,56,8,96,76,82,89,12
66,88,70,8,76,82,48,33,100,6,35,24,45,34,97
24,47,26,7,10,63,77,23,83,9,90,93,20,87,67
46,74,87,0,91,40,84,68,45,0,96,11,84,89,33
77,74,83,2,24,47,53,35,42,9,74,94,83,93,49
61,98,53,1,78,64,66,22,20,7,26,85,35,49,70
33,78,9,2,32,79,13,50,46,2,100,98,66,43,99
88,30,63,6,24,63,21,91,97,4,42,51,60,68,85
47,80,94,4,20,37,75,30,89,1,25,43,73,18,56
21,73,57,2,55,72,51,32,95,4,88,22,53,57,25
77,50,58,4,99,18,74,75,82,7,22,70,81,10,68
90,21,66,10,81,90,56,18,39,4,28,54,56,12,100
23,44,91,9,83,20,15,20,19,10,58,14,28,81,46
20,9,17,1,87,25,64,84,52,0,77,43,75,85,93
87,49,94,4,74,71,49,39,15,0,58,86,23,42,91
93,14,54,1,14,39,34,35,96,9,39,95,35,43,98
79,42,52,0,11,75,33,37,97,9,61,42,82,42,30
64,38,62,0,85,66,23,21,32,6,73,31,49,61,87
14,23,19,7,22,59,73,64,23,1,72,96,61,75,63
27,79,92,1,67,98,31,43,23,0,90,45,18,53,55
26,17,90,6,12,56,44,25,73,7,49,75,16,19,32
88,60,33,1,24,97,22,50,85,8,98,10,44,33,53
55,10,99,9,43,56,21,66,23,2,100,22,12,94,72
80,35,79,5,28,49,88,52,42,10,87,58,52,97,75
70,40,37,5,16,84,25,52,40,10,78,91,14,35,83
91,98,71,8,77,57,82,91,37,4,97,62,20,79,91
22,38,43,0,51,62,36,81,29,6,43,23,79,70,67
78,90,59,3,51,44,93,16,63,8,40,70,50,77,12
94,83,29,10,79,15,37,32,98,8,30,45,22,21,32
99,47,12,2,85,30,84,36,19,8,59,18,88,80,76
62,75,93,0,21,50,18,66,91,7,22,10,40,59,95
67,82,41,2,54,96,78,59,44,5,86,21,54,100,41
63,81,70,3,93,11,45,61,26,9,73,96,93,34,72
53,94,64,3,68,18,25,83,14,6,84,22,85,34,23
92,39,90,10,42,34,97,82,99,1,82,50,81,44,87
39,51,62,6,53,86,65,84,48,9,86,97,16,63,10
76,53,90,9,11,73,93,82,39,0,54,9,55,88,15
56,36,49,2,27,35,98,26,81,1,26,80,96,10,30
28,55,24,8,62,34,42,12,70,5,84,45,96,11,38
78,97,9,2,51,91,45,97,75,6,88,95,12,69,73
76,80,82,10,62,52,15,10,94,0,90,88,78,27,70
99,15,83,7,73,33,69,70,22,0,35,13,99,82,64
9,18,10,8,73,91,22,12,40,3,55,99,11,20,42
73,33,85,0,96,78,44,87,31,4,45,73,72,86,67
60,64,87,3,91,22,34,89,89,0,32,19,70,14,91
92,78,86,9,11,100,34,94,79,5,80,13,39,73,53
98,14,16,10,28,18,35,72,69,10,89,41,17,46,33
66,80,31,7,56,80,25,53,42,0,89,100,88,77,59
28,85,95,7,24,65,55,66,77,8,12,36,94,56,76
28,56,68,4,93,28,78,99,58,3,88,96,42,58,9
14,93,23,2,59,44,82,12,21,7,74,71,84,57,39
27,82,29,7,90,56,99,69,25,0,86,89,50,10,62
53,67,50,0,29,43,44,87,45,0,91,49,51,63,77
40,65,72,9,50,60,100,75,72,4,81,35,68,59,87
75,55,19,1,84,21,95,66,87,0,66,16,68,77,71
89,26,35,1,18,14,77,77,20,9,60,51,46,60,18
81,21,72,9,77,83,55,39,50,7,54,13,97,50,95
13,27,47,2,98,86,99,27,98,1,23,54,93,72,19
59,25,91,10,99,32,69,64,30,4,61,98,35,58,14
10,83,19,5,15,82,19,63,43,10,35,60,50,15,92
44,73,46,1,45,60,27,34,16,5,58,53,63,97,97
44,74,34,6,25,75,31,27,84,7,85,87,94,55,74
48,59,16,0,56,21,86,38,94,3,89,58,99,40,17
39,26,31,9,16,81,88,26,9,5,28,67,22,31,13
94,99,61,9,92,12,41,78,35,1,78,69,46,54,82
78,40,68,7,57,21,71,49,36,5,58,84,91,77,31
88,94,32,3,93,80,88,10,73,8,99,50,24,89,86
43,95,95,7,19,31,47,21,39,4,33,40,15,46,96
20,75,58,7,25,100,98,46,76,7,95,32,95,67,83
93,86,99,2,12,100,15,15,14,9,54,96,77,12,65
29,45,90,2,68,17,86,53,73,9,82,30,32,61,35
58,68,45,9,29,49,40,50,34,6,64,78,13,13,67
93,43,95,5,100,62,97,35,13,4,12,86,55,55,30
38,59,78,2,21,78,55,86,27,6,44,16,89,93,56
28,47,33,0,43,17,33,73,67,1,46,78,9,25,55
84,63,69,5,75,12,69,94,56,7,79,47,86,67,42
17,93,33,1,69,34,82,79,55,1,63,11,66,33,66
91,20,66,7,26,46,93,60,32,1,67,70,90,93,57
33,59,95,3,56,13,85,87,73,4,92,96,30,76,78
24,77,93,2,98,36,36,21,21,5,26,71,79,91,84
88,15,75,3,16,78,30,44,42,4,93,13,65,95,42
27,20,88,0,23,22,73,80,87,5,31,53,57,87,96
91,17,60,7,34,80,81,15,68,8,72,52,57,39,69
29,76,90,4,66,23,12,76,12,6,67,73,38,51,65
89,82,39,9,62,94,38,45,40,8,57,69,92,20,68
35,92,100,9,52,26,34,33,98,10,35,94,21,55,73
59,55,34,5,33,87,73,12,98,3,47,80,58,24,68
67,75,61,1,91,10,86,28,75,2,57,93,85,30,9
99,43,83,7,21,18,32,9,61,4,99,50,19,55,19
73,59,87,3,95,37,55,28,31,5,31,19,61,55,17
78,29,57,9,27,67,29,24,70,7,60,70,98,9,64
17,9,43,8,86,72,41,56,86,6,79,58,50,63,60
61,22,80,3,26,9,14,64,89,4,52,94,66,72,40
54,99,38,6,14,88,95,45,72,2,56,38,88,84,75
85,52,20,8,33,21,98,14,49,1,49,49,47,72,35
59,59,88,1,24,52,43,53,46,6,44,12,73,87,74
63,79,58,7,60,72,86,11,87,8,35,14,31,78,30
56,19,86,8,57,37,13,82,37,2,26,96,18,39,42
98,80,23,9,81,92,28,24,35,2,13,85,59,29,78
61,68,31,10,59,47,53,18,41,5,58,43,84,89,69
28,87,18,9,38,37,93,67,91,4,51,67,29,73,67
93,26,34,8,83,32,9,30,22,1,100,21,91,29,42
68,84,97,2,55,85,40,33,42,6,89,57,60,98,96
88,35,81,7,15,80,20,94,91,1,90,63,45,11,57
41,9,80,6,59,71,45,82,43,4,55,72,55,68,80
32,76,34,9,97,70,84,67,96,9,49,16,75,76,52
41,48,38,8,78,30,30,68,22,1,51,83,18,49,85
29,51,29,6,80,58,73,44,86,5,30,67,56,89,83
53,41,14,0,65,36,30,22,65,9,32,19,17,68,28
51,95,79,8,62,48,86,53,47,4,79,52,90,89,32
92,17,82,1,47,62,91,17,48,3,67,35,47,15,12
47,40,47,5,54,91,64,47,83,10,10,47,18,24,31
81,55,65,4,89,90,20,91,92,9,20,87,27,90,28
43,77,54,5,10,96,48,49,30,6,22,48,26,90,100
52,86,100,7,61,18,40,85,29,5,93,27,42,73,90
92,22,35,6,86,19,30,29,97,8,63,87,97,39,54
78,48,28,7,45,70,78,53,86,7,34,70,41,96,58
98,62,12,10,40,12,74,19,35,2,79,40,73,61,20
87,51,63,4,39,92,68,38,59,6,61,65,58,93,52
91,76,36,7,70,98,77,93,28,4,61,75,54,47,75
46,58,11,5,34,43,79,39,52,9,18,32,59,67,82
92,28,100,1,94,31,55,70,84,8,43,81,18,20,98
55,84,63,2,59,31,38,90,96,10,93,26,54,43,9
47,17,75,2,14,30,86,100,73,6,81,66,24,83,41
45,76,91,0,97,97,100,55,71,8,85,35,22,45,79
38,56,47,4,25,94,55,72,60,2,51,18,28,100,31
47,45,75,10,25,43,39,53,59,4,37,42,50,93,74
26,12,99,9,54,39,84,71,96,0,77,47,99,42,79
39,49,76,4,48,57,15,83,53,8,95,91,52,40,47
28,53,78,0,43,56,69,57,53,9,22,35,45,35,56
48,51,10,3,23,58,92,79,52,10,43,58,70,31,94
15,25,25,8,65,64,90,50,94,6,88,29,57,50,81
62,81,93,0,14,44,10,76,41,4,58,36,61,13,37
67,46,94,7,23,18,71,78,58,1,30,60,58,99,80
68,19,44,9,72,90,18,12,60,10,48,27,53,47,18
73,59,98,9,63,45,35,12,95,2,35,97,46,10,33
85,23,92,2,97,18,70,21,61,10,79,88,37,70,73
42,44,25,7,62,53,63,86,84,9,37,15,30,76,48
15,72,10,7,90,59,78,23,24,8,95,17,76,42,28
80,71,51,3,92,42,23,19,16,1,100,44,59,69,83
43,32,91,7,96,68,50,74,63,9,90,44,86,60,9
39,93,54,9,9,30,45,57,95,0,62,68,96,72,42
79,24,53,8,93,93,31,72,78,6,97,76,12,93,71
99,78,23,8,19,37,33,45,71,0,69,61,41,43,21
49,40,20,9,61,85,37,24,25,5,30,70,17,33,36
52,81,98,0,100,45,38,52,100,5,78,77,14,42,29
78,29,32,0,37,72,100,75,81,10,13,26,70,70,36
15,83,30,1,55,21,21,57,10,9,24,87,71,58,95
47,25,71,2,44,40,93,51,52,2,54,91,27,97,33
28,57,70,3,95,87,45,21,55,8,53,50,59,62,45
66,13,58,8,50,22,64,11,65,0,22,14,58,52,52
82,22,40,0,75,47,12,33,32,2,48,89,72,98,52
82,47,14,2,27,36,17,83,12,0,97,44,82,49,98
18,42,84,1,55,82,84,62,11,4,66,57,96,38,78
16,56,82,2,95,16,87,24,65,6,72,96,56,53,76
63,45,56,3,23,75,98,16,54,3,98,75,38,61,46
57,20,29,2,15,9,58,81,14,7,36,40,56,84,61
21,70,66,6,64,78,62,66,36,9,64,34,85,10,37
29,35,13,0,51,86,58,84,21,10,84,43,16,57,78
90,31,61,9,48,38,56,71,84,10,92,64,70,87,21
48,75,20,4,10,18,33,76,39,4,37,82,72,91,15
37,17,98,9,21,40,100,55,99,7,60,17,93,70,28
71,90,74,7,72,44,42,14,31,4,38,61,38,19,66
45,30,82,2,40,37,59,88,31,9,76,47,52,31,84
21,96,82,3,28,68,97,50,61,10,62,46,47,65,84
26,22,12,2,98,49,36,68,86,8,53,95,30,54,16
82,28,99,6,57,34,19,17,38,3,14,12,9,69,94
55,82,34,8,61,59,57,52,9,8,24,77,37,51,31
13,13,67,8,48,32,77,90,66,0,42,70,72,10,48
60,61,89,2,74,88,71,68,94,1,31,100,87,99,93
63,92,84,0,47,76,11,99,74,8,41,20,78,12,71
63,61,26,1,50,88,39,77,57,10,35,86,33,96,35
55,67,27,9,58,100,65,70,73,3,79,49,23,97,99
61,10,79,4,24,16,49,97,67,4,14,38,37,43,96
59,73,49,1,39,58,48,99,84,1,81,66,71,90,85
58,13,76,0,40,53,24,58,81,5,94,62,77,78,38
13,32,91,0,59,45,54,26,66,8,72,52,90,16,53
52,17,62,8,70,91,45,99,34,1,60,93,99,11,86
91,74,25,4,80,23,13,43,26,2,31,69,58,89,42
34,45,24,10,55,69,88,39,71,3,27,40,49,75,59
46,39,52,3,79,37,94,85,88,5,41,84,54,82,85
76,39,21,4,38,35,89,9,67,4,66,78,15,21,29
100,95,21,1,65,17,35,9,25,3,59,95,100,19,48
9,92,73,10,77,89,25,27,70,0,15,44,18,14,95
15,28,10,10,70,71,21,30,85,10,45,38,74,31,80
40,13,99,5,49,69,67,67,71,10,43,75,96,65,18
24,78,41,3,64,44,97,10,37,9,96,35,26,63,44
62,20,92,2,96,58,36,25,83,10,94,68,46,44,72
39,12,15,0,46,98,79,82,100,6,30,65,90,30,91
91,57,87,7,20,43,67,36,82,8,9,93,78,95,31
35,93,21,0,64,52,12,83,26,1,27,64,100,93,77
26,16,21,1,71,81,85,71,23,9,95,51,71,86,71
34,35,26,3,10,28,19,49,82,2,86,20,80,51,19
17,81,30,4,76,11,98,16,19,0,62,20,62,90,39
23,81,61,6,72,76,99,100,36,8,67,81,12,80,95
59,41,28,6,95,99,95,49,23,0,33,50,77,54,44
28,75,100,5,98,35,81,86,48,6,44,32,78,50,39
41,17,76,9,51,53,12,33,29,9,13,94,25,42,53
35,93,40,0,21,34,66,66,10,3,55,53,47,56,52
31,86,60,9,81,66,89,92,29,2,98,63,38,10,22
77,27,93,4,88,39,70,84,74,6,15,76,43,45,85
62,79,63,3,71,52,28,95,78,8,91,35,41,34,98
17,95,49,4,25,30,40,33,57,5,60,92,31,44,51
60,25,46,3,30,67,49,78,50,6,38,59,45,21,76
70,52,43,0,28,57,59,51,78,10,76,38,80,17,55
93,77,51,6,10,18,18,16,44,1,100,52,97,81,81
96,70,22,5,70,79,55,43,26,7,78,59,63,27,41
75,59,74,0,79,87,87,39,48,2,74,50,32,91,51
87,49,33,4,68,92,41,52,31,0,44,75,49,29,54
22,100,25,10,50,16,92,22,95,10,96,75,22,78,99
37,21,56,9,56,95,66,35,68,5,50,17,58,56,50
40,77,73,5,13,89,18,75,31,4,85,21,42,88,56
34,48,96,10,100,9,35,29,52,8,42,80,56,73,25
32,80,82,3,40,55,37,57,88,4,18,51,24,11,69
74,96,73,1,30,9,69,12,23,10,9,79,20,27,93
62,15,35,4,83,79,18,75,23,9,53,17,31,82,93
69,28,10,10,57,92,78,88,20,5,24,60,54,23,21
79,63,29,6,48,18,89,24,63,0,48,62,88,38,69
87,92,48,1,62,72,96,51,9,5,78,46,78,28,96
64,59,32,9,48,55,46,54,33,9,23,93,21,56,42
43,28,12,1,26,52,40,50,36,7,47,57,39,37,69
55,73,31,9,99,38,64,18,19,5,61,35,82,82,33
15,21,37,5,52,62,30,38,46,2,25,21,85,61,53
35,54,33,2,50,79,81,67,49,1,35,55,23,24,21
18,89,12,9,9,62,34,94,76,7,96,44,44,52,75
73,71,43,0,36,49,27,83,28,6,57,72,88,20,41
11,88,24,6,59,52,58,68,86,7,88,24,55,81,50
77,80,64,7,56,19,44,25,39,4,28,49,91,98,96
68,61,91,5,67,64,21,21,76,9,57,90,89,73,12
49,91,34,1,22,46,85,29,52,9,77,72,37,25,60
41,88,73,3,78,13,12,74,65,3,67,100,99,58,15
44,27,78,4,100,63,47,80,32,10,26,17,90,30,45
57,23,16,1,35,100,48,85,80,2,17,91,10,57,14
94,85,59,4,97,98,84,78,30,0,42,75,69,95,92
84,45,36,3,32,90,71,95,24,5,77,41,79,23,43
25,26,46,8,56,90,55,55,20,0,84,49,30,85,100
20,69,15,0,89,77,68,88,38,5,84,18,10,29,56
76,27,88,8,52,22,22,39,42,4,34,43,86,9,27
30,83,59,4,33,60,48,97,15,6,68,94,55,46,95
88,89,19,2,25,46,15,27,19,6,23,90,10,72,20
95,66,92,1,25,45,95,23,22,0,19,72,67,41,53
12,25,57,8,84,19,93,78,24,4,38,31,10,31,64
53,94,80,8,14,37,54,35,31,10,74,21,73,16,81
16,27,88,1,12,14,40,91,15,2,66,18,53,98,42
52,94,100,1,59,99,86,19,21,8,98,40,100,97,28
98,85,52,3,83,37,71,95,59,5,52,100,21,74,37
91,20,73,7,46,18,81,70,41,7,55,66,60,52,33
11,37,88,7,22,58,69,59,41,4,78,64,15,31,99
23,15,94,3,76,79,29,24,25,10,68,83,39,30,33
72,17,62,1,53,99,43,16,90,7,56,55,77,19,17
20,50,14,2,29,32,68,78,14,3,58,50,15,92,85
90,96,34,0,90,46,72,49,39,5,79,60,22,87,83
50,78,16,9,99,97,71,67,30,8,21,12,41,12,45
81,66,89,5,90,91,95,76,19,2,25,30,64,50,62
86,16,84,7,16,97,90,44,93,8,82,73,54,19,34
60,87,56,6,79,84,22,70,23,4,34,20,41,17,73
22,53,45,6,91,77,92,64,74,2,84,52,36,32,100
93,31,82,0,69,67,77,26,38,2,91,92,53,20,43
90,95,95,1,28,63,14,37,78,1,27,82,35,17,50
37,96,96,10,69,94,49,36,33,1,47,55,59,27,44
11,48,48,0,83,59,51,19,63,0,13,96,80,84,44
54,35,99,2,99,27,45,45,73,9,47,37,42,73,35
31,12,84,1,61,31,62,55,21,2,38,60,53,27,38
73,54,48,6,94,35,17,49,93,7,9,63,62,68,90
36,11,95,10,100,51,53,99,91,1,45,21,65,63,93
92,41,55,6,74,90,58,10,22,9,52,50,48,26,50
48,99,69,1,24,26,76,44,49,6,17,86,29,72,62
83,54,11,3,90,52,57,77,60,1,10,29,25,98,70
46,89,44,10,70,82,52,96,22,7,100,29,21,48,72
33,11,16,2,41,97,66,36,55,2,81,91,87,49,31
88,70,28,8,85,86,92,100,88,5,12,18,20,18,19
50,71,29,6,93,52,33,90,73,6,32,55,59,68,53
76,23,40,4,92,83,78,25,37,6,12,71,70,10,71
24,85,85,7,98,32,82,80,99,2,17,69,93,33,43
59,85,77,0,26,27,64,35,50,9,92,31,62,22,51
99,31,29,10,48,74,40,21,31,6,9,84,63,70,16
79,81,9,6,60,57,14,21,72,0,62,12,78,28,72
45,56,59,6,50,26,24,92,9,2,38,47,90,48,77
62,83,44,0,9,21,48,43,14,3,38,19,58,61,9
9,10,37,9,64,88,11,41,13,7,25,74,66,76,46
46,88,58,6,29,83,52,56,56,5,19,54,49,89,27
71,54,70,10,73,31,92,48,86,3,14,76,14,63,32
29,69,13,3,25,72,11,72,66,6,51,84,56,61,92
98,69,92,5,50,94,64,91,23,4,68,60,64,67,57
20,99,30,5,81,92,29,33,93,4,62,94,90,11,46
98,22,57,4,63,72,87,98,47,10,89,72,31,91,32
24,79,84,10,82,56,90,44,23,6,87,50,96,93,68
41,31,28,8,16,30,80,26,100,6,71,37,34,78,73
34,71,31,6,64,62,50,59,68,8,89,24,49,41,50
100,85,66,7,79,60,96,37,10,10,26,47,33,21,71
43,79,61,1,52,86,14,61,24,7,79,25,64,46,39
45,70,31,6,42,96,45,68,10,2,11,42,11,69,44
48,47,80,6,76,83,9,87,13,5,67,72,23,61,13
53,15,71,2,75,55,83,63,34,5,27,73,89,58,70
61,95,25,10,53,20,81,22,34,7,29,39,12,60,73
59,71,66,3,89,42,21,17,49,10,60,97,47,61,84
75,28,55,2,86,23,41,46,9,5,66,52,18,79,39
95,46,22,4,88,50,16,96,71,5,49,95,88,28,61
21,42,94,9,74,34,66,54,17,5,40,28,34,22,99
46,53,34,7,48,75,47,40,28,2,14,39,90,53,14
64,29,29,3,100,96,86,43,47,5,32,29,24,86,97
62,71,90,5,82,48,88,23,81,0,45,46,51,68,44
80,98,71,1,77,86,82,54,26,6,82,24,44,21,59
11,98,31,7,44,15,99,85,95,10,27,71,71,30,26
59,83,47,4,57,55,13,69,54,1,59,17,15,77,73
92,37,64,10,28,64,87,33,70,0,23,57,17,73,92
47,30,92,5,26,43,23,75,27,2,40,9,64,68,39
9,29,83,4,57,18,88,50,84,2,96,22,56,61,63
29,56,80,10,11,75,29,95,94,1,30,76,93,20,61
27,23,72,2,70,52,26,86,95,9,52,45,64,29,98
72,95,78,8,9,56,34,87,67,0,34,13,73,28,80
29,98,71,6,11,46,49,52,100,3,80,99,91,97,18
33,98,85,7,46,10,36,39,61,0,52,98,80,85,85
13,66,69,5,100,36,54,44,69,8,42,79,32,100,97
62,80,68,5,27,94,9,79,13,10,29,91,47,79,40
59,53,77,6,66,53,59,22,46,3,23,39,61,33,16
76,21,86,1,52,53,44,90,39,1,45,53,65,61,77
86,65,57,10,33,73,25,12,37,1,60,37,76,100,83
15,71,24,3,30,9,32,96,89,7,97,13,38,65,15
36,35,10,0,73,41,19,13,31,2,58,73,95,100,72
95,52,52,3,36,34,47,63,85,4,19,76,83,10,13
61,66,41,1,100,23,35,91,77,10,55,17,65,11,86
93,9,24,7,79,98,51,37,45,2,31,33,13,19,91
60,42,26,8,92,51,81,25,90,1,91,41,44,81,40
84,88,92,2,76,80,66,86,23,10,29,30,41,83,100
23,88,38,2,65,64,98,17,71,7,73,52,69,40,38
74,77,91,2,26,26,36,85,74,9,23,77,82,25,84
78,19,24,1,57,30,12,91,33,8,69,95,11,59,39
28,90,89,6,53,10,63,88,75,8,71,14,68,84,74
48,84,99,9,13,40,51,71,13,7,23,18,10,52,99
16,86,100,3,42,17,86,77,77,6,95,64,93,56,36
37,38,99,4,58,87,17,70,44,6,86,64,42,36,15
18,75,69,9,65,21,77,97,70,4,95,40,75,36,43
19,48,71,2,34,32,65,63,48,0,69,87,61,22,23
87,38,31,9,98,100,88,67,25,2,95,86,35,66,24
91,22,65,2,16,75,70,59,30,0,55,15,78,62,44
95,14,19,4,79,18,47,83,76,0,53,12,32,46,17
59,17,64,0,60,54,52,38,22,3,94,58,99,93,38
92,9,21,4,88,84,96,40,93,9,22,76,15,46,28
57,42,24,4,90,96,20,19,57,1,80,87,37,26,13
49,56,88,0,28,33,56,19,84,10,91,46,52,23,26
41,70,49,4,95,13,14,80,23,8,56,90,92,47,38
89,13,52,2,87,17,55,74,47,4,16,81,44,97,90
70,30,60,10,49,31,52,83,79,7,96,73,55,97,61
35,95,77,2,49,16,99,37,45,10,84,69,50,25,14
76,73,72,6,92,72,73,97,63,2,99,81,95,35,63
34,89,16,0,24,85,30,22,17,0,100,72,87,17,65
42,61,35,2,100,100,36,9,19,8,22,98,63,83,60
96,52,45,6,27,84,99,36,60,5,42,29,100,37,71
94,34,33,8,26,17,30,96,73,10,28,83,21,21,33
28,54,79,9,12,47,94,24,70,3,98,89,21,74,45
66,99,85,10,11,51,23,10,92,7,78,40,73,76,35
35,89,63,8,57,29,42,94,17,5,51,36,42,42,73
22,85,47,7,74,47,42,36,31,0,73,67,25,84,50
29,20,74,3,39,100,14,42,93,8,32,29,77,84,23
72,92,24,2,35,32,51,50,17,1,41,51,16,70,53
64,27,88,9,90,28,37,83,83,9,11,91,13,42,40
64,46,52,10,31,25,35,54,63,8,10,93,32,79,60
91,70,30,9,61,93,21,17,60,10,37,98,97,55,77
47,46,31,5,46,16,55,29,47,5,54,68,41,82,38
50,51,30,0,82,58,21,87,17,0,61,84,98,84,92
97,55,13,0,32,72,40,10,44,4,66,37,38,18,9
37,100,76,9,65,58,32,31,49,9,57,49,13,48,39
97,69,71,2,30,85,51,21,41,0,92,19,53,12,71
86,18,75,6,40,33,65,66,10,8,65,37,82,69,100
18,23,63,5,74,97,69,98,71,0,20,25,72,21,31
32,35,17,2,45,24,96,98,31,8,46,17,64,17,17
33,71,75,3,57,34,25,79,25,9,93,63,58,47,82
14,71,9,4,75,86,54,42,75,0,28,21,55,66,55
44,47,28,7,63,81,14,87,11,2,62,27,22,78,64
46,41,64,3,75,82,53,36,42,8,84,93,26,52,47
10,87,91,8,58,26,76,14,28,9,89,29,30,30,50
63,77,82,7,40,12,84,27,44,5,92,82,93,19,73
82,94,30,9,82,80,36,89,26,1,81,10,23,50,24
34,66,62,0,21,12,48,56,48,2,47,40,38,72,58
46,99,87,5,90,63,93,44,29,8,79,100,92,60,38
39,88,10,2,95,100,54,86,91,9,94,54,24,57,15
76,14,68,2,21,75,26,64,83,5,12,40,44,89,39
10,25,50,1,32,17,46,60,88,10,36,69,82,74,80
66,68,73,2,54,21,79,66,38,10,61,63,41,78,29
49,44,54,3,59,58,80,47,21,1,59,23,45,86,35
31,83,9,0,43,57,55,82,15,8,55,70,32,87,21
74,96,63,8,57,13,15,96,78,7,84,12,43,63,55
39,73,36,6,80,39,94,52,52,0,40,10,62,69,66
65,90,81,6,97,43,34,12,38,10,81,74,18,92,68
25,70,30,7,88,52,90,15,31,8,94,61,59,87,85
40,85,25,1,61,92,28,20,25,4,41,35,47,45,85
63,76,9,10,37,26,61,75,37,0,80,63,44,12,21
88,81,25,5,64,46,81,95,36,1,24,76,46,40,75
