0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,7,,,3,,,,,5.0,,,
,,,6,,,8,,,,,,,,9.0
,,,5,,7.0,3,,,,,,,,
,,,10,,,3,,,,,,,,
,,,3,,,9,,,,,,,10.0,
,1.0,,10,,,10,,,,5.0,,,,
,,,6,,,2,,,,,,,,
,,,0,,,1,,,9.0,,,,,
,,,1,,,9,,,,,,,,
,,,2,,,10,,,,,,,,
,8.0,,4,,,0,,,,,,,,10.0
,,,3,,,1,,9.0,,,,,,
,,,4,,,2,,9.0,,,,,,
9.0,10.0,,6,,,9,,9.0,,,,,,
,,,4,,,5,,8.0,,,,,,9.0
,,,7,,,2,,8.06060606060606,,,,,,
,,,6,,,10,,8.121212121212121,,,,,,
,,,10,,,7,,8.181818181818182,,,2.0,,,
,,,9,,,1,,8.242424242424242,,,,,,
,3.0,4.0,0,,,8,,8.303030303030303,,,,,,
5.0,,,6,,6.0,7,,8.363636363636363,,3.0,,,,
,,,0,,,3,,8.424242424242424,,,,,,
6.0,7.0,,4,,,2,,8.484848484848484,,,,,,
3.0,,,0,5.0,,8,,8.545454545454545,,,7.0,,,
,0.0,,6,,,10,,8.606060606060606,,2.0,7.0,,,
,,,8,,,6,,8.666666666666666,,,,4.0,,
,,,1,,,4,,8.727272727272727,,3.0,,,,
,,,10,,,10,,8.787878787878787,,,1.0,,,
,,,1,1.0,,2,,8.848484848484848,,,,,,
,,,3,,,7,8.0,8.90909090909091,,,,,,
,,,4,,,4,,8.969696969696969,,,,,,
,,,9,,,0,,9.030303030303031,,,,,,6.0
,,,10,,,9,,9.09090909090909,,,5.0,,,
,,,5,9.0,,6,,9.151515151515152,,,8.0,,,1.0
,,1.0,10,,,9,,9.212121212121213,,0.0,,,,
,,,9,,,2,,9.272727272727273,,,,7.0,,
,,,4,6.0,3.0,6,,9.333333333333334,,,,,,
,,,7,,,7,,9.393939393939394,,,,,0.0,
,,,0,,,6,,9.454545454545455,,0.0,,,,7.0
,,,10,,2.0,10,,9.515151515151516,,,,,,
8.0,,,4,,,6,,9.575757575757576,,,,,,
,9.0,,9,,3.0,0,,9.636363636363637,,,,,,
,,,10,,,8,1.0,9.696969696969697,3.0,,,,,
5.0,,,10,,,4,,9.757575757575758,,,,,,9.0
,,,0,,,1,,9.818181818181818,,,,1.0,6.0,
,,,4,,,0,,9.878787878787879,,,,,,
,,,7,,,1,,9.93939393939394,,,,,,
,,,3,,,2,,10.0,,,,,,
,,,7,,,3,,5.0,,,,,8.0,
,3.0,1.0,0,5.0,,6,,4.75,,,,,,5.0
,,,2,,,8,,4.5,,,,,,
,,,10,,,9,,4.25,,,,,,
,10.0,,5,,,10,,4.0,,,,,,2.0
,7.0,,6,,,8,,4.0,,,,,,
,,,5,,,7,8.0,4.0,,,0.0,,,
,,,5,,,0,,4.0,,,,,,7.0
,,,7,,,0,,4.0,,,,4.0,,
,3.0,,10,,,8,,4.0,,,,,,
,,,6,,,3,,4.0,,,,,,
,,,7,,,0,,4.0,,,,,,
,8.0,3.0,2,,,4,,4.0,,,,,,
,,,4,,0.0,9,,4.0,,,,,,
,,,8,,6.0,7,,4.0,1.0,,,,,
,10.0,1.0,0,2.0,,9,,4.133333333333334,,,,,,
,,,3,,,4,1.0,4.266666666666667,,,,,,
10.0,0.0,,7,,,6,,4.4,,8.0,,,,
,,,10,,,0,,4.533333333333333,,,,,,
,,,10,,5.0,8,,4.666666666666667,,,,,,
,,,3,,6.0,3,0.0,4.8,,,,,,
,,,8,,,2,,4.933333333333334,,,,,,
,,,5,,,3,,5.066666666666666,,5.0,,,,
,,,1,,,6,,5.2,,,,,,
,9.0,,9,,,4,,5.333333333333333,,,,,,
,,,10,,4.0,4,,5.466666666666667,,,,,,
,5.0,,7,,,2,,5.6,5.0,,,,0.0,
,,,8,,,10,,5.733333333333333,,,,,,
,8.0,,4,,6.0,5,,5.866666666666667,,,,,,
,,,1,,,3,,6.0,,,,,,
,,,6,,,4,,5.0,,,,,,
,,,4,,,5,,5.0,,,,,,
,,,7,,0.0,7,,5.0,,,,,,
8.0,,,10,,,1,,5.0,,,,,5.0,
6.0,,,9,,,5,,5.0,,,,,,7.0
1.0,,,6,,,5,10.0,5.0,,,7.0,,,
,,,7,,,7,,4.933333333333334,,,,,,
,,,7,,,10,,4.866666666666666,,,0.0,,,2.0
,,,4,,,4,8.0,4.8,,,,,,
,,6.0,6,,3.0,5,,4.733333333333333,,,,,,
,,,1,,,6,,4.666666666666667,,,,,,
,,,10,7.0,7.0,3,,4.6,,10.0,,,,
,0.0,,10,,,8,,4.533333333333333,,,,,,
,,,9,,,4,,4.466666666666667,,,,,5.0,
,,,2,,,3,4.0,4.4,,,,,,
,,,6,,,10,,4.333333333333333,,,,,,
,,,2,5.0,,10,,4.266666666666667,,,,,,
,,,9,,,2,,4.2,,,,,,10.0
,,,0,,,5,,4.133333333333333,,,,,,
,,,2,,,7,,4.066666666666666,,,,6.0,8.0,9.0
,,2.0,0,5.0,,4,,4.0,,,,,2.0,
,,,4,,,5,,3.8,,,,,,
,,,1,10.0,,3,,3.6,,,,,4.0,
,,6.0,8,,,8,,3.4,,,1.0,3.0,,
,,,3,,,3,5.0,3.2,,,,,,
7.0,,,8,0.0,,7,,3.0,4.0,,,,,
,,,3,,,8,4.0,2.8,,,,,,
1.0,,,10,,4.0,6,,2.5999999999999996,,,1.0,,,
,,,10,,,3,4.0,2.4,,,,,,
,,,0,,,5,,2.2,6.0,,,,,
,,,7,,,4,,2.0,,,,,,
,,,8,7.0,,3,,1.7999999999999998,,,,,,
1.0,,,1,,,2,,1.5999999999999996,,,,,,
,,2.0,2,,,4,,1.4,,,,,,
,,,4,,,8,,1.1999999999999997,,,,,,
,,,5,,,1,,1.0,8.0,,,0.0,,
,,,5,,,0,,0.7999999999999998,,,,7.0,,
,,,7,,6.0,3,,0.5999999999999996,,,,,,
,,,9,,9.0,10,2.0,0.3999999999999999,,,,,,
