,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,5,7,4,8,7,6,10,8,4,7,5,1,9,1,6
1,2,2,5,8,0,2,10,8,5,0,8,6,4,5,9
2,10,8,5,9,5,5,7,2,1,2,2,5,3,1,10
3,4,5,1,10,3,10,7,3,4,8,8,10,1,2,10
4,9,0,7,6,1,4,8,5,2,2,4,0,1,8,9
5,1,0,10,10,5,1,10,7,7,2,8,9,6,6,0
6,5,2,1,0,8,4,5,1,3,5,9,0,1,6,0
7,9,6,9,7,0,5,9,8,4,3,9,10,4,2,7
8,4,9,2,9,6,3,6,1,3,3,4,10,1,8,8
9,5,8,5,4,10,4,5,7,1,4,3,8,7,10,7
10,5,0,7,2,7,0,7,3,10,8,9,6,9,4,10
11,3,6,1,0,10,6,5,0,5,3,7,10,1,1,5
12,4,6,10,10,3,6,0,1,5,6,5,6,10,4,4
13,0,5,8,0,2,4,3,4,5,1,3,5,9,4,1
14,6,7,10,3,4,5,1,9,9,10,7,8,10,6,3
15,3,1,4,0,5,5,5,7,1,1,4,2,8,4,8
16,0,5,10,6,4,2,9,7,8,3,3,2,0,4,5
17,8,9,0,0,5,2,10,5,3,7,4,6,5,1,9
18,6,10,6,10,10,6,0,7,2,0,3,0,8,4,0
19,7,4,6,3,7,5,0,0,0,1,0,5,6,5,9
20,10,7,6,4,2,5,1,7,7,8,5,8,1,0,9
21,6,8,0,8,10,9,10,5,3,3,5,0,7,0,5
22,10,1,5,9,8,9,3,5,1,1,1,7,8,10,10
23,7,7,9,0,9,5,2,9,5,5,7,1,3,0,2
24,0,7,4,3,2,8,3,5,4,2,6,5,1,4,2
25,1,10,0,4,2,1,1,1,7,8,5,4,0,2,7
26,0,9,3,4,5,8,0,9,0,8,4,8,6,1,8
27,9,5,5,3,2,10,4,7,1,5,9,2,8,9,8
28,5,2,2,5,2,10,10,8,7,2,0,6,2,6,4
29,4,5,6,6,5,8,4,10,9,6,6,6,0,4,7
30,1,3,8,4,8,2,4,6,6,10,9,7,7,7,9
31,3,5,6,10,2,0,2,9,3,9,7,2,8,0,1
32,3,2,8,9,0,7,0,6,7,6,9,2,1,0,7
33,7,10,0,6,8,10,8,1,10,7,9,4,0,8,0
34,9,7,8,5,0,0,3,3,9,3,7,6,2,2,4
35,2,6,8,0,9,3,3,9,5,9,7,0,1,1,10
36,2,5,5,7,3,7,3,1,3,5,8,8,4,4,0
37,2,4,2,7,5,4,9,4,7,3,8,7,10,2,1
38,7,4,10,6,4,0,8,2,6,10,4,1,4,4,8
39,8,4,5,6,10,1,4,6,2,3,9,5,10,5,3
40,4,3,2,7,5,6,8,6,2,1,6,10,4,2,8
41,9,3,1,2,0,8,4,6,3,5,4,5,5,0,8
42,9,0,6,1,1,5,9,7,6,7,5,4,8,1,5
43,9,5,10,6,9,9,9,4,1,7,4,5,6,2,5
44,8,7,0,7,4,7,10,5,2,1,5,1,9,4,2
45,7,4,7,4,1,0,9,1,9,2,8,7,2,2,7
46,6,5,8,2,4,5,3,8,1,7,10,9,1,4,0
47,5,0,6,6,9,0,8,8,4,6,3,3,8,9,9
48,2,2,6,9,8,9,7,0,9,6,3,5,1,5,2
49,10,10,8,7,5,4,0,4,8,7,10,1,1,10,5
50,7,2,8,2,0,4,2,6,1,6,6,3,7,6,8
51,3,10,1,0,2,3,2,10,10,6,1,6,0,8,8
52,1,4,10,5,0,5,3,10,9,8,10,4,6,0,1
53,9,10,1,1,4,7,10,5,5,9,8,7,7,5,0
54,9,10,10,2,2,0,6,0,5,7,1,0,4,3,0
55,1,6,6,6,7,4,10,5,10,3,4,4,9,5,10
56,1,3,6,2,8,8,3,1,6,5,1,3,10,10,8
57,7,8,9,2,0,4,9,1,8,1,3,3,3,0,5
58,3,2,10,0,8,1,9,7,5,4,1,9,2,4,6
59,2,5,2,9,8,4,1,2,6,0,0,6,9,0,4
60,4,3,2,7,2,7,2,1,2,5,7,1,4,4,5
61,3,1,7,10,3,0,7,2,7,7,1,1,10,8,4
62,0,2,0,0,9,0,1,3,0,2,7,7,0,8,9
63,5,9,6,2,0,3,2,6,2,9,3,3,7,6,2
64,0,7,10,9,10,10,7,2,9,3,6,7,5,7,3
65,6,5,2,6,5,9,8,4,3,10,3,5,2,3,10
66,2,3,3,3,10,5,2,3,8,0,3,8,3,6,4
67,6,8,8,6,2,10,5,6,1,6,4,5,10,10,3
68,5,10,2,2,1,8,2,10,1,8,0,4,5,3,7
69,2,9,7,2,8,0,0,2,4,9,10,0,5,10,4
70,1,7,1,7,9,4,0,8,9,6,1,6,1,7,4
71,6,4,7,9,7,6,3,10,8,8,1,1,3,3,6
72,3,10,2,8,2,1,5,10,6,4,3,2,2,3,6
73,6,9,4,1,7,7,1,3,5,8,8,0,7,6,5
74,9,1,10,10,4,5,10,6,1,2,7,8,1,6,1
75,10,4,9,3,1,2,5,1,3,7,6,7,0,4,3
76,0,1,3,6,4,1,6,9,2,7,8,5,3,0,10
77,6,1,3,0,1,2,10,6,7,1,6,7,7,6,9
78,0,5,2,8,0,2,10,3,6,8,2,10,1,2,3
79,7,5,0,6,8,5,9,9,1,6,1,5,0,7,7
80,7,7,6,2,10,2,1,1,7,4,4,10,10,4,1
81,7,7,0,5,0,9,10,0,4,3,7,9,10,10,7
82,6,7,1,8,6,3,5,9,5,1,9,1,4,5,0
83,1,3,5,5,10,1,2,8,8,0,6,1,9,7,7
84,2,0,7,4,10,8,7,7,2,9,9,9,3,0,0
85,9,0,3,6,2,5,9,5,1,7,10,8,6,1,10
86,1,6,5,2,9,9,4,8,7,6,9,9,1,0,4
87,5,6,6,6,10,7,6,5,6,1,7,5,0,1,5
88,7,6,10,6,0,4,8,9,2,7,4,7,2,3,1
89,9,5,9,9,0,3,1,9,3,10,0,8,0,8,1
90,6,7,9,9,3,10,3,1,7,7,9,7,9,9,0
91,5,6,9,6,7,5,0,5,7,4,6,3,0,10,9
92,10,8,2,9,6,5,9,1,7,10,10,1,6,4,8
93,2,5,9,1,3,5,6,3,10,9,2,5,7,5,10
94,7,4,5,5,4,8,6,6,7,7,2,2,0,9,2
95,4,3,4,10,1,6,8,3,2,10,5,9,1,1,8
96,7,4,6,6,3,4,10,2,6,9,2,7,3,0,0
97,3,9,4,4,4,4,0,1,6,7,4,2,7,6,6
98,5,3,7,10,2,5,4,7,7,10,10,10,5,8,3
99,3,7,4,0,7,5,6,10,1,0,1,3,4,4,2
100,10,3,10,0,6,6,7,10,4,5,5,8,3,1,10
101,5,7,10,4,5,8,5,2,5,4,1,3,10,9,9
102,9,7,7,7,5,1,5,2,2,1,2,4,8,8,5
103,10,8,6,8,2,7,8,0,0,4,8,7,0,10,2
104,4,1,10,8,0,0,5,9,0,2,8,6,10,3,10
105,1,8,1,3,5,3,1,4,2,2,0,6,6,5,1
106,5,10,3,7,7,8,3,9,2,1,7,10,0,0,3
107,10,2,9,5,10,10,6,0,1,6,7,6,0,2,1
108,7,2,9,1,1,8,10,4,1,3,10,3,3,6,0
109,3,9,8,6,4,4,4,5,1,9,4,2,3,9,3
110,2,3,7,6,3,6,3,0,8,6,5,2,7,8,6
111,9,5,10,4,7,8,4,10,9,5,6,0,6,5,4
112,8,1,6,10,1,1,9,8,4,3,5,0,2,1,4
113,8,10,8,9,2,0,7,9,8,2,6,2,10,5,0
114,9,4,9,8,4,10,4,0,2,7,7,2,5,0,7
115,9,9,1,2,2,7,7,10,9,10,5,3,10,9,10
116,1,2,1,0,7,5,6,7,4,5,5,6,10,0,4
117,7,8,3,10,6,7,5,0,7,2,9,2,7,8,3
118,9,0,6,3,4,10,0,0,10,6,1,3,1,9,0
119,6,1,9,10,5,7,10,3,5,4,5,5,3,1,8
120,3,10,3,9,9,3,9,0,4,5,3,5,10,0,5
121,1,4,5,1,2,4,6,3,4,6,4,5,5,3,10
122,0,0,9,5,6,3,9,0,8,3,1,5,2,3,1
123,4,9,9,2,7,6,4,6,0,8,2,7,1,2,0
124,1,8,7,8,8,4,8,8,7,3,2,0,5,10,0
125,4,8,8,8,0,10,3,0,8,1,1,3,10,10,6
126,9,9,8,0,10,8,4,7,6,8,4,6,8,0,4
127,2,3,9,0,5,8,1,6,3,3,4,6,1,2,4
128,3,0,0,10,0,1,6,0,8,8,7,0,9,4,9
129,9,9,8,1,0,2,0,0,3,8,2,10,7,0,6
