,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,,5,,,,2,,,,4.0,,,,
1,,,0,,,,4,,,5.0,,,,,
2,,,5,,,,6,,,,7.0,,,6.0,
3,3.0,,1,,,,0,,,,,,,,
4,,,4,4.0,,,6,,,,,,,,
5,,,0,,,,0,,,,,0.0,,,
6,,,7,,,,5,,,,,,,,
7,,,8,9.0,,,3,,1.0,,,,,,
8,,,4,,,,1,,,,,,,,
9,,,3,,,,8,,,,,,,,
10,,,6,,,,4,0.0,,1.0,,,,,
11,,,1,,,,1,,3.0,,6.0,,,,
12,,,8,,5.0,,5,,,,,,,,
13,,,5,,,,6,,,,,,,,
14,,,3,,,,0,,,3.0,,,,,
15,,,7,,,,8,,,,,,,,
16,,5.0,0,,,8.0,3,,,,,,,,1.0
17,,,9,,,,7,,,,,3.0,,,
18,,,3,,,,8,8.0,,0.0,,,,,
19,,,5,,,,10,,,,,,,,
20,,,7,10.0,,,7,,,,,,,,
21,,,1,,,,10,,,,,,,,
22,,,0,,,,9,,,,,,,,
23,,,9,,,,9,,,,,,,,
24,,,5,,,,2,,,,,,,,
25,,,4,2.0,,,1,,,,,,,,
26,,,6,,,,3,,,,,,,,
27,,2.0,4,,,,5,,,,,,,,
28,8.0,,4,,3.0,,3,,,,,,,,1.0
29,,,4,,,9.0,0,,,,,,,,
30,,,5,,,,9,,,8.0,5.0,,,,
31,,,5,,,,4,,,,,,,9.0,
32,,,5,,,,3,,,6.0,,,,,
33,,,10,,,,6,,,,,,,,
34,,,4,,,,5,,6.0,,,,,,
35,,,0,,,,0,,,,,,,,
36,,,2,,,,5,,,,,0.0,,,
37,,,3,,,,9,4.0,,,,,,,
38,,,7,,,,0,3.0,,,,,,,
39,,,6,,,,10,,,,,,,,
40,,,6,,,,0,,,,,,,,
41,,,5,,,,9,,,0.0,,,9.0,,
42,,,10,,,,5,,,2.0,,1.0,,,8.0
43,,,9,,1.0,,6,,,,,,,1.0,
44,,5.0,7,,,,1,,,,,0.0,2.0,3.0,
45,7.0,,2,,9.0,,7,,,3.0,,,,,
46,,,3,,,,1,,,,,8.0,,,
47,,,3,,,,5,,,,,,,,
48,,,10,,10.0,,4,,,,,,,3.0,
49,,,4,,,,8,,,2.0,,,,,
50,,,4,,,,10,,,,,,,4.0,
51,,,1,,,,3,,,,,,,,
52,,,5,,,,5,,,1.0,,,,,
53,,10.0,8,,,,9,,,,,,,,
54,,,1,,,,3,,,,,10.0,,,
55,,,3,,,,3,,,,,,,,
56,,,9,9.0,,,6,,,,,,,,
57,,4.0,10,,,,3,,8.0,,,,7.0,6.0,
58,,,8,,2.0,,2,,,,,,,,
59,,,4,,,,0,,,0.0,,,,,
60,,,10,3.0,,,8,,,,,,,,2.0
61,,,4,,,,9,,,,,,,,
62,,,9,,,,3,,,,,,,,
63,,,3,,,,9,,,,,,,,
64,9.0,,7,,,,4,,,,,6.0,,,
65,,,4,,,,3,,,8.0,,,,,
66,3.0,,1,,,,6,,,,,,,,
67,,,2,,,,9,,,,,,,,
68,,,7,,,,4,,,,,,,10.0,
69,,,9,,,,1,,,,,,,,8.0
70,,,5,,,,8,5.0,,,,,,,2.0
71,,10.0,1,2.0,,,6,,,,,,,,
72,,,0,,,,9,,,,,,,,
73,,,0,,4.0,,3,,1.0,,,,,,
74,,,4,,,,3,,,,,,,,
75,,,6,,,,5,,,,,,,,
76,,,1,,,,4,,,,,3.0,,,
77,,,2,,,,5,,,,,9.0,,,
78,,,10,,,,8,,,,,,,,
79,,,10,,,,7,,,,,,,,4.0
80,,,6,,,,4,,,,,,,2.0,
81,,,5,2.0,,,5,,,,8.0,,,,
82,,,2,,,,7,,,,,,9.0,,
83,,0.0,3,,,,6,8.0,,,,,,,
84,,,6,,,,5,,,,,,,,
85,,,10,,,,2,,,,6.0,,,,
86,,,7,,,,0,,,,,,,,
