0,1,2,3,4,5,6,7,8,9,10
5,93,3,94,51,42,56,0,8,70,6
3,43,36,11,28,87,6,4,10,24,10
2,40,75,90,2,26,37,5,10,74,7
2,92,65,100,10,86,86,2,10,50,0
4,29,89,93,25,29,94,10,10,68,9
3,5,61,41,4,58,58,5,10,69,1
1,74,16,1,84,28,12,8,10,62,8
0,72,60,96,59,94,92,7,10,61,1
9,12,79,12,38,90,86,1,10,15,5
1,50,58,59,7,45,16,5,10,72,2
3,92,22,62,63,37,81,6,10,20,7
9,99,94,58,58,51,28,9,10,34,5
9,18,45,64,76,90,25,4,10,43,6
7,98,42,97,34,63,11,6,10,29,5
1,35,14,46,86,59,1,4,10,28,1
0,38,5,43,79,52,97,6,10,43,7
5,50,64,32,93,71,73,0,10,40,4
10,15,26,22,5,86,10,9,10,32,5
6,61,24,22,85,97,45,8,10,78,4
2,92,50,79,17,27,85,0,10,43,6
9,87,83,60,24,9,78,1,10,98,6
3,95,80,59,75,29,77,5,10,76,1
1,60,0,40,93,17,19,9,10,69,2
10,93,27,82,34,73,9,3,10,99,6
0,72,71,91,15,85,30,8,10,43,7
9,41,93,56,1,62,51,0,10,81,3
3,43,79,91,25,27,9,1,10,64,9
2,15,79,88,23,56,12,3,10,21,10
3,81,96,53,100,32,29,5,10,71,0
9,96,89,23,82,17,87,9,10,73,1
9,16,50,64,81,20,50,1,8,91,5
10,88,0,27,59,0,76,6,10,91,6
1,97,26,55,52,56,38,3,1,65,6
9,19,82,84,32,61,22,8,10,48,10
5,79,72,97,21,53,28,0,10,86,8
7,40,5,18,8,94,52,2,10,45,3
4,60,90,1,49,52,89,1,10,100,8
0,71,18,64,20,44,100,5,10,24,0
5,88,81,44,26,15,44,8,10,15,1
0,43,58,82,57,77,82,4,10,40,9
2,14,57,1,18,79,22,7,10,56,3
5,15,94,0,96,53,26,10,10,75,10
10,90,75,18,24,88,9,4,10,5,6
5,90,97,72,7,100,31,0,10,0,10
8,11,10,13,54,96,6,3,10,7,6
4,51,62,56,24,8,99,0,5,92,4
9,68,94,2,52,57,33,7,10,25,7
0,41,41,45,58,44,21,10,10,25,6
2,77,35,56,82,27,38,6,10,98,7
6,49,84,41,0,75,31,9,10,87,3
4,81,40,31,57,38,97,8,10,66,0
0,63,18,79,54,79,78,7,10,49,7
9,11,91,58,68,16,9,1,9,95,4
7,3,98,74,98,85,34,3,10,35,9
3,51,5,62,61,90,1,6,10,23,4
9,21,98,73,47,55,4,2,10,39,9
0,71,54,41,77,4,1,2,10,16,5
7,21,68,77,7,55,30,7,10,37,2
3,7,91,10,76,38,79,0,10,27,8
3,30,15,77,70,66,20,7,10,59,2
2,71,26,20,100,7,86,5,10,41,1
8,61,77,78,82,92,21,8,10,74,9
3,72,75,67,38,22,60,0,10,42,10
10,57,66,20,8,77,42,2,10,21,7
8,15,18,41,51,95,57,1,10,37,7
3,98,97,1,8,66,29,1,10,6,4
2,69,96,51,48,33,54,7,2,0,7
6,13,68,22,59,10,59,10,10,14,0
7,74,16,3,29,33,89,2,10,100,10
3,11,84,20,34,4,29,4,10,72,0
