0,1,2,3,4,5,6,7,8,9,10
5,93,3,10,51,10,10,0,8,10,6
3,43,10,10,28,10,6,4,37,10,10
2,40,10,10,2,10,10,5,99,10,7
2,92,10,10,10,10,10,2,16,10,0
4,29,10,10,25,10,10,10,40,10,9
3,5,10,10,4,10,10,5,78,10,1
1,74,10,1,84,10,10,8,55,10,8
0,72,10,10,59,10,10,7,95,10,1
9,12,10,10,38,10,10,1,73,10,5
1,50,10,10,7,10,10,5,91,10,2
3,92,10,10,63,10,10,6,30,10,7
9,99,10,10,58,10,10,9,61,10,5
9,18,10,10,76,10,10,4,60,10,6
7,98,10,10,34,10,10,6,28,10,5
1,35,10,10,86,10,1,4,92,10,1
0,38,5,10,79,10,10,6,61,10,7
5,50,10,10,93,10,10,0,76,10,4
10,15,10,10,5,10,10,9,70,10,5
6,61,10,10,85,10,10,8,87,10,4
2,92,10,10,17,10,10,0,64,10,6
9,87,10,10,24,9,10,1,98,10,6
3,95,10,10,75,10,10,5,80,10,1
1,60,0,10,93,10,10,9,18,10,2
10,93,10,10,34,10,9,3,73,10,6
0,72,10,10,15,10,10,8,30,10,7
9,41,10,10,1,10,10,0,19,10,3
3,43,10,10,25,10,9,1,30,10,9
2,15,10,10,23,10,10,3,92,10,10
3,81,10,10,100,10,10,5,39,10,0
9,96,10,10,82,10,10,9,70,10,1
9,16,10,10,81,10,10,1,8,10,5
10,88,0,10,59,0,10,6,77,10,6
1,97,10,10,52,10,10,3,1,10,6
9,19,10,10,32,10,10,8,100,10,10
5,79,10,10,21,10,10,0,61,10,8
7,40,5,10,8,10,10,2,89,10,3
4,60,10,1,49,10,10,1,92,10,8
0,71,10,10,20,10,10,5,61,10,0
5,88,10,10,26,10,10,8,12,10,1
0,43,10,10,57,10,10,4,72,10,9
2,14,10,1,18,10,10,7,36,10,3
5,15,10,0,96,10,10,10,57,10,10
10,90,10,10,24,10,9,4,73,5,6
5,90,10,10,7,10,10,0,41,0,10
8,11,10,10,54,10,6,3,94,7,6
4,51,10,10,24,8,10,0,5,10,4
9,68,10,2,52,10,10,7,70,10,7
0,41,10,10,58,10,10,10,93,10,6
2,77,10,10,82,10,10,6,39,10,7
6,49,10,10,0,10,10,9,46,10,3
4,81,10,10,57,10,10,8,60,10,0
0,63,10,10,54,10,10,7,47,10,7
9,11,10,10,68,10,9,1,9,10,4
7,3,10,10,98,10,10,3,59,10,9
3,51,5,10,61,10,1,6,32,10,4
9,21,10,10,47,10,4,2,37,10,9
0,71,10,10,77,4,1,2,74,10,5
7,21,10,10,7,10,10,7,44,10,2
3,7,10,10,76,10,10,0,19,10,8
3,30,10,10,70,10,10,7,87,10,2
2,71,10,10,100,7,10,5,39,10,1
8,61,10,10,82,10,10,8,20,10,9
3,72,10,10,38,10,10,0,56,10,10
10,57,10,10,8,10,10,2,16,10,7
8,15,10,10,51,10,10,1,31,10,7
3,98,10,1,8,10,10,1,52,6,4
2,69,10,10,48,10,10,7,2,0,7
6,13,10,10,59,10,10,10,98,10,0
7,74,10,3,29,10,10,2,29,10,10
3,11,10,10,34,4,10,4,54,10,0
1,80,10,10,7,10,10,2,58,10,7
8,97,10,10,95,10,10,3,48,10,6
5,17,10,10,88,10,10,8,45,10,5
6,21,10,10,77,10,10,7,16,10,3
3,12,10,10,62,10,10,6,63,10,1
5,37,10,10,42,10,10,7,53,10,6
2,70,10,10,10,10,10,1,85,10,10
3,99,10,10,4,4,10,10,48,10,0
4,35,10,10,77,10,10,5,53,10,10
5,81,5,10,64,4,10,9,27,10,5
9,73,10,10,50,10,10,1,82,10,3
6,38,10,10,27,10,10,8,36,10,3
1,38,10,5,4,10,10,6,70,10,8
4,93,10,10,8,10,10,3,50,10,10
8,63,2,10,95,10,10,0,100,10,6
7,19,10,10,39,10,1,5,75,10,5
5,10,10,10,32,10,10,5,99,10,8
0,75,10,10,47,10,10,3,93,10,5
4,94,10,10,19,10,10,9,57,10,0
3,82,10,10,75,10,10,2,54,10,0
3,9,10,10,15,10,5,10,69,4,6
7,88,10,10,89,10,10,10,39,10,8
8,26,10,4,66,10,10,7,86,10,7
5,29,10,10,33,10,10,8,57,10,0
8,92,3,10,21,10,10,1,93,10,8
1,99,10,10,3,10,10,4,16,10,9
10,21,10,10,84,8,10,10,65,10,8
9,47,10,10,14,10,10,10,63,10,1
8,21,10,5,93,10,9,8,7,10,10
9,65,10,10,18,5,10,5,16,5,6
5,41,10,10,77,10,10,4,63,10,10
1,65,10,10,64,10,10,8,82,10,10
5,69,10,10,36,2,10,9,68,10,8
5,28,10,10,21,8,5,5,66,10,0
3,85,3,10,9,10,10,0,58,10,4
9,84,7,10,74,10,10,4,89,10,8
6,58,10,10,48,10,10,5,7,10,9
5,68,10,5,42,10,10,10,68,10,1
1,65,10,10,31,10,10,1,71,10,4
9,37,10,10,26,10,10,1,19,10,6
2,11,10,10,78,10,10,9,82,10,3
9,21,10,10,31,10,9,10,71,10,0
8,47,10,10,50,10,5,10,35,10,7
0,84,10,10,61,10,10,2,71,10,5
8,11,9,10,82,10,10,7,64,10,4
7,85,10,10,49,10,10,6,15,10,5
1,37,10,10,41,10,4,8,17,10,9
5,41,6,10,18,10,10,8,89,10,9
10,25,10,10,7,10,10,5,45,10,9
4,76,10,10,13,10,10,5,83,10,8
8,50,10,10,35,10,10,9,8,10,6
7,74,10,10,77,10,10,0,31,10,1
8,31,10,10,25,10,10,2,98,10,3
10,38,10,10,13,10,10,1,27,10,3
3,26,10,10,60,0,0,2,94,10,0
2,56,10,10,35,7,10,1,4,10,10
8,34,10,9,38,10,10,6,26,10,6
8,7,10,10,12,10,10,7,36,10,9
5,1,7,10,33,10,10,8,63,10,0
4,9,10,10,74,10,10,3,59,10,8
1,16,10,10,20,10,3,10,56,10,6
5,13,10,10,6,10,10,8,100,10,8
1,88,10,10,61,10,10,6,54,10,1
10,99,10,10,16,4,10,4,65,10,4
2,56,10,10,32,10,10,10,44,10,8
8,19,10,10,79,10,10,1,63,10,1
2,23,10,10,85,10,10,0,52,10,8
2,75,10,10,6,10,10,7,63,10,8
6,96,10,10,20,10,10,1,9,10,4
7,76,10,10,76,10,10,10,92,10,4
5,32,10,10,3,10,10,10,61,10,9
7,64,10,10,59,10,10,1,29,10,8
8,70,10,10,96,10,10,4,17,10,4
4,79,10,10,84,10,10,0,30,10,10
6,68,10,10,4,5,10,3,30,10,6
5,48,10,10,4,10,10,5,56,10,1
9,1,10,10,18,10,10,3,99,3,2
8,37,10,5,65,6,10,3,14,10,10
10,23,10,10,14,10,10,5,34,10,6
2,68,10,10,40,10,10,5,72,10,10
3,61,3,10,2,10,5,1,70,10,6
5,75,10,10,61,10,10,1,27,10,5
