0,1,2,3,4,5,6,7,8,9,10,11
3,7,21,91,81,0,8,76,68,9,61,7
6,6,99,11,36,99,74,41,23,8,75,9
8,10,84,33,100,66,73,39,32,4,80,2
0,1,10,55,47,12,33,86,79,0,29,8
10,2,91,21,83,76,22,88,85,7,43,9
8,6,8,51,50,76,66,46,38,3,11,8
7,6,42,36,10,99,96,95,4,3,59,5
8,9,94,15,71,39,29,43,44,5,55,7
1,6,62,61,27,72,20,65,48,0,32,2
0,3,94,45,18,36,97,46,28,3,97,0
4,3,20,72,40,74,91,70,55,0,60,0
6,9,60,76,44,80,42,37,14,0,81,1
5,1,40,19,22,57,68,17,67,7,45,7
10,3,45,69,69,81,51,89,33,5,17,2
4,9,78,55,10,3,90,24,74,6,85,5
7,7,85,28,17,87,65,35,28,9,69,5
4,10,88,66,81,30,37,44,4,0,86,7
8,8,95,93,85,92,52,75,15,1,64,2
4,7,91,6,7,4,49,2,4,5,75,5
9,3,21,86,90,83,17,87,75,6,57,8
0,9,100,52,73,26,80,97,100,9,0,9
8,6,88,40,46,48,17,97,25,9,0,9
0,5,27,80,47,75,28,88,64,7,45,1
2,8,17,19,64,18,79,30,85,2,18,10
9,8,58,43,13,46,95,85,56,0,64,3
10,9,84,13,46,65,70,100,43,3,58,10
8,1,42,77,40,53,63,78,85,2,14,0
8,9,68,25,96,13,20,51,65,7,21,5
3,5,0,9,84,37,86,20,59,10,25,2
9,2,100,84,52,83,13,0,47,0,38,10
2,1,63,40,52,0,16,7,62,0,42,6
3,5,79,90,23,71,84,90,69,0,82,6
2,2,50,56,18,92,5,78,11,6,64,4
3,2,74,92,93,68,6,0,3,7,6,8
1,5,2,18,0,85,1,2,76,2,79,4
1,8,35,40,41,8,57,96,61,9,98,6
7,7,48,30,22,79,4,12,73,7,16,0
7,4,50,43,76,50,90,24,64,3,17,9
9,2,54,12,72,47,90,56,58,3,52,5
3,3,95,55,99,34,74,47,91,4,41,1
9,5,51,74,89,18,71,63,62,6,26,3
1,8,15,63,71,68,24,21,41,7,55,6
8,6,96,50,1,72,9,93,67,1,79,0
4,10,97,93,19,28,29,20,94,3,66,8
10,5,95,100,73,9,97,23,56,2,0,2
8,2,87,12,21,70,82,5,90,7,71,2
8,0,67,96,38,24,74,56,23,7,80,4
9,6,61,12,14,35,60,26,11,5,2,0
9,2,42,74,40,94,80,4,90,9,73,0
8,3,98,9,65,29,100,80,93,9,29,4
9,4,46,59,56,35,51,2,91,8,8,4
4,6,92,3,41,88,10,75,59,10,82,2
9,8,66,30,60,41,100,92,9,8,35,1
10,3,45,60,8,43,72,79,1,5,45,1
3,8,29,40,66,81,36,73,96,2,31,9
2,1,44,12,82,45,98,93,39,6,10,2
4,10,22,73,40,96,11,9,27,10,3,7
10,8,32,28,79,34,58,30,32,4,48,5
7,5,20,89,92,46,87,21,89,0,49,8
10,7,40,57,15,31,22,51,13,10,100,2
6,8,4,9,21,53,85,67,58,4,22,0
1,3,77,16,90,52,17,48,24,10,90,8
0,0,48,5,52,70,22,34,68,6,50,5
9,0,22,7,92,49,6,100,14,0,73,4
9,2,23,25,60,45,32,12,48,7,27,0
7,5,52,32,56,3,49,33,91,0,15,6
3,4,11,98,19,15,71,61,28,9,49,1
3,6,93,40,6,29,31,11,56,3,14,2
10,6,43,9,30,59,16,97,63,10,97,0
7,7,66,76,13,9,99,95,56,0,9,4
10,8,71,99,67,56,70,16,81,6,32,7
6,8,81,85,92,56,50,2,47,10,23,0
7,7,8,75,67,86,94,74,9,9,51,9
4,5,62,60,43,82,66,5,19,0,98,2
1,7,56,14,53,87,41,26,10,1,91,3
7,3,22,81,43,58,94,9,38,6,24,2
7,2,98,9,14,24,12,25,82,7,13,7
2,1,68,71,47,91,94,54,38,9,85,1
6,3,66,86,96,78,88,0,50,8,10,3
6,1,97,28,76,82,17,22,60,1,40,9
2,7,4,24,14,43,12,18,8,8,47,3
5,10,38,6,31,45,58,46,0,2,32,8
7,10,33,11,55,70,91,93,46,0,26,1
4,3,4,62,38,27,26,12,22,1,68,9
4,8,59,22,1,3,11,98,18,9,13,9
6,4,97,3,53,26,84,57,4,8,91,0
2,2,92,17,82,65,98,9,41,0,88,0
9,4,96,9,82,84,78,51,26,9,62,2
7,4,16,8,88,22,100,50,99,4,19,2
1,5,66,30,20,24,70,99,53,10,92,9
1,7,98,17,67,30,13,2,70,8,69,6
6,5,78,57,83,94,71,78,8,10,30,4
7,6,32,95,48,47,82,96,86,3,29,3
8,5,51,15,34,77,24,76,46,3,80,8
10,5,93,17,48,12,54,86,21,0,66,7
3,5,76,20,16,4,40,97,71,4,59,1
1,10,80,4,85,98,33,48,65,6,51,3
7,10,94,53,84,43,5,16,9,0,42,2
7,6,0,28,86,45,60,10,92,6,8,3
5,9,37,62,11,69,63,3,15,2,26,6
1,6,1,6,63,18,17,41,75,5,54,4
5,4,8,21,70,99,71,82,29,5,66,2
4,6,79,13,82,0,64,69,43,0,50,2
4,9,10,89,51,81,41,2,31,6,89,7
7,1,75,66,39,39,8,12,32,9,45,5
2,6,2,64,95,78,79,97,41,10,21,10
6,6,77,85,38,5,60,99,45,4,63,9
8,2,53,92,98,100,23,9,27,7,48,4
0,4,2,55,28,55,50,73,15,2,7,9
9,1,48,61,89,70,86,32,39,0,57,9
3,2,84,51,34,73,92,42,60,9,75,3
10,0,29,100,71,32,17,32,99,0,41,10
3,2,7,33,72,11,38,45,89,2,93,5
4,9,64,37,81,59,60,94,76,4,44,8
3,0,6,49,5,49,31,16,4,9,60,6
1,5,100,77,85,19,45,10,7,10,50,10
4,7,86,84,89,39,15,14,3,2,89,5
