0,1,2,3,4,5,6,7,8,9,10,11,12
95,6,50,3,56,94,1,1,57,8,1,4,22
51,8,83,7,56,90,6,1,4,46,2,1,2
1,7,19,7,38,21,2,10,84,33,4,6,61
68,5,63,9,17,69,2,7,70,14,10,2,34
71,7,87,9,3,72,9,2,65,71,7,3,61
51,2,51,4,5,31,5,0,69,11,0,10,62
22,9,88,5,28,40,2,7,85,12,3,4,92
26,8,51,6,42,50,8,5,57,92,4,8,75
72,7,74,6,76,100,9,3,35,44,0,5,39
51,10,42,0,96,32,9,3,24,24,2,5,18
80,3,7,6,100,5,2,9,91,4,10,10,47
13,3,11,7,86,100,9,3,79,49,1,3,43
81,10,80,9,20,23,1,10,97,75,6,7,3
53,4,86,9,45,56,4,4,23,45,3,2,63
70,8,19,8,10,22,7,8,52,83,0,0,13
37,7,0,10,96,4,9,5,10,93,8,1,15
18,10,29,9,82,74,10,10,80,49,2,8,48
44,2,15,8,91,7,9,9,18,98,0,2,23
82,0,82,9,96,28,4,7,89,12,1,10,46
41,5,50,1,29,78,1,1,52,66,8,2,4
92,7,17,7,18,6,10,0,45,24,10,10,93
98,3,1,2,12,44,10,6,30,69,10,9,63
64,5,9,4,78,80,9,3,59,30,9,10,72
4,2,54,8,29,72,3,1,90,14,9,2,3
47,3,1,1,87,82,1,5,58,28,6,10,65
23,7,71,0,11,42,10,3,94,19,5,8,86
59,8,45,1,75,2,8,6,76,67,1,8,61
84,8,74,6,9,96,7,0,100,98,7,5,15
21,1,54,6,42,93,4,4,75,66,5,3,89
31,7,88,7,30,94,6,9,0,12,3,2,19
72,5,54,4,2,34,10,2,92,85,8,8,38
54,1,36,10,86,0,4,0,19,23,5,8,69
82,3,48,10,25,50,8,3,26,78,10,6,15
54,9,6,6,69,93,8,3,58,38,6,10,9
43,6,33,0,48,78,7,3,37,58,9,7,49
69,5,43,7,92,53,7,2,97,10,0,4,3
35,9,63,6,94,81,1,8,94,14,10,6,97
36,4,99,8,35,51,6,8,7,72,9,2,21
76,1,68,7,38,86,6,6,89,70,6,3,10
56,8,34,4,84,20,8,8,32,0,6,0,39
10,7,33,0,12,65,1,6,82,88,2,3,50
27,7,17,6,15,12,1,5,44,60,6,7,99
11,9,18,2,11,23,0,7,97,60,2,10,34
66,4,42,9,32,66,6,0,94,87,2,7,63
42,1,26,7,52,63,8,4,7,98,2,2,49
70,7,5,0,19,55,2,3,84,74,1,5,5
90,9,65,9,42,91,0,8,73,39,4,10,37
15,1,7,6,63,54,0,3,42,57,6,0,89
91,1,7,3,31,59,10,7,19,11,7,3,29
68,0,23,6,21,70,4,6,47,35,4,4,94
76,7,8,1,49,33,0,8,19,36,6,5,48
97,6,65,4,22,11,1,10,93,18,2,9,79
79,5,15,4,99,44,0,0,47,15,6,2,4
5,6,96,9,7,78,8,9,40,43,2,7,2
