,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,66,92,9,1,6,35,4,26,8,42,32,9,3
1,4,76,23,99,10,1,100,6,6,33,18,11,4,4
2,5,90,31,86,67,8,33,0,93,82,3,78,1,8
3,5,100,84,93,31,5,36,4,92,7,14,100,1,0
4,9,84,8,63,72,3,8,9,49,80,46,18,5,5
5,2,4,81,100,66,4,100,7,59,30,37,16,4,6
6,10,87,8,81,21,3,50,3,7,95,42,4,0,9
7,10,40,83,0,80,4,57,2,80,17,15,7,7,3
8,0,41,0,8,30,2,3,5,26,41,31,31,5,1
9,0,88,94,70,59,4,0,2,37,31,65,81,0,4
10,8,35,76,21,64,2,19,8,38,0,86,47,2,3
11,10,87,72,19,37,5,54,7,37,17,30,20,7,0
12,0,2,64,42,17,4,3,3,9,66,95,75,5,9
13,6,69,73,94,41,7,44,9,57,13,75,85,2,6
14,9,68,58,96,21,7,99,9,90,92,72,31,3,8
15,4,2,98,1,6,0,96,10,18,57,86,40,0,8
16,0,48,93,85,56,2,33,8,10,28,81,0,0,4
17,7,8,26,46,11,7,88,10,100,14,77,24,4,5
18,2,94,7,61,9,6,7,7,14,69,10,67,6,3
19,1,4,54,91,4,7,58,4,12,19,21,50,4,5
20,1,95,61,55,14,3,93,4,16,32,5,53,6,9
21,3,48,73,38,79,4,35,4,25,30,64,55,0,8
22,10,15,51,72,86,9,39,7,58,90,57,34,10,4
23,3,32,71,30,52,2,78,10,24,76,97,48,6,5
24,7,15,87,52,47,3,96,6,52,33,83,91,1,9
25,9,51,64,61,76,7,21,7,1,82,29,77,1,1
26,8,43,56,37,54,6,94,10,34,61,60,87,0,5
27,2,61,14,9,14,9,82,8,3,44,47,71,2,7
28,0,44,42,98,77,3,52,5,39,9,57,1,4,9
29,5,95,92,85,51,10,56,10,100,35,46,57,1,8
30,3,47,49,16,86,5,46,6,38,0,96,64,4,2
31,2,5,80,13,36,5,63,1,91,74,54,51,0,1
32,4,19,49,76,61,4,1,5,26,85,18,89,3,9
33,7,3,38,32,23,0,43,6,15,88,57,68,10,1
34,9,65,79,73,100,10,21,8,93,86,41,29,9,2
35,10,86,92,26,85,5,27,0,85,48,64,80,5,4
36,4,22,53,86,26,7,88,3,93,32,69,64,1,9
37,2,50,9,70,33,10,92,3,58,2,6,73,6,1
38,4,64,65,17,78,9,65,10,92,33,5,88,7,1
39,4,25,5,32,61,5,53,2,30,44,5,34,8,6
40,0,38,11,70,74,6,96,6,84,62,30,3,3,9
41,8,36,50,53,81,4,59,1,34,2,91,75,6,10
42,6,62,46,48,19,9,21,3,37,86,36,74,9,7
43,6,3,83,51,31,1,29,5,80,43,37,15,3,5
44,1,100,14,88,63,8,19,3,81,12,64,88,7,4
45,9,7,0,56,28,2,87,2,88,22,33,33,3,4
46,1,54,13,40,27,8,28,8,73,6,2,59,1,0
47,1,75,55,11,83,0,77,8,67,93,21,45,4,8
48,7,45,85,40,12,6,77,9,85,0,30,78,10,3
49,7,72,80,50,40,8,44,8,86,31,23,63,7,7
50,7,80,58,63,46,2,38,5,74,55,63,43,0,10
51,3,47,2,48,46,0,51,1,55,53,62,39,2,8
52,0,9,53,77,14,7,44,1,90,12,13,58,5,1
53,9,46,53,66,59,9,66,8,29,80,53,67,7,5
54,1,6,23,84,74,5,66,6,71,89,30,7,9,8
55,2,40,20,7,72,7,1,7,84,59,77,96,4,7
56,8,100,22,19,8,10,27,9,88,46,5,85,4,8
57,4,43,66,71,20,3,43,3,61,10,42,54,10,10
58,6,72,92,80,69,1,28,4,1,48,29,27,7,4
59,9,23,26,4,53,0,84,5,13,69,14,55,3,8
60,4,76,95,63,13,0,87,2,36,91,64,20,2,8
61,5,51,67,98,56,7,51,2,77,41,10,60,5,8
62,0,81,8,55,1,9,29,2,82,63,74,16,7,10
63,10,4,45,74,69,3,42,2,61,22,98,64,3,1
64,4,67,100,89,12,3,96,9,10,64,45,72,9,3
65,9,4,100,52,64,7,41,3,18,87,14,65,7,4
66,9,81,75,83,9,10,61,1,84,69,90,87,9,4
67,4,8,56,88,98,3,82,0,54,94,67,14,7,7
68,1,86,19,53,64,10,45,0,82,32,53,12,6,3
69,2,50,79,6,23,3,83,4,60,21,19,50,10,2
70,3,23,64,81,37,1,47,2,76,52,8,6,8,5
71,2,32,25,2,82,2,21,8,18,36,11,80,0,4
72,7,96,65,87,38,6,46,8,46,42,35,17,3,3
73,3,14,58,48,11,1,14,3,44,98,96,17,8,8
74,3,71,32,56,76,3,65,8,75,76,41,41,2,9
75,2,4,4,94,61,8,73,2,13,35,26,62,4,6
76,2,96,84,80,39,4,22,3,54,65,22,69,8,5
77,0,98,47,15,59,5,35,2,18,64,42,6,0,1
78,4,56,12,16,97,10,94,0,46,22,57,47,1,3
79,10,56,93,23,19,3,21,5,73,5,63,93,5,1
80,6,56,37,46,61,5,24,4,17,0,0,26,7,8
81,0,43,28,52,99,9,46,2,81,10,38,67,7,1
82,4,84,47,62,50,5,50,4,76,22,31,81,9,3
83,3,94,8,40,1,3,97,10,17,99,48,85,1,1
84,10,100,11,68,81,6,60,0,25,17,90,95,3,8
85,4,50,2,26,7,0,38,5,30,55,1,11,3,9
