0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,66,92,9,1,6,35,4,26,8,10,32,9,3
4,76,23,99,10,1,100,6,6,33,10,11,4,4
5,90,31,86,67,8,33,0,93,82,3,78,1,8
5,100,84,93,31,5,36,4,92,7,10,100,1,0
9,84,8,63,72,3,8,9,49,80,10,18,5,5
2,4,81,100,66,4,100,7,59,30,10,16,4,6
10,87,8,81,21,3,50,3,7,95,10,4,0,9
10,40,83,0,80,4,57,2,80,17,10,7,7,3
0,41,0,8,30,2,3,5,26,41,10,31,5,1
0,88,94,70,59,4,0,2,37,31,10,81,0,4
8,35,76,21,64,2,19,8,38,0,10,47,2,3
10,87,72,19,37,5,54,7,37,17,10,20,7,0
0,2,64,42,17,4,3,3,9,66,10,75,5,9
6,69,73,94,41,7,44,9,57,13,10,85,2,6
9,68,58,96,21,7,99,9,90,92,10,31,3,8
4,2,98,1,6,0,96,10,18,57,10,40,0,8
0,48,93,85,56,2,33,8,10,28,10,0,0,4
7,8,26,46,11,7,88,10,100,14,10,24,4,5
2,94,7,61,9,6,7,7,14,69,10,67,6,3
1,4,54,91,4,7,58,4,12,19,10,50,4,5
1,95,61,55,14,3,93,4,16,32,5,53,6,9
3,48,73,38,79,4,35,4,25,30,10,55,0,8
10,15,51,72,86,9,39,7,58,90,10,34,10,4
3,32,71,30,52,2,78,10,24,76,10,48,6,5
7,15,87,52,47,3,96,6,52,33,10,91,1,9
9,51,64,61,76,7,21,7,1,82,10,77,1,1
8,43,56,37,54,6,94,10,34,61,10,87,0,5
2,61,14,9,14,9,82,8,3,44,10,71,2,7
0,44,42,98,77,3,52,5,39,9,10,1,4,9
5,95,92,85,51,10,56,10,100,35,10,57,1,8
3,47,49,16,86,5,46,6,38,0,10,64,4,2
2,5,80,13,36,5,63,1,91,74,10,51,0,1
4,19,49,76,61,4,1,5,26,85,10,89,3,9
7,3,38,32,23,0,43,6,15,88,10,68,10,1
9,65,79,73,100,10,21,8,93,86,10,29,9,2
10,86,92,26,85,5,27,0,85,48,10,80,5,4
4,22,53,86,26,7,88,3,93,32,10,64,1,9
2,50,9,70,33,10,92,3,58,2,6,73,6,1
4,64,65,17,78,9,65,10,92,33,5,88,7,1
4,25,5,32,61,5,53,2,30,44,5,34,8,6
0,38,11,70,74,6,96,6,84,62,10,3,3,9
