0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,66,10,9,1,6,35,4,10,8,10,10,9,3
4,76,10,99,10,1,100,6,6,33,10,10,4,4
5,90,10,86,67,8,33,0,10,82,3,10,1,8
5,100,10,93,31,5,36,4,10,7,10,10,1,0
9,84,8,63,72,3,8,9,10,80,10,10,5,5
2,4,10,100,66,4,100,7,10,30,10,10,4,6
10,87,8,81,21,3,50,3,7,95,10,4,0,9
10,40,10,0,80,4,57,2,10,17,10,7,7,3
0,41,0,8,30,2,3,5,10,41,10,10,5,1
0,88,10,70,59,4,0,2,10,31,10,10,0,4
8,35,10,21,64,2,19,8,10,0,10,10,2,3
10,87,10,19,37,5,54,7,10,17,10,10,7,0
0,2,10,42,17,4,3,3,9,66,10,10,5,9
6,69,10,94,41,7,44,9,10,13,10,10,2,6
9,68,10,96,21,7,99,9,10,92,10,10,3,8
4,2,10,1,6,0,96,10,10,57,10,10,0,8
0,48,10,85,56,2,33,8,10,28,10,0,0,4
7,8,10,46,11,7,88,10,10,14,10,10,4,5
2,94,7,61,9,6,7,7,10,69,10,10,6,3
1,4,10,91,4,7,58,4,10,19,10,10,4,5
1,95,10,55,14,3,93,4,10,32,5,10,6,9
3,48,10,38,79,4,35,4,10,30,10,10,0,8
10,15,10,72,86,9,39,7,10,90,10,10,10,4
3,32,10,30,52,2,78,10,10,76,10,10,6,5
7,15,10,52,47,3,96,6,10,33,10,10,1,9
9,51,10,61,76,7,21,7,1,82,10,10,1,1
8,43,10,37,54,6,94,10,10,61,10,10,0,5
2,61,10,9,14,9,82,8,3,44,10,10,2,7
0,44,10,98,77,3,52,5,10,9,10,1,4,9
5,95,10,85,51,10,56,10,10,35,10,10,1,8
3,47,10,16,86,5,46,6,10,0,10,10,4,2
2,5,10,13,36,5,63,1,10,74,10,10,0,1
4,19,10,76,61,4,1,5,10,85,10,10,3,9
7,3,10,32,23,0,43,6,10,88,10,10,10,1
9,65,10,73,100,10,21,8,10,86,10,10,9,2
10,86,10,26,85,5,27,0,10,48,10,10,5,4
4,22,10,86,26,7,88,3,10,32,10,10,1,9
2,50,9,70,33,10,92,3,10,2,6,10,6,1
4,64,10,17,78,9,65,10,10,33,5,10,7,1
4,25,5,32,61,5,53,2,10,44,5,10,8,6
0,38,10,70,74,6,96,6,10,62,10,3,3,9
8,36,10,53,81,4,59,1,10,2,10,10,6,10
6,62,10,48,19,9,21,3,10,86,10,10,9,7
6,3,10,51,31,1,29,5,10,43,10,10,3,5
1,100,10,88,63,8,19,3,10,12,10,10,7,4
9,7,0,56,28,2,87,2,10,22,10,10,3,4
1,54,10,40,27,8,28,8,10,6,2,10,1,0
1,75,10,11,83,0,77,8,10,93,10,10,4,8
7,45,10,40,12,6,77,9,10,0,10,10,10,3
7,72,10,50,40,8,44,8,10,31,10,10,7,7
7,80,10,63,46,2,38,5,10,55,10,10,0,10
3,47,2,48,46,0,51,1,10,53,10,10,2,8
0,9,10,77,14,7,44,1,10,12,10,10,5,1
9,46,10,66,59,9,66,8,10,80,10,10,7,5
1,6,10,84,74,5,66,6,10,89,10,7,9,8
2,40,10,7,72,7,1,7,10,59,10,10,4,7
8,100,10,19,8,10,27,9,10,46,5,10,4,8
4,43,10,71,20,3,43,3,10,10,10,10,10,10
6,72,10,80,69,1,28,4,1,48,10,10,7,4
9,23,10,4,53,0,84,5,10,69,10,10,3,8
4,76,10,63,13,0,87,2,10,91,10,10,2,8
5,51,10,98,56,7,51,2,10,41,10,10,5,8
0,81,8,55,1,9,29,2,10,63,10,10,7,10
10,4,10,74,69,3,42,2,10,22,10,10,3,1
4,67,10,89,12,3,96,9,10,64,10,10,9,3
9,4,10,52,64,7,41,3,10,87,10,10,7,4
9,81,10,83,9,10,61,1,10,69,10,10,9,4
4,8,10,88,98,3,82,0,10,94,10,10,7,7
1,86,10,53,64,10,45,0,10,32,10,10,6,3
2,50,10,6,23,3,83,4,10,21,10,10,10,2
3,23,10,81,37,1,47,2,10,52,8,6,8,5
2,32,10,2,82,2,21,8,10,36,10,10,0,4
7,96,10,87,38,6,46,8,10,42,10,10,3,3
3,14,10,48,11,1,14,3,10,98,10,10,8,8
3,71,10,56,76,3,65,8,10,76,10,10,2,9
2,4,4,94,61,8,73,2,10,35,10,10,4,6
2,96,10,80,39,4,22,3,10,65,10,10,8,5
0,98,10,15,59,5,35,2,10,64,10,6,0,1
4,56,10,16,97,10,94,0,10,22,10,10,1,3
10,56,10,23,19,3,21,5,10,5,10,10,5,1
6,56,10,46,61,5,24,4,10,0,0,10,7,8
0,43,10,52,99,9,46,2,10,10,10,10,7,1
4,84,10,62,50,5,50,4,10,22,10,10,9,3
3,94,8,40,1,3,97,10,10,99,10,10,1,1
10,100,10,68,81,6,60,0,10,17,10,10,3,8
4,50,2,26,7,0,38,5,10,55,1,10,3,9
9,63,10,84,82,5,25,10,10,82,10,7,6,6
1,83,10,91,98,9,79,8,7,52,10,10,5,6
2,27,10,59,37,3,77,1,10,61,10,10,4,5
0,25,10,42,8,0,7,10,10,6,10,10,3,1
5,58,10,33,59,0,24,2,10,89,1,10,1,7
7,72,10,20,6,10,4,9,10,26,10,10,5,0
10,15,10,6,75,4,88,4,9,75,10,10,7,7
9,95,10,51,91,6,14,1,10,71,10,10,8,4
10,54,10,12,70,1,69,8,10,0,10,10,6,3
6,41,10,46,60,2,95,6,10,27,10,10,0,8
3,32,10,17,80,9,42,0,10,41,10,10,1,9
7,86,3,29,80,5,69,10,10,73,10,10,2,9
4,24,10,37,78,0,2,3,10,94,10,10,9,6
10,22,10,40,45,8,22,6,10,28,10,10,9,6
3,39,10,57,55,6,30,2,10,10,10,10,3,10
5,44,10,6,61,8,85,6,10,32,10,10,6,0
1,98,10,41,34,5,27,6,10,57,10,10,10,9
0,96,10,21,93,1,76,2,10,29,10,10,3,3
9,44,10,78,10,10,0,4,10,97,10,10,9,0
7,44,10,75,63,8,70,4,10,59,10,0,2,0
8,37,10,20,95,7,63,0,10,9,10,10,4,8
1,7,10,1,2,4,71,9,10,79,10,10,0,9
1,29,10,8,37,4,59,4,10,93,10,10,8,5
9,34,3,81,52,10,21,1,10,50,10,10,10,2
4,16,8,38,39,9,22,10,10,71,10,10,5,8
10,29,10,12,69,0,100,0,10,100,10,10,1,9
5,80,10,90,48,0,40,7,10,4,10,10,3,4
0,94,10,77,18,10,79,1,10,40,10,10,6,7
8,9,10,22,90,0,94,8,0,45,10,10,9,5
9,59,10,2,35,5,75,2,10,82,10,10,0,0
4,30,10,46,55,3,85,3,10,44,10,10,4,9
4,41,10,31,97,6,41,5,10,4,10,10,9,10
6,12,10,1,79,1,39,7,10,26,10,10,6,6
8,56,6,61,59,7,92,9,10,33,10,10,3,2
4,98,10,15,9,8,65,9,10,60,10,10,10,5
0,93,10,98,84,9,87,9,10,69,10,10,7,8
8,94,10,44,20,1,25,0,10,76,4,10,9,9
10,48,10,66,64,9,55,3,10,50,10,10,6,10
1,48,10,42,24,3,34,9,0,29,3,10,6,6
5,33,10,99,42,2,88,4,10,71,5,10,3,1
2,89,10,100,26,0,69,9,10,63,10,10,0,9
6,40,10,23,74,1,15,0,10,63,10,10,5,2
3,72,10,54,1,5,64,10,10,78,10,10,1,1
0,21,10,67,81,3,63,2,10,23,10,10,9,0
10,58,10,75,38,7,78,8,10,12,10,10,6,2
6,90,10,35,19,2,78,0,10,34,10,4,7,8
2,41,10,59,5,3,2,8,10,66,10,10,0,9
9,70,10,71,78,1,83,7,10,81,10,10,0,8
5,86,10,95,50,9,88,2,10,64,9,8,2,1
5,84,10,74,26,7,58,8,10,98,10,10,4,7
10,19,10,13,92,1,65,9,10,67,10,10,4,2
5,86,10,37,91,5,91,10,10,13,10,4,6,7
3,94,10,57,87,10,45,3,10,9,10,10,7,9
7,29,10,4,35,2,34,7,10,55,10,10,4,9
9,56,10,87,8,2,45,10,10,79,9,10,6,0
2,0,10,71,6,3,99,4,10,15,10,10,8,9
7,92,10,43,78,2,52,1,10,92,10,10,5,7
5,48,10,76,6,0,74,9,10,83,10,10,9,8
2,56,10,57,23,10,95,8,10,10,10,5,5,7
2,85,10,66,91,6,75,5,10,11,10,10,1,2
0,7,10,1,54,5,14,8,10,68,10,10,6,7
7,61,10,68,58,10,47,0,10,22,10,10,5,6
8,75,10,70,92,7,46,7,10,92,10,10,0,6
2,2,10,27,21,0,4,2,10,50,10,10,8,7
10,11,10,44,93,10,56,5,10,26,10,9,8,3
2,85,10,7,19,7,69,1,10,88,10,10,4,5
1,18,10,68,61,1,86,4,10,71,10,10,9,5
4,69,10,15,50,2,50,3,10,0,10,10,7,4
5,19,10,66,44,2,28,2,10,61,10,7,5,10
6,45,3,68,80,8,67,8,10,80,10,10,7,1
5,91,10,20,14,7,78,5,10,61,10,10,5,0
7,4,10,4,21,6,17,5,10,25,10,10,1,4
5,55,10,31,37,2,71,7,10,46,10,10,2,5
7,25,10,75,25,8,0,3,4,1,5,10,1,7
3,81,10,49,0,7,42,6,10,8,10,10,7,0
7,18,10,89,32,3,44,7,10,82,10,10,5,6
2,50,10,1,60,6,5,7,10,64,10,10,2,10
10,99,10,71,64,3,36,10,10,99,10,10,6,4
1,77,0,30,95,3,18,10,10,72,10,5,9,0
2,29,9,21,48,10,43,5,10,3,7,10,6,9
8,85,10,97,72,1,36,1,10,12,10,10,8,2
8,51,10,55,100,4,46,8,10,74,10,5,6,10
6,1,10,41,47,10,84,7,10,81,10,3,7,4
2,16,10,6,11,5,73,9,2,31,10,10,7,9
10,100,10,47,81,9,79,1,10,12,10,10,6,6
7,64,10,27,25,9,4,2,10,16,10,10,6,0
9,3,5,59,4,4,69,10,10,31,10,10,6,6
4,45,10,53,53,2,58,0,10,79,10,10,1,6
2,41,0,76,75,10,12,7,10,62,5,10,0,1
6,1,10,98,82,0,18,0,10,75,10,10,0,3
10,99,10,100,15,10,44,6,10,77,10,10,0,8
5,57,10,10,97,6,98,9,10,49,7,10,9,1
0,34,10,46,55,6,86,10,10,78,10,10,7,7
6,37,10,7,31,10,21,2,5,3,10,5,10,1
10,0,10,37,78,5,60,1,10,73,10,10,4,7
9,26,10,57,66,7,63,2,10,10,10,4,5,1
6,10,10,95,20,3,19,6,10,87,10,10,2,8
1,54,10,25,34,4,53,6,10,54,10,10,1,3
2,66,2,11,28,5,92,10,10,63,10,10,5,9
5,57,10,75,30,0,31,4,10,33,10,10,9,7
9,71,10,82,2,9,85,4,10,75,10,10,8,0
8,18,10,79,72,5,54,5,10,0,6,10,3,10
1,15,10,44,18,10,92,9,10,71,10,10,10,10
6,63,10,8,5,1,49,8,10,71,4,10,5,3
3,70,10,79,1,1,69,0,10,59,10,10,3,6
3,76,10,26,10,9,31,4,10,87,10,10,4,1
2,95,10,21,31,8,10,10,10,80,10,10,8,5
4,43,10,80,50,5,38,4,10,72,10,10,7,4
9,81,10,97,21,2,37,4,10,40,10,10,10,10
5,5,10,81,23,2,91,7,10,93,10,10,7,1
3,46,10,57,75,2,78,9,10,9,10,7,0,1
9,53,10,52,85,10,41,9,10,10,10,10,0,8
3,18,10,46,41,6,26,8,10,70,10,8,7,3
8,81,10,52,68,6,5,4,10,15,10,10,4,9
7,44,10,17,47,9,34,1,10,41,10,10,8,8
5,28,10,23,69,8,50,7,10,26,10,10,2,7
3,63,10,48,40,9,91,5,10,11,2,10,0,8
9,36,10,22,24,10,12,7,1,97,10,10,5,7
8,62,10,54,21,4,53,9,10,25,10,10,7,8
5,9,0,46,50,5,38,5,8,65,10,10,0,9
8,80,6,9,19,6,9,1,3,81,9,10,8,1
8,49,10,40,23,4,73,1,10,42,10,10,10,3
0,91,10,44,14,0,87,8,10,56,10,10,9,7
7,96,10,10,78,2,91,2,1,9,10,10,10,4
0,81,10,47,3,10,78,10,10,84,2,10,9,10
3,13,10,57,18,3,17,10,10,52,8,10,2,7
8,26,10,12,9,6,100,8,10,95,10,10,0,6
10,3,10,38,65,8,38,0,2,47,10,10,9,10
2,5,10,42,66,0,36,4,10,22,10,10,0,1
4,41,10,88,89,1,83,7,10,12,10,10,4,10
7,28,10,49,1,7,76,5,10,100,10,10,8,3
8,13,10,43,11,9,67,1,10,7,10,10,5,6
9,25,10,57,71,0,74,9,6,75,0,10,5,4
4,67,10,5,20,8,70,6,4,42,10,10,9,10
5,73,10,77,29,2,11,6,10,71,10,1,10,2
6,68,10,93,30,6,77,9,10,52,10,10,1,7
7,100,10,35,72,0,79,9,10,6,10,10,7,3
3,97,10,62,99,8,15,8,10,68,10,10,3,1
9,82,5,0,4,4,26,8,10,55,10,10,4,0
6,90,10,37,60,1,53,3,10,62,10,10,6,2
4,55,5,35,9,7,59,4,10,48,1,10,10,5
9,13,10,7,15,2,16,9,10,13,10,10,0,3
6,86,10,21,95,1,28,9,10,23,10,10,10,8
2,60,10,80,73,9,86,3,10,20,10,10,5,3
3,63,10,54,51,6,17,9,10,62,3,10,3,3
7,87,10,69,17,10,80,1,10,6,10,10,9,1
3,98,10,87,60,6,67,1,10,62,10,10,8,8
9,28,10,49,24,2,17,10,10,6,5,10,1,3
6,35,10,87,8,7,62,8,10,60,0,10,1,5
7,64,8,7,29,2,52,1,10,40,10,5,4,1
6,77,10,86,71,2,91,1,10,43,10,10,7,2
0,30,10,13,83,2,70,9,10,47,10,10,4,5
3,95,10,80,76,2,9,10,10,63,10,10,8,7
9,77,10,68,74,3,26,2,7,30,10,10,8,10
2,25,10,47,25,9,1,6,10,38,10,10,8,4
7,8,10,76,67,0,4,9,10,83,10,5,8,0
10,48,10,61,53,10,44,6,10,26,10,10,7,3
9,28,10,20,50,3,5,3,10,55,10,10,10,5
6,33,10,87,24,1,79,4,10,20,10,1,2,10
8,62,8,14,58,4,54,8,10,46,10,10,9,6
5,92,10,0,75,3,1,2,10,18,10,10,10,6
1,25,10,28,79,9,22,6,10,66,10,10,3,5
9,47,10,14,20,7,68,3,10,65,10,10,8,4
2,73,10,74,40,5,31,4,10,60,10,10,4,2
4,71,0,79,98,1,63,2,10,95,10,10,8,3
1,86,10,80,70,5,25,6,10,10,10,4,6,7
8,77,10,2,77,10,95,10,10,100,10,10,8,5
10,43,3,93,53,10,5,8,10,55,10,10,6,5
7,13,10,32,15,1,69,5,10,18,10,10,2,4
5,28,10,55,98,1,19,4,10,47,10,10,2,10
0,16,10,63,51,4,91,4,10,39,10,10,7,6
1,42,7,85,54,5,83,0,10,22,10,10,5,10
6,92,10,69,74,5,81,4,10,71,10,10,4,5
6,52,5,56,7,4,34,0,10,49,10,10,5,2
1,64,10,70,11,8,92,4,10,96,10,10,9,10
3,78,10,58,12,3,53,10,10,77,10,10,3,0
8,89,10,3,19,2,5,3,10,60,10,10,4,7
10,82,10,26,69,4,60,8,10,19,4,10,6,3
2,99,10,44,36,7,40,6,10,48,10,10,9,0
4,98,10,86,12,10,29,5,10,72,10,10,10,10
4,18,10,74,80,5,28,0,10,18,10,10,5,7
9,70,5,87,100,6,18,8,10,40,10,10,4,1
6,59,10,74,20,4,56,1,10,33,10,10,6,1
6,13,10,74,96,8,63,1,10,39,10,5,8,0
1,56,10,17,74,5,54,1,10,11,1,10,9,4
2,0,10,49,46,0,18,3,10,100,10,10,4,6
1,88,10,5,13,6,95,9,10,93,10,10,8,9
1,3,10,92,14,9,27,10,10,46,10,10,8,9
5,24,10,86,73,1,65,10,10,41,10,10,3,7
10,76,4,72,94,5,62,6,10,25,10,10,6,0
4,42,10,19,21,7,55,7,10,64,10,10,8,9
4,62,4,31,43,3,39,5,10,87,10,10,9,4
8,96,10,4,26,6,69,7,10,5,6,10,0,2
5,73,10,69,76,6,66,5,8,77,10,10,9,2
3,30,10,32,27,1,64,10,6,34,10,10,0,3
4,81,10,32,6,0,17,7,10,32,10,10,4,6
10,22,10,55,6,1,16,6,10,43,3,10,4,9
1,48,5,81,36,3,92,2,10,47,10,10,5,2
2,24,4,46,23,5,82,7,10,41,10,10,8,0
9,24,5,54,34,9,42,5,10,53,10,10,9,7
6,90,10,16,33,10,59,7,10,65,10,10,4,10
10,35,10,32,68,10,35,5,10,29,10,10,2,8
9,14,10,77,49,1,54,6,10,50,10,10,7,1
6,91,10,87,5,0,1,10,10,98,10,10,3,6
4,100,10,85,98,3,99,6,10,63,0,10,1,8
0,51,10,33,27,8,11,5,10,20,10,10,2,6
10,100,10,0,39,7,16,10,10,82,10,10,6,4
0,33,10,72,88,7,80,2,10,87,10,10,10,2
10,59,10,53,69,8,46,0,10,20,10,10,5,2
1,5,10,52,38,10,88,9,10,11,10,10,3,4
3,45,10,70,67,1,85,1,10,66,10,2,3,8
9,21,10,50,6,8,39,5,10,73,10,10,2,7
8,7,9,55,37,4,98,0,10,72,10,10,5,2
4,69,10,7,85,8,62,10,10,99,4,10,3,8
6,100,10,9,55,8,8,9,5,23,10,10,5,8
0,52,3,58,50,0,6,9,10,84,10,10,2,8
4,14,10,60,40,5,12,1,10,22,10,8,5,6
4,64,10,61,38,10,89,5,10,82,10,10,10,6
5,93,10,43,57,7,72,10,10,64,2,10,8,9
0,89,10,50,58,6,9,8,10,53,10,10,8,4
10,2,10,65,11,10,89,4,10,92,10,10,0,5
4,70,10,63,37,4,0,5,10,17,10,10,3,5
5,4,10,26,93,0,25,8,10,91,10,10,0,6
1,39,10,10,63,8,85,10,10,88,10,10,4,2
5,85,10,65,50,6,19,8,10,41,10,10,10,10
2,86,10,51,86,1,1,4,10,25,0,10,10,3
3,91,10,50,82,10,28,0,10,45,1,10,9,9
6,92,10,58,82,7,38,9,10,41,10,2,0,5
9,50,10,50,53,2,31,7,9,97,10,10,0,5
6,46,10,41,50,0,70,6,10,40,3,10,7,8
3,23,10,8,84,0,26,10,10,5,10,10,5,4
2,91,3,14,89,5,60,5,10,32,10,10,10,3
9,71,1,49,99,7,50,9,10,37,10,10,0,8
4,76,10,19,20,2,33,4,10,31,10,10,0,1
10,90,0,86,63,2,42,10,10,20,10,10,3,10
5,82,10,65,93,7,83,5,10,8,10,10,1,7
6,93,10,81,21,1,37,10,10,51,10,5,10,8
9,88,10,38,10,6,36,1,10,48,10,10,8,0
10,53,10,56,48,1,78,5,10,73,10,10,0,7
1,84,10,31,62,5,66,1,10,53,10,10,0,7
3,77,10,47,49,1,26,5,10,64,10,10,0,7
3,77,10,11,86,9,85,3,10,98,10,10,3,1
0,35,10,80,24,0,1,4,10,15,10,10,7,1
9,51,10,100,16,4,71,7,10,63,10,2,3,2
5,48,10,73,28,8,39,5,10,76,0,10,7,10
8,62,10,73,1,4,79,6,10,24,10,10,10,6
9,25,10,78,33,7,85,10,10,83,6,4,7,9
3,14,10,39,97,2,100,9,10,82,10,10,2,4
9,98,10,5,83,10,84,9,10,26,10,10,2,9
3,41,3,26,72,6,83,9,10,75,10,10,5,0
5,7,10,23,78,8,22,9,10,63,10,9,5,6
2,40,10,0,43,2,27,7,3,92,10,10,4,5
7,19,10,90,91,3,8,2,10,43,10,10,0,3
7,47,10,30,91,10,33,1,10,51,10,10,6,2
10,4,1,13,21,6,0,9,8,77,10,10,6,2
7,55,10,52,74,8,73,8,10,22,10,10,9,10
10,83,10,84,10,5,100,8,10,20,10,10,5,8
5,29,10,43,54,8,100,5,10,76,10,10,4,5
0,2,10,72,49,2,30,9,10,14,10,10,10,2
9,34,10,75,25,4,6,6,10,27,10,10,9,6
0,86,10,19,94,4,4,8,10,84,10,10,5,6
1,34,10,63,27,1,99,3,10,68,10,3,7,1
4,1,10,52,17,3,8,5,10,24,7,10,8,3
8,38,10,66,85,4,72,7,10,26,10,5,2,7
2,31,4,46,48,4,19,9,10,24,10,10,9,10
10,97,10,75,59,8,79,7,8,21,10,10,5,10
1,38,10,52,39,0,43,0,10,41,10,10,7,2
2,83,10,44,2,6,91,6,10,76,10,10,1,0
6,51,10,39,4,0,20,5,10,28,10,10,6,2
9,19,3,69,93,2,86,7,10,76,10,10,3,4
2,88,10,43,57,9,56,6,10,96,9,10,9,3
4,88,10,51,37,0,27,2,3,98,10,10,0,2
10,66,10,65,31,7,88,2,10,69,10,10,6,10
2,57,10,16,61,8,84,8,10,59,10,10,2,9
5,34,10,73,42,8,73,8,10,86,10,10,6,4
5,92,10,68,51,4,7,9,10,70,6,10,9,6
0,95,2,19,49,5,64,1,10,85,10,10,2,7
5,99,10,48,25,10,32,0,10,28,10,10,0,8
8,36,10,33,66,1,6,7,10,92,10,10,5,8
9,21,4,71,61,8,42,10,10,38,10,10,3,4
2,34,10,2,14,2,92,4,10,63,10,10,7,4
6,93,10,11,54,10,5,5,10,75,10,10,8,10
10,55,10,43,12,7,57,0,10,83,10,10,1,8
5,22,10,55,24,2,57,3,10,47,10,8,7,2
10,73,2,47,68,4,42,5,10,17,10,9,7,5
6,42,10,23,35,2,23,1,10,1,10,10,3,2
8,98,10,99,70,7,43,9,10,9,5,10,9,4
2,34,10,72,26,4,32,1,10,44,10,10,3,1
0,14,10,39,16,1,72,10,10,81,10,10,3,6
3,42,10,7,90,5,23,6,10,75,10,10,1,6
8,77,10,58,65,10,15,4,10,81,10,10,0,0
2,59,10,53,15,1,62,9,10,13,10,2,10,0
6,32,10,92,92,7,66,2,10,27,5,10,1,4
6,79,10,19,71,8,51,8,10,66,10,10,7,8
3,56,10,63,59,9,83,10,10,17,10,10,3,7
3,35,4,5,55,0,30,2,3,89,10,10,2,1
5,54,10,48,49,8,52,9,10,34,10,10,6,9
8,74,10,89,39,3,96,1,10,27,10,10,2,7
7,54,10,17,15,3,71,5,10,6,10,10,7,3
6,54,3,18,42,1,55,0,10,94,10,10,9,3
1,41,10,61,38,5,94,2,10,2,10,10,8,0
2,69,10,93,45,9,47,10,10,38,10,10,10,2
10,66,10,17,50,10,72,3,10,48,10,10,0,10
7,20,10,61,30,5,24,2,10,30,10,10,1,2
6,91,10,98,19,2,15,6,10,0,8,10,3,2
5,87,4,83,97,1,74,2,10,53,10,10,6,1
4,50,10,13,68,2,30,4,10,20,10,10,9,7
7,29,10,81,29,6,77,10,10,15,10,10,7,7
6,52,10,58,47,4,28,8,10,99,10,8,0,8
0,95,10,2,75,7,58,5,10,9,10,10,1,9
5,90,10,85,46,6,17,5,10,19,10,10,5,4
10,13,10,58,7,6,46,1,10,19,10,10,6,9
0,51,10,78,13,0,52,2,10,52,2,0,0,8
7,71,10,43,6,3,48,8,10,95,10,10,2,8
2,87,10,53,15,7,33,10,10,68,9,6,9,4
3,4,10,55,38,1,35,4,10,63,10,8,4,9
5,41,10,21,95,4,2,9,10,90,10,10,6,4
7,2,10,4,97,10,39,10,10,41,10,8,7,5
4,30,10,96,13,9,67,10,10,33,5,10,4,10
8,100,10,98,32,7,63,1,7,71,10,10,1,0
5,24,8,5,77,6,70,1,10,69,10,10,5,3
3,68,10,62,50,3,32,1,10,34,10,10,6,1
10,97,10,5,100,3,74,0,10,76,10,10,1,3
5,49,10,67,4,7,97,5,10,99,10,10,7,7
6,18,10,67,76,6,89,1,10,81,10,10,3,0
6,94,10,19,19,3,95,7,10,88,10,10,9,10
6,56,10,4,2,1,78,4,10,54,10,1,6,5
6,66,10,98,9,5,60,7,10,52,10,10,6,2
6,4,10,37,18,10,27,1,10,48,10,8,7,6
5,47,10,57,59,10,38,6,10,91,10,10,2,4
4,19,10,82,0,1,55,9,10,55,10,10,1,8
4,93,10,15,23,10,55,9,10,99,1,10,0,7
8,73,10,54,45,7,1,3,10,50,10,10,5,7
8,67,10,29,35,4,64,4,10,99,10,10,8,8
1,70,10,22,69,1,2,4,7,30,10,10,1,8
0,10,7,78,25,10,76,4,10,41,10,10,6,2
2,33,5,47,64,0,54,7,10,12,10,10,1,4
8,47,10,45,27,5,26,2,10,59,10,10,6,9
7,18,10,29,29,4,19,7,10,88,10,10,0,5
2,69,10,87,8,9,94,9,10,48,0,10,5,3
9,37,10,83,99,5,48,9,10,9,10,10,6,1
5,3,10,23,38,0,70,0,10,71,10,10,1,1
1,40,10,84,57,8,94,9,10,42,0,10,9,8
4,29,10,4,89,4,0,6,10,21,10,10,9,1
9,0,10,83,60,2,43,1,10,9,10,8,9,10
1,6,10,31,38,8,45,1,10,11,10,10,6,2
3,43,10,55,36,2,83,10,10,9,4,10,4,1
6,33,10,23,98,9,17,6,10,3,10,10,8,5
6,65,10,14,29,5,47,4,10,14,10,10,5,0
0,39,2,80,20,8,70,8,10,3,10,10,2,7
8,92,10,30,87,4,53,0,10,2,10,10,6,5
6,80,10,13,77,4,58,0,1,62,10,10,5,9
6,68,10,2,9,9,59,3,10,14,10,10,5,10
2,77,10,71,82,10,77,2,10,84,10,10,7,7
5,3,9,58,96,10,25,8,10,23,10,10,4,10
