,0,1,2,3,4
0,25,78,10,8,8
1,100,14,6,1,9
2,66,94,4,1,8
3,72,38,4,10,5
4,36,84,6,6,5
5,100,49,2,5,4
6,52,91,7,10,1
7,38,99,0,10,0
8,89,25,3,2,10
9,54,55,7,5,8
10,40,97,3,3,8
11,24,99,0,6,7
12,62,82,2,9,5
13,26,14,3,8,9
14,9,15,10,1,10
15,48,33,10,0,2
16,40,39,0,3,7
17,74,77,0,2,2
18,13,64,3,0,9
19,26,74,9,9,5
20,12,5,6,3,1
21,6,75,1,5,7
22,65,9,7,0,10
23,0,22,8,7,8
24,60,40,3,0,9
25,32,71,4,1,7
26,87,73,3,0,3
27,10,16,4,3,1
28,62,32,8,10,8
29,17,87,10,0,3
30,91,22,3,8,4
31,89,48,1,9,1
32,91,61,0,2,9
33,87,85,8,4,0
34,24,91,7,6,7
35,14,84,8,3,9
36,23,12,0,5,10
37,87,22,4,8,4
38,84,98,3,5,3
39,9,1,8,7,9
40,60,96,8,2,5
41,49,23,1,7,8
42,99,34,8,0,1
43,9,89,4,10,7
44,51,17,3,9,6
45,88,47,4,6,8
46,100,41,2,4,0
47,17,47,3,2,9
48,69,47,10,8,7
49,32,20,10,5,5
50,19,6,7,5,8
51,66,94,6,1,4
52,12,50,0,5,6
53,50,34,2,0,7
54,27,52,6,3,4
55,85,34,7,5,6
56,40,42,7,2,10
57,61,18,10,9,5
58,43,82,0,0,4
59,89,85,9,4,2
60,76,100,7,10,5
61,65,47,10,7,1
62,42,4,6,6,5
63,23,92,2,5,5
64,49,29,0,9,7
65,83,30,6,4,3
66,49,75,1,4,6
67,65,71,6,6,2
68,21,68,7,2,5
69,51,22,5,7,0
70,99,50,9,0,2
71,98,72,10,4,10
72,23,8,1,2,8
73,98,46,7,0,3
74,58,40,2,1,8
75,34,19,5,8,0
76,84,84,1,3,4
77,91,76,0,2,9
78,32,72,3,7,7
79,31,61,1,1,7
80,28,100,2,8,4
81,59,44,0,8,4
82,58,63,5,4,7
83,40,64,8,5,10
84,86,8,10,8,7
85,23,8,0,4,3
86,99,6,10,8,3
87,91,9,2,7,1
88,75,20,7,6,6
89,96,62,1,4,10
90,55,71,5,10,3
91,79,7,5,2,2
92,68,40,8,1,3
93,35,16,5,2,9
94,13,86,6,5,5
95,82,64,6,4,1
96,59,34,5,10,4
97,70,81,10,8,6
98,45,71,9,4,5
99,13,5,7,8,7
100,63,33,5,1,5
101,49,59,4,5,4
102,77,78,3,0,4
103,28,88,1,5,5
104,29,91,8,2,2
105,0,21,2,0,9
106,21,47,1,1,10
107,4,94,7,2,2
108,90,31,3,6,2
109,63,42,9,2,9
110,100,83,7,10,3
111,81,72,2,6,10
112,98,35,5,2,7
113,37,94,9,9,4
114,50,29,6,6,8
115,95,46,3,0,4
116,60,46,0,0,5
117,26,98,5,0,4
118,13,97,2,10,7
119,72,47,6,5,1
120,55,48,6,5,7
121,27,51,4,8,1
122,74,49,8,5,8
123,84,5,7,0,6
124,92,67,0,6,7
125,42,100,1,4,6
126,55,26,6,5,4
127,46,98,4,5,10
128,30,3,5,5,4
129,27,38,5,6,3
130,91,2,10,9,2
131,57,90,8,6,10
132,48,15,0,7,8
133,87,16,2,0,7
134,73,14,1,8,0
135,25,66,10,5,2
136,67,82,9,7,9
137,86,47,4,2,8
138,18,20,9,2,10
