,0,1,2,3,4,5,6
0,3,4,10,1,2,9,3
1,7,0,0,2,7,8,5
2,10,10,9,8,9,3,7
3,10,2,0,10,1,8,5
4,2,8,4,1,10,8,10
5,1,2,4,4,1,6,0
6,2,3,6,0,4,0,6
7,2,7,10,6,8,0,3
8,3,8,4,0,4,6,6
9,0,7,1,7,7,10,5
10,0,1,9,7,0,9,4
11,2,0,7,2,7,5,4
12,5,5,3,6,1,0,3
13,8,7,5,5,3,7,5
14,4,3,5,3,5,9,1
15,10,4,0,2,2,0,2
16,5,8,10,2,7,3,8
17,2,8,10,1,5,7,5
18,5,5,1,3,3,6,2
19,10,3,7,8,7,0,0
20,2,10,10,2,0,4,1
21,9,4,1,1,10,6,1
22,1,1,8,1,8,7,9
23,4,3,3,9,5,10,7
24,1,0,6,9,9,8,6
25,4,10,10,9,0,0,2
26,0,5,10,0,2,8,2
27,6,6,10,6,0,4,0
28,6,9,5,7,4,10,7
29,6,0,6,8,10,3,2
30,9,7,2,5,8,0,2
31,10,9,1,8,2,6,10
32,2,0,6,8,9,5,0
33,1,9,2,7,5,6,4
34,6,2,7,7,2,9,0
35,6,4,10,1,10,1,2
36,4,5,6,5,3,2,5
37,1,3,2,9,1,10,4
38,5,9,1,7,10,2,2
39,2,1,0,5,1,7,4
40,8,4,8,5,8,6,8
41,3,8,1,5,6,9,7
42,3,0,6,5,6,10,5
43,4,4,8,5,5,5,8
44,6,5,9,2,8,6,5
45,5,9,7,5,1,8,9
46,9,6,3,8,0,2,8
47,6,9,7,0,8,3,8
48,10,8,5,0,6,10,6
49,10,0,4,10,10,9,8
50,0,3,5,3,0,10,8
51,8,7,6,3,2,0,10
52,1,8,7,6,7,7,8
53,10,7,0,6,0,9,10
54,2,0,1,3,4,9,10
55,5,10,4,8,2,5,7
56,9,3,5,8,7,0,9
57,4,5,0,5,5,2,9
58,1,6,6,0,1,1,2
59,8,4,8,7,6,3,2
60,10,9,4,4,0,9,3
61,8,1,9,1,0,7,3
62,9,4,5,6,0,5,1
63,8,3,4,0,4,7,10
64,6,10,2,9,5,10,7
65,5,4,2,1,1,7,0
66,10,4,2,5,10,5,10
67,4,6,1,5,5,0,2
68,0,3,5,5,9,9,0
69,6,5,0,3,0,2,10
70,9,4,10,8,3,7,1
71,7,5,5,1,1,3,2
72,4,8,8,0,6,7,10
73,7,5,10,2,0,3,8
74,7,7,3,8,4,2,10
75,8,5,5,9,0,10,4
76,7,5,4,6,0,6,5
77,8,7,5,1,6,6,8
78,9,9,9,1,6,7,8
79,2,2,5,7,0,9,0
80,5,4,10,7,1,7,1
81,1,6,6,4,3,8,0
82,3,9,8,8,4,0,5
83,2,10,4,0,5,9,5
84,10,4,4,3,0,1,2
85,8,9,1,8,10,4,5
86,0,3,3,3,0,4,0
87,6,4,7,8,6,0,4
88,1,2,4,4,7,5,8
89,10,4,4,3,2,0,4
90,3,7,6,10,3,1,9
91,8,9,4,7,5,1,4
92,4,3,0,10,7,10,2
93,8,10,6,3,6,3,9
94,9,8,0,4,0,0,6
95,5,5,8,9,0,5,3
96,9,5,1,10,1,3,3
97,6,0,1,9,6,5,7
98,2,10,10,3,7,5,8
99,2,8,6,0,9,10,6
100,9,3,0,1,9,4,10
101,3,3,10,8,9,5,1
102,8,0,8,10,10,4,10
103,10,0,4,6,4,8,1
104,4,5,4,5,4,1,3
105,0,7,4,4,1,1,10
106,5,9,4,4,5,3,8
107,6,5,8,3,2,0,6
108,5,1,10,7,10,10,4
109,3,1,5,10,9,8,5
110,7,9,6,8,4,5,7
111,8,10,1,10,7,6,3
112,2,5,10,3,0,0,10
113,3,1,5,6,7,2,1
114,8,10,8,0,8,2,9
115,10,3,9,7,6,3,5
116,8,1,8,6,5,10,7
117,7,10,6,1,5,0,1
118,0,6,3,1,8,9,2
119,7,6,7,4,10,1,6
120,4,8,8,2,0,6,7
121,8,5,0,5,5,3,2
122,10,4,7,10,4,8,6
123,8,2,0,5,5,9,0
124,9,10,3,6,6,1,5
125,10,9,0,2,6,9,6
126,1,9,5,10,2,10,2
127,5,1,2,8,8,4,4
128,7,0,1,0,0,8,5
129,10,4,8,9,10,1,9
130,10,4,6,2,2,8,2
131,10,7,9,8,8,9,10
132,7,4,6,2,10,10,7
133,0,8,8,8,2,3,9
134,6,8,5,2,2,2,2
135,6,6,5,5,8,2,7
136,2,9,0,4,5,1,7
137,7,7,8,10,5,9,6
138,0,6,6,4,4,5,3
139,4,1,3,7,10,5,5
140,2,3,10,3,5,6,10
141,2,6,4,8,9,1,10
142,4,9,2,8,0,3,10
143,5,5,9,10,1,2,7
144,3,5,5,10,0,7,0
145,6,5,1,4,0,2,5
146,2,9,0,4,1,6,2
147,7,1,5,1,8,6,2
148,1,9,2,3,5,4,10
149,10,8,5,5,3,7,2
150,5,0,3,10,1,4,8
151,6,7,8,6,8,6,6
152,3,0,3,1,6,2,4
153,6,2,7,5,0,6,10
154,7,1,0,2,6,7,8
155,2,8,5,10,3,0,9
156,1,6,0,4,10,5,5
157,7,8,5,2,7,0,3
158,1,10,10,8,10,5,4
159,6,7,2,7,6,2,8
160,0,5,3,10,7,10,6
161,4,9,0,4,10,5,6
162,7,10,8,7,0,3,5
163,6,0,0,1,4,0,9
164,10,4,8,9,6,8,2
165,9,4,9,1,6,1,0
166,1,5,7,3,8,3,3
167,5,9,1,9,3,3,2
168,6,6,6,8,7,7,2
169,2,1,10,10,1,0,7
170,8,10,2,2,8,8,8
171,7,2,0,3,5,0,5
172,5,4,2,3,10,7,1
173,10,7,10,7,2,0,3
174,10,5,3,10,8,8,10
175,4,7,0,9,2,8,8
176,9,3,9,8,5,3,4
177,8,1,8,5,8,10,5
178,0,5,10,10,1,10,9
179,4,6,4,9,8,1,3
180,8,6,4,9,9,2,8
181,8,10,6,7,0,4,2
182,0,9,10,0,2,3,4
183,10,5,3,1,1,5,7
184,8,4,4,3,2,9,7
185,8,7,1,9,5,10,5
186,9,1,5,3,8,2,3
187,4,0,5,10,0,10,7
188,1,6,6,2,10,2,6
189,2,4,3,2,4,5,0
190,3,5,5,6,0,6,9
191,10,5,10,3,6,4,8
192,2,8,6,9,4,9,7
193,5,5,5,6,9,1,5
194,10,0,1,2,1,3,2
195,10,4,5,9,0,4,7
196,2,4,4,5,0,4,1
197,5,7,4,8,9,0,0
198,4,2,4,5,3,0,5
199,8,2,6,10,5,7,1
200,9,0,3,10,6,4,3
201,9,3,6,0,1,9,9
202,6,3,7,8,2,2,9
203,10,9,4,9,5,5,10
204,2,4,7,8,10,5,3
205,8,10,1,7,2,3,3
206,5,10,2,6,9,5,2
207,2,9,10,3,4,10,9
208,6,6,5,1,5,3,10
209,3,1,3,6,4,5,8
210,7,10,10,1,5,0,8
211,1,6,10,7,8,3,8
212,7,5,8,8,9,6,2
213,10,2,10,5,6,4,9
214,0,0,5,6,4,3,1
215,8,3,10,7,4,0,6
216,0,0,4,4,7,9,8
217,8,10,4,7,5,2,9
218,8,1,8,4,10,2,8
219,1,0,7,8,6,5,6
220,0,4,10,3,7,3,3
221,8,10,3,4,3,4,6
222,9,7,0,4,10,2,3
223,0,10,6,7,6,0,3
224,9,5,7,0,3,7,8
225,2,4,7,6,1,4,9
226,7,0,7,1,6,8,0
227,2,8,0,6,6,1,1
228,5,1,10,2,9,8,8
229,7,5,3,10,1,2,0
230,1,7,7,5,10,7,10
231,7,6,0,8,0,0,8
232,8,1,9,0,0,1,4
233,1,10,5,10,6,9,5
234,4,2,8,5,10,8,9
235,9,2,3,2,6,3,3
236,9,6,0,10,4,2,1
237,1,8,4,6,4,10,9
238,2,4,2,9,3,8,2
239,1,0,1,6,3,4,4
240,9,1,5,10,7,0,10
241,7,3,5,0,7,6,6
242,9,1,1,2,3,3,2
243,2,9,1,5,4,3,8
244,4,5,10,4,4,8,6
245,3,1,7,0,5,10,1
246,2,10,3,9,9,8,0
247,4,7,7,6,7,4,6
248,4,4,0,0,4,4,9
249,3,5,6,4,4,5,4
250,3,1,5,2,4,2,3
251,8,9,10,2,6,5,7
252,0,9,1,9,0,6,4
253,7,3,10,3,7,4,2
254,7,9,3,9,5,6,9
255,7,2,3,6,8,9,0
256,2,2,1,4,1,0,4
257,5,4,0,9,8,4,5
258,3,6,2,7,8,9,7
259,7,1,9,8,8,10,7
260,6,9,5,2,10,10,9
261,1,7,5,5,3,6,1
262,2,9,9,7,0,10,5
263,1,4,8,7,3,4,3
264,6,9,3,0,1,1,1
265,8,7,3,4,5,4,4
266,8,9,1,6,3,6,8
267,5,7,9,3,0,10,6
268,5,3,4,8,4,2,1
269,6,7,9,3,8,3,7
270,2,3,0,10,10,6,6
271,1,6,8,8,2,9,4
272,2,6,8,6,7,8,3
273,1,0,2,9,8,3,9
274,7,3,10,4,10,2,1
275,5,8,1,4,8,0,2
276,0,5,6,0,3,4,3
277,2,2,8,8,7,1,1
278,3,5,1,1,0,2,2
279,8,6,3,3,8,7,6
280,7,9,7,3,2,8,6
281,2,9,10,2,3,10,9
282,3,3,3,6,5,9,6
283,9,7,1,0,0,9,5
284,6,3,2,6,6,10,3
285,3,9,1,8,2,1,0
286,3,3,8,7,10,5,0
287,8,5,1,8,7,10,10
