0,1,2,3,4,5,6
100,10,99,9,2,2,60
92,47,48,72,0,11,88
12,82,90,44,4,4,28
4,90,19,36,8,82,42
96,30,4,9,5,99,57
62,11,6,54,5,47,74
96,65,6,51,9,14,7
8,35,36,57,4,28,60
20,52,81,15,1,26,5
83,80,92,15,6,90,93
99,76,47,35,7,78,50
73,89,23,26,10,15,78
76,15,91,0,6,57,26
100,18,53,5,8,84,13
48,52,5,91,10,83,29
20,6,89,39,5,55,9
29,6,64,79,3,56,98
77,47,20,15,7,1,20
46,76,70,64,2,98,67
24,33,41,30,9,49,45
41,99,30,68,5,72,80
19,38,5,55,0,69,8
58,96,0,72,9,36,66
61,6,73,90,10,63,17
69,57,36,38,2,82,6
51,49,11,45,10,47,53
30,26,56,38,7,71,65
3,48,1,13,10,17,70
6,27,79,28,1,32,65
58,53,40,80,3,18,46
52,65,63,97,7,11,35
35,71,89,48,10,35,67
74,15,88,48,4,71,50
22,82,87,25,5,90,4
79,30,87,99,0,80,81
55,58,83,60,1,56,88
0,81,32,98,8,44,60
5,81,4,99,10,82,73
9,62,7,46,7,24,16
95,88,43,11,8,92,87
14,73,54,55,1,36,54
67,53,50,91,1,100,41
11,97,18,58,9,51,74
14,61,56,77,3,88,72
36,98,97,36,9,49,58
16,59,52,57,8,62,60
53,96,12,23,3,77,100
71,2,96,20,5,46,50
90,29,8,25,1,25,8
10,16,88,11,9,50,20
60,43,21,52,9,10,56
99,99,64,7,6,47,65
85,17,79,14,5,36,73
73,12,7,60,7,45,15
13,59,87,28,4,58,32
30,66,93,14,5,97,48
77,17,99,13,5,22,8
36,86,63,27,1,45,41
45,45,10,39,0,27,28
42,8,82,80,4,21,55
93,9,43,18,5,11,87
26,36,89,3,10,14,61
55,84,26,21,5,15,73
66,32,2,42,2,26,70
8,32,82,36,0,63,77
96,64,99,47,5,40,31
82,71,11,22,1,44,63
49,73,88,34,9,76,98
2,88,66,10,2,26,13
6,45,72,5,2,50,63
37,21,50,45,1,30,85
59,69,12,70,2,92,71
32,95,11,51,4,52,58
67,69,97,42,1,21,12
81,34,85,59,2,85,19
83,77,94,5,2,42,11
83,23,97,37,4,54,8
35,12,16,4,3,56,77
3,22,57,68,6,75,1
41,2,94,84,6,35,75
21,48,48,54,9,28,32
90,19,11,18,6,100,13
44,27,54,93,5,44,97
86,47,85,31,0,46,39
74,23,7,11,1,36,82
82,91,84,28,10,93,85
71,29,60,55,4,28,55
5,44,26,18,7,78,6
26,34,37,29,10,82,19
92,67,95,100,1,30,37
14,47,57,21,9,85,94
87,36,80,13,10,48,18
22,44,76,41,2,30,6
4,66,80,21,8,36,15
47,62,17,9,10,13,79
89,8,4,67,0,28,8
1,86,26,23,0,39,62
78,94,28,3,4,93,34
99,54,39,14,0,64,16
48,16,62,8,6,45,74
39,18,88,1,9,71,10
81,21,0,11,10,4,11
35,36,5,82,3,87,26
16,66,58,94,7,19,80
99,71,60,51,1,99,94
23,57,0,50,2,91,46
41,18,1,70,3,51,76
2,3,68,68,3,67,82
37,70,6,66,6,56,57
33,5,40,98,6,27,24
81,28,64,29,3,35,81
38,23,6,71,6,82,57
62,84,54,86,10,60,82
86,71,26,78,1,0,62
26,86,73,88,1,71,79
70,26,89,56,2,81,61
88,71,81,18,10,63,71
4,6,55,67,6,70,53
39,12,67,73,2,5,17
39,61,93,60,5,49,3
26,62,26,85,6,52,61
74,90,23,10,0,42,22
74,58,74,6,10,12,21
34,78,71,80,1,76,15
61,37,80,41,2,94,21
73,89,80,40,7,34,53
37,36,4,97,7,9,51
27,30,76,97,7,78,63
57,43,62,99,5,31,98
