,0,1,2,3,4,5,6,7,8
0,5,7,8,3,3,4,0,2,6
1,9,5,2,6,5,1,4,6,10
2,3,3,6,6,2,0,4,0,9
3,6,7,0,9,2,10,1,9,0
4,0,4,6,1,10,1,8,6,5
5,7,3,0,10,1,2,5,7,5
6,4,7,7,6,5,2,1,7,7
7,1,8,0,1,6,3,2,3,2
8,8,5,7,2,7,0,3,9,2
9,3,5,5,8,7,2,3,5,5
10,3,1,1,8,6,2,10,6,2
11,5,0,3,7,2,6,5,7,4
12,0,4,1,1,10,3,1,8,9
13,10,9,8,1,9,2,0,10,0
14,0,0,2,9,5,3,2,10,5
15,2,3,6,3,0,7,0,5,5
16,0,0,6,8,6,7,1,4,1
17,1,5,4,4,0,6,4,6,7
18,7,0,9,9,5,0,4,4,0
19,1,5,10,8,6,1,3,3,9
20,9,3,8,9,2,0,0,9,4
21,2,5,5,8,5,0,0,2,2
22,7,5,6,4,9,2,4,1,3
23,10,2,0,5,10,5,6,5,6
24,8,8,3,3,1,3,0,6,0
25,3,8,8,7,8,1,4,2,6
26,10,5,0,4,9,3,6,0,3
27,0,0,5,5,7,7,6,3,1
28,7,7,1,2,1,6,7,6,10
29,1,9,0,2,7,7,0,8,4
30,1,0,5,4,2,9,3,1,8
31,4,3,2,1,10,8,0,0,5
32,8,4,3,7,0,2,0,8,0
33,2,0,7,0,4,10,3,4,9
34,6,9,2,2,3,5,10,6,10
35,1,9,2,2,3,1,4,4,2
36,1,4,8,2,3,8,6,1,6
37,10,8,0,2,0,1,2,7,5
38,5,7,1,4,1,4,2,7,10
39,5,6,2,5,0,9,2,2,4
40,7,5,7,0,6,3,4,5,6
41,1,2,3,5,10,6,8,5,3
42,0,6,5,10,7,0,8,7,5
43,5,6,0,4,1,8,9,5,7
44,9,3,8,3,0,2,3,7,0
45,7,9,9,8,8,1,5,1,0
46,0,0,10,3,0,3,6,4,7
47,8,8,4,7,0,1,5,10,7
48,4,0,9,9,9,10,7,5,6
49,2,1,8,4,8,2,3,3,5
50,4,4,7,2,6,3,6,4,6
51,6,7,4,1,2,3,10,10,9
52,9,2,4,4,0,2,7,7,3
53,9,6,5,0,2,8,1,1,9
54,5,1,10,5,0,5,1,0,9
