0,1,2,3,4,5,6,7,8,9
7,8,90,0,4,0,4,99,10,3
4,2,56,10,3,1,5,10,10,6
9,9,23,2,5,6,8,96,10,2
2,3,59,2,7,1,9,42,10,0
8,1,88,1,1,3,4,95,8,6
10,8,46,2,3,3,4,83,10,7
9,6,70,1,0,6,0,73,10,0
1,4,45,8,4,1,10,93,10,4
8,3,83,0,6,4,0,66,10,4
4,10,1,2,10,5,9,71,10,6
8,5,22,5,6,2,4,56,10,10
5,5,58,9,2,4,2,30,10,4
4,10,88,6,7,2,2,60,10,10
6,1,52,6,2,10,2,72,10,10
6,5,22,7,7,0,10,59,10,2
1,1,0,4,10,6,6,44,10,9
4,7,96,3,10,10,7,5,10,6
4,3,50,10,8,0,10,85,10,6
6,9,81,8,9,5,8,77,10,0
0,5,20,1,9,1,6,76,10,8
3,7,99,0,1,9,2,82,10,10
3,2,80,0,1,4,8,40,10,9
4,0,85,7,0,7,2,59,10,3
1,2,85,5,8,2,3,20,10,7
7,7,90,9,9,5,5,73,1,8
9,1,72,7,8,9,10,71,10,10
6,6,21,0,9,10,6,94,10,2
1,6,21,0,3,4,9,48,1,5
9,0,92,0,8,2,0,77,10,1
3,10,29,6,0,5,3,20,10,7
2,3,48,0,8,4,7,43,10,1
3,6,11,9,10,1,4,10,10,7
2,7,16,1,10,1,3,72,10,4
9,5,12,6,6,4,7,14,2,0
9,2,55,5,8,5,0,46,10,0
7,3,39,7,4,0,6,8,10,8
4,10,20,8,6,9,8,7,10,5
3,3,18,9,3,3,3,50,10,8
3,7,35,8,1,4,2,47,10,10
2,0,14,5,9,0,0,57,10,2
6,0,23,6,5,9,1,72,10,2
1,7,78,7,2,9,6,26,10,2
10,7,16,6,7,9,6,12,10,1
3,3,0,1,5,5,9,93,2,6
5,2,33,5,1,4,5,53,10,7
8,5,58,4,1,3,7,56,10,8
4,8,77,9,3,7,7,81,3,5
1,4,44,10,7,5,4,41,10,8
6,3,47,3,5,6,8,17,10,6
1,7,35,10,0,7,5,14,10,1
1,6,76,3,9,3,3,85,10,2
9,6,80,2,3,1,2,63,10,5
10,6,37,1,6,10,7,75,10,1
9,5,73,4,1,9,2,32,10,2
1,2,20,3,1,8,6,12,10,3
3,4,98,9,3,4,4,50,4,5
1,1,30,10,0,7,7,72,10,5
6,8,34,9,1,9,4,37,10,6
6,0,80,8,6,10,5,94,10,0
1,6,77,1,3,0,5,63,9,7
2,10,80,5,0,8,2,100,10,7
3,10,83,0,10,9,4,85,10,10
2,1,83,2,7,0,3,25,10,8
9,6,97,2,4,8,9,3,10,8
6,10,37,9,8,2,2,86,10,7
7,8,46,7,5,4,9,95,10,3
3,3,93,9,3,5,4,4,10,7
7,0,36,2,5,9,9,70,10,6
10,8,87,7,3,7,6,28,10,4
3,0,80,0,0,4,1,5,10,0
6,4,51,1,7,4,3,45,0,9
4,8,41,10,1,7,0,4,10,0
4,0,98,7,3,7,6,17,10,9
10,9,1,0,7,8,9,87,10,4
0,3,30,7,8,2,1,0,2,9
9,7,43,9,2,5,0,98,10,7
9,7,87,0,10,5,4,1,10,8
5,10,19,2,8,6,8,50,10,6
9,9,90,1,5,1,2,8,10,0
6,8,28,4,8,8,2,4,10,6
8,5,29,8,6,9,9,11,10,1
6,2,90,10,7,4,3,53,10,6
2,6,75,8,7,8,9,18,10,3
1,8,20,8,3,1,1,46,10,0
1,2,12,0,5,2,5,87,3,8
10,10,61,9,9,8,8,43,10,7
5,9,100,10,10,9,9,88,10,1
9,9,25,10,8,8,6,1,10,3
7,10,81,8,7,9,8,41,10,7
3,3,21,10,9,3,4,41,10,1
7,7,12,2,0,0,5,82,10,6
9,8,99,0,4,4,6,21,10,2
9,0,62,9,6,3,2,40,10,9
7,7,38,2,10,5,2,58,10,9
9,6,42,7,6,4,6,89,10,4
7,7,44,4,7,1,9,33,10,6
2,3,49,6,0,6,4,0,10,7
9,9,53,6,9,8,7,38,10,2
3,7,6,3,0,7,5,92,10,3
10,6,64,6,4,9,1,72,10,7
3,5,87,9,8,3,6,41,10,9
3,9,12,4,2,9,1,86,10,4
10,9,77,1,0,3,6,48,10,3
2,3,31,5,5,4,7,45,10,6
1,7,65,6,10,3,0,36,10,3
3,4,6,3,4,0,7,13,10,3
3,5,59,4,8,7,0,11,10,10
7,8,62,10,7,1,10,4,10,7
2,8,17,1,10,1,7,70,10,1
8,4,77,9,8,1,10,7,10,9
5,7,95,10,8,6,3,49,10,1
6,2,49,2,9,6,0,42,10,7
3,2,8,9,4,10,7,97,10,9
4,5,29,8,3,1,5,22,10,9
1,4,96,4,5,8,5,42,10,7
3,5,39,6,0,5,2,99,10,2
4,0,15,8,2,10,5,24,0,1
5,10,68,6,4,5,3,63,10,4
10,6,2,0,10,3,9,40,10,9
2,7,60,9,0,9,6,12,10,8
5,2,36,3,1,10,0,33,10,9
7,9,55,5,8,6,4,77,10,9
5,10,40,0,5,10,3,82,10,10
8,4,87,8,5,4,0,63,10,7
10,0,8,10,2,4,8,66,10,6
5,4,14,10,2,1,10,55,10,1
0,2,55,8,2,7,5,75,10,2
10,5,14,8,5,10,1,54,10,10
10,4,38,6,1,9,9,98,10,4
7,9,88,4,1,6,5,16,1,6
9,10,97,5,7,8,0,75,10,0
1,1,8,3,10,9,10,68,10,4
3,10,58,4,3,8,1,35,10,1
3,7,78,3,7,8,1,23,10,9
9,6,71,7,10,6,9,77,10,9
6,2,29,1,3,0,1,60,7,4
1,9,85,8,6,6,5,79,10,2
2,8,41,1,9,4,6,43,10,6
1,10,40,5,4,2,4,70,10,9
7,3,53,8,5,0,7,76,10,9
7,4,72,2,8,3,10,36,10,8
6,10,54,10,3,0,0,45,10,0
1,4,92,5,8,7,8,45,6,3
5,8,64,6,3,9,7,27,10,6
1,0,48,5,8,2,5,95,10,4
4,9,60,8,2,2,10,75,10,5
2,4,44,4,7,2,5,96,10,1
4,3,78,1,5,2,0,4,10,10
6,0,55,9,7,6,0,10,9,8
10,8,93,4,7,2,4,85,8,10
8,2,24,4,5,3,0,68,10,8
10,10,62,0,4,8,9,35,10,7
5,10,4,2,9,5,7,96,10,9
9,5,10,3,8,10,3,47,10,1
2,6,42,5,5,0,0,27,10,8
10,6,57,3,9,0,2,94,4,1
5,4,80,10,8,7,5,80,10,0
