0,1,2,3,4,5,6,7,8,9,10
39,9,9,50,34,81,95,5,54,45,88
38,43,3,9,25,49,88,10,59,9,5
24,27,2,7,73,76,78,0,37,3,33
44,16,9,81,95,29,44,10,60,95,49
52,64,1,50,38,97,85,0,46,57,22
16,44,1,75,38,88,36,1,36,5,67
92,44,0,3,49,26,32,9,19,71,50
61,23,3,5,47,70,25,6,27,30,80
50,90,3,55,39,24,4,1,83,81,49
7,23,6,80,6,35,75,9,64,2,94
37,38,3,66,54,54,67,8,38,12,100
94,52,0,4,95,38,34,3,80,37,68
81,23,7,98,49,93,14,0,82,47,68
66,66,1,14,70,8,32,4,7,70,46
35,92,3,6,93,47,52,2,67,47,45
52,14,2,18,62,9,82,6,13,22,12
37,84,8,0,48,100,95,5,68,62,67
67,37,9,34,14,5,76,6,83,12,0
30,98,2,16,45,9,46,2,52,46,70
34,14,8,95,8,72,85,10,14,38,20
51,0,8,6,93,13,17,3,7,99,67
30,46,0,86,71,81,0,3,16,62,80
88,8,0,21,99,37,27,7,38,90,10
13,94,3,6,50,6,29,1,95,22,18
100,3,0,31,68,26,52,4,80,93,62
9,54,2,10,66,80,15,4,56,0,32
85,68,7,56,90,32,33,6,30,54,81
27,37,1,19,31,8,94,3,94,77,12
61,87,2,21,94,69,27,10,6,41,49
95,99,8,75,10,31,80,4,77,77,71
84,37,8,30,37,6,51,5,6,14,8
63,22,1,42,41,100,22,8,1,42,79
32,58,10,76,47,10,32,7,49,80,7
40,60,2,62,77,55,39,3,61,34,87
6,8,8,43,51,65,57,0,60,33,1
35,100,10,53,21,30,75,0,16,17,13
0,23,0,3,13,54,94,7,96,50,84
68,88,0,2,12,51,88,8,71,85,34
50,97,1,2,20,7,15,5,77,95,44
40,10,0,92,80,90,80,6,24,6,77
18,60,10,29,92,46,97,5,81,100,17
34,63,8,2,84,69,79,3,15,48,97
26,94,2,44,23,95,81,1,59,57,43
31,54,10,33,9,45,85,10,98,83,27
23,59,3,75,23,79,15,8,18,20,65
4,0,8,93,0,5,10,0,85,95,24
28,43,8,81,94,11,63,1,2,59,39
