,0,1,2,3,4,5,6,7,8,9,10,11,12
0,7,2,2,6,7,3,0,10,1,8,3,8,9
1,7,5,1,7,7,3,4,2,1,10,2,0,3
2,9,2,1,10,3,1,8,3,7,1,4,2,0
3,9,9,8,8,6,7,2,2,1,7,8,3,10
4,9,8,5,2,8,7,7,2,6,0,1,3,8
5,2,8,0,2,9,1,1,2,1,5,10,3,7
6,1,10,4,3,0,10,8,8,4,6,7,8,1
7,10,8,6,5,0,2,2,0,9,8,0,7,3
8,10,8,10,9,6,1,6,8,7,8,6,0,0
9,1,6,6,8,10,10,10,10,8,7,7,1,7
10,8,4,9,9,7,2,6,9,6,3,4,5,9
11,7,9,9,3,1,2,1,2,0,3,10,10,0
12,7,5,9,9,2,8,8,10,6,3,3,4,4
13,4,10,4,5,10,3,8,4,4,10,3,9,8
14,4,9,2,1,10,7,9,6,6,3,8,7,5
15,0,8,7,8,5,6,2,9,2,3,6,10,7
16,8,9,3,4,1,1,0,9,5,1,10,9,9
17,5,7,7,6,4,10,10,6,3,9,3,0,0
18,10,9,8,5,9,10,9,0,1,5,5,5,4
19,7,8,7,1,9,9,0,1,8,9,10,1,2
20,4,4,2,4,1,7,5,5,0,10,7,0,3
21,6,9,5,7,1,7,2,5,2,9,6,8,8
22,10,10,3,5,6,4,1,7,8,1,8,7,2
23,8,10,4,8,5,2,6,3,5,5,4,3,0
24,7,2,6,3,5,5,10,4,1,10,7,6,9
25,4,0,0,3,7,4,4,5,0,3,2,4,8
26,9,4,0,5,4,6,7,8,0,10,2,1,10
27,10,9,0,4,2,7,6,8,4,6,3,6,1
28,4,9,2,6,0,2,10,10,2,6,2,3,2
29,2,9,9,1,6,10,2,8,1,3,10,9,9
30,1,1,4,10,1,9,4,5,7,0,2,5,0
31,1,4,2,6,8,7,6,2,6,2,8,8,9
32,4,6,10,2,10,6,1,6,10,9,9,0,4
33,6,7,0,2,10,10,2,3,9,1,10,10,2
34,9,9,1,2,3,4,4,6,6,7,3,8,6
35,4,1,9,10,1,7,6,9,10,1,5,10,3
36,7,1,2,0,9,8,3,10,5,2,9,5,5
37,5,6,3,9,10,0,4,8,7,2,6,8,6
38,4,5,8,6,7,7,10,5,5,7,4,6,1
39,1,10,5,3,8,1,7,3,6,4,10,10,6
40,6,7,2,0,1,8,8,9,5,7,0,10,9
41,0,2,0,9,1,10,7,9,6,8,2,6,2
42,3,5,10,9,5,7,4,6,10,7,5,7,8
43,10,3,0,0,5,7,7,6,0,0,3,4,3
44,7,10,8,5,4,1,5,8,8,9,0,5,0
45,0,9,2,1,7,7,6,4,4,5,0,4,3
46,4,2,6,10,4,0,10,2,2,9,10,9,6
47,7,6,9,3,4,4,1,3,7,9,2,9,2
48,7,0,4,10,2,6,10,1,3,1,1,4,6
49,2,9,8,4,8,10,4,3,4,3,8,0,1
50,10,6,2,10,7,6,6,5,2,9,10,5,1
51,9,1,6,4,3,5,10,0,9,8,0,10,0
52,7,6,1,2,10,10,8,4,5,2,4,4,4
53,5,8,1,5,10,8,2,4,0,4,7,0,8
54,9,2,8,9,5,6,7,5,10,9,2,9,7
55,2,7,2,8,4,5,7,3,2,0,5,4,10
56,4,2,10,3,0,2,6,7,3,6,0,8,4
57,7,0,2,3,7,1,4,0,6,4,5,10,3
58,10,9,3,7,0,2,7,1,7,10,4,8,2
59,8,5,4,0,9,5,6,8,4,5,9,3,1
60,2,9,9,3,6,1,8,3,7,7,6,5,9
61,9,0,5,2,6,7,4,4,7,10,10,3,6
62,8,6,1,1,9,5,9,3,5,0,4,5,5
63,8,7,2,2,5,3,6,5,9,9,4,2,2
64,2,1,4,7,1,2,0,9,9,3,6,8,4
65,5,4,7,2,0,6,0,2,9,5,7,1,9
66,8,2,9,1,4,3,6,6,10,6,2,4,5
67,3,2,6,1,4,6,7,3,9,3,0,6,5
68,2,4,9,5,8,6,8,7,3,10,7,2,1
69,6,10,9,9,7,3,3,9,6,8,3,2,6
70,0,5,6,7,2,0,9,1,3,3,1,7,2
71,10,0,2,3,5,0,6,4,2,0,8,6,5
72,0,1,9,9,7,7,1,5,8,2,6,3,1
73,4,3,7,6,8,2,1,4,5,8,9,1,7
74,8,2,3,7,6,5,0,8,2,10,5,0,10
75,1,4,4,2,0,6,7,5,2,9,3,9,8
76,5,0,3,3,0,9,5,1,1,5,0,4,8
77,0,9,4,2,6,9,8,2,0,4,4,10,10
78,4,10,9,4,1,2,6,2,6,7,2,5,0
79,10,8,7,7,0,0,5,8,2,2,4,2,6
80,1,3,3,10,3,9,1,9,7,1,5,2,2
81,6,6,7,9,2,0,0,4,0,2,2,9,7
82,6,4,1,6,5,10,3,9,0,8,1,3,1
83,1,6,8,1,10,2,6,9,1,4,9,4,9
84,0,3,0,1,0,4,3,6,3,6,9,10,4
85,5,7,6,9,10,6,9,8,5,0,9,2,9
86,6,6,8,5,8,7,4,9,2,0,2,2,7
87,8,5,8,1,0,10,3,8,9,10,3,8,6
88,5,8,1,6,7,8,5,6,1,0,9,0,1
89,6,9,6,2,4,1,6,10,0,10,4,3,10
90,7,4,0,0,2,6,3,5,0,2,4,5,1
91,6,10,7,0,1,4,0,1,4,1,6,5,7
92,0,10,8,7,0,1,7,4,2,1,0,0,9
93,7,6,4,5,7,6,9,8,1,5,5,1,3
94,6,10,3,5,6,7,3,7,8,3,5,5,6
95,10,10,8,10,5,5,6,0,10,0,1,0,0
96,5,5,4,4,3,3,4,5,3,2,4,3,4
97,4,0,3,7,10,5,9,4,2,0,9,6,1
98,9,7,3,3,1,2,3,7,7,5,1,7,0
99,2,4,8,1,4,2,8,6,6,6,6,10,8
100,0,2,10,1,3,3,1,5,8,3,9,8,10
101,2,1,10,0,10,0,3,4,10,10,7,7,1
102,1,2,4,2,10,8,0,0,1,6,0,9,4
103,8,6,0,3,4,1,4,8,9,0,6,9,3
104,1,8,8,7,0,3,6,7,1,0,6,8,2
105,7,5,2,1,5,8,2,10,2,3,9,9,10
106,6,6,3,2,3,6,4,0,0,7,4,9,4
107,1,2,4,4,4,9,2,6,3,1,0,5,4
108,8,2,2,3,3,2,3,1,0,9,8,3,7
