0,1,2,3,4,5,6,7,8,9,10,11,12
8,0,4,7,52,3,8,2,1,10,0,5,7
3,2,2,12,45,8,49,4,7,0,9,6,1
1,5,6,58,95,9,81,8,5,1,7,9,3
10,7,8,11,78,1,28,9,2,3,3,4,4
7,10,9,93,53,10,18,2,4,2,9,7,5
2,8,7,59,75,1,59,8,5,8,0,10,10
1,5,0,87,21,9,61,6,9,7,9,9,9
4,3,5,95,68,5,52,3,6,0,5,6,3
3,0,5,66,74,2,14,3,9,10,2,1,4
4,6,6,72,81,4,10,10,5,8,4,6,6
2,10,10,4,87,9,64,7,7,10,9,7,8
6,8,3,36,97,4,46,3,10,7,3,0,1
4,8,9,34,68,5,41,3,0,7,5,0,9
10,7,4,34,77,6,90,4,5,10,9,4,5
7,9,8,98,35,9,30,2,6,5,3,10,6
4,1,0,63,10,7,75,0,0,4,9,6,9
0,7,6,52,51,9,76,9,1,6,10,5,6
10,8,8,3,91,2,49,6,7,8,6,8,9
8,5,9,47,1,5,75,2,10,8,0,5,5
4,6,5,47,54,4,33,2,7,4,3,9,8
7,8,0,38,26,8,34,2,6,5,9,5,6
2,6,2,22,24,10,80,2,5,4,3,5,1
7,10,4,33,99,8,52,9,7,0,3,1,3
9,6,7,57,41,1,35,8,5,9,2,3,8
0,2,6,95,75,5,96,4,7,3,7,5,0
9,0,2,89,88,2,27,0,3,8,3,4,8
2,2,2,79,46,6,16,3,6,9,5,10,1
5,8,4,71,74,6,13,0,4,10,9,10,1
10,0,5,69,94,4,8,4,9,0,9,2,10
2,1,6,7,88,8,82,1,5,1,2,3,4
8,0,10,93,15,6,37,3,2,1,8,1,2
9,2,5,68,98,0,15,3,5,0,4,10,5
9,8,1,65,3,7,40,3,5,0,5,9,4
2,1,6,21,27,10,31,0,0,9,7,0,3
9,8,1,83,30,2,24,0,6,9,8,10,7
9,7,6,83,29,4,3,9,4,0,0,5,8
6,7,5,10,63,9,48,3,5,5,0,5,1
9,3,3,54,92,8,65,0,2,4,1,7,4
1,5,7,80,65,5,54,5,2,7,0,7,8
5,6,2,37,66,7,86,0,4,4,1,3,5
7,2,5,38,35,2,65,1,4,9,0,7,4
4,0,0,93,99,4,48,8,1,3,7,0,6
5,1,0,7,17,8,31,5,8,4,9,4,1
7,10,7,3,9,6,2,8,10,6,10,9,4
7,9,10,88,25,4,55,5,10,4,8,6,7
3,4,9,58,10,0,45,4,1,2,0,2,5
2,8,2,69,85,8,7,4,2,4,6,8,9
10,2,10,20,45,2,1,1,4,3,0,5,5
5,7,9,95,16,6,74,4,6,9,3,5,6
4,4,3,76,97,9,66,4,1,10,9,6,4
10,4,8,37,69,2,96,4,8,5,10,0,9
7,10,0,58,68,8,53,6,1,9,5,10,1
2,1,7,33,6,5,79,8,10,10,9,8,9
2,3,5,44,27,7,37,9,6,9,7,10,8
6,4,7,29,72,5,10,9,7,7,4,6,0
7,2,10,50,64,1,55,8,10,7,6,8,3
1,5,1,44,36,2,56,1,2,0,9,4,9
3,8,9,26,65,0,71,4,0,8,10,6,5
9,1,8,37,82,4,14,2,5,1,8,7,5
2,7,1,50,32,10,5,6,9,2,3,3,9
0,10,0,47,0,10,46,7,8,1,7,10,9
1,10,3,35,10,1,60,1,3,1,8,3,9
9,6,5,90,70,8,92,6,2,4,1,5,4
6,5,1,14,65,9,9,7,10,9,7,6,1
2,2,3,78,31,3,93,5,7,10,1,2,8
5,10,4,51,48,9,8,2,2,1,7,1,10
10,0,0,15,45,7,58,10,1,3,5,5,9
3,1,1,40,98,1,39,5,5,9,9,5,7
0,5,2,4,69,8,49,7,6,4,9,6,3
4,7,2,83,20,2,7,1,2,5,3,7,5
0,1,9,83,70,10,45,4,8,10,2,0,3
7,9,2,29,99,1,95,4,9,6,3,4,0
0,10,7,47,92,0,79,6,3,2,0,10,4
7,9,0,45,79,4,99,10,6,3,4,4,4
8,8,8,91,54,4,14,5,4,2,10,8,10
6,9,2,23,2,7,47,9,6,3,8,2,4
2,1,5,93,74,1,64,6,1,2,8,6,3
3,10,5,11,22,8,34,1,6,7,1,2,6
3,9,3,38,67,3,44,0,3,3,2,2,6
8,6,0,21,50,2,66,7,10,0,8,9,4
9,2,7,20,41,0,80,2,7,1,5,0,10
5,8,4,79,79,10,13,9,1,2,5,6,6
3,7,1,70,34,5,95,6,9,6,6,3,9
9,3,8,0,80,3,75,4,3,8,4,0,1
6,5,1,82,47,4,97,3,7,10,4,9,2
8,2,7,88,15,1,36,9,7,2,4,9,7
0,6,9,60,9,1,3,10,6,1,1,4,8
5,1,4,56,75,9,62,9,6,5,1,7,6
6,7,9,40,99,7,63,6,8,3,1,8,8
3,2,9,53,35,6,50,5,10,4,3,4,2
5,7,0,73,55,0,4,7,6,9,3,10,1
7,9,8,50,83,2,62,0,6,3,4,7,1
1,0,5,28,61,0,100,9,7,5,3,10,7
1,1,5,12,18,10,66,2,8,2,8,4,6
6,4,10,25,35,10,10,10,5,8,10,9,0
10,0,7,42,94,3,9,4,9,1,8,9,3
2,2,2,43,98,4,83,3,0,5,10,10,4
3,4,5,15,39,9,81,2,9,7,1,2,7
2,5,3,31,76,5,6,9,4,7,4,0,2
9,6,3,90,76,9,8,5,8,1,10,3,10
7,9,10,52,67,1,14,6,9,4,6,6,2
3,5,10,16,71,10,97,3,1,5,1,2,10
9,4,10,87,10,8,75,2,10,2,5,1,10
1,1,2,97,68,1,68,6,7,10,10,3,4
0,9,7,58,26,8,43,7,0,2,7,8,10
