,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,6,2,0,10,5,4,0,10,10,3,1,1,10,0
1,4,1,7,10,2,10,4,6,0,9,4,0,0,1
2,0,9,10,8,8,7,4,6,5,9,1,2,9,9
3,10,4,7,1,2,5,4,10,10,3,1,5,3,9
4,1,5,9,8,3,0,5,10,9,9,1,10,10,0
5,10,8,2,2,2,2,7,5,6,10,8,7,2,2
6,8,8,4,5,6,9,6,10,8,7,7,8,4,2
7,0,3,1,9,0,8,9,3,10,2,9,0,3,1
8,3,8,0,10,1,8,7,8,7,5,4,10,6,6
9,2,7,10,4,1,0,10,8,4,6,1,9,6,9
10,9,6,7,0,5,7,10,2,9,5,8,0,2,2
11,0,4,2,9,8,5,9,8,6,2,8,8,6,1
12,4,0,10,9,0,2,6,10,8,8,8,0,6,6
13,3,6,9,5,6,7,0,5,0,0,8,0,3,3
14,1,3,3,3,1,3,2,9,3,0,4,5,7,4
15,7,2,1,0,8,9,8,6,6,2,2,6,7,3
16,7,7,7,2,5,6,6,3,6,3,8,4,2,7
17,6,1,8,10,8,5,5,2,0,2,8,6,9,10
18,1,6,1,0,4,10,5,5,8,7,2,1,2,6
19,10,9,8,8,9,5,10,9,7,1,7,2,5,7
20,0,9,1,6,10,5,7,5,7,9,4,0,5,5
21,8,1,7,5,4,4,9,2,7,8,0,3,7,1
22,8,10,3,0,8,5,7,7,3,3,3,0,10,10
23,9,1,8,0,5,6,1,10,3,0,9,4,1,9
24,0,8,5,0,2,0,2,3,5,10,6,4,7,1
25,0,0,4,0,10,10,6,7,6,6,0,5,5,9
26,2,1,9,5,1,7,1,0,4,5,6,9,2,5
27,2,9,1,6,5,3,10,4,2,8,6,10,10,4
28,8,3,4,4,0,9,0,3,1,3,8,10,7,10
29,7,4,6,5,4,8,1,8,10,10,10,3,6,8
30,9,2,5,1,8,3,3,6,9,1,7,7,10,4
31,6,0,0,0,3,6,3,4,6,10,9,6,2,10
32,9,5,1,6,9,9,5,8,9,1,10,8,4,4
33,3,3,2,0,4,6,7,1,6,9,8,7,5,0
34,7,5,8,7,10,4,7,10,10,5,7,0,10,4
35,3,4,6,2,7,4,10,3,2,5,4,2,0,6
36,7,7,4,8,10,0,2,7,8,9,5,8,8,0
37,4,9,7,8,1,5,9,10,4,6,7,5,7,7
38,3,8,9,8,9,4,8,6,4,4,2,1,6,3
39,3,1,3,10,2,3,8,10,4,6,6,2,1,1
40,6,3,6,1,2,8,5,8,7,2,8,9,7,9
41,6,4,2,5,4,5,2,6,2,3,8,2,5,2
42,1,10,3,1,7,6,6,4,1,6,0,0,0,0
43,10,6,10,4,0,5,3,6,8,10,2,9,7,10
44,4,3,2,5,6,8,8,1,7,0,1,6,7,5
45,4,3,8,6,9,5,10,8,5,4,2,4,4,4
46,7,5,3,10,8,3,0,8,5,6,10,6,7,2
47,1,7,3,9,6,6,3,2,4,3,9,2,7,6
48,1,4,0,1,7,10,1,5,8,9,5,9,3,6
49,10,4,7,0,4,4,5,10,6,6,8,8,1,3
50,4,3,8,7,3,9,8,1,4,8,8,10,10,5
51,0,6,9,5,10,9,8,2,9,9,1,7,2,2
52,6,9,9,1,6,3,9,4,4,0,7,9,9,5
53,8,0,6,6,0,10,6,5,1,7,5,5,5,4
54,2,6,4,6,9,8,7,7,5,7,3,6,10,9
55,9,10,3,1,6,4,5,9,8,10,6,2,4,9
56,7,7,0,10,3,4,3,1,6,2,6,10,5,0
57,1,8,2,2,9,5,10,4,10,8,9,2,10,0
58,4,9,8,2,9,6,7,0,9,8,9,1,9,2
59,4,10,0,0,9,0,8,10,0,2,7,6,5,10
60,1,6,8,10,9,9,10,9,3,6,8,9,2,10
61,8,3,1,4,2,2,5,6,1,8,1,8,8,10
62,4,7,7,1,10,2,4,6,10,7,5,7,4,7
63,3,6,0,10,8,7,6,0,0,7,2,2,7,4
64,8,8,10,6,3,8,3,9,6,1,3,7,7,9
65,4,9,7,9,4,2,2,1,0,4,6,7,0,3
66,0,10,9,8,0,6,6,4,8,5,10,4,9,3
67,7,5,0,6,10,9,3,4,5,3,4,2,5,7
68,9,2,6,5,2,10,1,1,6,0,8,2,10,4
69,4,3,1,7,1,9,0,4,6,2,0,10,2,1
70,3,1,4,0,0,0,3,8,3,7,0,3,0,6
71,1,6,6,1,6,1,4,0,8,3,10,4,2,8
72,5,8,6,5,9,10,7,6,1,10,0,7,9,0
73,2,8,0,4,1,9,6,3,5,3,5,3,1,5
74,5,9,0,0,10,0,0,10,8,7,8,0,0,2
75,9,0,0,5,6,10,7,0,5,4,3,6,0,5
76,5,8,2,0,8,5,1,8,8,6,6,5,10,7
77,8,5,2,6,7,8,2,7,0,9,7,7,0,10
78,3,1,3,6,6,0,0,5,8,3,8,6,10,3
79,0,7,7,4,6,7,3,2,5,7,10,1,8,3
80,2,8,0,9,3,10,6,5,3,9,5,2,2,7
81,5,0,5,4,4,2,5,0,0,2,5,1,0,2
82,3,8,0,10,3,9,3,4,7,8,1,6,5,1
83,2,3,4,1,5,3,1,8,0,2,0,2,5,5
84,3,9,7,4,0,1,8,1,6,10,3,2,9,2
85,8,4,8,1,3,5,4,3,7,2,0,5,7,10
86,3,2,1,2,10,7,4,6,3,8,2,10,3,1
87,2,9,8,3,0,0,1,3,3,4,3,6,8,6
88,3,0,4,3,5,1,3,10,2,1,3,4,10,10
89,1,10,8,10,8,8,1,0,7,2,5,6,8,10
90,8,8,7,9,1,1,6,8,6,2,4,1,1,6
91,7,9,6,0,7,2,8,2,3,2,8,2,3,7
92,4,9,4,6,10,3,0,10,0,6,7,3,1,3
93,0,7,2,0,0,10,0,4,7,1,8,8,0,4
94,4,6,3,10,10,2,1,2,10,0,5,8,9,0
95,9,4,0,4,10,6,0,4,10,1,7,0,6,2
96,6,6,10,9,6,4,6,10,3,0,10,8,2,9
97,5,8,5,6,7,9,0,9,3,5,5,2,3,2
98,10,6,9,7,6,4,1,10,2,4,2,2,7,5
99,10,2,7,3,1,0,5,1,3,7,4,9,10,7
100,9,2,1,5,10,1,7,7,8,3,0,0,9,0
101,7,2,7,3,3,5,5,1,5,2,6,0,0,9
102,4,10,3,5,1,7,4,5,7,2,0,9,3,0
103,4,5,6,4,3,0,9,5,1,7,6,3,9,9
104,8,3,2,5,9,9,1,4,10,3,3,9,6,2
105,4,0,10,2,7,6,5,7,3,4,10,7,0,3
106,2,9,4,5,9,1,10,4,5,6,0,10,5,6
107,7,9,4,6,5,10,0,5,3,3,9,4,1,1
108,9,0,1,2,0,5,8,9,1,1,2,4,2,0
109,3,7,3,0,6,1,10,6,2,6,0,9,3,4
110,1,1,5,8,1,2,6,1,6,5,10,8,0,5
111,1,5,3,4,3,3,7,1,0,3,2,9,4,9
112,0,8,7,7,10,3,0,3,8,5,8,3,7,3
113,0,9,4,10,2,3,1,3,4,0,8,8,2,5
114,3,3,4,4,5,8,8,4,6,10,2,9,0,1
115,3,1,5,6,8,10,9,8,5,6,6,3,8,9
116,9,7,3,10,3,2,10,3,2,1,9,2,7,9
117,2,9,9,7,3,5,5,6,7,3,9,1,7,6
118,1,0,4,8,6,4,5,2,6,10,5,8,3,6
119,2,8,8,9,9,9,5,3,9,9,1,9,10,3
120,8,0,10,5,10,3,10,1,3,9,8,10,6,7
121,0,4,6,5,9,5,5,3,4,8,0,1,9,9
122,4,10,5,8,9,6,2,2,0,0,5,2,7,0
123,2,7,1,9,0,5,8,1,1,7,5,2,2,10
124,3,1,1,6,7,7,0,3,4,1,3,2,0,6
125,0,5,3,1,5,3,0,4,10,5,9,1,0,2
126,10,6,8,4,7,6,2,3,7,4,10,6,3,10
127,7,9,1,3,5,3,9,4,0,7,0,10,2,2
128,2,10,8,6,9,0,6,2,5,2,2,8,5,9
129,2,2,7,7,10,5,4,10,7,6,2,1,8,2
130,5,5,6,5,8,8,0,10,6,5,9,5,0,7
131,10,1,4,5,4,0,3,5,3,3,8,2,9,10
132,9,0,1,1,7,8,10,5,1,10,9,8,6,6
133,9,7,6,3,3,4,7,7,7,6,7,8,2,8
134,2,9,4,5,2,8,9,0,10,9,6,1,9,0
135,1,10,10,5,7,5,2,3,0,0,7,0,1,9
136,10,5,8,2,6,5,8,7,3,9,6,0,8,1
137,4,2,10,5,5,10,6,3,1,8,1,7,5,5
138,10,6,0,3,5,4,0,1,6,9,10,8,2,7
139,9,10,9,5,5,7,6,3,4,5,1,7,1,2
140,8,5,6,2,0,6,5,6,1,9,4,0,6,2
141,2,1,7,9,2,2,4,4,6,3,5,9,1,6
142,3,6,6,5,0,8,3,4,6,8,5,7,8,4
143,1,0,2,1,3,4,1,2,2,3,5,3,3,10
144,0,10,8,2,1,9,7,6,0,5,5,5,6,2
145,5,5,8,3,10,6,5,1,6,9,0,10,2,1
146,4,0,1,3,2,4,4,10,10,3,9,3,3,6
147,0,7,2,5,8,6,0,9,10,4,9,0,6,7
148,0,3,8,3,6,4,4,8,10,1,1,2,5,7
149,10,8,1,0,5,3,3,6,0,8,10,2,9,7
150,4,2,10,1,3,5,2,6,6,3,6,4,10,2
151,6,10,2,6,10,2,10,7,8,9,4,2,6,1
152,6,2,4,10,3,1,3,6,7,9,4,9,2,5
153,8,2,2,7,9,4,8,9,7,3,4,3,4,2
154,10,5,0,2,10,7,2,6,4,9,9,3,1,3
155,7,5,9,8,8,2,4,2,9,1,3,9,10,7
156,3,8,6,8,9,5,5,7,2,10,8,4,3,0
157,9,9,6,5,10,9,5,0,7,1,7,2,4,6
158,2,3,6,9,4,3,3,6,9,6,6,3,6,4
159,9,5,0,0,7,10,2,1,0,7,1,7,2,3
160,0,10,10,10,9,9,7,5,9,1,10,1,7,4
161,6,0,9,6,10,6,7,1,3,3,7,7,7,6
162,2,2,4,1,5,3,3,3,9,5,10,4,4,3
163,0,9,9,0,6,6,1,7,2,7,0,1,0,1
164,4,4,0,2,1,6,8,1,1,9,7,1,4,6
165,10,8,4,0,1,6,10,1,7,9,3,5,4,10
166,2,2,5,3,2,4,5,5,5,10,2,1,5,7
167,4,4,4,0,10,6,5,7,9,7,4,5,9,7
168,7,5,9,5,5,3,6,3,1,1,0,1,3,3
169,1,1,6,6,6,9,6,2,5,8,6,5,2,2
170,6,10,3,7,6,0,5,10,10,5,8,4,2,9
171,1,6,7,7,9,2,4,4,3,1,7,10,2,6
172,9,10,1,5,7,6,8,5,1,3,5,3,2,4
173,3,2,2,0,4,5,10,4,9,10,9,5,5,9
174,0,7,4,3,9,10,5,6,9,4,7,3,2,8
175,6,8,5,1,2,3,6,9,0,3,7,1,4,1
176,5,5,3,3,9,6,1,5,5,4,4,4,7,6
177,7,7,4,7,3,5,10,0,5,7,0,2,3,6
178,0,3,10,0,3,2,10,5,0,9,4,3,5,2
179,8,6,5,10,3,3,0,5,3,1,7,9,8,0
180,5,3,7,10,0,3,0,6,9,10,3,7,9,6
181,10,10,1,5,10,9,4,2,5,2,1,6,10,4
182,6,8,10,0,0,2,2,4,7,4,6,2,8,1
183,3,4,7,1,9,9,10,10,2,7,0,1,4,9
184,5,0,9,10,6,9,2,4,6,9,0,1,9,7
185,1,8,9,1,9,1,4,9,10,6,7,6,6,3
186,9,2,9,4,7,8,2,5,0,3,8,2,8,4
187,0,3,0,10,2,4,3,1,3,8,0,10,9,4
188,5,6,10,10,9,2,5,6,6,7,6,7,2,4
189,0,9,9,0,0,5,2,10,4,5,5,2,7,9
190,6,0,10,0,1,10,2,0,9,5,9,8,9,8
191,9,9,10,1,1,5,0,3,7,10,3,3,4,6
192,7,10,9,7,4,7,8,7,6,9,1,5,2,0
193,4,0,10,0,4,2,9,1,4,2,8,3,3,0
194,7,7,1,0,1,1,7,3,5,4,10,0,10,8
195,1,3,10,3,8,0,6,5,5,1,10,0,0,8
196,8,2,10,7,8,1,8,8,4,0,7,9,6,7
197,6,10,2,6,6,9,5,8,7,5,6,9,1,7
198,8,10,0,0,0,8,6,0,10,10,8,0,2,2
199,8,0,2,2,8,9,7,8,6,9,6,4,5,10
200,4,0,8,1,0,0,6,1,5,9,9,7,6,0
201,2,7,7,10,0,10,7,2,3,8,1,10,2,5
202,6,9,10,9,6,3,2,1,2,4,10,8,8,6
203,0,9,2,10,0,6,6,2,5,0,9,2,0,5
204,6,4,10,2,10,10,0,2,5,7,9,1,9,5
205,5,0,2,7,10,4,6,4,0,9,8,0,5,6
206,5,4,3,2,2,6,0,9,8,9,10,8,5,4
207,8,2,1,2,5,10,7,7,7,2,6,3,5,1
208,0,1,1,5,8,5,4,2,2,5,2,6,8,5
209,2,8,5,3,4,0,8,7,3,8,3,5,0,5
210,4,4,9,0,6,4,2,9,5,1,4,4,9,10
211,8,3,5,6,4,4,9,6,5,5,7,7,6,8
212,4,6,2,10,0,9,2,5,9,0,4,8,0,5
213,8,5,7,3,5,10,3,4,1,5,2,4,4,9
214,8,3,7,7,8,2,5,4,6,3,1,2,2,8
215,10,1,10,9,5,8,1,8,5,9,9,2,8,6
216,6,9,1,8,10,4,3,3,5,3,7,0,4,4
217,6,8,5,10,1,5,8,3,3,8,4,2,10,4
218,6,8,7,10,5,9,0,5,1,3,0,1,1,5
219,4,4,9,6,7,10,5,4,5,5,8,9,2,8
220,4,7,0,9,2,6,6,1,9,5,4,5,5,9
221,4,6,3,9,5,10,7,7,6,3,3,1,4,9
222,0,10,5,2,9,2,5,2,5,7,3,5,2,8
223,1,7,10,1,9,0,4,5,5,9,0,9,1,8
224,1,1,5,4,5,10,9,3,1,5,4,1,3,8
225,6,2,10,3,4,3,5,5,3,3,0,0,1,9
226,9,6,3,0,8,0,10,5,0,0,1,4,10,8
227,9,9,5,1,7,9,1,1,1,8,5,1,10,4
228,1,2,10,10,9,3,1,5,5,1,3,9,7,5
229,5,0,10,6,5,6,4,9,0,9,5,2,8,3
230,1,7,3,1,2,4,7,10,6,4,7,7,5,3
231,8,10,1,8,8,4,8,8,9,9,7,5,3,7
232,8,1,0,0,0,1,6,9,8,3,4,10,8,3
233,7,2,8,2,6,10,8,7,3,2,9,0,1,8
234,7,3,9,7,5,10,2,5,2,6,4,10,7,5
235,2,1,10,3,0,2,9,6,7,3,7,5,2,4
236,0,8,5,5,4,1,8,4,4,5,10,5,7,2
237,4,9,5,4,7,2,5,8,2,5,1,1,2,10
238,10,4,8,3,9,6,5,6,6,0,8,7,5,3
239,2,7,1,8,9,4,8,7,10,3,10,8,3,5
240,1,1,9,8,10,8,5,0,10,10,10,5,9,10
241,3,6,3,0,1,6,9,6,9,1,6,5,0,5
242,4,2,2,7,6,1,3,0,8,9,10,2,10,7
243,2,0,0,3,10,7,1,3,1,3,1,1,6,9
244,5,5,2,10,2,6,9,7,8,2,4,6,8,5
245,3,9,4,1,5,2,0,10,8,7,2,3,2,10
246,10,6,10,4,4,6,6,10,5,9,5,0,10,7
