,0,1,2,3,4
0,3,5,5,5,0
1,10,5,6,1,3
2,0,8,10,10,4
3,8,1,9,5,7
4,1,0,4,2,5
5,5,9,6,2,9
6,8,0,4,4,8
7,8,0,10,3,0
8,9,2,6,6,8
9,2,3,6,1,7
10,3,2,2,7,1
11,3,10,3,5,3
12,3,2,2,0,3
13,1,8,8,7,9
14,1,0,4,6,2
15,0,1,6,0,6
16,7,1,7,5,8
17,8,7,5,10,1
18,0,8,3,10,6
19,2,7,10,9,1
20,6,3,6,7,9
21,2,0,9,1,2
22,8,2,0,10,2
23,5,8,6,1,1
24,6,10,4,4,6
25,1,7,2,1,10
26,3,1,9,2,3
27,6,4,2,7,5
28,4,0,7,7,7
29,6,4,4,8,3
30,8,0,0,8,0
31,6,3,8,8,6
32,7,2,8,7,5
33,9,2,1,8,5
34,5,6,8,0,10
35,5,7,1,3,6
36,10,8,3,5,7
37,3,7,2,2,4
38,10,2,6,4,8
39,4,0,0,0,10
40,5,5,2,3,8
41,0,9,8,4,4
42,5,8,3,7,7
43,0,4,7,9,2
44,8,4,10,3,8
45,8,5,8,6,3
46,7,10,7,0,8
47,8,3,4,6,9
48,7,0,10,8,2
49,6,1,8,6,10
50,4,3,6,1,6
51,10,4,4,1,0
52,3,5,0,8,10
53,1,3,5,6,10
54,3,5,1,5,0
55,10,6,2,8,2
56,9,2,10,8,2
57,9,6,8,2,9
58,3,2,10,6,4
59,7,2,7,10,2
60,1,9,8,8,2
61,3,8,8,9,8
62,10,5,10,6,10
63,1,7,8,8,5
64,10,3,0,1,5
65,0,1,3,7,3
66,9,5,1,6,10
67,6,2,2,9,7
68,2,0,2,5,9
69,2,1,10,6,7
70,1,7,9,2,2
71,4,4,4,5,4
72,8,0,10,10,1
73,6,0,9,0,4
74,9,1,7,3,5
75,8,9,1,1,4
76,0,10,6,2,2
77,5,8,10,1,0
78,2,7,9,10,3
79,0,8,0,4,9
80,6,1,0,5,1
81,10,6,7,3,9
82,7,1,5,6,8
83,6,8,4,4,0
84,1,1,4,7,2
85,2,9,8,3,2
86,6,5,9,4,10
87,8,0,2,7,8
88,3,0,0,6,7
89,3,3,7,4,3
90,6,2,3,2,4
91,4,9,0,4,4
92,0,9,10,10,1
93,9,0,5,9,2
94,0,1,2,6,9
95,3,4,2,10,4
96,9,0,3,10,2
97,0,8,10,8,0
98,5,7,10,4,9
99,10,1,5,3,6
100,2,4,4,9,4
101,6,1,1,4,9
102,3,5,8,4,3
103,2,3,6,10,2
104,5,5,3,6,10
105,5,8,5,4,10
106,5,1,10,9,8
107,0,0,2,9,2
108,5,4,8,6,1
109,4,3,9,1,5
110,0,10,7,0,9
111,10,4,8,5,2
112,4,0,1,8,3
113,3,8,2,7,9
114,3,0,10,2,2
115,9,4,9,3,6
116,5,1,4,5,1
117,0,1,9,6,7
118,4,6,4,10,2
119,0,2,1,10,9
120,7,9,3,5,10
121,3,2,7,9,4
122,6,5,6,1,0
123,5,7,6,2,4
124,6,9,4,0,10
125,9,7,2,7,3
126,10,10,8,6,6
127,9,1,3,0,3
128,1,5,3,3,4
129,2,9,10,5,9
130,0,2,4,5,4
131,1,1,0,7,10
132,6,8,4,4,1
133,3,8,2,6,0
134,5,2,5,9,6
135,8,9,1,7,9
136,6,0,1,7,4
137,8,0,3,2,2
138,5,5,5,2,0
139,2,9,8,7,1
140,6,3,3,4,6
141,4,6,1,7,1
142,6,10,4,4,5
143,10,2,2,10,6
144,8,9,1,8,6
145,5,5,6,1,2
146,10,1,7,2,10
147,4,7,7,6,7
148,1,4,2,10,2
149,4,8,4,0,9
150,8,5,9,9,7
151,4,10,0,10,5
152,5,6,5,9,10
153,5,8,2,1,3
154,1,6,3,10,8
155,9,2,4,1,3
156,3,5,7,5,7
157,9,7,8,8,2
158,8,3,4,8,3
159,1,6,5,3,5
160,8,3,5,6,3
161,3,10,9,8,5
162,7,2,6,8,5
163,5,5,4,7,6
164,5,8,10,1,10
165,10,9,0,2,1
166,3,9,10,10,7
167,0,2,0,8,1
168,4,9,6,10,10
169,9,8,0,0,3
170,8,2,0,0,3
171,9,3,0,2,1
172,4,2,4,2,9
173,3,5,7,6,9
174,8,2,8,7,9
175,4,9,7,5,1
176,10,2,9,8,6
177,0,7,1,9,9
178,8,1,0,10,9
179,10,9,7,3,4
180,6,7,4,7,8
181,6,10,6,2,10
182,4,8,0,2,10
183,8,6,8,7,3
184,3,9,2,1,10
185,8,8,10,0,1
186,3,2,0,6,10
187,4,9,10,5,9
188,9,2,5,10,6
189,9,8,0,1,3
190,0,8,8,9,10
191,2,9,4,5,4
192,10,10,2,2,10
193,8,4,8,10,5
194,10,2,10,4,1
195,2,7,1,9,4
196,4,9,9,8,5
197,0,5,7,5,7
198,1,9,8,10,8
199,9,3,3,5,0
200,10,6,1,5,5
201,9,2,9,1,8
202,0,10,2,5,2
203,0,3,2,6,1
204,0,9,6,8,7
205,7,7,1,5,0
206,6,9,2,2,7
207,8,4,10,6,7
208,6,2,9,1,3
209,7,7,8,5,2
210,0,8,10,2,9
211,7,6,8,8,7
212,8,3,5,3,9
213,10,2,5,8,8
214,10,3,10,6,0
215,9,2,10,10,10
216,10,2,3,6,4
217,2,3,9,10,6
218,10,6,6,2,0
219,6,9,5,6,0
220,0,9,6,3,3
221,4,6,6,5,4
222,6,3,8,3,5
223,3,7,0,1,1
224,1,10,0,4,7
225,3,6,10,2,1
226,5,1,0,9,5
227,10,7,8,8,3
228,3,9,8,4,0
229,7,7,6,8,0
230,10,1,1,2,1
231,10,4,6,10,6
232,2,1,1,8,10
233,0,10,4,6,2
234,3,1,3,6,4
235,7,1,8,7,8
236,10,2,7,3,0
237,4,2,1,0,5
238,1,4,3,5,9
239,10,7,3,3,1
240,8,7,4,3,9
241,9,9,4,1,9
242,4,3,9,4,5
243,3,4,8,2,0
244,4,6,10,2,9
245,0,4,7,10,4
246,10,6,3,7,9
247,8,0,8,2,5
248,6,1,9,1,7
249,10,10,4,6,0
250,10,2,5,8,10
251,1,0,5,2,8
252,0,9,4,4,8
253,2,0,4,1,10
254,6,5,3,2,9
255,8,2,0,8,5
256,8,6,2,3,7
257,7,1,7,0,2
258,8,6,8,3,9
259,6,1,4,5,1
260,9,10,8,6,8
261,7,5,9,6,8
262,4,9,9,7,8
263,5,5,9,2,9
264,9,1,9,3,1
265,3,7,1,8,7
266,2,9,1,5,5
267,1,5,3,6,5
268,7,10,7,8,8
269,4,7,4,9,6
270,10,5,10,0,10
271,1,3,2,9,1
272,2,2,2,2,4
273,3,1,0,2,3
274,10,0,7,0,5
275,10,0,4,7,2
276,0,2,4,10,5
277,8,9,10,9,1
278,7,4,2,3,9
279,8,0,3,0,10
280,1,2,0,9,9
281,4,10,8,3,9
282,7,1,9,2,2
283,2,3,7,5,9
284,2,1,3,9,0
285,9,3,6,10,8
286,0,0,10,5,4
287,9,3,9,2,1
288,2,4,4,3,3
289,10,2,6,1,3
290,9,8,6,10,7
291,10,7,3,6,6
292,8,2,7,3,1
293,2,9,2,9,7
294,3,4,7,9,7
295,10,10,9,10,2
296,6,4,6,8,0
297,0,6,5,9,2
298,6,8,4,3,2
299,7,3,6,10,0
300,9,2,9,2,8
301,1,10,10,7,3
302,1,10,3,9,7
303,9,7,8,5,7
304,9,7,1,10,10
305,9,8,9,7,6
306,3,5,10,9,3
307,3,7,8,10,8
308,6,10,7,7,7
309,2,0,1,0,3
310,6,0,0,8,8
311,5,2,0,2,10
312,2,4,5,7,2
313,6,8,9,0,1
314,5,0,6,8,6
315,10,4,0,7,9
316,8,6,9,4,0
317,5,0,8,0,4
318,10,4,9,10,5
319,9,1,4,8,7
320,6,4,6,8,6
321,6,6,7,9,10
322,1,8,2,7,1
323,10,4,9,1,6
324,4,8,6,1,2
325,9,5,0,7,8
326,6,5,4,1,6
327,10,4,3,6,10
328,5,1,0,3,10
329,6,5,7,9,3
330,1,0,4,9,3
331,8,0,3,3,3
332,6,2,2,4,9
333,3,3,6,6,7
334,8,4,3,9,10
335,6,6,0,9,6
336,6,5,7,3,5
337,9,2,1,9,8
338,5,2,5,3,8
339,3,10,3,7,4
340,4,0,8,9,3
341,0,6,5,0,4
342,0,1,1,3,9
343,4,6,8,0,10
344,0,9,6,5,3
345,7,1,6,0,10
346,7,10,1,6,7
347,5,4,6,4,7
348,10,7,10,0,8
349,8,2,8,5,9
350,3,1,7,8,0
351,9,6,7,6,6
352,3,10,0,5,3
353,4,8,7,8,8
354,0,3,4,8,2
355,2,5,1,7,4
356,4,5,6,6,3
357,10,4,8,0,9
358,4,5,6,5,7
359,3,0,5,8,6
360,8,3,7,0,3
361,2,5,7,1,1
362,1,10,3,1,6
363,7,1,1,7,6
364,1,3,2,8,5
365,2,7,0,8,7
366,4,9,4,6,4
367,2,1,0,8,8
368,3,8,2,4,0
369,8,9,0,9,2
370,7,7,9,2,10
371,0,10,7,2,7
372,9,8,9,9,4
373,8,4,5,5,8
374,0,4,9,2,7
375,0,3,2,8,1
376,3,3,10,1,5
377,5,3,5,4,5
378,0,1,1,3,5
379,10,7,10,5,3
380,3,7,6,8,8
381,0,1,2,7,8
382,0,8,0,0,6
383,3,8,2,0,8
384,3,2,4,2,10
385,3,5,10,9,3
386,6,4,9,9,7
387,1,5,8,1,6
388,8,4,1,7,0
389,9,2,9,7,8
390,6,6,4,0,3
391,1,9,9,5,3
392,3,0,6,7,7
393,6,9,9,5,10
394,9,6,3,4,4
395,6,7,7,0,8
396,9,10,1,9,9
397,9,5,7,0,5
398,8,10,5,7,7
399,3,4,3,7,8
400,1,8,4,3,1
401,5,0,9,1,6
402,4,10,5,10,8
403,2,10,5,7,10
404,0,0,9,2,4
405,9,3,7,4,7
406,9,10,10,5,9
407,9,5,0,7,8
408,8,4,2,5,10
