0,1,2,3,4
10,85,10,90,45
10,45,10,50,95
10,47,10,47,85
10,62,10,25,10
1,78,10,18,6
10,41,10,98,48
10,58,10,3,42
10,0,7,40,28
2,100,10,6,98
1,17,10,78,33
10,10,10,78,22
10,72,10,86,60
10,58,10,96,18
6,70,10,55,63
10,34,10,38,74
10,77,10,90,54
10,33,10,51,59
10,16,10,42,37
10,86,10,4,21
10,27,10,79,56
10,92,10,74,13
10,47,10,53,32
10,19,10,63,6
10,74,10,28,48
10,47,1,57,35
10,16,10,6,15
10,19,10,21,70
10,5,10,83,44
10,83,10,28,52
10,71,10,30,35
10,92,10,88,88
10,68,10,94,68
10,1,10,22,23
10,44,10,55,90
10,3,10,40,34
3,62,10,89,62
10,37,10,16,96
10,16,10,17,6
10,83,10,7,53
10,70,10,33,74
10,83,10,14,11
10,93,10,34,7
10,29,10,77,37
6,59,10,23,80
10,60,10,20,93
10,74,10,61,75
10,17,10,91,37
10,18,10,77,55
10,0,5,63,4
10,15,10,94,61
10,32,10,38,42
10,45,10,6,85
7,66,10,47,72
10,93,10,99,20
10,44,10,5,68
10,31,10,46,61
10,8,10,63,95
10,72,10,23,16
10,26,10,68,67
10,89,10,1,67
10,55,10,76,5
10,9,10,65,44
10,88,5,83,96
10,87,10,11,96
10,63,10,13,18
10,7,10,100,5
10,64,10,86,71
10,38,10,70,9
10,50,10,45,4
10,95,10,40,63
10,46,10,82,14
10,7,10,66,63
10,42,10,93,100
10,35,10,88,23
10,66,10,37,37
10,89,10,75,48
10,26,10,34,19
10,53,10,75,5
10,72,10,44,6
10,30,10,42,60
10,19,8,56,76
10,48,10,36,0
10,95,0,68,53
10,18,10,10,59
10,0,10,17,78
10,73,10,68,42
10,60,10,17,80
6,0,10,36,37
10,12,10,32,62
10,100,10,25,11
10,31,10,50,76
1,15,10,40,36
10,97,8,89,25
10,24,10,41,6
10,29,10,45,28
10,84,10,50,91
10,35,10,51,55
2,65,10,44,84
10,83,10,22,51
10,22,10,89,85
10,61,10,62,20
10,52,10,60,93
10,28,10,15,70
10,97,10,43,64
10,82,10,30,75
10,54,10,25,66
3,26,10,84,0
10,9,10,3,81
10,51,10,3,24
10,16,10,44,97
10,22,10,82,80
10,9,10,10,58
10,87,10,13,31
10,40,3,13,78
6,83,10,82,71
10,46,10,54,55
6,57,10,53,23
10,65,10,51,28
10,2,10,22,14
10,43,10,89,96
10,4,10,16,64
10,78,10,100,89
10,2,10,71,29
10,73,10,15,91
10,28,10,90,55
10,39,10,15,100
10,51,10,14,50
10,74,10,12,94
10,89,10,16,80
10,67,10,87,42
10,64,10,15,65
10,13,10,4,72
10,15,10,31,76
10,47,10,95,21
10,79,10,61,36
10,79,10,68,25
7,37,10,92,9
10,5,10,0,44
4,57,10,45,28
10,34,10,83,34
10,39,10,49,48
10,56,10,82,34
10,92,1,42,33
10,67,10,58,44
10,67,1,13,2
10,61,10,83,26
10,51,10,41,53
10,19,10,17,66
10,44,10,38,47
10,86,10,88,98
10,26,10,97,0
2,28,10,5,32
0,28,10,0,25
10,56,10,20,6
6,74,10,86,14
10,57,10,51,33
10,88,10,71,81
10,61,10,22,23
10,65,10,69,3
10,22,9,81,4
10,15,10,53,65
10,16,10,44,20
10,40,10,53,89
5,9,10,43,76
10,92,10,36,45
10,1,10,3,13
10,26,10,21,56
10,29,10,52,28
10,98,10,74,83
10,79,10,45,26
10,73,10,21,1
10,60,10,44,43
10,49,10,6,45
10,80,10,50,80
7,32,10,72,26
3,71,10,10,50
10,96,10,39,49
10,2,10,94,22
10,59,10,44,50
10,12,10,67,54
10,23,4,65,63
10,2,10,27,65
10,77,10,38,17
10,79,9,89,93
10,24,10,95,62
10,97,1,98,90
10,34,10,81,25
10,31,10,32,36
10,54,0,34,64
10,54,10,42,99
10,9,10,92,78
2,52,3,57,32
10,44,10,78,39
10,83,10,97,30
10,67,10,58,73
10,49,10,62,24
10,78,10,100,28
10,10,10,70,10
10,64,10,16,10
10,96,10,68,82
10,89,10,14,94
10,74,10,3,51
10,71,10,0,32
10,82,10,73,30
10,91,10,76,45
10,0,10,27,33
10,76,10,95,44
10,35,10,2,88
10,19,10,81,42
10,88,10,76,49
1,30,10,33,85
10,47,10,70,33
10,88,10,79,31
10,9,10,92,5
10,30,10,24,60
10,58,10,100,79
10,73,10,11,48
10,71,10,6,35
10,40,10,68,48
10,55,10,29,39
10,63,10,72,54
10,19,10,92,72
10,2,7,46,82
10,70,10,36,10
10,88,10,49,7
10,56,10,9,44
9,75,10,61,45
10,71,10,21,32
10,92,10,88,92
10,61,10,47,34
10,70,10,36,32
10,79,10,55,60
10,67,7,43,71
2,37,10,85,97
10,21,10,34,19
10,28,10,28,82
10,55,10,57,12
10,63,10,44,77
10,29,10,98,86
10,88,10,40,93
10,67,10,73,53
10,100,10,60,65
10,92,10,78,51
6,98,10,20,86
10,35,10,74,41
10,34,10,93,52
10,25,10,66,15
2,54,8,82,38
5,99,10,86,69
10,78,10,23,95
10,70,10,22,45
0,23,10,7,91
10,81,10,87,82
10,51,10,72,54
10,90,10,35,50
3,100,10,42,77
10,21,10,19,38
10,26,10,5,29
10,57,10,19,31
10,87,10,56,34
10,27,10,11,75
10,87,10,82,68
10,52,10,98,30
10,82,10,21,47
10,50,10,100,23
10,75,10,57,90
10,37,10,97,21
10,83,10,7,12
10,80,10,10,45
10,88,10,67,7
10,37,10,4,99
10,8,10,39,0
10,24,7,32,47
10,33,10,52,29
10,11,10,17,51
10,73,10,99,58
10,73,9,52,84
10,19,10,19,22
10,90,10,11,86
9,62,10,81,21
10,99,0,50,30
10,38,10,61,48
10,49,3,24,48
1,72,10,51,46
10,89,10,83,9
10,72,10,18,58
9,28,10,56,83
10,24,10,87,29
10,63,10,84,36
10,79,10,56,64
10,21,10,37,31
10,22,10,82,97
10,61,10,37,8
10,40,10,79,21
10,10,10,36,20
10,12,10,100,67
10,16,10,19,11
10,100,1,79,89
2,33,10,31,7
10,6,10,8,88
10,44,10,11,87
8,15,10,33,68
10,20,10,91,62
10,64,10,63,69
10,88,7,40,55
10,47,10,94,82
10,79,10,30,49
10,96,10,6,99
10,91,10,5,42
10,34,10,28,12
