0,1,2,3,4,5
2,71,4,1,17,11
6,59,26,10,23,42
38,5,21,2,44,52
76,47,48,9,79,76
35,54,72,0,4,8
73,23,69,5,16,15
44,4,26,3,15,66
17,50,69,9,82,7
5,82,58,3,31,55
51,23,27,7,81,15
23,19,43,3,47,70
2,51,25,3,45,18
98,69,18,5,92,68
16,15,47,4,14,28
98,6,6,10,11,23
3,28,27,1,65,93
26,44,40,0,75,65
62,4,72,5,86,1
23,93,17,1,14,16
60,77,42,1,75,48
81,93,11,7,80,91
20,76,91,1,81,94
85,97,91,1,47,89
37,95,99,4,33,2
0,60,31,3,50,66
24,5,56,6,34,38
46,26,36,3,89,33
70,25,4,9,68,32
24,24,17,5,48,33
76,58,7,2,45,72
66,89,55,3,88,77
39,72,55,1,47,55
13,99,1,0,81,86
90,94,51,0,72,85
13,35,1,7,100,23
41,74,68,2,84,97
61,57,84,7,2,34
56,74,23,10,8,21
24,34,94,6,33,4
58,81,87,8,61,68
99,47,13,0,94,88
7,69,81,9,95,19
22,66,12,2,47,90
8,67,94,9,33,70
20,44,99,10,57,66
51,97,5,6,36,25
82,21,91,7,50,57
48,52,16,3,10,87
31,78,34,10,56,61
75,85,61,6,89,61
3,38,66,8,7,2
19,43,76,3,13,71
16,4,28,6,93,5
1,48,89,2,3,70
19,8,49,7,1,67
82,66,13,4,4,15
4,6,2,8,14,32
16,93,62,6,41,32
58,64,82,3,21,27
51,86,39,6,35,9
74,77,31,1,58,33
41,60,7,4,84,4
49,46,65,4,74,34
54,88,6,7,37,34
9,82,55,1,47,63
17,52,6,3,12,60
52,43,39,3,42,35
29,59,0,7,73,56
41,85,91,1,90,15
60,99,83,0,50,1
41,81,22,7,62,19
2,23,23,3,96,36
89,18,5,0,79,25
58,28,12,7,89,13
17,21,18,7,82,69
27,79,90,6,57,62
60,75,52,9,88,58
82,27,49,1,73,57
65,0,9,5,78,50
94,2,51,8,38,51
49,93,38,3,8,43
39,61,1,0,65,56
9,38,42,3,39,34
23,96,44,3,55,87
25,22,40,9,38,58
18,100,21,5,0,1
46,82,45,10,39,87
15,12,53,10,72,27
19,79,41,10,93,12
45,42,27,1,76,8
57,51,88,2,70,96
58,39,66,10,56,46
7,16,83,10,85,20
8,87,41,7,14,18
17,74,81,0,97,85
40,25,73,3,61,43
64,52,40,3,75,59
52,1,14,3,80,96
42,19,29,1,0,14
73,70,50,3,42,28
31,92,96,4,76,6
58,19,79,8,35,90
83,82,72,4,87,90
73,2,40,0,59,40
73,11,47,7,57,75
65,22,29,10,97,65
65,68,80,2,48,79
78,37,68,2,9,32
87,56,87,8,67,46
30,62,51,5,80,38
4,0,5,10,44,5
90,100,4,1,38,25
88,5,77,4,67,48
20,2,37,8,0,12
48,51,47,2,83,51
66,37,8,3,59,94
10,80,56,0,7,56
70,34,1,1,68,8
25,1,38,2,53,17
61,17,62,10,70,7
75,60,19,9,16,95
47,68,4,3,75,31
93,74,49,7,83,71
94,49,22,4,14,42
49,52,44,7,69,54
18,36,31,7,73,87
70,27,20,1,32,40
80,98,92,6,42,11
3,58,45,1,43,16
87,18,63,9,79,71
19,51,100,2,50,71
22,77,3,2,50,20
31,71,38,2,74,100
71,7,27,5,6,72
89,50,45,5,6,9
60,26,28,6,92,75
17,40,26,6,79,49
55,68,20,6,52,58
50,43,64,7,52,67
63,99,99,9,40,66
68,96,16,9,64,40
41,19,97,8,61,75
67,21,97,9,32,84
59,21,99,8,54,17
31,82,32,5,26,56
11,72,100,8,9,64
74,25,36,5,12,87
62,67,91,9,37,2
99,15,31,0,72,24
4,88,93,8,58,5
19,24,16,0,80,42
13,98,75,7,44,13
