,0,1,2,3,4,5,6
0,69,3,71,89,42,21,29
1,69,8,100,97,28,27,76
2,33,6,75,29,3,41,99
3,79,2,92,45,50,13,72
4,80,1,49,75,88,50,36
5,65,6,40,47,51,31,2
6,56,8,45,76,50,78,50
7,82,9,0,46,3,58,54
8,97,0,57,33,61,8,89
9,43,8,63,44,57,87,96
10,36,4,28,98,36,62,2
11,84,6,62,77,90,52,15
12,99,7,10,29,32,35,17
13,41,5,24,61,90,1,70
14,99,3,59,36,77,74,93
15,0,4,88,79,74,23,100
16,14,3,30,19,81,22,27
17,64,4,97,44,29,91,77
18,7,6,21,96,94,48,68
19,17,6,36,41,82,19,69
20,43,1,47,1,100,52,37
21,28,0,69,64,46,66,15
22,26,9,38,49,89,89,25
23,54,2,60,82,40,58,24
24,32,7,45,16,19,49,25
25,46,8,29,22,0,10,69
26,40,0,6,45,60,82,21
27,96,2,28,75,78,37,92
28,51,6,63,35,92,87,33
29,3,3,19,15,2,75,29
30,30,6,12,48,74,99,85
31,19,4,46,13,90,27,81
32,57,6,96,50,96,2,78
33,4,8,31,96,88,85,51
34,14,8,80,47,47,80,28
35,67,9,97,61,63,19,5
36,47,0,65,39,9,18,28
37,68,10,84,22,70,94,33
38,23,8,25,20,84,58,41
39,79,3,85,72,68,79,47
40,89,9,58,98,25,14,16
41,14,3,28,49,53,56,57
42,55,5,20,53,17,40,43
43,62,8,25,3,45,49,69
44,73,8,32,4,8,71,46
45,87,7,29,83,48,48,70
46,65,0,76,11,5,28,20
47,28,0,20,81,39,23,25
48,76,0,92,80,77,89,37
49,7,1,15,11,38,31,70
50,57,6,92,78,55,95,30
51,8,1,0,50,28,7,55
52,84,3,13,87,22,53,61
53,72,3,8,84,8,77,37
54,26,1,45,37,89,94,33
55,40,6,97,72,96,29,80
56,31,3,81,54,26,50,91
57,1,8,97,14,56,72,56
58,65,3,35,40,55,67,36
59,49,9,81,80,95,81,96
60,23,4,73,24,99,23,80
61,59,6,97,39,56,13,5
62,57,2,40,78,85,68,73
63,76,7,42,62,4,26,94
64,76,10,18,15,15,2,41
65,70,1,65,78,37,11,33
66,2,0,99,93,91,49,3
67,100,6,98,36,48,92,11
68,14,1,53,6,4,7,77
69,39,0,79,60,83,55,37
70,49,2,46,36,55,94,78
71,13,4,16,54,79,89,26
72,42,3,96,31,27,4,81
73,51,2,50,3,52,58,91
74,55,3,16,15,83,58,84
75,38,6,7,61,53,41,34
76,18,1,12,47,74,36,45
77,95,4,90,3,89,26,93
78,59,6,84,0,47,50,39
79,82,7,34,94,69,54,11
80,2,7,1,60,1,100,39
81,77,9,49,26,9,26,1
82,38,3,83,54,98,25,27
83,26,5,86,97,30,1,97
84,71,2,52,10,27,92,47
85,46,2,23,13,4,42,55
86,32,6,42,2,67,61,78
87,69,8,22,16,87,84,26
88,71,4,7,6,2,91,45
89,62,5,9,90,100,60,50
90,50,0,58,32,61,0,99
91,1,4,53,90,4,23,84
92,27,0,92,35,63,33,2
93,76,4,33,8,9,90,89
94,49,0,91,19,11,25,60
95,47,3,68,75,33,76,72
96,97,0,39,29,85,67,24
97,73,5,40,65,26,2,69
98,67,9,7,14,84,88,6
99,36,2,13,0,70,54,83
100,0,2,35,97,90,17,52
101,24,2,46,30,18,50,97
102,33,9,2,58,96,9,26
103,86,4,3,5,54,68,12
104,90,9,74,50,5,96,62
105,76,6,81,14,25,63,92
106,18,0,85,49,22,49,39
107,67,6,56,100,86,77,71
108,2,9,5,15,69,100,33
109,92,9,17,78,26,10,26
110,35,7,92,84,89,92,3
111,72,0,41,59,32,84,74
112,30,2,9,78,44,79,49
113,5,9,63,77,0,68,20
114,11,3,61,52,50,71,68
115,89,3,26,51,42,14,85
116,10,7,92,31,30,13,58
117,83,2,41,87,3,50,43
118,41,8,8,7,15,97,55
119,69,6,92,6,3,99,0
120,13,9,6,58,48,19,77
121,7,2,26,67,87,75,38
122,82,8,63,72,20,84,1
123,54,5,61,47,67,98,21
124,54,0,71,45,9,75,13
125,65,0,77,45,87,47,4
126,40,4,67,52,47,27,96
127,92,1,47,38,0,49,90
128,23,0,94,28,97,77,65
129,84,9,92,86,33,41,63
130,62,0,9,51,93,35,59
131,77,5,31,27,14,48,6
132,36,3,62,15,58,54,92
133,93,5,32,51,84,11,35
134,87,3,11,72,98,67,1
135,50,1,28,45,53,13,30
136,22,10,21,17,52,86,14
137,86,1,82,37,70,42,43
138,4,10,28,53,70,28,50
139,65,8,64,83,89,0,58
140,66,4,42,92,81,28,25
141,7,1,92,25,28,94,57
142,36,4,48,0,30,4,52
143,32,8,12,44,48,71,32
144,1,5,74,21,29,68,100
145,65,8,25,100,85,72,67
146,36,10,96,33,42,76,64
147,21,4,22,85,37,90,53
148,55,0,22,14,11,75,30
149,21,9,4,33,97,13,9
150,80,5,57,52,12,44,45
151,48,9,58,96,96,67,32
152,22,8,35,37,24,100,20
153,23,1,19,25,65,78,97
154,84,1,65,46,71,17,10
155,56,7,68,67,15,73,43
156,31,4,68,21,41,86,25
157,25,9,9,30,27,45,3
158,99,10,36,44,88,12,41
159,6,4,28,9,22,96,87
160,90,8,83,93,17,5,80
161,44,2,42,0,96,80,60
162,25,4,49,54,99,96,73
163,4,9,48,89,45,88,50
164,21,8,95,30,76,4,75
165,75,9,65,26,50,62,32
166,6,7,62,78,52,55,25
167,10,9,68,27,37,76,48
168,70,1,34,51,99,1,82
169,30,6,58,36,30,57,73
170,80,0,72,95,75,20,85
171,8,7,61,48,35,87,92
172,66,3,82,90,86,32,98
173,49,10,100,98,7,23,49
174,46,9,79,98,43,4,76
175,99,2,42,20,24,100,71
176,26,7,36,62,33,17,73
177,60,7,87,9,23,48,51
178,29,2,13,50,91,0,95
179,80,3,79,98,74,19,23
180,91,0,70,77,13,31,52
181,41,4,92,70,79,70,12
182,85,6,71,46,44,10,4
183,60,6,65,0,40,39,41
184,3,0,94,1,42,28,96
185,73,6,94,75,47,39,39
186,45,7,72,6,42,34,42
187,93,8,57,47,76,87,9
188,91,0,54,57,55,82,38
189,74,1,23,17,72,0,18
190,82,8,79,7,43,39,36
191,86,10,93,84,6,74,67
192,35,10,1,15,91,82,8
193,1,3,76,36,59,6,36
194,92,2,72,26,65,61,58
195,21,3,70,94,13,33,75
196,46,8,83,24,9,41,50
197,8,8,18,17,74,15,74
198,36,0,48,83,99,58,88
199,44,2,27,21,87,81,52
200,62,9,62,26,32,37,42
201,28,4,56,40,50,47,38
202,7,2,16,74,18,37,99
203,8,4,48,55,30,91,91
204,24,4,64,14,98,0,32
205,12,4,17,60,41,67,90
206,51,7,34,29,62,46,30
207,44,10,97,6,92,88,23
208,62,9,69,58,2,71,77
209,60,0,14,48,25,37,17
210,9,7,43,97,13,70,22
211,73,6,86,88,32,90,69
212,40,7,34,10,100,33,17
213,47,9,75,0,85,19,12
214,72,10,56,50,84,81,54
215,5,1,47,96,2,59,58
216,60,8,2,93,97,84,58
217,56,8,60,42,80,4,95
218,2,0,20,25,67,68,39
219,3,6,0,38,44,26,45
220,15,0,57,38,97,44,44
221,13,4,26,62,35,48,75
222,39,2,94,10,53,56,98
223,93,1,9,93,97,38,89
224,16,0,32,67,29,33,56
225,85,1,94,42,58,48,14
226,14,7,18,56,68,87,40
227,24,9,79,75,86,79,33
228,42,3,28,19,32,73,50
229,44,7,22,94,94,82,63
230,56,2,40,21,50,27,75
231,91,5,93,74,74,98,57
232,5,3,30,71,74,1,65
233,11,3,78,1,14,43,73
234,81,1,8,42,46,62,33
235,63,3,7,40,11,25,69
236,96,10,14,74,70,36,94
237,56,7,82,31,83,13,13
238,85,6,23,48,28,46,85
239,80,0,37,25,29,3,59
240,96,5,60,65,65,32,16
241,37,5,63,30,58,43,42
242,14,3,62,55,25,92,98
243,25,5,49,1,77,19,13
244,83,7,90,75,60,12,49
245,0,9,17,56,45,26,76
246,81,6,65,35,28,4,91
247,44,9,12,41,44,5,83
248,4,9,26,45,48,50,37
249,86,6,25,23,73,27,79
250,41,9,89,9,73,59,51
251,10,3,89,51,61,50,86
252,14,9,35,88,10,70,71
253,26,4,71,98,58,26,55
254,96,2,5,55,27,77,91
255,76,5,19,7,70,37,85
256,41,1,40,72,9,58,17
257,64,1,36,56,49,83,37
258,38,1,25,46,62,38,66
259,48,5,86,80,10,97,95
260,79,2,79,41,45,0,17
261,69,4,18,98,99,12,68
262,2,10,29,43,64,63,72
263,30,2,56,35,81,0,66
264,73,2,20,57,87,74,94
265,98,10,30,42,53,60,53
266,75,4,80,76,57,15,19
267,57,2,26,68,54,17,50
268,77,5,48,68,74,57,69
269,2,6,72,69,43,94,94
270,48,0,79,75,75,10,27
271,8,9,54,77,62,7,22
272,74,4,72,94,70,10,37
273,35,10,88,17,46,29,48
