,0,1,2,3,4,5,6,7
0,49,56,26,42,74,7,0,0
1,15,94,37,60,35,73,0,5
2,68,21,59,5,55,65,8,9
3,9,4,98,7,76,77,7,7
4,15,0,22,19,28,87,6,3
5,54,81,47,63,74,16,6,10
6,12,40,70,93,39,20,7,4
7,58,96,3,31,57,76,6,6
8,27,28,40,75,48,70,1,4
9,40,97,31,68,66,89,9,10
10,74,97,94,96,15,23,4,4
11,46,14,23,5,65,39,4,9
12,18,70,25,60,1,29,5,1
13,4,74,88,100,16,48,8,10
14,74,63,9,94,1,61,3,3
15,61,77,44,68,34,50,7,10
16,59,65,4,1,69,72,10,3
17,84,26,66,19,78,59,2,3
18,15,38,51,41,75,50,10,1
19,45,17,45,75,53,57,6,4
20,53,84,84,23,76,21,10,1
21,48,90,67,60,84,0,1,4
22,67,61,88,18,83,34,9,0
23,89,51,34,12,59,47,1,3
24,22,97,63,42,99,39,5,2
25,47,67,29,25,31,55,4,3
26,67,22,69,84,1,82,7,9
27,63,70,26,78,22,57,5,5
28,35,86,20,47,92,82,8,2
29,12,46,26,82,45,27,3,2
30,23,31,100,4,78,45,4,4
31,13,57,66,3,87,70,9,1
32,25,85,61,1,39,28,5,6
33,85,70,85,63,80,33,5,3
34,21,17,3,29,41,48,9,3
35,83,97,41,96,46,39,5,2
36,93,45,97,62,19,98,5,9
37,1,37,90,81,70,19,8,4
38,35,46,33,54,2,56,5,4
39,93,20,100,67,34,13,7,5
40,55,90,73,31,4,97,3,3
41,78,27,3,84,5,3,6,1
42,26,8,38,17,75,71,1,6
43,57,24,21,27,69,12,3,8
44,19,91,68,28,30,51,10,6
45,39,72,31,72,57,36,4,7
46,22,40,10,89,40,32,5,10
47,34,42,60,51,10,60,8,2
48,8,27,38,86,53,23,8,7
49,42,56,71,34,70,95,7,5
50,38,19,72,91,22,62,0,3
51,33,8,87,47,2,51,4,6
52,60,97,30,36,41,27,4,3
53,35,44,92,18,13,74,6,1
54,4,80,53,49,61,29,10,3
55,78,31,1,64,68,37,8,8
56,5,7,75,70,29,98,3,4
57,30,37,84,23,88,13,8,7
58,66,65,41,30,11,53,4,4
59,76,38,100,44,64,77,4,0
60,17,52,28,96,8,87,6,6
61,46,20,2,78,35,98,9,6
