0,1,2,3,4,5,6,7,8
40,7,72,5,8,62,4,87,74
95,93,55,6,8,55,2,68,16
40,71,78,7,10,66,1,5,94
33,87,82,9,4,27,10,3,51
7,35,88,3,6,23,9,29,29
37,61,97,3,1,62,9,50,42
53,18,17,8,2,90,1,35,39
29,36,46,2,10,7,9,1,33
25,69,50,8,4,59,8,59,2
5,44,30,2,8,46,0,48,8
36,17,58,0,6,34,6,3,51
97,27,35,7,5,95,1,91,65
54,84,72,1,4,29,10,74,93
2,90,14,8,9,87,8,63,30
1,91,61,4,3,72,7,56,59
29,67,53,6,9,41,7,71,36
93,72,64,1,1,87,5,23,39
98,10,9,4,7,38,10,71,59
18,34,46,5,0,2,10,100,68
87,72,20,0,3,41,3,2,39
38,15,50,5,10,8,5,89,25
7,92,14,0,0,100,3,73,74
16,32,79,10,5,17,10,89,95
91,46,80,9,0,71,6,47,65
15,36,46,3,0,45,7,41,41
28,36,2,1,9,7,5,51,44
61,52,80,7,5,23,8,65,66
10,24,69,2,7,41,3,98,16
64,87,74,4,0,42,10,54,77
59,83,7,7,1,22,6,8,37
92,95,27,5,1,9,5,28,51
37,31,53,6,10,81,4,17,8
60,10,84,9,2,60,3,44,0
54,61,45,1,7,62,2,36,90
29,50,3,4,8,61,2,47,4
51,0,18,8,8,36,7,60,96
85,47,7,5,9,35,10,11,65
95,99,54,4,3,76,9,15,73
67,88,18,3,4,78,0,79,64
11,20,10,7,4,56,1,63,34
48,96,25,7,10,32,1,19,81
99,94,8,9,8,25,2,37,8
74,75,81,2,9,91,1,82,83
84,99,11,3,8,12,2,11,66
50,86,50,9,2,77,7,56,34
69,15,50,3,1,58,0,60,73
94,100,7,2,6,76,6,79,23
23,11,26,1,9,20,9,80,90
70,83,39,5,6,67,2,58,44
62,29,18,3,8,9,8,41,39
44,23,36,9,5,8,4,47,9
93,62,17,3,0,72,1,14,35
97,26,51,2,2,53,3,18,61
41,33,18,4,0,41,0,76,61
38,46,4,4,3,97,6,93,5
32,69,67,4,7,31,9,72,87
2,82,71,3,7,42,8,17,84
37,45,88,1,2,29,4,36,26
96,39,7,6,4,61,0,93,1
15,16,34,10,9,97,1,7,12
72,89,63,9,5,74,2,93,97
29,6,3,2,4,50,0,44,53
1,12,97,5,3,6,4,46,81
81,9,18,2,8,82,6,90,55
66,30,66,10,10,49,6,25,54
51,13,73,7,5,92,7,38,93
79,66,3,10,1,69,1,48,2
25,72,85,0,5,31,6,48,84
27,93,92,3,4,74,4,47,3
62,8,54,8,4,90,6,88,62
8,79,45,6,3,95,1,56,93
29,56,82,3,10,27,7,87,79
42,56,70,4,2,70,8,81,31
6,4,63,2,0,51,6,59,16
19,93,47,9,9,88,3,61,39
89,29,66,8,9,64,0,58,75
55,11,98,8,6,83,8,71,64
97,80,38,3,7,82,7,79,24
5,4,52,10,2,75,3,87,78
23,57,48,5,9,95,5,26,17
3,33,47,9,2,99,0,80,55
78,10,60,7,9,96,8,41,76
93,36,26,10,0,68,10,36,71
77,36,83,2,1,76,3,34,94
4,5,55,5,3,72,3,31,95
79,32,96,5,0,63,5,61,53
23,64,10,1,0,51,0,29,45
47,7,81,3,5,5,10,67,79
2,29,41,4,10,66,5,50,22
71,20,98,4,10,47,7,87,96
92,47,74,4,1,85,9,69,60
19,51,88,10,0,88,5,5,82
10,78,28,9,4,62,2,61,86
30,31,6,10,1,20,6,7,39
0,4,77,5,0,53,6,91,88
52,27,69,6,5,42,10,52,27
9,14,51,8,6,33,0,95,65
10,84,95,5,2,14,8,66,76
92,4,0,7,9,64,8,7,34
10,18,9,0,9,24,9,42,62
42,41,33,4,1,97,7,17,34
63,9,72,8,2,22,1,84,99
38,21,8,3,2,64,10,37,17
69,5,82,5,10,13,1,61,48
76,70,65,6,5,53,0,26,59
46,94,66,8,5,12,4,44,61
43,16,24,5,2,99,2,3,31
5,35,4,3,2,58,3,81,46
45,97,100,1,4,4,5,56,18
33,50,62,10,10,51,2,67,5
39,84,43,4,3,17,8,75,24
56,42,6,10,3,10,7,86,35
90,68,98,10,2,21,6,50,85
91,79,56,10,8,8,7,32,61
93,4,9,7,7,97,2,14,78
71,81,18,1,7,17,4,96,68
37,99,11,1,7,62,3,23,92
65,3,10,0,3,79,9,58,6
72,7,23,4,6,84,2,79,19
5,33,1,2,4,46,2,85,17
48,63,50,7,1,38,10,24,54
99,85,17,8,0,73,8,86,26
5,37,2,5,6,11,7,21,65
58,36,93,9,10,10,7,75,12
28,76,100,2,0,42,6,60,87
65,93,54,2,8,13,2,80,52
40,65,16,9,6,27,8,49,64
93,65,14,5,3,23,9,99,88
71,34,28,8,10,55,9,47,33
10,81,18,1,0,67,2,20,48
88,37,63,5,0,44,5,10,28
86,6,14,5,3,95,10,77,45
9,44,53,9,1,100,3,51,17
12,75,71,5,7,77,10,77,96
42,76,85,4,9,30,1,54,96
39,69,17,0,0,55,4,69,26
29,1,37,8,6,66,8,41,61
98,97,73,6,3,22,0,71,64
57,54,61,5,3,65,1,71,42
86,74,14,2,0,56,3,100,30
59,98,4,4,10,50,7,71,87
71,69,85,9,7,43,3,83,91
55,91,45,10,10,69,0,65,4
50,14,96,10,4,43,5,57,86
27,61,52,9,0,23,9,12,62
40,25,14,3,0,26,2,12,66
87,82,30,0,5,41,6,54,39
29,68,29,7,9,56,10,7,75
61,10,27,2,1,61,3,67,25
60,49,69,8,2,70,1,62,76
86,58,99,6,0,62,6,49,95
61,32,10,0,4,7,6,89,84
27,84,74,0,3,24,1,28,45
14,97,0,10,0,34,1,83,14
27,90,97,8,6,13,10,91,72
33,47,83,3,9,30,0,67,60
99,41,67,9,9,52,10,82,75
41,31,15,3,1,13,3,22,40
19,94,95,5,0,45,4,100,61
8,7,96,2,2,50,6,66,13
43,69,64,7,9,81,9,73,6
95,50,44,2,9,60,1,2,55
56,77,7,6,7,49,8,11,17
26,70,91,0,3,62,8,22,64
49,56,41,0,6,68,0,75,50
67,84,28,5,2,35,8,99,28
18,50,94,10,8,41,0,18,43
47,67,81,9,5,52,1,8,87
69,63,11,10,1,47,5,41,22
17,57,38,5,2,4,1,72,80
75,64,27,0,5,86,5,51,98
75,45,16,1,7,5,0,66,0
100,40,81,6,9,77,3,32,57
62,15,42,1,1,19,2,42,58
12,92,29,7,4,3,5,16,20
57,16,18,5,7,41,6,7,49
21,48,79,7,3,39,7,48,84
6,93,69,3,3,30,2,90,66
84,89,89,1,0,62,9,70,38
83,65,77,1,8,81,0,99,60
17,99,62,10,9,36,9,51,40
54,24,1,0,2,8,4,90,67
55,31,27,1,3,30,3,80,41
19,94,19,2,8,7,7,73,38
33,69,29,9,5,44,6,28,48
54,85,42,6,3,91,6,99,50
100,84,84,7,8,13,0,71,77
0,34,59,4,9,42,9,82,66
47,62,56,5,7,68,4,97,25
2,12,38,6,5,87,8,42,59
10,18,88,7,7,57,7,88,16
83,58,26,6,1,45,10,7,11
33,55,76,5,8,99,6,76,14
54,33,37,4,10,20,0,14,49
0,8,16,3,2,41,3,65,22
99,12,23,4,9,90,9,94,49
75,18,65,4,9,63,2,26,21
77,23,26,1,7,92,4,39,82
65,38,19,2,2,48,7,24,33
89,65,21,7,9,71,8,41,89
27,65,46,3,9,82,9,45,20
95,38,25,3,9,65,10,39,89
18,43,67,10,8,97,3,60,90
27,72,82,4,6,89,8,65,70
