,0,1,2,3,4,5,6,7,8,9
0,4,1,5,10,7,8,6,6,3,8
1,9,3,3,2,3,6,6,7,6,7
2,10,0,6,7,8,5,9,2,6,1
3,6,3,10,0,9,3,4,3,8,9
4,10,9,2,1,5,9,7,4,2,1
5,2,10,0,2,1,1,2,9,0,4
6,6,4,0,6,6,10,4,8,1,9
7,5,8,7,7,4,3,3,0,1,7
8,1,9,8,3,9,6,10,3,7,4
9,9,1,9,2,9,4,1,9,4,3
10,2,5,6,9,8,8,5,3,5,6
11,7,3,9,0,10,4,9,3,0,1
12,8,3,3,9,4,2,6,0,1,3
13,9,1,0,8,3,0,10,1,10,1
14,5,4,6,2,5,2,2,2,5,9
15,0,6,10,0,4,6,10,10,3,5
16,3,8,10,6,10,4,3,10,8,8
17,1,6,9,6,9,1,4,7,3,5
18,6,8,0,10,8,3,0,0,4,3
19,9,1,9,4,8,2,7,5,7,2
20,8,9,0,8,8,9,2,4,5,1
21,9,0,1,0,5,6,7,4,6,10
22,1,2,4,5,7,8,7,1,5,10
23,1,3,0,4,8,9,3,4,9,10
24,3,5,6,1,10,1,6,1,6,2
25,2,6,0,1,4,6,2,10,1,10
26,0,9,8,1,6,5,9,2,6,4
27,5,2,3,0,3,8,1,2,9,0
28,9,10,2,1,8,1,3,0,9,5
29,0,1,5,1,2,4,3,4,2,3
30,6,4,8,0,4,3,8,4,6,10
31,4,3,6,5,3,8,3,4,10,0
32,6,5,8,8,3,2,0,3,3,3
33,5,1,6,1,2,1,1,3,10,9
34,1,2,1,7,5,7,4,4,3,9
35,7,7,1,6,2,9,4,3,1,6
36,2,10,6,4,10,4,7,1,1,10
37,9,8,1,2,4,5,0,5,5,1
38,8,8,1,7,8,9,10,9,3,3
39,7,10,5,4,3,1,4,3,9,0
40,10,5,0,8,6,2,4,5,7,9
41,6,0,7,1,2,1,5,2,6,6
42,2,4,3,0,9,8,4,4,5,6
43,4,3,1,5,8,9,6,0,4,8
44,5,7,9,0,10,5,10,10,2,10
45,2,9,1,5,1,3,7,10,3,1
46,4,6,6,9,4,1,0,9,5,6
47,10,1,8,3,9,9,3,10,6,5
48,10,9,4,6,5,10,3,10,10,3
49,8,7,10,7,5,5,2,7,4,2
50,2,1,3,8,10,0,1,9,10,0
51,3,8,0,3,2,8,4,10,1,4
52,0,1,6,5,8,7,0,1,5,10
53,9,4,5,8,2,0,5,1,1,8
54,7,1,2,6,10,7,9,9,10,6
55,3,7,9,2,10,9,3,7,4,0
56,5,1,4,10,10,8,4,7,6,7
57,0,10,7,9,10,2,4,9,4,9
58,5,6,7,3,7,0,2,8,3,8
59,5,3,1,10,0,0,9,2,1,3
60,7,1,8,1,7,0,6,6,10,8
61,9,6,10,1,8,2,1,9,10,8
62,10,7,5,1,2,2,10,1,5,7
63,4,6,9,2,5,0,9,2,6,10
64,9,7,2,3,6,9,8,9,6,10
65,1,4,6,4,7,3,6,9,3,9
66,1,10,2,10,4,4,3,1,3,7
67,4,10,8,4,0,2,10,2,10,5
68,7,1,4,3,3,4,2,4,0,7
69,6,3,0,0,7,2,3,0,0,8
70,7,0,4,8,10,1,1,6,7,9
71,4,10,10,5,6,7,1,9,0,7
72,3,6,9,6,10,8,9,8,4,2
73,5,9,5,9,10,9,2,4,4,1
74,0,4,9,0,10,10,2,10,2,3
75,5,4,1,5,10,9,8,2,8,5
76,5,9,9,8,1,8,2,3,10,6
77,8,4,8,3,9,10,9,10,6,7
78,5,10,3,2,9,4,9,9,4,1
79,9,0,10,3,1,0,6,5,8,5
80,0,10,2,0,1,8,2,10,2,3
81,7,1,0,5,6,3,10,2,4,0
82,7,8,8,2,9,3,7,3,3,10
83,7,9,4,5,6,10,8,5,10,4
84,8,1,0,6,2,3,2,8,5,0
85,3,7,5,8,0,1,9,7,1,2
86,9,7,0,10,6,5,8,5,2,1
87,1,1,10,5,1,9,7,10,9,10
88,6,3,0,2,7,2,3,5,1,6
89,8,1,8,10,6,0,10,5,10,2
90,5,5,6,5,3,7,2,3,10,3
91,4,5,4,4,1,8,2,4,2,4
92,3,5,10,10,10,7,1,10,4,8
93,2,4,2,6,8,5,8,8,8,7
94,1,10,7,8,3,1,0,5,5,8
95,1,9,5,8,3,10,8,3,8,1
96,1,9,7,4,1,10,6,3,9,8
97,2,5,8,4,3,7,2,9,10,8
98,5,3,2,1,8,4,3,5,10,5
99,6,4,0,1,4,10,1,0,9,1
100,4,10,5,2,7,9,1,6,3,1
101,9,0,9,0,1,5,3,2,5,9
102,3,1,5,5,9,2,5,8,1,4
103,2,5,10,0,6,10,5,1,1,7
104,5,3,0,9,10,1,0,6,2,3
105,9,7,9,6,1,6,2,9,8,2
106,10,5,9,10,0,6,10,1,10,0
107,4,9,1,7,2,9,6,2,2,1
108,1,6,5,4,1,6,4,2,4,7
109,3,3,7,5,9,7,5,3,2,7
110,5,7,2,5,9,9,0,0,0,2
111,5,10,4,9,3,2,8,6,8,0
112,2,9,3,9,6,7,0,0,1,3
113,0,8,10,9,9,9,6,5,6,10
114,9,4,3,4,7,5,7,6,0,8
115,10,4,3,7,1,2,9,8,4,1
116,8,10,8,0,0,4,1,0,1,10
117,7,0,5,7,4,9,3,7,2,3
118,0,9,4,6,9,9,10,9,6,10
119,7,8,4,7,0,10,1,9,6,2
120,3,7,9,3,9,1,7,2,3,1
121,8,10,1,1,9,6,5,9,8,9
122,4,2,0,10,2,1,9,8,9,3
123,4,10,1,7,10,3,1,7,10,5
124,2,3,10,9,5,4,3,5,4,10
125,5,4,5,3,5,10,2,3,10,0
126,8,7,8,8,2,2,0,9,3,4
127,2,4,7,4,9,3,3,8,10,3
128,9,2,7,3,1,9,7,6,10,1
129,2,9,8,1,8,5,7,10,0,3
130,4,3,5,5,0,0,3,9,1,4
131,5,8,1,9,1,1,1,1,5,5
132,9,3,2,7,8,6,5,3,6,4
133,9,9,7,3,4,8,1,5,0,8
134,5,0,5,0,6,4,5,4,0,7
135,4,0,8,9,5,4,1,10,9,3
136,9,6,4,2,0,0,5,4,8,3
137,5,9,8,6,6,3,10,5,3,2
138,8,3,9,5,4,10,10,9,9,1
139,6,6,0,6,0,2,9,3,2,2
140,9,2,2,6,10,6,4,10,2,7
141,5,5,1,4,6,5,5,7,3,8
142,10,5,7,1,6,10,10,9,7,2
143,9,10,4,9,7,3,4,0,1,10
144,10,5,9,2,1,1,6,4,2,9
145,10,6,6,3,9,5,9,9,5,9
146,6,2,8,2,4,5,0,10,2,6
147,9,8,4,10,9,7,9,3,5,1
148,3,9,5,7,2,4,10,6,0,6
149,0,10,7,6,8,2,7,9,1,6
150,4,7,10,7,5,6,3,4,5,9
151,8,8,1,3,2,0,9,8,1,10
