0,1,2,3,4,5,6,7,8,9
1,10,2,10,7,1,3,72,6,1
7,8,2,10,7,1,9,66,5,3
9,2,7,10,3,3,5,61,10,10
2,6,8,2,7,6,7,32,8,5
6,1,9,10,2,3,5,26,6,6
5,4,10,10,0,4,5,80,4,1
6,2,1,10,9,4,8,81,4,10
2,6,7,10,10,3,10,80,1,8
10,9,0,10,8,5,5,19,1,10
5,9,3,10,7,3,3,56,7,10
0,2,3,10,3,8,1,81,0,9
1,3,9,9,10,10,2,28,6,2
3,3,9,10,6,8,6,13,5,7
9,2,8,10,9,2,4,21,8,10
5,9,3,8,6,4,0,13,5,0
3,1,5,10,0,3,1,73,8,8
3,3,6,0,8,8,5,5,6,1
10,10,3,10,9,5,2,7,9,0
6,3,6,10,8,8,10,83,0,6
8,2,0,10,10,2,2,8,3,3
0,1,3,10,3,9,9,33,3,2
1,3,9,5,10,9,8,39,0,8
2,4,0,10,6,2,0,40,4,2
5,6,1,10,9,5,9,13,4,0
0,2,4,10,4,9,5,33,5,3
5,1,3,10,3,9,0,48,8,8
2,7,3,10,1,6,0,59,9,5
8,2,2,10,4,10,10,23,4,0
1,6,2,0,9,1,8,89,3,0
2,6,7,10,4,3,5,72,5,0
1,7,2,10,8,4,9,61,8,7
5,4,9,10,1,10,5,20,6,2
0,0,7,10,2,1,4,89,6,10
3,7,1,10,7,5,3,27,9,9
5,10,8,10,9,0,1,53,4,3
9,0,0,10,9,10,5,18,7,4
7,9,6,10,6,1,10,21,5,4
8,2,8,10,10,4,10,66,9,4
7,9,6,10,5,1,5,21,4,2
3,0,2,10,7,10,2,77,8,1
9,8,5,10,2,4,0,83,4,9
5,10,7,10,3,7,9,76,1,2
5,8,8,10,9,0,7,37,4,4
3,3,6,10,5,9,5,83,9,9
6,10,10,10,7,5,5,72,9,10
2,8,0,10,7,0,5,79,10,9
8,2,8,10,0,9,2,69,4,9
7,3,7,10,4,4,6,94,9,9
3,7,6,10,9,1,4,94,7,2
5,7,8,10,0,0,4,21,4,3
10,9,6,10,6,6,1,22,9,2
10,0,3,10,7,7,5,59,1,9
6,10,5,10,7,5,0,20,1,8
5,2,5,10,9,6,5,38,2,2
0,6,5,10,8,1,4,93,1,2
5,3,0,10,6,5,2,68,1,0
9,1,2,10,1,9,4,78,3,3
7,2,0,10,10,8,2,87,10,9
5,4,1,10,7,10,8,76,5,4
5,3,7,9,1,8,0,3,9,8
5,1,6,10,8,1,10,23,6,6
10,2,2,10,5,5,2,72,3,7
8,0,2,10,3,6,7,26,8,3
4,0,3,10,4,4,9,57,4,0
9,7,6,10,1,1,4,25,4,1
7,6,0,10,6,6,6,98,1,3
2,0,1,10,8,6,8,76,7,10
0,10,7,10,10,5,1,21,8,3
4,3,7,10,1,8,7,47,10,5
9,5,1,10,7,10,7,20,1,4
4,3,3,10,0,10,5,46,6,5
9,9,6,10,3,10,6,36,2,8
8,1,5,10,0,3,3,8,0,1
0,9,3,10,10,4,3,8,0,9
0,1,8,10,10,8,6,22,2,9
4,6,6,10,4,5,8,14,5,3
1,10,2,10,2,3,1,2,3,10
3,9,2,10,4,6,6,11,10,6
2,7,5,10,1,9,10,18,9,10
5,2,9,10,3,6,0,38,9,1
3,9,10,10,6,2,10,16,0,8
2,5,3,10,2,2,10,77,4,4
4,6,0,10,10,4,4,58,3,5
0,9,5,10,9,3,10,34,1,7
10,5,4,10,0,3,1,25,7,1
3,2,2,10,5,6,10,29,2,2
