,0,1,2,3,4,5,6,7,8,9,10,11
0,95,98,48,70,64,60,55,57,6,21,46,27
1,65,67,78,34,52,71,51,45,1,45,85,81
2,4,2,30,6,58,20,24,4,2,5,89,32
3,32,69,46,62,5,33,32,43,7,46,33,15
4,7,27,88,92,78,54,5,82,5,19,65,15
5,47,25,91,36,22,80,66,22,10,12,15,44
6,47,18,60,28,88,8,13,23,2,71,41,86
7,33,33,76,73,54,7,21,0,6,9,88,33
8,27,22,18,10,16,18,12,96,5,37,93,52
9,21,28,86,48,37,13,37,69,9,71,1,89
10,76,43,13,2,52,90,1,5,0,9,58,57
11,44,14,46,96,69,14,92,84,6,53,7,27
12,26,33,96,83,46,64,33,91,9,2,60,4
13,100,31,67,80,75,87,51,72,2,35,64,32
14,59,100,10,56,78,78,82,64,10,43,63,79
15,40,87,91,12,18,52,33,89,0,67,57,32
16,46,95,10,93,58,13,7,8,2,34,34,60
17,56,81,39,8,76,41,67,23,5,81,26,36
18,56,83,46,60,90,62,95,94,2,92,11,56
19,45,60,6,2,47,32,90,67,9,75,68,17
20,10,93,18,1,36,8,94,53,8,45,9,81
21,19,15,83,23,94,6,90,51,10,3,17,61
22,97,62,19,27,2,23,47,20,9,65,35,14
23,46,26,68,59,70,62,51,78,5,40,89,92
24,57,57,12,1,23,76,10,54,0,44,10,78
25,7,2,93,80,63,71,36,88,1,95,12,50
26,42,48,84,29,47,86,98,72,10,50,14,18
27,16,68,56,57,82,59,31,3,3,67,80,65
28,97,57,67,85,31,18,46,47,5,47,76,29
29,78,90,26,24,27,53,34,89,8,53,91,74
30,32,81,2,13,0,28,27,79,7,17,75,18
31,19,84,73,15,3,85,96,75,2,54,80,80
32,51,74,96,50,46,44,0,3,8,15,12,64
33,36,14,34,49,33,32,10,54,4,48,51,44
34,82,23,94,32,84,47,37,75,7,20,83,0
35,38,28,43,34,80,15,39,27,0,84,53,63
36,52,55,62,99,37,63,99,56,2,54,50,74
37,58,90,40,50,53,84,88,69,10,85,13,48
38,45,0,98,73,44,58,66,36,9,11,79,49
39,70,13,72,4,43,16,37,19,7,51,63,7
40,93,35,45,23,55,4,80,71,0,66,21,42
41,21,40,35,81,60,34,46,100,6,5,16,35
42,99,87,61,85,37,5,44,21,10,40,67,76
43,77,40,81,86,77,81,77,2,10,67,51,12
44,70,96,70,31,15,28,46,99,9,74,32,11
45,98,24,72,100,41,25,13,79,9,19,73,30
46,55,22,52,59,66,1,35,51,5,53,63,9
47,71,77,66,47,64,46,30,46,4,50,55,85
48,91,57,80,79,63,38,99,86,3,15,77,61
49,38,33,41,76,20,75,77,65,10,84,65,55
50,35,53,61,71,9,82,82,16,1,81,6,73
51,0,55,76,92,24,68,10,98,5,7,2,41
52,46,90,38,82,56,41,77,95,10,2,55,77
53,13,38,47,49,74,37,9,69,5,11,37,73
54,46,50,31,77,46,73,82,64,9,94,42,81
55,90,35,18,77,65,2,21,14,2,47,71,10
56,3,47,24,86,92,11,56,69,2,67,21,34
57,76,90,40,3,12,11,22,76,2,0,28,73
58,74,7,58,16,64,89,88,2,7,0,51,89
59,45,65,29,57,42,75,32,74,7,57,47,41
60,74,95,10,94,88,88,99,60,8,19,1,88
61,64,65,98,72,35,100,46,94,2,72,73,90
62,87,99,47,76,25,47,49,56,6,53,36,21
63,68,91,24,50,58,12,26,71,3,6,76,83
64,91,77,66,16,52,62,21,14,2,51,49,28
65,96,22,63,48,11,33,69,51,2,62,85,66
66,2,23,49,100,7,94,35,68,5,8,61,11
67,72,46,41,54,66,50,48,86,6,37,4,76
68,20,68,56,13,19,89,43,59,5,60,41,24
69,25,40,49,79,34,35,63,40,8,62,66,94
70,77,64,79,24,29,33,34,2,1,18,92,25
71,64,12,46,53,7,22,0,14,5,46,75,65
72,85,0,21,74,49,99,21,47,7,69,33,80
73,43,5,15,58,60,53,81,69,7,88,99,44
74,69,23,92,63,15,63,72,33,7,22,28,1
75,55,16,9,66,9,65,37,90,1,75,42,31
76,29,82,50,50,18,27,51,24,5,91,100,24
77,36,49,71,31,31,88,4,86,4,74,90,3
78,79,50,81,98,90,28,99,39,10,19,1,95
79,57,2,59,23,32,62,63,95,2,52,17,89
80,55,5,42,14,40,20,49,23,10,61,69,94
81,45,63,21,48,20,12,26,89,1,52,13,9
82,87,16,49,60,97,66,59,66,1,38,38,84
83,59,93,57,29,86,15,75,91,3,79,54,7
84,5,96,34,52,25,40,15,28,2,30,18,60
85,0,39,65,40,2,47,94,49,4,97,36,67
86,60,50,30,46,78,55,99,98,1,75,61,52
87,62,98,31,100,93,97,16,91,9,43,100,19
88,28,44,60,49,76,61,55,72,8,54,73,64
89,13,12,19,57,46,95,91,80,9,0,31,29
90,82,19,37,58,89,30,31,92,2,8,31,10
91,21,81,13,32,32,92,92,48,5,74,64,34
