,0,1,2,3,4,5,6,7,8,9,10,11
0,6,10,9,10,0,0,8,4,2,9,6,8
1,10,8,4,4,1,0,7,0,7,4,2,5
2,0,0,7,0,8,9,2,4,3,5,4,2
3,9,7,1,3,7,5,8,4,4,8,9,3
4,1,10,5,0,1,1,10,4,3,2,0,10
5,8,7,3,7,1,8,3,5,10,0,0,5
6,8,4,9,8,10,1,6,4,8,3,1,9
7,9,1,3,8,3,4,3,9,10,2,8,8
8,5,5,6,8,9,6,2,3,5,9,1,2
9,2,2,0,7,3,3,0,10,4,10,5,1
10,7,1,6,6,6,9,9,1,3,5,6,0
11,4,8,7,1,5,9,10,8,1,9,4,5
12,7,4,1,10,6,2,9,2,10,7,3,7
13,5,5,4,9,9,10,10,8,3,1,9,4
14,10,1,0,8,10,9,8,5,9,3,0,6
15,2,5,5,7,6,10,7,8,6,0,9,3
16,10,5,4,7,7,3,7,0,10,2,5,8
17,0,6,6,9,1,9,6,8,10,9,3,6
18,8,9,0,3,7,4,7,10,2,9,5,3
19,7,5,0,1,10,4,5,10,0,8,2,4
20,2,2,4,6,5,8,3,3,4,5,1,6
21,5,8,7,1,4,2,7,6,2,2,3,2
22,4,4,9,5,2,5,3,4,5,3,0,2
23,8,9,6,7,6,4,10,1,8,1,2,3
24,4,10,0,8,7,7,10,4,1,10,4,1
25,2,8,0,9,4,2,7,5,7,5,10,3
26,10,4,10,6,3,9,1,0,9,10,1,1
27,6,7,1,8,9,6,1,1,2,6,10,3
28,4,8,9,1,8,4,5,5,6,3,7,8
29,3,8,1,0,10,9,0,0,4,8,8,3
30,6,1,5,3,2,9,8,3,9,1,0,3
31,9,4,4,1,1,10,2,1,6,6,4,2
32,4,4,2,2,9,10,10,7,3,3,4,0
33,4,5,1,4,4,10,3,3,1,7,0,2
34,9,5,3,0,5,1,10,10,2,2,10,7
35,8,2,10,8,0,2,10,4,6,3,9,1
36,1,6,3,9,0,6,10,3,4,5,9,4
37,4,7,9,1,7,0,4,3,4,9,9,2
38,7,0,2,9,1,3,6,6,2,6,1,4
39,8,7,3,3,0,3,3,2,6,7,7,8
40,2,6,8,4,5,3,2,2,2,7,7,5
41,1,0,1,7,10,6,2,10,9,1,5,3
42,1,1,2,8,7,1,6,2,9,7,7,5
43,8,2,2,8,0,6,5,1,8,3,7,2
44,0,4,8,1,0,1,6,9,8,8,5,3
45,8,8,0,6,7,3,6,5,10,0,9,7
46,10,2,2,8,2,5,5,10,10,4,8,10
47,2,8,8,10,8,9,8,10,6,4,4,4
48,5,9,2,9,3,8,6,4,9,5,2,7
49,6,2,5,7,9,7,7,5,10,0,2,7
50,3,0,6,0,5,9,5,6,5,1,4,9
51,5,2,6,7,0,4,6,2,5,1,8,5
52,0,0,4,7,3,5,4,4,7,2,10,8
53,3,2,0,8,7,10,7,1,0,9,2,1
54,2,3,9,6,3,7,5,9,0,2,9,9
55,9,8,3,1,1,5,1,7,5,8,3,9
56,3,8,3,10,3,7,2,3,8,4,8,2
57,1,6,10,0,2,9,1,2,6,4,6,6
58,9,3,2,10,7,0,10,10,8,9,4,10
59,5,1,4,8,4,2,3,7,4,4,0,0
60,3,5,9,2,1,6,5,1,3,5,7,8
61,4,3,6,6,0,8,6,9,6,0,10,10
62,5,6,10,6,4,6,10,9,7,1,3,0
63,8,6,4,10,10,6,10,6,0,0,8,8
64,8,2,9,6,7,4,7,6,4,8,6,4
65,10,9,1,9,2,0,8,3,4,6,1,3
66,3,10,1,7,0,0,8,6,3,10,2,2
67,0,8,3,3,4,6,0,10,0,2,7,2
68,8,6,0,10,7,1,4,0,7,9,5,0
69,1,10,9,1,7,7,8,8,10,4,5,8
70,0,7,3,5,8,3,7,9,1,7,10,0
71,5,9,4,0,6,9,3,2,9,5,9,0
72,3,4,0,5,0,9,10,9,8,10,2,0
73,2,8,4,2,8,7,5,10,5,2,6,3
74,4,0,8,4,10,7,5,7,2,5,0,5
75,3,0,1,6,9,3,5,9,1,3,3,2
76,9,1,0,5,7,10,6,1,1,6,4,1
77,10,6,1,7,3,0,3,9,5,6,1,2
78,8,2,5,0,10,8,6,2,5,1,9,6
79,7,5,0,9,6,7,5,4,5,5,7,8
80,5,5,2,5,7,10,4,3,4,8,4,8
81,6,6,6,1,3,4,9,10,2,8,2,3
82,8,10,10,6,1,5,0,9,9,3,6,2
83,6,9,4,9,3,4,9,1,7,9,1,9
84,8,2,5,1,6,1,0,5,2,2,10,4
85,2,6,4,10,7,4,5,3,3,8,7,4
86,10,3,10,10,8,9,3,8,1,7,9,2
87,3,7,0,7,6,2,8,9,10,6,10,10
88,7,9,4,6,2,4,2,2,5,0,5,9
89,5,4,5,1,6,9,1,9,2,5,9,5
90,10,9,6,2,5,10,2,0,7,8,6,1
91,7,10,5,6,5,3,3,2,0,5,3,3
92,7,10,5,4,1,4,0,9,10,7,8,4
93,1,6,8,7,8,9,10,0,5,7,7,3
94,5,6,4,5,7,2,0,3,5,6,9,9
95,2,5,8,3,10,7,9,4,0,7,8,8
96,6,1,2,9,8,8,4,0,5,0,6,10
97,0,9,4,4,6,6,5,10,1,4,6,4
98,4,3,5,0,5,2,7,10,7,3,6,8
99,5,1,1,2,5,0,10,9,8,1,8,4
100,8,10,0,1,7,0,8,6,7,4,5,6
101,2,0,2,2,3,6,1,7,7,4,4,4
102,7,9,2,9,5,9,6,2,4,1,8,2
103,1,2,0,9,7,4,9,2,7,3,3,4
104,10,6,4,0,6,10,8,0,0,8,10,2
105,2,8,6,0,9,6,5,9,5,1,6,2
106,6,10,7,9,6,10,7,1,1,8,10,4
107,1,5,4,5,4,3,6,9,3,2,8,3
108,6,2,7,6,4,6,3,9,9,3,3,9
109,0,8,7,8,6,4,9,1,4,6,7,7
110,4,9,6,4,4,3,5,5,6,8,8,2
111,9,9,6,5,10,10,2,7,10,0,1,8
112,8,1,5,7,8,7,10,0,4,8,6,3
113,6,6,8,4,10,3,9,1,2,8,2,10
114,8,7,4,2,6,4,2,5,8,8,8,3
115,7,10,7,2,1,5,2,1,1,9,4,6
116,10,7,4,10,5,6,8,5,3,3,8,1
117,10,4,9,4,5,3,0,7,4,5,3,0
118,9,10,7,9,6,7,5,5,2,7,8,3
119,1,1,1,9,2,6,4,6,8,2,3,2
120,5,1,7,5,6,7,8,10,4,4,10,4
121,1,10,1,0,8,10,0,10,10,10,7,9
122,6,1,6,2,1,8,6,1,10,8,5,6
123,0,4,9,2,10,0,8,2,8,6,6,10
124,5,9,7,6,3,7,9,4,6,5,7,6
125,7,9,8,4,10,1,10,0,8,2,0,5
126,0,0,0,4,10,4,3,5,3,10,4,5
127,4,7,2,8,9,1,9,7,9,3,10,6
128,2,7,0,4,2,5,8,2,7,10,7,4
129,9,0,5,4,8,5,3,8,1,9,10,6
130,7,1,2,8,6,3,4,7,5,7,0,4
131,10,7,1,2,8,5,5,8,2,4,6,9
132,5,6,4,4,3,0,0,8,7,6,5,7
133,9,2,1,10,4,4,7,9,2,8,0,0
134,3,4,4,6,0,3,8,0,4,7,8,5
135,3,0,0,5,0,7,7,8,10,1,6,10
136,4,7,2,5,4,8,2,4,1,5,4,2
137,5,6,8,5,7,9,1,5,9,4,4,2
138,2,3,0,1,9,10,7,1,5,5,1,0
139,9,4,3,9,8,2,3,4,4,0,0,1
140,9,7,8,10,3,3,2,3,7,6,2,6
141,7,2,2,4,3,5,3,0,6,6,9,5
142,8,4,9,10,2,0,6,1,5,3,1,8
143,4,5,0,5,8,4,3,0,4,4,0,10
144,9,8,4,2,7,6,6,5,3,1,5,4
145,7,3,7,1,1,1,7,3,6,10,10,10
146,6,2,1,0,3,0,6,4,9,3,9,3
147,9,9,9,1,6,5,7,10,7,3,7,1
148,2,10,9,7,2,0,5,5,3,8,6,10
149,8,4,2,5,5,9,1,7,0,8,8,0
150,5,8,2,0,4,2,5,0,10,3,6,9
151,9,4,2,7,6,0,6,0,1,4,8,4
152,1,9,8,7,7,9,8,9,3,1,6,4
153,7,2,9,1,10,2,7,1,6,7,1,4
154,6,0,2,2,1,10,8,6,8,7,10,10
155,6,8,8,4,9,8,4,8,8,6,4,2
156,3,5,10,2,5,8,4,0,3,2,1,6
157,4,5,7,8,8,2,5,6,6,1,5,6
158,5,6,6,5,6,9,4,5,0,3,0,9
159,7,3,10,0,1,8,6,4,10,4,4,8
160,10,8,8,7,1,2,7,8,0,2,6,8
161,6,1,2,9,9,1,6,1,4,0,2,10
162,9,7,4,0,6,4,1,10,3,9,10,6
163,2,10,7,10,8,1,4,4,3,9,4,6
164,6,1,3,3,8,7,1,10,3,6,7,5
165,7,4,3,10,1,2,6,3,6,7,2,10
166,3,5,5,10,1,1,3,1,8,6,5,8
167,6,6,10,7,8,1,3,0,0,2,8,10
168,3,2,4,8,7,2,0,6,9,9,10,8
169,2,5,9,4,9,6,2,8,7,8,10,2
170,3,5,2,7,10,9,5,2,6,1,2,4
171,1,5,10,2,9,5,4,9,7,1,3,5
172,7,5,5,7,8,10,1,4,9,3,2,4
173,0,0,4,0,1,2,8,3,1,2,4,4
174,0,0,4,3,6,3,6,5,8,9,9,1
175,10,6,9,2,7,8,0,8,10,2,8,10
176,3,0,4,8,7,3,4,10,3,1,4,9
177,2,7,3,2,9,9,4,7,8,9,3,9
178,1,0,3,8,6,7,6,7,6,6,5,8
179,9,1,8,6,9,0,9,5,8,10,7,1
180,3,1,8,4,2,1,5,2,10,4,7,5
181,10,5,3,9,3,2,3,5,10,5,4,7
182,1,8,8,0,8,2,2,2,9,5,8,6
183,2,4,4,8,6,4,3,2,2,1,7,2
184,8,8,4,3,4,6,3,3,7,2,9,8
185,2,7,8,9,9,7,8,8,5,10,9,3
186,7,1,6,10,10,7,1,3,5,6,8,0
187,8,0,6,2,8,4,0,3,4,7,7,6
188,7,2,7,1,1,10,3,1,9,4,3,8
189,5,1,0,0,4,7,4,6,10,2,6,1
190,8,1,4,7,8,7,3,7,8,4,0,8
191,6,4,6,2,10,9,2,6,4,9,7,6
192,2,2,5,6,2,9,1,4,1,5,0,6
193,7,1,10,8,7,7,4,8,8,1,2,3
194,2,1,10,6,7,9,9,9,9,9,2,0
195,8,3,8,4,7,5,3,3,0,7,3,10
196,8,4,10,0,2,2,3,0,9,1,3,1
197,1,6,4,1,7,5,9,10,10,3,10,10
198,5,1,0,2,4,10,8,9,8,4,2,8
199,7,7,10,3,9,9,3,10,2,7,0,5
200,4,2,3,5,3,5,3,0,4,7,10,2
201,4,0,0,1,2,0,2,8,7,9,3,2
202,0,7,4,2,7,0,6,2,4,6,1,6
203,0,4,7,7,2,0,6,7,8,8,4,8
204,0,9,4,2,2,0,6,1,10,0,0,9
205,2,0,9,1,8,4,1,5,6,0,2,2
206,5,9,4,4,3,5,8,10,7,4,7,5
207,6,7,9,3,4,1,4,3,6,7,10,4
208,7,3,6,9,3,1,10,7,1,5,8,9
209,1,10,3,10,2,10,2,8,4,4,6,5
210,3,3,0,7,6,0,1,6,7,3,6,3
211,0,3,6,7,2,3,10,3,7,2,9,5
212,4,4,7,7,1,2,4,2,10,10,6,0
213,10,6,4,8,9,7,8,1,5,7,1,9
214,5,9,0,5,10,8,4,0,4,5,5,1
215,2,9,3,1,8,0,10,10,4,2,4,0
216,2,5,9,10,0,5,2,0,8,8,2,1
217,2,6,8,3,10,10,10,9,5,2,4,8
218,2,5,8,7,4,8,5,0,10,4,3,3
219,0,4,1,10,3,1,1,8,7,4,1,6
220,1,8,7,3,10,2,10,5,7,7,0,7
221,7,3,8,5,1,8,8,10,6,6,10,8
222,0,4,7,1,3,4,0,3,2,2,1,9
223,1,10,10,1,0,5,2,4,9,3,2,7
224,7,2,10,3,0,9,10,1,0,3,10,2
225,5,6,7,9,5,4,9,5,5,6,5,5
226,5,10,6,7,7,5,9,6,2,10,10,6
227,3,4,10,3,3,5,4,10,5,9,10,1
228,3,3,10,9,9,8,8,5,3,7,3,7
229,10,3,10,0,5,10,3,0,2,3,7,6
230,4,4,0,0,5,3,9,1,3,0,0,4
231,2,2,5,2,9,4,3,7,6,5,5,3
232,4,7,0,4,3,1,2,10,5,4,1,4
233,2,2,7,7,8,5,9,2,7,5,3,5
234,6,0,8,3,1,3,4,4,5,3,3,9
235,2,8,2,1,5,4,10,7,0,4,5,3
236,5,5,4,2,5,4,6,4,2,3,10,2
237,3,6,8,9,10,3,9,2,4,5,10,1
238,1,2,2,3,0,3,7,5,3,10,0,6
239,4,3,2,9,3,2,8,2,7,3,5,4
240,10,5,7,2,8,3,7,8,1,2,9,2
241,10,9,1,8,0,3,3,1,2,4,3,6
242,10,2,10,1,10,10,8,4,5,8,6,2
243,10,0,1,1,0,2,6,1,10,2,5,2
244,7,6,0,3,0,5,10,2,3,1,0,10
245,5,9,1,0,1,4,7,9,3,4,4,0
246,6,5,4,6,6,9,5,3,1,1,8,0
247,6,3,8,3,8,8,0,7,4,7,6,1
248,3,4,10,8,9,10,6,9,5,9,10,4
249,7,4,4,5,8,9,5,8,5,9,7,5
250,4,8,0,5,7,7,7,4,2,7,4,10
251,6,1,9,8,10,3,8,0,5,10,9,10
252,3,3,0,9,9,10,6,4,0,5,2,7
253,10,8,4,4,9,9,3,5,6,2,0,3
254,1,9,10,10,0,3,6,5,1,7,5,8
255,6,9,8,2,4,0,9,0,10,1,2,3
256,4,9,3,8,1,9,3,9,9,6,7,0
257,9,7,9,1,5,4,3,4,1,1,0,3
258,2,6,5,6,7,7,6,8,9,6,2,7
259,1,3,0,2,10,8,4,2,6,5,9,5
260,9,9,2,3,5,4,5,5,3,9,9,0
261,1,10,1,10,7,5,0,5,7,8,4,2
262,2,0,9,2,0,4,3,1,1,4,6,0
263,2,2,3,2,6,10,6,0,5,0,4,0
264,6,7,10,0,6,2,4,7,6,1,4,6
265,9,9,1,4,3,10,5,7,5,2,2,7
266,1,5,7,1,6,10,7,0,0,4,2,7
267,4,3,7,5,0,9,1,8,9,9,3,8
268,8,6,9,1,9,0,7,9,9,8,10,5
269,6,5,5,7,0,6,2,9,1,7,10,4
270,6,7,6,0,9,10,4,4,5,3,2,5
271,9,10,9,1,7,7,6,6,7,1,3,2
272,7,8,5,4,3,9,4,4,4,0,4,1
273,6,6,5,7,4,0,5,7,3,10,10,1
274,0,6,10,8,9,8,8,7,9,3,10,3
275,0,7,8,3,10,3,0,6,1,0,7,9
276,2,8,2,2,8,5,8,2,1,6,2,4
277,6,9,2,5,4,0,10,2,5,2,10,10
278,3,0,5,5,10,9,0,1,1,4,9,3
279,9,9,4,1,1,1,7,7,2,3,0,4
280,5,5,7,8,3,5,5,6,9,8,7,6
