0,1,2,3,4,5,6,7,8,9,10,11,12
8,10,10,10,10,84,31,10,10,64,10,10,92
7,1,10,4,10,52,8,1,10,12,10,10,8
3,10,10,1,10,91,11,6,10,3,10,10,99
4,10,10,10,10,63,88,4,10,14,10,10,30
1,10,10,2,10,35,52,5,10,86,10,10,19
4,10,10,5,10,35,7,5,10,91,10,10,34
1,10,10,2,10,84,91,5,10,87,10,10,95
9,10,10,7,10,47,52,5,10,94,5,10,2
0,10,10,9,10,78,97,4,1,91,10,10,8
10,10,4,3,10,69,16,0,10,30,10,10,67
0,10,10,2,10,61,98,9,10,18,10,10,14
9,10,10,5,10,22,71,3,10,27,3,10,67
6,10,10,9,10,43,5,0,10,52,10,9,28
0,10,10,2,10,49,94,3,10,39,10,10,1
4,10,10,6,10,28,51,3,0,53,10,2,27
9,10,8,9,10,5,97,3,10,1,10,10,50
10,10,10,8,10,36,26,4,10,4,10,10,36
1,10,6,7,10,99,38,2,10,18,10,10,92
3,10,10,5,10,80,97,7,10,31,10,10,18
8,10,3,10,10,31,7,1,10,16,10,10,10
1,10,10,9,10,39,76,1,10,37,10,0,89
10,10,10,2,10,73,76,8,10,15,10,10,68
7,10,10,7,10,87,53,8,10,14,10,10,31
2,10,10,6,10,35,44,2,1,23,10,10,25
9,0,10,1,10,4,23,8,10,61,10,10,59
7,10,10,1,10,63,75,0,10,82,10,10,70
9,10,6,10,10,85,96,7,10,65,10,10,99
7,10,10,3,10,85,11,7,10,77,8,10,40
10,10,10,9,10,6,67,0,10,47,10,10,94
6,5,10,3,10,54,91,1,10,64,10,10,40
7,10,10,1,10,0,63,0,10,80,10,10,28
6,10,10,10,10,97,63,3,10,28,4,10,74
9,10,10,7,10,47,80,1,10,10,10,10,45
7,10,10,1,10,53,87,4,10,97,10,10,54
9,10,10,1,10,89,79,1,10,3,10,10,20
4,10,10,7,10,6,46,5,10,89,10,10,92
7,10,10,4,10,53,71,2,10,46,10,10,84
1,10,10,1,10,54,34,0,10,1,10,10,57
4,10,10,2,10,2,41,7,10,8,10,10,54
1,10,10,7,10,73,61,0,10,31,10,10,44
10,10,10,3,3,56,36,8,10,97,10,10,26
10,10,10,0,10,0,16,7,10,55,10,10,48
0,10,10,0,10,18,70,2,10,17,10,10,42
9,10,10,3,10,12,83,2,10,86,10,10,5
2,10,10,2,10,81,3,2,10,30,10,10,95
4,10,10,5,3,74,81,6,10,2,10,4,12
3,10,10,5,10,22,39,7,10,6,10,10,70
10,4,10,2,10,95,66,5,10,47,10,10,37
2,10,10,10,10,38,11,1,5,84,10,10,86
4,10,10,7,10,47,96,10,10,40,0,10,46
2,10,10,6,10,0,93,7,10,66,10,8,63
10,10,6,3,10,38,66,6,10,50,10,6,13
1,10,10,8,10,1,85,4,10,75,10,10,58
6,10,10,4,10,1,54,10,7,58,10,10,99
8,10,10,7,10,54,96,10,10,2,10,10,45
3,10,10,1,10,88,72,7,10,39,10,10,57
4,10,10,10,10,94,64,2,10,57,8,10,70
9,10,10,1,10,65,50,3,10,62,10,7,69
0,10,10,2,10,10,30,5,10,20,10,10,40
10,10,10,9,10,51,66,7,10,51,10,7,92
5,10,10,5,10,31,71,7,10,26,10,7,22
9,10,10,0,10,14,40,4,10,91,10,10,7
10,10,10,9,10,88,19,10,10,94,10,10,15
1,0,10,0,10,99,68,2,10,5,10,10,42
10,10,10,6,10,9,32,7,10,98,10,10,80
10,10,10,2,10,10,58,7,10,25,10,10,83
7,10,10,4,10,47,23,4,10,30,10,10,49
5,10,10,5,10,74,41,9,2,57,10,10,89
9,10,10,7,10,17,100,4,10,57,10,10,53
6,10,10,8,10,51,51,10,10,21,10,10,64
9,10,10,2,10,28,88,2,0,38,10,10,25
3,10,10,0,10,24,13,6,10,58,10,10,51
7,10,10,9,10,29,2,1,10,70,10,10,31
1,10,10,0,10,1,7,10,10,71,10,10,67
10,10,10,1,10,46,48,5,10,69,10,10,1
5,10,10,2,10,12,4,6,10,79,10,10,100
6,10,10,2,10,91,78,0,10,21,10,10,73
1,10,10,1,10,64,74,10,5,33,10,10,83
1,10,10,8,10,19,44,8,10,93,10,10,20
3,10,10,9,10,51,1,6,10,0,10,10,5
10,3,10,10,10,19,99,8,10,74,10,10,28
8,10,10,7,10,25,91,8,8,66,10,10,59
7,10,10,9,10,95,75,8,10,25,10,10,21
10,10,5,6,10,48,17,4,2,87,10,10,68
3,10,10,2,10,10,60,6,10,35,10,10,91
2,10,10,6,10,83,57,10,10,80,10,10,12
5,10,0,7,2,93,7,5,10,2,10,10,13
1,5,10,1,10,73,69,4,10,55,10,10,47
7,10,10,6,10,35,65,1,10,63,10,10,54
8,10,10,3,10,78,93,9,10,14,10,10,26
1,10,10,8,10,78,58,4,10,31,10,10,65
0,10,10,3,10,92,18,3,10,9,10,10,30
8,10,10,7,10,37,62,4,2,31,10,10,36
3,10,10,7,10,32,9,1,10,77,10,10,74
8,10,10,10,10,62,94,7,10,19,10,3,32
7,9,10,10,8,32,6,5,10,59,10,10,12
9,6,10,1,10,99,16,9,10,70,10,10,54
3,10,10,8,10,74,75,4,10,64,10,10,27
8,10,10,2,10,35,100,3,10,33,10,10,20
4,10,10,3,10,38,87,4,10,21,10,10,0
3,10,10,6,7,47,98,0,10,26,10,10,61
10,10,10,7,10,49,74,2,10,76,10,10,3
4,10,10,3,10,27,67,1,0,82,10,10,32
1,10,1,5,10,84,68,1,10,12,10,10,40
2,7,10,0,10,67,57,7,10,62,10,10,24
1,10,10,1,10,4,29,3,10,20,10,10,27
3,9,10,1,10,11,90,3,1,17,10,10,76
6,10,10,0,10,2,29,4,10,30,10,10,25
10,10,5,8,10,37,7,3,10,43,10,10,56
5,10,10,10,10,50,1,1,10,45,10,10,45
0,10,10,8,10,48,27,8,10,40,10,10,73
1,10,10,10,10,75,100,4,10,14,0,10,9
0,10,4,3,10,31,14,1,10,77,10,10,51
7,10,5,0,10,19,11,1,10,55,10,1,35
2,10,10,5,10,88,98,1,10,28,10,10,4
5,10,10,10,10,75,72,10,10,10,10,10,50
4,10,10,8,10,39,71,7,10,100,10,0,59
3,10,10,8,10,80,24,3,10,25,10,10,80
0,10,10,0,10,16,8,9,10,100,10,10,48
0,10,10,5,10,48,76,10,10,14,10,10,26
7,7,10,10,10,55,31,3,10,46,10,10,91
6,10,10,7,10,26,11,9,10,22,10,10,50
6,10,10,0,10,30,29,5,10,25,10,10,26
2,5,10,1,10,87,36,2,10,71,10,10,35
3,10,10,8,10,28,70,3,10,93,6,10,98
0,10,10,6,10,88,61,9,10,17,10,10,87
5,10,10,10,10,60,13,6,10,6,10,10,16
5,10,10,7,10,39,55,10,10,34,10,10,91
5,10,0,1,10,38,85,4,10,39,10,10,18
0,10,10,8,10,97,2,10,10,30,10,10,72
10,10,8,5,6,48,46,3,10,68,3,10,55
6,8,10,9,10,26,69,7,6,84,10,0,62
3,10,10,2,10,4,38,2,10,29,10,10,64
6,10,10,6,10,80,36,8,10,4,10,10,44
10,10,10,3,10,67,47,9,10,81,10,10,15
2,10,10,10,10,31,59,7,10,89,10,10,67
8,10,10,2,10,15,16,4,10,28,10,10,71
5,10,0,1,10,1,90,5,10,79,10,10,57
6,10,4,0,10,16,15,2,10,62,10,10,31
