0,1,2,3,4,5,6,7,8,9,10,11,12,13
2,10,7,78,96,1,3,5,6,0,23,6,80,97
0,58,7,5,27,0,10,7,9,1,56,7,71,62
9,1,4,21,57,1,0,0,5,2,52,6,34,68
8,7,2,36,97,8,5,4,4,2,83,7,63,89
10,4,0,69,16,5,9,7,8,9,57,6,93,16
6,22,6,45,46,9,7,7,0,9,48,10,22,67
1,0,8,67,30,2,4,0,7,1,39,5,91,67
7,18,9,38,90,10,1,6,9,7,61,2,91,37
5,18,0,36,83,6,6,3,8,6,94,8,94,37
8,24,4,45,92,2,5,8,6,2,64,0,10,48
8,20,7,26,69,10,2,1,7,9,30,8,90,94
7,83,5,39,96,5,2,9,6,3,11,7,48,61
3,6,8,2,26,7,0,4,8,3,49,4,15,8
1,43,8,77,63,6,3,4,3,0,69,5,43,33
3,91,0,64,92,8,8,4,10,9,21,0,69,35
2,56,9,87,81,2,3,3,8,2,92,2,65,57
7,75,0,21,95,8,7,1,3,0,36,3,61,67
5,40,4,62,89,10,3,9,10,7,56,3,75,42
6,10,0,92,81,1,5,7,7,4,35,8,10,20
10,68,9,45,39,4,3,3,4,5,41,10,4,13
4,58,1,5,27,9,0,6,9,1,27,1,91,61
3,69,0,45,47,1,4,10,2,10,4,3,17,29
0,2,1,67,86,5,4,5,4,6,98,4,67,99
7,41,1,91,0,2,10,2,7,6,0,10,90,95
0,25,2,66,68,7,7,2,6,0,97,4,74,71
6,15,8,59,14,9,8,6,8,5,71,3,70,50
2,100,9,91,75,1,5,5,0,6,91,10,12,3
10,68,2,62,37,4,7,0,3,9,5,1,82,45
0,94,10,86,41,9,1,2,5,0,49,5,50,95
7,55,1,47,63,3,2,9,10,8,9,5,78,62
9,33,1,90,18,8,0,0,8,6,58,4,97,98
7,90,5,95,53,5,8,9,8,5,60,5,17,58
7,31,4,58,36,4,5,1,9,5,20,1,25,44
9,14,0,28,97,5,0,3,3,4,13,8,4,24
8,1,2,74,73,5,2,4,5,7,39,7,89,68
5,68,7,10,48,8,7,7,4,5,73,10,87,78
5,91,6,9,57,7,1,0,3,1,30,7,20,57
9,7,10,85,40,5,0,10,6,5,81,7,14,78
5,4,7,10,55,4,10,7,8,3,13,3,74,31
0,7,9,64,53,5,3,6,5,7,43,0,25,36
7,93,8,39,72,10,0,2,8,7,42,4,89,74
7,14,8,36,45,4,10,3,3,1,49,6,70,94
3,1,7,34,30,4,10,6,3,8,84,7,54,13
9,15,10,3,67,5,0,9,1,6,85,6,34,0
5,26,9,100,33,0,2,10,5,2,40,7,87,2
4,27,6,56,35,1,8,8,10,5,91,6,2,83
6,77,1,100,13,3,8,5,3,9,82,9,92,96
3,6,5,38,59,7,2,9,6,1,46,1,43,14
2,34,3,17,69,10,2,10,1,9,65,2,94,40
9,51,0,100,97,2,2,8,6,9,97,9,20,51
10,7,8,86,74,10,6,5,5,10,26,5,93,80
2,6,9,50,49,7,6,0,3,6,13,8,26,22
2,30,6,6,1,9,2,10,5,9,46,2,94,15
3,36,7,74,35,4,9,3,8,1,85,10,40,25
4,95,5,40,92,9,8,8,0,7,44,2,91,47
9,28,4,53,25,5,7,7,8,7,26,4,91,73
0,75,2,6,44,6,6,3,9,5,30,8,72,6
4,99,5,58,41,10,6,10,0,5,70,1,40,64
4,36,5,31,16,0,2,7,6,3,51,0,54,13
7,94,3,72,67,2,5,2,0,0,44,9,31,15
0,91,4,41,75,8,1,2,3,10,43,2,48,27
1,40,4,78,11,1,0,10,4,2,13,4,68,57
2,2,3,71,66,1,10,10,6,0,57,10,50,58
3,43,6,91,8,0,5,5,1,4,51,5,15,24
2,64,6,7,25,3,10,1,4,1,80,1,66,56
2,29,0,11,52,0,7,2,3,1,2,3,57,23
9,42,9,76,47,5,2,10,10,5,80,2,17,42
5,26,1,75,69,5,0,1,4,6,27,9,9,7
8,5,6,27,27,5,0,7,4,3,83,5,89,77
1,71,10,54,10,9,1,0,4,8,47,9,25,58
10,77,8,55,11,1,5,10,9,7,89,8,24,77
4,78,9,68,26,0,0,4,3,3,84,3,69,23
7,88,9,79,17,5,0,9,2,6,35,9,25,17
0,5,6,28,18,1,6,2,10,1,91,1,89,8
6,80,0,74,96,9,9,2,7,4,93,10,38,28
10,7,1,28,37,2,0,4,7,7,78,2,61,87
9,17,7,54,87,6,9,0,5,6,55,1,32,60
10,66,8,57,45,6,0,9,0,0,31,1,50,24
3,64,1,3,82,0,4,5,0,9,99,5,68,41
1,7,1,17,32,2,10,9,4,5,17,8,75,32
2,24,10,75,42,10,2,8,4,8,41,2,86,86
6,80,1,89,73,4,6,7,9,2,9,5,82,99
8,98,3,95,19,9,0,10,1,5,25,10,40,18
5,50,2,35,32,8,3,3,7,8,63,0,39,54
5,9,0,71,33,2,1,5,4,9,31,0,59,92
8,59,7,93,81,10,6,4,10,7,18,4,4,100
9,40,4,60,86,0,0,5,0,3,32,8,21,86
8,58,10,34,87,1,6,7,7,0,52,7,51,34
10,17,10,95,82,8,8,4,0,3,59,5,31,32
7,18,1,65,22,7,1,6,6,0,100,3,40,22
0,28,0,41,79,9,1,2,2,10,19,2,81,40
8,30,6,55,37,5,1,9,10,8,57,10,24,18
7,95,0,48,40,8,8,3,6,8,26,5,24,18
9,40,10,74,28,10,8,3,9,2,85,7,36,36
10,28,1,56,2,5,2,4,1,0,86,8,23,96
