0,1,2,3,4
47,85,9,26,2
11,29,10,93,0
30,56,31,91,1
69,54,81,57,10
76,49,47,55,2
75,27,82,31,7
1,43,100,14,4
57,94,63,1,0
81,12,50,7,9
35,30,18,71,5
40,85,98,5,8
48,3,85,93,3
94,95,48,70,10
24,64,43,81,5
47,58,52,36,10
73,93,36,6,0
28,16,12,97,8
35,44,73,16,8
23,11,5,49,4
100,20,23,68,9
54,27,99,44,2
3,97,56,92,6
77,76,13,19,7
29,5,88,20,8
50,44,7,23,4
27,89,55,10,10
80,64,3,58,8
66,28,99,69,2
32,70,97,66,1
46,35,47,100,1
68,46,60,80,0
68,95,66,86,4
18,30,45,61,6
48,17,18,9,8
52,81,81,38,7
67,47,90,88,8
62,17,15,28,3
25,39,22,86,7
0,10,49,96,0
61,62,45,37,1
31,12,63,96,10
73,57,47,12,9
61,27,6,60,7
3,51,29,81,4
80,57,77,92,8
93,51,2,34,1
50,95,43,42,10
65,91,30,18,9
23,35,56,99,4
88,44,55,60,0
7,46,42,76,7
11,15,43,89,8
93,11,4,78,4
57,11,89,71,3
45,77,1,12,7
81,53,78,32,4
67,100,35,51,7
99,72,21,84,4
84,14,67,33,7
3,52,15,55,8
87,95,65,52,2
94,13,31,66,0
72,90,6,38,7
5,41,33,51,7
97,17,76,7,0
97,97,88,38,7
48,66,15,33,2
39,27,48,31,4
18,65,20,35,9
46,97,64,22,9
83,74,4,79,3
76,21,33,55,4
8,58,81,57,6
11,7,95,20,4
22,4,86,75,5
80,3,72,76,5
39,91,7,33,1
12,40,20,16,3
17,43,70,35,9
78,61,32,56,2
92,29,90,4,6
49,98,98,91,2
96,87,34,96,2
41,42,16,38,5
91,49,68,84,7
9,95,69,89,8
52,55,49,68,2
39,66,89,72,4
18,48,86,49,2
57,1,95,42,2
95,25,33,2,1
82,46,83,66,2
62,98,12,78,2
82,26,58,96,8
99,78,51,82,5
31,64,77,48,8
31,17,92,86,4
16,13,43,6,8
63,32,36,8,8
27,83,86,18,9
93,58,67,73,3
48,86,86,24,6
71,6,93,56,9
49,24,79,47,8
52,64,68,29,4
92,54,34,44,3
41,39,99,67,0
33,10,3,67,8
7,49,47,42,7
38,92,39,9,8
54,76,54,99,0
26,69,87,59,10
38,75,77,69,6
58,81,99,64,7
68,28,79,93,6
76,34,93,87,7
0,38,41,54,4
4,42,58,4,9
95,99,60,62,3
51,12,88,1,10
88,15,18,36,2
2,37,28,32,5
42,79,5,63,9
20,22,3,64,1
86,18,19,54,1
19,94,65,21,0
25,82,97,19,0
5,38,30,29,10
71,63,40,43,4
21,73,77,68,6
78,77,75,22,2
20,0,64,60,7
53,72,26,27,5
15,50,22,12,1
41,71,46,38,0
75,75,42,19,4
4,58,76,42,8
67,14,53,76,7
80,50,79,63,2
8,28,18,61,2
53,22,95,62,3
87,43,10,93,9
3,79,33,55,5
6,12,25,29,6
68,93,99,55,1
54,20,28,53,8
64,86,43,86,0
80,97,74,71,6
38,77,46,5,2
44,29,83,38,7
73,85,13,90,2
22,37,16,33,6
11,53,78,91,10
70,25,16,79,2
86,43,15,99,5
2,94,36,91,5
73,84,11,25,8
96,5,95,33,2
17,86,33,56,7
56,3,53,49,2
4,68,10,21,7
65,95,50,78,2
95,54,99,12,6
72,30,53,42,2
17,36,95,83,1
23,66,12,22,7
73,71,48,36,5
80,99,39,5,4
14,32,1,51,1
62,21,50,7,5
17,49,96,19,10
98,62,17,49,5
11,30,87,33,9
99,88,76,89,0
41,76,57,84,6
48,77,51,16,3
68,85,56,58,0
11,91,54,77,8
67,28,80,42,2
28,96,21,4,0
53,26,81,72,1
79,81,35,97,7
99,58,4,40,8
6,27,79,58,7
59,36,46,18,9
97,10,67,63,2
7,47,37,1,0
22,99,39,59,3
8,10,33,71,2
8,61,53,20,3
45,46,19,4,10
86,60,84,7,10
31,90,72,40,8
43,69,8,75,7
98,26,77,61,5
80,72,51,28,9
47,83,55,20,2
24,72,62,88,0
75,30,94,63,8
31,68,61,89,3
86,36,64,64,7
82,32,89,25,1
54,59,30,62,5
77,47,8,67,4
7,87,77,48,1
31,83,98,80,2
85,84,68,74,4
44,46,91,71,0
14,70,90,77,4
75,65,35,43,0
31,66,36,21,9
43,23,12,9,4
6,68,12,75,3
89,75,84,49,4
84,17,60,49,1
48,53,15,63,4
14,38,88,96,10
68,78,91,10,0
94,27,65,66,9
50,95,39,27,7
90,13,11,24,1
24,33,92,81,8
60,66,39,67,10
53,41,80,47,0
29,43,34,59,8
45,11,70,22,4
50,22,91,62,2
89,30,37,46,1
45,79,0,18,2
83,44,53,92,1
88,98,29,61,0
98,7,39,40,4
62,60,71,61,10
41,6,1,90,0
52,29,75,93,10
8,5,40,58,10
96,66,62,62,3
2,48,40,41,1
100,34,10,42,5
53,69,27,79,9
99,10,85,40,9
66,36,54,90,3
89,67,65,15,9
45,82,2,97,2
76,92,34,75,5
53,46,90,46,2
59,0,19,29,3
2,63,50,92,9
78,2,10,17,3
33,6,46,97,8
57,45,14,26,7
98,49,71,85,0
35,82,37,17,8
39,41,56,18,5
89,81,58,50,6
58,77,73,83,2
14,16,70,12,1
9,42,87,91,1
81,58,52,75,1
67,40,23,69,0
