0,1,2,3,4,5,6,7
87,4,34,1,69,48,55,87
69,9,61,8,93,75,64,29
94,7,56,0,23,56,53,40
50,0,66,8,36,96,68,36
10,9,99,0,22,44,65,94
82,2,31,4,14,40,60,25
72,9,90,3,16,49,35,20
22,4,41,10,9,4,95,36
36,4,39,9,32,32,88,18
53,8,79,5,92,72,23,86
65,7,5,5,38,26,13,74
16,6,63,2,65,21,94,2
21,8,11,9,69,57,28,58
87,1,69,4,12,89,24,8
89,6,10,0,50,51,67,85
70,1,43,8,77,21,49,96
76,0,64,3,50,92,60,7
76,3,65,3,86,33,0,46
59,2,65,6,51,52,73,37
45,5,17,9,80,27,92,100
30,3,14,8,32,94,26,12
46,9,33,3,62,1,24,75
31,3,15,6,7,44,68,66
62,2,77,1,8,34,64,16
39,6,56,4,94,90,54,86
15,7,98,6,40,87,22,92
57,2,57,0,3,68,80,59
99,8,100,5,4,72,92,4
12,1,23,6,7,50,82,28
94,3,47,9,15,69,78,99
0,4,71,9,26,7,85,59
18,7,21,7,11,88,56,68
8,1,20,7,2,61,58,66
48,8,98,8,30,15,36,18
98,2,27,3,18,73,19,46
39,9,51,9,12,71,44,14
66,5,6,8,88,47,55,61
88,3,33,10,70,13,35,37
32,4,1,6,16,94,3,13
15,7,75,10,64,89,23,42
40,1,6,0,12,34,79,5
76,2,21,3,83,0,67,36
50,1,92,0,99,52,39,62
65,5,53,9,41,53,56,31
75,1,2,1,13,68,53,77
12,5,44,2,73,62,36,49
89,2,33,6,36,77,89,47
93,7,48,8,74,91,37,25
9,7,58,7,69,87,5,40
97,0,97,4,16,91,78,0
53,1,32,0,11,76,21,85
42,8,27,6,63,43,80,44
65,10,48,1,40,11,21,19
69,0,49,6,45,18,14,24
24,4,92,4,82,77,100,1
19,10,81,7,2,90,72,0
59,9,78,9,77,81,33,84
51,7,9,6,11,57,63,82
73,1,32,0,66,41,74,90
68,1,21,1,62,72,90,30
56,8,32,9,72,21,68,19
19,9,71,3,28,59,35,13
10,2,38,6,96,27,98,2
72,2,43,0,13,70,47,43
45,3,65,6,14,51,84,72
51,7,8,6,18,100,61,83
27,6,11,2,82,29,20,38
16,5,5,2,99,58,0,47
61,9,4,5,33,95,20,14
82,8,57,2,62,18,61,48
49,2,66,9,91,76,21,51
52,7,94,1,41,46,81,15
13,5,40,9,37,38,42,95
50,2,38,5,89,55,91,17
37,5,59,3,65,29,3,92
76,2,67,9,95,100,29,80
51,6,22,5,12,68,65,33
10,7,25,0,25,96,23,66
16,8,53,0,25,11,69,1
80,4,3,5,7,52,29,56
84,8,18,7,46,28,58,87
85,1,99,10,55,86,44,6
17,5,92,5,27,16,20,74
78,3,29,3,93,100,33,15
9,6,67,3,21,1,30,91
16,1,37,5,6,77,99,5
60,1,88,4,72,87,45,61
33,3,40,6,20,97,20,60
31,2,3,6,14,54,46,36
63,6,62,6,69,38,92,0
53,0,29,4,27,86,77,57
19,7,69,4,36,56,86,63
27,3,55,7,9,42,44,6
11,7,91,1,78,13,68,72
93,1,19,5,36,95,28,32
58,10,71,4,67,41,15,84
43,5,61,3,57,67,97,8
25,3,17,10,95,26,48,31
74,5,78,1,85,60,17,22
30,5,63,1,47,51,50,8
39,8,32,6,88,74,1,56
48,2,94,8,96,61,24,0
86,10,74,9,72,18,73,35
58,10,63,9,38,65,29,10
34,5,33,6,58,43,69,76
66,0,25,2,23,62,2,77
57,9,0,7,41,98,82,99
25,10,54,6,0,44,63,79
73,4,23,2,55,84,73,95
72,7,97,2,61,42,49,93
53,5,75,9,42,5,3,28
43,10,34,2,45,71,83,4
60,9,38,10,80,88,79,36
63,5,53,10,13,57,10,100
70,4,50,2,65,82,93,9
4,1,10,4,25,64,20,33
96,1,51,7,31,45,52,4
55,7,76,5,2,73,14,50
6,7,88,7,71,68,83,85
