0,1,2,3,4,5,6,7
10,4,10,1,69,48,10,10
10,9,10,8,93,75,10,10
10,7,10,0,23,56,10,10
10,0,10,8,36,96,10,10
10,9,10,0,22,44,10,10
10,2,10,4,14,40,10,10
10,9,10,3,16,49,10,10
10,4,10,10,9,4,10,10
10,4,10,9,32,32,10,10
10,8,10,5,92,72,10,10
10,7,5,5,38,26,10,10
10,6,10,2,65,21,10,2
10,8,10,9,69,57,10,10
10,1,10,4,12,89,10,8
10,6,10,0,50,51,10,10
10,1,10,8,77,21,10,10
10,0,10,3,50,92,10,7
10,3,10,3,86,33,0,10
10,2,10,6,51,52,10,10
10,5,10,9,80,27,10,10
10,3,10,8,32,94,10,10
10,9,10,3,62,1,10,10
10,3,10,6,7,44,10,10
10,2,10,1,8,34,10,10
10,6,10,4,94,90,10,10
10,7,10,6,40,87,10,10
10,2,10,0,3,68,10,10
10,8,10,5,4,72,10,4
10,1,10,6,7,50,10,10
10,3,10,9,15,69,10,10
0,4,10,9,26,7,10,10
10,7,10,7,11,88,10,10
8,1,10,7,2,61,10,10
10,8,10,8,30,15,10,10
10,2,10,3,18,73,10,10
10,9,10,9,12,71,10,10
10,5,6,8,88,47,10,10
10,3,10,10,70,13,10,10
10,4,1,6,16,94,3,10
10,7,10,10,64,89,10,10
10,1,6,0,12,34,10,5
10,2,10,3,83,0,10,10
10,1,10,0,99,52,10,10
10,5,10,9,41,53,10,10
10,1,2,1,13,68,10,10
10,5,10,2,73,62,10,10
10,2,10,6,36,77,10,10
10,7,10,8,74,91,10,10
9,7,10,7,69,87,5,10
10,0,10,4,16,91,10,0
10,1,10,0,11,76,10,10
10,8,10,6,63,43,10,10
10,10,10,1,40,11,10,10
10,0,10,6,45,18,10,10
10,4,10,4,82,77,10,1
10,10,10,7,2,90,10,0
10,9,10,9,77,81,10,10
10,7,9,6,11,57,10,10
10,1,10,0,66,41,10,10
10,1,10,1,62,72,10,10
10,8,10,9,72,21,10,10
10,9,10,3,28,59,10,10
10,2,10,6,96,27,10,2
10,2,10,0,13,70,10,10
10,3,10,6,14,51,10,10
10,7,8,6,18,100,10,10
10,6,10,2,82,29,10,10
10,5,5,2,99,58,0,10
10,9,4,5,33,95,10,10
10,8,10,2,62,18,10,10
10,2,10,9,91,76,10,10
10,7,10,1,41,46,10,10
10,5,10,9,37,38,10,10
10,2,10,5,89,55,10,10
10,5,10,3,65,29,3,10
10,2,10,9,95,100,10,10
10,6,10,5,12,68,10,10
10,7,10,0,25,96,10,10
10,8,10,0,25,11,10,1
10,4,3,5,7,52,10,10
10,8,10,7,46,28,10,10
10,1,10,10,55,86,10,6
10,5,10,5,27,16,10,10
10,3,10,3,93,100,10,10
9,6,10,3,21,1,10,10
10,1,10,5,6,77,10,5
10,1,10,4,72,87,10,10
10,3,10,6,20,97,10,10
10,2,3,6,14,54,10,10
10,6,10,6,69,38,10,0
10,0,10,4,27,86,10,10
10,7,10,4,36,56,10,10
10,3,10,7,9,42,10,6
10,7,10,1,78,13,10,10
10,1,10,5,36,95,10,10
10,10,10,4,67,41,10,10
10,5,10,3,57,67,10,8
10,3,10,10,95,26,10,10
10,5,10,1,85,60,10,10
10,5,10,1,47,51,10,8
10,8,10,6,88,74,1,10
10,2,10,8,96,61,10,0
10,10,10,9,72,18,10,10
10,10,10,9,38,65,10,10
10,5,10,6,58,43,10,10
10,0,10,2,23,62,2,10
10,9,0,7,41,98,10,10
10,10,10,6,0,44,10,10
10,4,10,2,55,84,10,10
10,7,10,2,61,42,10,10
10,5,10,9,42,5,3,10
10,10,10,2,45,71,10,4
10,9,10,10,80,88,10,10
10,5,10,10,13,57,10,10
10,4,10,2,65,82,10,9
4,1,10,4,25,64,10,10
10,1,10,7,31,45,10,4
10,7,10,5,2,73,10,10
6,7,10,7,71,68,10,10
10,8,10,0,100,55,7,10
10,1,10,0,32,18,10,10
10,7,10,1,5,93,7,10
10,0,10,4,93,83,10,7
10,6,10,8,6,20,6,10
6,7,7,0,89,100,10,10
10,8,10,5,18,90,10,10
10,10,10,4,9,56,10,10
10,1,10,3,75,4,10,10
10,7,10,1,59,24,8,10
10,1,9,8,74,21,7,10
10,5,10,8,55,80,10,10
6,1,10,8,70,26,10,4
