,0,1,2,3,4,5,6,7,8,9
0,9,28,63,0,2,8,0,10,5,18
1,3,47,78,9,8,1,7,3,8,25
2,6,84,10,7,4,7,7,7,0,47
3,8,93,86,10,7,4,4,7,9,41
4,0,88,53,9,10,0,10,5,7,74
5,10,97,11,9,8,9,6,3,1,75
6,10,38,82,1,0,3,6,6,1,13
7,9,32,62,0,5,8,8,10,3,42
8,7,85,90,0,3,6,3,2,3,37
9,8,2,21,6,5,7,0,2,5,30
10,5,29,60,10,7,6,7,3,5,2
11,4,65,32,4,3,0,1,3,1,57
12,5,92,16,9,7,0,8,7,0,15
13,8,90,50,9,5,0,1,2,3,10
14,3,32,88,4,10,4,8,5,6,25
15,0,68,74,2,6,5,7,10,10,89
16,7,79,77,6,10,1,5,3,0,6
17,1,68,12,3,4,3,1,2,7,5
18,3,35,35,10,7,2,6,9,8,75
19,9,1,95,1,6,7,3,7,7,28
20,1,88,34,8,5,2,4,5,8,56
21,9,31,30,5,0,10,5,6,1,92
22,1,4,15,7,6,4,4,3,1,35
23,0,96,0,2,4,8,7,1,10,61
24,6,71,89,7,3,1,7,7,8,15
25,6,86,15,8,4,1,0,1,5,18
26,8,47,21,0,0,8,4,1,7,92
27,2,94,33,6,9,10,0,7,4,12
28,1,0,16,9,5,4,6,9,2,80
29,3,27,15,3,1,9,6,7,4,89
30,6,62,1,10,10,3,3,9,5,70
31,3,48,93,5,10,9,9,4,4,68
32,9,27,40,4,6,1,9,9,8,6
33,8,64,8,6,0,5,5,7,9,67
34,6,39,21,6,5,8,6,8,6,52
35,5,78,9,4,9,8,2,7,0,75
36,2,30,6,3,5,0,8,5,4,35
37,6,81,56,3,2,9,3,10,2,94
38,1,15,46,2,9,8,2,5,0,26
39,9,9,37,8,4,9,2,9,6,92
40,10,52,94,9,8,2,10,5,1,56
41,8,29,9,7,10,9,6,5,7,21
42,7,48,34,5,7,7,10,6,5,25
43,1,8,20,8,8,9,7,5,10,28
44,7,5,98,2,6,1,10,8,6,8
45,5,57,53,10,9,10,7,1,1,2
46,9,7,78,5,9,2,3,0,1,85
47,10,77,28,9,9,1,3,1,10,22
48,8,7,50,1,9,0,10,1,3,13
49,8,2,62,1,6,8,0,9,3,72
50,10,12,23,3,9,7,1,8,5,67
51,10,12,42,9,7,7,2,4,7,65
52,9,58,11,4,2,9,10,3,6,68
53,2,96,89,10,8,5,7,2,7,79
54,7,3,52,3,2,7,1,9,7,6
55,7,7,90,3,9,1,1,5,5,6
56,9,87,77,9,4,2,7,6,8,29
57,5,40,24,6,1,0,7,4,2,6
58,3,65,45,6,8,1,1,4,5,80
59,9,33,12,7,2,7,6,6,10,36
60,9,88,61,8,10,9,7,0,8,11
61,0,5,98,2,1,6,8,6,0,73
