0,1,2,3,4,5,6,7,8,9
9,28,63,0,2,8,0,10,5,18
3,47,78,9,8,1,7,3,8,25
6,84,10,7,4,7,7,7,0,47
8,93,86,10,7,4,4,7,9,41
0,88,53,9,10,0,10,5,7,74
10,97,11,9,8,9,6,3,1,75
10,38,82,1,0,3,6,6,1,13
9,32,62,0,5,8,8,10,3,42
7,85,90,0,3,6,3,2,3,37
8,2,21,6,5,7,0,2,5,30
5,29,60,10,7,6,7,3,5,2
4,65,32,4,3,0,1,3,1,57
5,92,16,9,7,0,8,7,0,15
8,90,50,9,5,0,1,2,3,10
3,32,88,4,10,4,8,5,6,25
0,68,74,2,6,5,7,10,10,89
7,79,77,6,10,1,5,3,0,6
1,68,12,3,4,3,1,2,7,5
3,35,35,10,7,2,6,9,8,75
9,1,95,1,6,7,3,7,7,28
1,88,34,8,5,2,4,5,8,56
9,31,30,5,0,10,5,6,1,92
1,4,15,7,6,4,4,3,1,35
0,96,0,2,4,8,7,1,10,61
6,71,89,7,3,1,7,7,8,15
6,86,15,8,4,1,0,1,5,18
8,47,21,0,0,8,4,1,7,92
2,94,33,6,9,10,0,7,4,12
1,0,16,9,5,4,6,9,2,80
3,27,15,3,1,9,6,7,4,89
6,62,1,10,10,3,3,9,5,70
3,48,93,5,10,9,9,4,4,68
9,27,40,4,6,1,9,9,8,6
8,64,8,6,0,5,5,7,9,67
6,39,21,6,5,8,6,8,6,52
5,78,9,4,9,8,2,7,0,75
2,30,6,3,5,0,8,5,4,35
6,81,56,3,2,9,3,10,2,94
1,15,46,2,9,8,2,5,0,26
9,9,37,8,4,9,2,9,6,92
10,52,94,9,8,2,10,5,1,56
8,29,9,7,10,9,6,5,7,21
7,48,34,5,7,7,10,6,5,25
1,8,20,8,8,9,7,5,10,28
7,5,98,2,6,1,10,8,6,8
5,57,53,10,9,10,7,1,1,2
9,7,78,5,9,2,3,0,1,85
10,77,28,9,9,1,3,1,10,22
8,7,50,1,9,0,10,1,3,13
8,2,62,1,6,8,0,9,3,72
10,12,23,3,9,7,1,8,5,67
10,12,42,9,7,7,2,4,7,65
9,58,11,4,2,9,10,3,6,68
2,96,89,10,8,5,7,2,7,79
7,3,52,3,2,7,1,9,7,6
7,7,90,3,9,1,1,5,5,6
9,87,77,9,4,2,7,6,8,29
5,40,24,6,1,0,7,4,2,6
3,65,45,6,8,1,1,4,5,80
9,33,12,7,2,7,6,6,10,36
9,88,61,8,10,9,7,0,8,11
0,5,98,2,1,6,8,6,0,73
2,100,47,1,0,6,10,2,10,71
10,35,16,0,8,1,9,10,1,15
9,62,23,7,2,8,6,6,1,51
2,43,17,8,0,3,9,4,2,76
6,51,99,6,9,6,5,8,4,51
1,4,60,10,10,7,0,3,10,65
6,90,72,3,9,4,9,4,4,100
6,93,2,5,10,10,4,3,9,14
1,40,45,8,1,0,8,3,4,24
6,4,75,2,10,6,6,5,4,9
2,98,21,7,0,6,5,1,6,94
8,33,56,4,6,8,3,0,6,15
0,38,24,7,5,5,9,5,0,13
9,4,86,5,8,9,4,9,3,11
1,42,17,6,6,9,1,8,2,71
6,39,46,5,3,2,0,5,2,93
9,93,4,1,0,0,9,9,0,77
10,50,47,9,6,4,1,9,10,38
5,91,78,3,6,0,7,6,8,23
4,56,4,6,10,4,8,10,10,2
2,80,91,9,2,9,6,7,0,22
3,33,9,8,5,2,0,7,1,65
3,18,74,0,10,10,7,6,4,77
4,34,25,8,0,7,8,4,7,13
4,92,84,5,8,8,6,0,5,88
10,5,5,2,2,6,5,7,1,66
4,68,19,9,8,6,6,4,3,5
5,98,86,8,1,7,1,1,2,23
10,12,41,10,9,3,4,7,8,99
10,61,68,10,1,3,0,9,4,62
6,53,6,10,0,8,5,3,8,5
9,32,50,3,4,2,1,6,10,7
2,28,2,1,5,0,5,2,5,54
7,11,44,2,5,8,7,0,7,33
8,2,97,0,8,9,6,5,9,56
0,81,15,3,3,10,6,0,2,62
7,14,48,5,8,5,5,0,2,99
