0,1,2,3,4,5,6,7,8,9,10,11
77,6,72,7,75,3,45,9,8,5,31,64
15,28,15,6,50,27,25,2,4,4,18,40
55,28,72,9,66,4,86,6,9,2,71,44
13,66,45,6,52,23,21,9,10,1,6,4
52,76,28,3,62,74,19,3,8,0,11,38
69,34,86,0,0,43,50,1,7,6,60,63
82,85,21,5,30,59,58,3,10,5,40,20
92,100,85,10,34,5,0,5,2,1,56,83
60,69,33,10,64,98,63,5,2,2,19,86
74,28,32,8,45,95,16,1,1,2,36,32
9,64,60,2,26,25,88,2,2,1,82,72
65,60,9,0,63,46,90,7,3,10,90,87
96,12,34,3,35,81,63,2,0,5,1,54
74,46,34,0,42,92,25,5,4,5,14,22
14,55,58,2,22,15,75,0,7,0,63,8
59,79,68,7,1,34,29,6,7,7,77,89
52,77,59,3,44,59,48,3,2,8,80,81
57,6,4,4,7,89,50,9,5,3,45,66
16,9,65,2,92,28,24,10,4,2,94,87
14,100,67,7,45,77,32,8,2,1,12,40
42,69,80,1,41,64,43,10,0,3,39,60
72,0,83,5,11,85,90,9,8,5,28,23
91,69,58,6,85,79,70,0,7,1,54,48
86,3,65,8,63,48,10,2,6,6,100,10
44,42,32,8,57,80,72,1,0,3,7,17
66,16,17,3,32,69,25,5,5,3,0,89
48,88,52,0,55,96,34,3,2,5,62,50
47,78,8,10,96,77,46,4,7,6,34,40
73,86,63,3,99,8,44,1,2,5,59,19
84,36,6,9,90,0,18,5,7,2,79,94
63,85,82,5,92,52,87,1,8,9,27,60
66,93,61,7,1,82,24,2,4,3,24,26
47,68,100,10,57,27,70,8,9,0,10,37
68,96,21,7,32,23,34,10,6,5,87,85
18,85,22,1,68,73,99,10,4,10,97,69
68,30,58,9,25,28,67,9,3,9,73,93
85,91,54,8,76,10,13,6,4,5,5,94
90,90,45,3,60,15,50,7,0,8,56,7
55,12,22,7,6,34,49,9,0,2,26,54
35,67,41,7,40,30,48,8,0,10,93,62
77,68,28,4,12,84,63,10,1,9,83,52
75,83,12,8,80,32,58,5,4,10,30,39
20,87,67,8,46,82,14,2,3,10,20,84
39,2,86,7,5,88,76,5,1,10,81,84
13,78,47,9,41,51,28,3,4,7,73,88
59,87,11,3,26,0,69,6,8,0,84,1
77,89,93,5,43,86,91,7,8,0,14,14
98,57,86,7,10,54,25,5,5,3,40,0
7,38,54,6,63,8,65,7,5,1,37,97
42,31,7,4,79,33,24,9,6,3,70,17
44,79,54,1,82,91,52,2,7,5,1,87
38,80,0,1,26,83,67,7,1,5,69,71
19,58,35,10,9,77,94,8,2,1,59,37
33,93,12,4,92,13,53,3,7,5,66,95
45,36,53,9,9,94,71,3,10,4,2,48
36,18,46,3,71,39,4,4,8,9,27,4
13,75,61,10,95,71,66,5,8,4,91,78
64,49,88,1,47,59,70,5,8,3,25,74
31,0,52,0,33,26,16,7,7,7,15,77
93,80,59,1,56,49,90,2,0,0,31,33
91,52,24,7,22,21,51,3,3,4,97,41
54,28,40,5,85,60,75,9,0,2,35,14
55,24,30,6,53,36,7,2,0,5,48,29
36,48,69,6,85,22,60,0,7,8,0,56
74,97,14,5,46,83,60,7,2,10,49,72
22,75,1,0,51,2,18,5,8,3,37,73
98,7,84,0,18,17,4,3,3,9,77,12
48,96,56,9,30,94,39,3,8,3,90,19
