,0,1,2,3,4,5
0,8,26,82,9,54,1
1,7,74,74,0,12,1
2,2,48,4,8,43,8
3,6,1,45,2,6,2
4,10,91,33,6,9,3
5,3,7,62,1,8,2
6,7,75,84,7,33,10
7,1,23,26,8,47,8
8,10,58,66,2,57,3
9,0,67,23,5,82,5
10,2,58,33,10,63,0
11,9,64,57,3,59,4
12,3,11,65,10,55,10
13,2,16,23,0,24,3
14,1,4,62,1,10,8
15,3,3,6,9,31,8
16,9,25,23,8,63,5
17,4,34,12,1,38,2
18,9,74,80,7,15,10
19,6,88,20,0,32,1
20,8,3,82,5,29,1
21,8,12,53,1,27,0
22,1,62,77,6,56,4
23,0,41,91,10,18,6
24,7,45,59,7,65,2
25,5,13,5,3,30,10
26,8,78,68,8,57,10
27,0,12,20,3,95,8
28,8,51,5,0,78,2
29,3,91,64,0,35,9
30,2,92,47,0,43,6
31,2,36,6,2,7,2
32,8,10,26,9,43,2
33,2,88,18,8,14,1
34,5,86,98,6,71,3
35,9,52,65,1,91,3
36,3,58,47,10,89,5
37,6,23,92,10,56,4
38,8,3,71,8,61,6
39,7,18,19,2,71,2
40,0,25,2,3,89,7
41,1,73,2,8,15,3
42,3,96,35,2,54,0
43,7,46,43,10,16,3
44,3,73,8,10,16,5
45,8,61,89,3,72,10
46,4,72,11,0,98,4
47,2,61,97,5,99,9
48,3,7,8,7,80,9
49,0,7,29,10,55,9
50,3,81,71,5,48,3
51,3,32,80,7,69,4
52,1,78,81,8,77,10
53,8,33,77,6,0,5
54,8,88,8,3,16,5
55,2,96,81,8,30,1
56,10,38,39,0,31,2
57,4,10,63,10,88,3
58,1,26,70,10,34,8
59,8,46,99,10,91,3
60,1,21,81,6,78,4
61,10,54,44,6,56,1
62,0,96,9,10,28,4
63,9,48,92,8,74,1
64,7,51,59,3,50,3
65,5,94,100,9,9,0
66,2,63,57,1,65,10
67,8,81,37,7,70,7
68,5,95,91,3,64,1
69,10,35,23,10,4,0
70,4,79,12,0,79,9
71,4,17,100,7,71,8
72,0,78,10,4,48,9
73,10,30,68,6,99,1
74,9,47,56,1,39,6
75,5,43,82,7,88,5
76,0,39,35,7,88,4
77,6,84,79,6,90,0
78,10,60,31,6,26,4
79,9,66,22,6,84,1
80,1,52,61,2,22,0
81,8,72,21,8,46,3
82,9,71,85,7,69,0
83,7,67,61,1,39,9
84,2,28,27,8,76,9
85,1,30,75,7,6,9
86,5,28,82,8,17,4
87,8,39,87,5,14,10
88,7,53,26,8,78,4
89,9,11,43,9,47,2
90,10,42,87,9,61,4
91,5,63,78,2,2,3
92,7,79,46,2,83,5
93,0,39,53,6,48,0
94,1,31,62,3,42,5
95,2,29,10,7,46,1
96,4,83,25,7,3,0
97,2,96,36,10,26,5
98,9,48,17,8,55,5
99,5,46,62,0,44,0
100,0,100,10,0,39,8
101,0,41,20,10,65,3
102,0,5,79,1,65,3
103,2,60,84,8,78,0
104,9,41,5,0,51,2
105,0,91,70,3,24,3
106,3,57,5,1,74,6
107,1,92,89,0,80,0
108,4,96,72,6,5,4
109,4,60,85,7,74,0
110,3,57,90,1,83,7
111,6,26,11,9,74,10
112,2,93,72,9,41,3
113,5,2,90,8,50,2
114,4,71,15,1,91,5
115,10,3,44,9,79,10
116,1,46,37,4,67,2
117,5,14,29,6,79,4
118,3,52,10,8,41,1
119,10,80,73,7,33,8
120,9,84,88,9,6,9
121,1,82,97,2,68,6
122,6,22,3,5,52,3
123,2,34,67,9,36,5
124,1,51,18,10,49,0
125,8,45,8,5,22,2
126,10,45,12,0,66,5
127,0,14,50,8,37,7
128,10,87,91,6,10,9
129,3,70,8,5,84,2
130,4,4,38,8,3,0
131,8,51,12,8,64,7
132,6,41,56,5,83,4
133,9,89,87,3,42,3
134,9,86,100,2,27,10
135,7,50,92,6,44,6
136,7,48,65,3,59,6
137,6,74,56,3,99,8
138,8,55,35,9,70,6
139,7,61,57,4,95,6
140,0,45,31,0,67,7
141,1,86,0,5,26,1
142,1,8,18,7,60,8
143,2,64,96,4,80,5
144,0,76,95,3,1,1
145,10,75,8,1,87,6
146,9,63,56,6,4,3
147,1,55,31,8,75,10
148,5,56,72,0,25,7
149,10,5,69,5,11,0
150,0,31,94,0,6,5
151,0,82,6,3,42,0
152,5,56,87,7,98,2
153,3,43,62,2,29,1
154,4,93,72,2,77,5
155,3,51,60,7,26,0
156,10,12,28,1,42,6
157,5,19,2,1,40,1
158,3,6,26,8,68,8
159,10,50,62,0,24,7
160,4,74,19,3,18,5
161,0,20,88,9,6,7
162,2,54,97,10,48,9
163,9,56,94,8,57,8
164,4,9,7,1,96,3
165,7,77,58,4,72,2
166,5,3,77,5,89,5
167,9,21,50,4,88,4
168,6,67,62,8,97,7
169,6,74,63,8,69,4
170,3,49,74,1,1,4
171,4,70,24,6,5,10
172,0,27,98,4,0,8
