,0,1,2,3,4,5
0,4,6,0,5,9,8
1,5,6,2,2,2,0
2,6,3,6,7,2,10
3,0,8,10,5,5,2
4,4,4,5,4,0,4
5,9,3,1,7,9,0
6,1,9,7,2,0,4
7,6,9,8,9,4,2
8,3,3,5,4,10,2
9,4,4,7,2,0,0
10,10,8,2,4,4,10
11,10,6,2,3,1,4
12,5,0,5,0,8,3
13,9,8,10,5,1,4
14,4,4,6,10,5,1
15,1,3,4,3,4,10
16,5,8,6,0,3,3
17,3,6,3,2,2,4
18,5,10,2,1,10,10
19,6,10,1,7,3,4
20,1,10,3,9,9,2
21,8,7,2,10,3,7
22,4,9,1,3,0,3
23,3,1,0,4,6,4
24,6,8,7,5,7,1
25,1,6,2,3,9,0
26,0,10,9,0,9,4
27,9,4,2,1,10,1
28,4,5,10,5,7,10
29,1,6,2,9,1,10
30,6,4,1,5,4,1
31,2,8,9,10,5,5
32,0,4,5,6,4,8
33,1,8,10,5,6,6
34,4,8,7,5,9,2
35,1,10,10,8,0,10
36,2,8,1,8,10,4
37,10,2,10,3,5,3
38,8,4,4,4,6,5
39,1,3,5,3,6,4
40,10,0,5,8,1,1
41,3,10,2,9,5,0
42,0,2,0,6,10,4
43,10,1,0,8,2,9
44,10,5,1,9,2,6
45,9,2,7,9,4,2
46,0,5,4,3,1,0
47,7,3,8,0,7,0
48,9,2,9,0,9,6
49,2,3,1,7,4,10
50,2,2,1,10,7,10
51,5,5,1,5,2,0
52,3,10,6,9,3,7
53,1,0,7,7,0,9
54,1,10,6,8,6,1
55,10,7,8,5,6,10
56,3,0,3,0,10,10
57,5,4,5,5,9,0
58,5,2,5,0,8,10
59,1,0,8,1,3,9
60,7,5,2,9,4,3
61,9,6,6,8,10,3
62,5,0,0,6,2,6
63,1,8,10,7,2,6
64,5,0,8,1,0,3
65,0,6,3,5,10,3
66,7,9,0,9,6,6
67,5,0,1,9,9,8
68,9,9,7,6,4,9
69,3,9,10,5,8,10
70,6,8,3,0,8,9
71,9,0,2,4,1,3
72,3,9,5,7,3,9
73,5,9,7,4,3,8
74,2,8,3,3,0,6
75,3,3,9,5,3,7
76,2,1,7,6,0,0
77,4,9,9,4,4,6
78,5,5,6,2,2,2
79,10,3,2,4,10,4
80,3,10,5,2,9,10
81,6,5,10,6,2,8
82,4,7,2,0,1,5
83,6,8,6,5,8,6
84,4,9,0,2,0,1
85,2,1,8,7,10,6
86,0,0,9,8,8,7
87,7,4,7,3,6,6
88,2,8,0,3,8,0
89,3,6,4,6,5,9
90,3,10,10,8,10,1
91,9,7,9,0,2,6
92,3,6,4,4,7,10
93,4,3,3,5,9,1
94,9,6,9,10,10,1
95,8,10,2,4,6,8
96,0,3,3,0,2,0
97,1,8,7,5,7,10
98,1,5,1,1,4,5
99,1,3,2,3,8,0
100,3,9,8,10,2,9
101,7,1,1,2,6,1
102,10,8,6,6,2,1
103,8,2,8,0,9,3
104,7,6,5,4,6,3
105,10,9,6,3,0,1
106,3,10,5,0,9,10
107,1,6,2,0,7,1
108,6,9,7,0,1,4
109,4,2,8,9,8,4
110,7,5,4,7,1,6
111,8,9,5,10,6,3
112,0,2,7,3,6,6
113,3,8,3,3,6,1
114,1,1,6,2,8,5
115,9,4,9,2,10,8
116,1,9,0,6,5,9
117,9,6,9,3,6,4
118,0,1,4,5,8,4
119,3,6,3,8,2,3
120,9,5,5,5,7,4
121,5,2,6,5,4,9
122,10,6,6,4,10,8
123,6,5,7,6,6,6
124,1,1,5,5,2,1
125,2,4,7,5,6,0
126,9,7,10,3,6,3
127,5,3,2,9,7,2
128,7,5,0,10,0,6
129,0,0,6,3,0,7
130,9,10,8,10,6,0
131,3,9,10,0,10,5
132,4,9,1,4,0,1
133,2,4,4,6,8,9
134,6,1,0,9,1,10
135,7,10,7,2,0,0
136,5,9,2,2,8,3
137,2,3,7,10,0,0
138,9,2,8,10,2,4
139,8,6,8,8,4,3
140,6,3,8,5,5,10
141,5,1,8,6,8,4
142,0,4,10,2,0,0
143,4,9,7,0,6,8
144,10,3,7,8,4,2
145,10,4,3,3,10,4
146,9,3,2,3,8,6
147,5,5,6,0,10,7
148,4,9,8,4,0,9
149,10,4,2,6,3,1
150,1,10,4,2,5,4
151,3,2,9,9,10,9
152,6,7,0,8,2,8
153,6,5,6,7,9,4
154,2,1,5,4,4,7
155,2,7,1,2,2,2
156,0,9,6,9,5,9
157,4,8,4,2,10,4
158,7,9,10,9,4,0
159,4,8,5,3,8,5
160,6,7,2,0,3,1
161,2,4,9,2,8,9
162,2,8,9,4,1,9
163,8,7,2,2,8,2
164,6,2,10,8,3,10
165,7,9,6,8,1,8
166,2,0,2,8,9,4
167,0,3,4,2,10,0
168,6,7,8,9,3,7
169,5,0,1,9,8,0
170,0,2,9,3,10,1
171,4,8,3,7,3,1
172,4,2,6,10,4,9
173,6,0,5,7,6,8
174,8,0,5,6,8,2
175,3,1,3,2,5,6
176,8,3,10,2,9,10
177,6,5,6,10,9,4
178,10,5,0,10,8,9
179,7,6,5,9,2,2
180,2,3,1,2,8,7
181,10,0,4,9,6,0
182,10,9,10,8,2,0
183,9,9,4,7,6,0
184,0,4,2,5,7,2
185,4,4,10,6,2,10
186,3,6,3,2,0,10
187,8,3,7,5,7,0
