0,1,2,3,4,5,6
3,50,30,25,88,65,8
61,78,50,20,32,6,23
7,13,60,70,2,24,16
91,66,84,22,76,76,41
17,63,70,54,72,99,67
49,45,62,14,96,17,47
44,65,84,71,83,70,18
65,85,62,14,98,22,6
50,77,84,60,7,72,94
84,72,68,62,22,93,68
4,72,4,62,18,72,12
78,89,42,21,85,23,22
31,78,62,61,11,97,82
11,33,31,70,7,22,13
82,34,56,95,52,38,81
3,4,91,17,35,13,28
18,22,65,51,38,19,44
21,78,45,32,58,18,28
87,83,62,78,88,37,15
17,8,45,30,17,41,82
100,28,89,41,38,21,76
73,78,8,31,17,85,94
95,21,94,27,37,54,21
37,11,14,45,48,31,40
91,38,85,78,94,64,8
34,28,8,65,28,85,7
45,39,43,68,89,1,10
94,71,8,38,99,49,74
47,84,42,42,50,75,60
1,96,36,83,3,72,71
21,79,41,34,9,74,64
37,38,96,49,74,17,36
7,41,14,44,50,2,52
44,60,27,32,67,99,22
93,25,59,70,50,28,56
47,40,30,25,6,84,45
84,30,51,28,46,96,48
88,74,78,34,62,22,61
61,19,90,52,18,8,24
100,81,32,20,96,16,99
46,77,98,37,9,72,35
37,59,14,44,31,60,71
12,0,32,31,99,43,49
6,21,35,3,51,93,41
69,30,28,78,3,87,88
44,27,87,30,72,9,1
3,68,66,61,94,21,87
65,11,31,81,23,35,88
37,27,35,54,59,96,53
34,7,45,11,79,26,61
15,74,95,50,87,24,76
19,33,55,79,74,62,59
58,80,9,43,81,63,83
12,73,92,19,48,94,14
34,39,55,43,76,63,45
88,38,66,45,87,53,91
39,5,58,24,83,11,41
78,67,52,89,74,55,43
0,45,37,18,9,54,10
74,90,72,23,76,100,37
71,67,21,47,99,58,32
15,9,25,90,13,91,88
69,52,92,78,65,90,3
21,79,82,8,78,18,18
61,98,67,80,12,32,9
25,24,62,13,79,23,35
77,63,90,1,97,90,87
44,50,32,9,41,76,52
85,38,9,76,39,65,63
100,77,32,12,94,90,32
50,13,5,43,73,41,33
42,89,66,95,52,31,47
82,97,56,68,31,32,31
75,52,66,59,17,85,56
56,96,71,62,77,96,99
96,79,58,96,5,80,26
98,74,63,21,31,40,31
40,60,24,37,4,66,10
45,59,69,3,10,3,37
24,97,18,74,22,50,63
58,2,51,3,75,87,41
12,73,84,31,92,20,94
80,43,20,63,58,59,93
69,7,77,61,5,85,87
59,93,75,19,16,30,68
49,94,80,54,92,52,93
37,13,55,88,43,41,25
85,99,30,72,2,79,46
88,49,31,25,19,3,34
44,13,9,41,76,83,55
32,58,30,7,94,89,6
97,13,98,12,34,57,12
21,14,11,30,67,22,21
22,76,49,72,93,99,95
69,13,67,68,10,60,61
21,14,51,92,40,72,68
93,63,14,19,95,73,61
33,78,44,83,49,78,29
55,62,100,81,58,78,70
6,26,64,94,70,52,18
48,76,6,87,50,87,72
34,82,42,17,29,51,40
91,4,99,1,53,21,84
23,20,33,16,82,98,78
65,86,66,51,70,17,45
50,59,65,50,7,96,76
88,79,77,67,13,66,21
36,37,27,71,45,84,37
7,58,50,23,61,20,88
58,47,30,52,3,99,71
98,8,40,90,79,73,97
44,53,100,72,91,21,74
38,100,54,31,72,55,24
74,8,34,82,68,92,65
87,30,51,86,95,66,55
10,39,92,37,89,9,57
47,34,7,81,68,70,6
2,41,47,99,73,60,4
89,3,38,5,68,96,0
25,75,73,13,46,36,31
34,80,82,74,39,26,98
17,31,6,96,83,81,68
3,69,54,93,6,11,50
13,20,24,38,83,89,51
22,34,69,19,53,40,30
68,5,81,10,15,54,100
39,35,51,83,26,64,61
61,25,4,89,82,41,4
79,74,12,13,27,83,60
23,5,85,97,77,53,73
12,48,44,37,39,16,45
17,76,3,66,7,4,51
61,42,53,78,26,68,70
98,65,66,13,61,12,4
9,85,75,15,38,11,19
75,13,88,32,29,75,45
65,99,47,96,69,65,56
63,88,14,63,72,39,91
42,86,13,25,51,34,100
55,43,80,51,42,82,38
89,40,43,45,16,50,27
72,87,12,81,58,84,50
29,80,10,98,88,47,81
56,85,3,64,39,30,47
45,63,90,99,15,57,9
60,60,76,92,30,58,86
61,71,18,25,51,45,82
12,50,25,88,20,62,46
41,6,4,58,20,90,55
0,66,93,61,41,82,1
12,13,25,47,64,14,86
96,72,32,99,92,60,89
5,86,4,73,70,3,100
74,13,84,61,73,74,17
7,42,63,24,96,61,87
67,43,95,64,82,85,18
13,92,25,27,8,13,41
89,48,10,51,14,45,48
13,60,86,8,56,7,75
97,45,73,16,37,47,94
19,81,10,9,3,84,7
91,85,85,52,71,14,100
27,45,59,100,1,67,88
30,1,29,46,3,64,31
38,94,32,75,95,68,50
56,29,69,92,53,85,82
32,85,95,63,49,22,53
63,49,9,36,58,19,51
46,100,3,60,27,79,67
22,62,96,66,61,90,12
82,3,29,40,89,46,81
53,50,63,37,89,84,63
64,18,52,71,96,24,56
14,57,24,13,38,2,99
48,49,39,38,27,71,22
5,44,64,51,84,72,84
62,15,81,20,63,14,32
53,87,4,62,100,70,37
91,27,67,90,68,83,82
59,16,99,50,64,99,49
52,62,28,50,29,71,61
65,44,97,89,20,98,0
76,2,9,99,51,77,30
19,85,20,23,7,94,2
46,87,81,53,32,53,53
60,95,79,61,91,75,15
63,81,97,80,75,8,36
14,75,38,31,15,54,45
19,49,94,82,39,73,49
19,86,46,0,93,64,15
49,75,60,83,43,52,78
14,57,7,89,56,32,100
31,57,2,99,35,88,91
11,76,55,66,74,57,50
96,33,76,9,62,89,19
64,38,92,47,71,66,58
14,17,22,26,14,44,50
20,2,76,45,75,60,19
17,16,88,0,62,42,8
15,12,40,12,17,87,11
66,64,29,40,100,57,67
50,14,44,80,30,51,89
65,58,57,34,74,90,10
84,20,60,19,17,97,6
27,13,48,61,27,66,52
65,65,14,58,71,67,12
43,71,24,99,29,50,98
47,49,11,26,28,45,90
15,67,19,46,66,82,23
20,90,37,55,15,48,24
100,92,30,97,33,61,83
28,20,87,24,15,50,84
38,13,80,86,11,3,62
57,44,41,40,44,27,68
62,96,27,72,70,32,65
33,12,60,0,98,30,90
66,18,86,23,26,14,31
54,68,91,47,16,92,24
64,36,81,31,73,24,84
62,29,8,76,53,38,30
95,82,98,3,66,87,84
83,34,92,14,96,67,5
58,63,77,17,1,81,82
43,90,11,36,85,1,6
93,46,16,71,75,30,23
62,72,99,36,89,17,5
42,43,99,53,14,19,91
73,7,44,71,91,82,66
91,15,16,89,65,11,63
15,54,29,33,8,65,60
54,26,66,26,75,42,62
35,52,53,95,46,68,10
1,44,7,3,24,52,29
83,11,41,0,90,28,54
73,83,93,74,54,0,66
65,11,35,44,50,88,51
63,51,14,52,40,81,45
18,15,50,62,6,35,80
15,72,42,65,34,0,93
15,45,8,39,67,90,71
99,77,61,79,96,32,11
41,85,0,91,43,33,39
56,59,27,19,81,42,70
54,30,51,13,21,94,69
98,29,1,36,93,89,47
61,72,45,98,57,85,24
39,45,15,76,40,76,85
47,38,15,8,82,66,16
34,54,3,43,57,85,5
9,29,73,1,57,50,24
2,56,56,22,50,4,70
71,27,9,71,42,47,12
2,29,6,26,75,7,16
46,29,47,81,10,53,57
86,58,67,51,69,73,89
75,73,33,81,54,2,14
49,29,72,78,81,73,13
69,96,16,85,16,27,87
37,28,58,92,45,13,11
80,48,86,40,7,30,10
42,78,31,33,26,94,89
30,60,6,48,100,0,89
17,50,52,13,42,49,44
9,46,24,86,87,62,16
19,81,93,63,43,0,48
10,79,49,84,63,69,20
11,13,32,63,98,99,71
53,70,51,89,88,91,63
6,17,45,39,42,45,66
76,33,75,98,6,6,52
2,28,41,3,94,17,90
3,11,72,96,11,80,77
45,20,86,98,57,82,73
32,65,57,28,66,31,96
60,16,58,97,93,9,80
35,45,67,29,40,97,6
81,45,70,96,18,76,98
47,30,75,65,65,14,68
83,94,56,40,8,4,84
33,11,99,92,38,13,96
20,28,6,27,89,31,28
52,0,59,15,25,0,66
90,79,14,3,71,94,70
12,74,22,41,58,12,88
60,84,81,8,25,11,31
2,15,9,66,73,94,15
100,88,32,66,13,50,87
23,30,34,87,88,48,82
24,45,10,21,10,90,88
0,3,42,84,41,95,70
6,48,45,85,91,32,76
1,73,93,74,88,79,34
70,1,42,40,1,76,22
68,49,99,41,40,40,22
5,89,44,75,97,37,69
46,50,1,24,60,38,26
59,89,15,53,24,3,0
85,59,57,8,27,9,26
62,12,99,25,69,61,6
25,0,78,30,44,33,72
6,74,96,49,39,16,32
93,96,75,75,32,78,44
100,2,66,69,93,74,0
25,18,34,29,11,64,84
68,8,64,91,96,83,60
90,58,16,93,41,15,49
5,77,33,94,79,83,75
44,21,75,68,61,27,7
7,80,82,43,1,7,4
52,96,70,36,58,96,55
79,10,44,92,54,26,60
55,30,40,79,14,19,14
26,16,31,33,65,73,55
79,31,26,65,2,84,7
85,51,59,1,16,83,31
5,13,17,95,30,80,99
24,78,91,87,86,90,13
81,88,46,100,66,11,58
38,57,52,15,38,76,98
88,15,68,6,92,83,64
13,8,14,82,17,3,82
55,56,60,29,61,98,83
10,25,56,24,38,95,38
43,13,17,25,51,38,11
67,48,62,27,45,4,5
100,28,73,83,64,56,67
88,25,31,49,54,65,37
74,52,73,60,18,1,81
77,83,40,57,86,5,55
83,40,93,67,95,69,7
52,28,24,64,70,11,12
36,29,75,63,50,68,39
3,60,42,59,92,61,43
89,4,57,97,70,45,89
91,39,58,48,2,82,2
71,49,70,97,93,85,82
90,4,86,49,23,66,90
74,70,1,17,89,35,24
91,65,66,99,7,51,5
11,84,33,48,15,55,38
31,70,78,44,47,2,86
67,85,25,36,12,21,39
32,13,82,5,84,35,93
90,1,12,18,77,54,4
40,42,32,80,38,100,20
12,32,21,87,59,40,48
93,50,8,23,75,28,54
12,32,95,91,100,25,13
39,14,30,27,72,94,49
71,39,71,77,99,51,33
93,97,37,79,44,32,26
28,37,68,27,50,51,42
77,48,54,42,52,38,25
96,43,87,26,80,73,2
3,26,51,69,30,64,15
53,33,99,66,47,50,78
62,95,94,93,18,80,84
40,47,45,60,52,83,48
93,92,70,1,78,49,60
45,51,12,52,100,95,91
75,15,90,86,31,90,93
88,83,49,89,93,56,75
48,47,49,25,2,47,97
52,12,18,31,92,87,84
67,5,43,100,61,4,30
64,84,2,86,0,59,40
69,54,1,28,81,55,11
22,17,67,14,84,43,92
20,92,60,98,1,64,72
89,50,5,77,88,0,34
72,25,2,48,79,86,84
75,31,40,10,83,25,53
5,2,79,51,43,95,91
14,98,91,78,58,36,85
47,76,58,3,4,40,5
61,79,41,39,86,19,78
45,86,54,37,92,96,62
58,15,48,95,2,31,79
88,88,4,34,3,56,27
90,96,3,25,92,18,49
5,87,30,60,99,35,27
52,89,30,77,75,44,74
65,36,41,41,66,73,24
86,85,18,42,56,65,5
63,14,50,80,5,97,53
77,58,38,85,77,45,47
65,60,16,33,27,55,84
70,63,96,2,80,50,50
28,80,53,95,9,76,53
55,85,92,72,97,87,81
81,56,0,74,10,65,35
46,36,45,41,36,42,94
57,73,28,9,89,60,95
42,33,51,29,46,7,57
95,47,66,58,88,21,85
54,80,86,0,2,18,57
58,28,85,30,1,68,71
67,72,19,60,25,20,90
99,39,0,83,19,5,83
85,58,21,16,91,76,41
71,50,88,21,77,94,65
47,79,41,45,83,7,94
99,70,90,3,45,48,84
89,23,62,48,33,39,2
67,55,84,82,73,21,29
15,62,71,80,64,94,1
14,89,96,62,73,98,79
81,26,50,98,55,98,67
96,11,77,48,45,72,4
51,17,37,40,47,56,75
92,34,47,59,58,26,6
66,46,81,84,27,7,27
63,92,26,60,3,40,37
17,50,15,24,6,82,69
14,81,82,57,35,15,70
72,13,59,90,95,85,65
68,57,46,79,26,68,25
33,26,26,61,80,64,37
84,32,54,73,37,39,87
64,70,2,32,43,19,89
33,51,100,25,99,68,24
83,45,32,28,76,72,64
76,71,48,16,84,54,96
84,69,77,68,5,5,68
69,42,6,70,84,55,36
53,26,74,35,94,41,12
97,57,93,3,22,97,36
65,64,43,46,96,100,81
59,57,18,43,45,90,100
39,79,99,73,42,1,45
87,57,18,32,13,29,91
24,19,70,45,46,63,7
12,93,7,76,52,41,41
1,59,39,96,58,38,66
14,19,15,18,60,51,89
17,42,27,4,31,36,28
64,20,36,73,6,98,89
11,93,43,32,92,54,12
71,97,74,77,10,73,84
21,17,96,0,22,40,9
76,45,11,59,27,1,47
