0,1,2,3,4,5,6
3,10,30,10,10,65,8
10,10,50,10,10,6,23
7,10,60,10,2,24,16
10,10,84,10,10,76,41
10,10,70,10,10,99,67
10,10,62,10,10,17,47
10,10,84,10,10,70,18
10,10,62,10,10,22,6
10,10,84,10,7,72,94
10,10,68,10,10,93,68
4,10,4,10,10,72,12
10,10,42,10,10,23,22
10,10,62,10,10,97,82
10,10,31,10,7,22,13
10,10,56,10,10,38,81
3,4,91,10,10,13,28
10,10,65,10,10,19,44
10,10,45,10,10,18,28
10,10,62,10,10,37,15
10,8,45,10,10,41,82
10,10,89,10,10,21,76
10,10,8,10,10,85,94
10,10,94,10,10,54,21
10,10,14,10,10,31,40
10,10,85,10,10,64,8
10,10,8,10,10,85,7
10,10,43,10,10,1,10
10,10,8,10,10,49,74
10,10,42,10,10,75,60
1,10,36,10,3,72,71
10,10,41,10,9,74,64
10,10,96,10,10,17,36
7,10,14,10,10,2,52
10,10,27,10,10,99,22
10,10,59,10,10,28,56
10,10,30,10,6,84,45
10,10,51,10,10,96,48
10,10,78,10,10,22,61
10,10,90,10,10,8,24
10,10,32,10,10,16,99
10,10,98,10,9,72,35
10,10,14,10,10,60,71
10,0,32,10,10,43,49
6,10,35,3,10,93,41
10,10,28,10,3,87,88
10,10,87,10,10,9,1
3,10,66,10,10,21,87
10,10,31,10,10,35,88
10,10,35,10,10,96,53
10,7,45,10,10,26,61
10,10,95,10,10,24,76
10,10,55,10,10,62,59
10,10,9,10,10,63,83
10,10,92,10,10,94,14
10,10,55,10,10,63,45
10,10,66,10,10,53,91
10,5,58,10,10,11,41
10,10,52,10,10,55,43
0,10,37,10,9,54,10
10,10,72,10,10,100,37
10,10,21,10,10,58,32
10,9,25,10,10,91,88
10,10,92,10,10,90,3
10,10,82,8,10,18,18
10,10,67,10,10,32,9
10,10,62,10,10,23,35
10,10,90,1,10,90,87
10,10,32,9,10,76,52
10,10,9,10,10,65,63
10,10,32,10,10,90,32
10,10,5,10,10,41,33
10,10,66,10,10,31,47
10,10,56,10,10,32,31
10,10,66,10,10,85,56
10,10,71,10,10,96,99
10,10,58,10,5,80,26
10,10,63,10,10,40,31
10,10,24,10,4,66,10
10,10,69,3,10,3,37
10,10,18,10,10,50,63
10,2,51,3,10,87,41
10,10,84,10,10,20,94
10,10,20,10,10,59,93
10,7,77,10,5,85,87
10,10,75,10,10,30,68
10,10,80,10,10,52,93
10,10,55,10,10,41,25
10,10,30,10,2,79,46
10,10,31,10,10,3,34
10,10,9,10,10,83,55
10,10,30,7,10,89,6
10,10,98,10,10,57,12
10,10,11,10,10,22,21
10,10,49,10,10,99,95
10,10,67,10,10,60,61
10,10,51,10,10,72,68
10,10,14,10,10,73,61
10,10,44,10,10,78,29
10,10,100,10,10,78,70
6,10,64,10,10,52,18
10,10,6,10,10,87,72
10,10,42,10,10,51,40
10,4,99,1,10,21,84
10,10,33,10,10,98,78
10,10,66,10,10,17,45
10,10,65,10,7,96,76
10,10,77,10,10,66,21
10,10,27,10,10,84,37
7,10,50,10,10,20,88
10,10,30,10,3,99,71
10,8,40,10,10,73,97
10,10,100,10,10,21,74
10,10,54,10,10,55,24
10,8,34,10,10,92,65
10,10,51,10,10,66,55
10,10,92,10,10,9,57
10,10,7,10,10,70,6
2,10,47,10,10,60,4
10,3,38,5,10,96,0
10,10,73,10,10,36,31
10,10,82,10,10,26,98
10,10,6,10,10,81,68
3,10,54,10,6,11,50
10,10,24,10,10,89,51
10,10,69,10,10,40,30
10,5,81,10,10,54,100
10,10,51,10,10,64,61
10,10,4,10,10,41,4
10,10,12,10,10,83,60
10,5,85,10,10,53,73
10,10,44,10,10,16,45
10,10,3,10,7,4,51
10,10,53,10,10,68,70
10,10,66,10,10,12,4
9,10,75,10,10,11,19
10,10,88,10,10,75,45
10,10,47,10,10,65,56
10,10,14,10,10,39,91
10,10,13,10,10,34,100
10,10,80,10,10,82,38
10,10,43,10,10,50,27
10,10,12,10,10,84,50
10,10,10,10,10,47,81
10,10,3,10,10,30,47
10,10,90,10,10,57,9
10,10,76,10,10,58,86
10,10,18,10,10,45,82
10,10,25,10,10,62,46
10,6,4,10,10,90,55
0,10,93,10,10,82,1
10,10,25,10,10,14,86
