,0,1,2,3,4,5,6,7
0,1,9,7,8,1,2,6,10
1,1,5,3,4,5,5,4,1
2,2,7,5,8,2,0,3,4
3,6,7,2,9,4,7,8,6
4,2,2,10,0,9,6,8,9
5,9,10,2,10,8,2,8,3
6,6,9,9,6,1,5,8,4
7,0,6,9,4,6,8,3,2
8,10,1,10,4,2,1,3,0
9,4,4,8,2,1,10,1,5
10,3,1,9,4,0,1,3,4
11,5,10,6,8,5,6,7,3
12,6,8,2,1,3,5,3,8
13,3,7,6,1,2,3,0,1
14,0,9,6,1,4,0,3,5
15,5,7,4,5,4,1,4,0
16,0,9,3,2,2,3,1,1
17,6,1,8,5,2,3,6,9
18,8,9,9,3,10,2,5,0
19,9,6,9,10,1,9,9,7
20,1,8,5,5,9,3,9,0
21,7,1,10,4,0,7,2,1
22,5,0,4,0,6,10,1,7
23,1,5,7,4,6,4,3,1
24,10,2,9,4,3,5,4,4
25,8,9,9,5,5,9,7,3
26,8,4,4,6,1,7,0,10
27,6,2,8,9,9,0,5,9
28,8,4,2,10,7,4,0,0
29,9,6,8,7,9,8,7,10
30,7,1,1,5,0,0,1,3
31,1,1,2,9,2,1,5,6
32,2,1,1,9,9,3,0,7
33,4,7,6,3,5,6,3,2
34,10,8,0,6,6,10,6,2
35,0,9,9,4,4,2,9,0
36,5,1,6,3,3,2,3,8
37,9,8,7,0,0,1,7,7
38,0,3,1,4,4,7,3,1
39,8,1,2,5,2,7,8,7
40,0,3,8,1,7,4,0,1
41,0,5,5,9,7,10,5,4
42,5,5,1,1,3,8,4,6
43,1,9,0,6,5,7,2,1
44,2,8,10,5,6,2,4,1
45,10,7,6,9,1,0,4,2
46,5,9,2,6,1,7,8,4
47,2,4,5,2,1,0,5,3
48,4,6,0,1,3,8,3,6
49,1,9,6,2,4,3,3,10
50,9,0,10,4,4,1,8,3
51,7,2,9,6,5,5,3,6
52,10,10,6,0,2,2,3,0
53,8,0,3,0,1,0,2,2
54,2,0,8,6,3,0,0,6
55,4,1,3,6,8,8,3,4
56,8,9,4,4,0,10,1,7
57,1,2,10,9,5,7,5,7
58,0,1,0,2,4,10,2,8
59,1,6,0,2,10,4,6,2
60,10,10,6,2,5,9,5,10
61,3,5,1,2,3,10,0,3
62,5,4,1,9,10,10,3,8
63,4,5,4,2,9,3,5,5
64,4,9,0,6,9,4,2,5
65,2,3,0,5,6,2,10,4
66,3,7,2,1,9,5,0,2
67,9,9,6,9,3,0,8,7
68,0,1,8,1,4,3,0,1
69,4,3,9,2,3,5,9,2
70,1,5,10,1,5,7,5,6
71,0,3,7,5,5,8,8,8
72,5,5,6,7,6,9,9,2
73,6,5,4,9,0,3,8,10
74,8,2,8,2,8,1,5,2
75,10,4,1,8,3,9,6,5
76,0,4,4,0,8,7,7,0
77,10,5,5,8,0,8,6,0
78,7,2,5,8,10,6,7,4
79,5,6,2,8,5,2,2,9
80,3,1,8,5,7,4,8,6
81,4,0,6,2,0,1,6,6
82,4,7,4,8,4,5,6,6
83,10,2,5,9,9,5,5,8
84,8,2,8,4,4,3,8,3
85,2,4,1,0,0,10,1,6
86,2,1,6,3,5,4,2,4
87,10,0,4,6,7,8,3,9
88,1,4,10,5,2,9,3,3
89,6,7,9,5,7,5,9,2
90,8,3,2,3,9,6,4,0
91,4,3,2,2,8,10,3,3
92,7,5,6,7,0,5,5,3
93,4,7,3,2,1,8,7,7
94,6,1,7,1,7,1,10,8
95,9,9,3,1,9,10,7,1
96,10,3,10,1,10,9,9,7
97,8,5,9,8,4,6,2,1
98,10,9,0,4,1,9,4,2
99,0,3,2,10,1,0,10,7
100,2,9,6,1,1,3,1,8
101,3,0,7,9,2,7,6,10
102,5,1,0,5,7,1,6,1
103,7,6,8,6,8,10,9,0
104,1,9,3,3,0,4,3,8
105,9,7,0,8,9,8,5,3
106,1,3,0,0,8,1,3,6
107,4,4,10,9,6,10,0,8
108,2,0,4,4,0,1,9,1
109,1,7,3,9,4,9,8,8
110,10,8,2,1,8,3,2,10
111,1,1,4,9,8,2,5,4
112,2,7,2,8,7,10,1,9
113,3,3,10,1,1,6,6,2
114,10,3,0,3,8,2,5,8
115,9,8,10,7,9,7,2,1
116,1,8,7,7,4,2,3,5
117,10,10,2,9,6,6,1,1
118,4,3,2,7,2,6,3,2
119,3,0,7,10,10,2,2,8
120,7,1,7,5,5,3,7,10
121,0,10,10,8,9,10,10,8
122,8,7,10,9,6,0,2,9
123,3,5,7,2,10,8,5,9
124,4,1,5,3,10,4,1,2
125,10,4,6,3,3,9,9,8
126,6,4,7,4,0,10,1,1
127,2,5,4,7,4,1,6,0
128,3,10,4,1,6,3,2,5
129,10,9,5,3,0,9,6,4
130,8,9,4,7,6,10,2,0
131,0,5,6,4,2,2,5,8
132,6,5,10,3,3,8,7,4
133,7,2,4,10,3,1,6,0
134,8,0,9,0,9,8,1,3
135,6,1,10,1,5,1,0,7
136,10,4,4,8,1,7,10,2
137,3,0,2,10,7,0,1,7
138,6,8,2,3,8,3,5,8
139,9,3,5,10,4,7,4,9
140,10,5,3,4,3,0,2,4
141,3,4,5,5,2,6,8,5
142,10,0,0,0,7,8,3,1
143,4,10,8,4,9,5,4,3
144,0,5,7,4,5,1,2,3
145,0,6,0,3,1,3,6,8
146,3,2,2,1,10,9,10,6
147,0,0,6,4,2,6,0,0
148,3,9,2,6,0,6,3,4
149,2,10,10,7,8,7,6,10
150,6,7,4,4,4,4,9,5
151,9,4,1,10,0,10,0,0
152,3,9,4,7,3,8,1,8
153,1,9,7,8,3,9,4,7
154,1,7,0,5,4,9,1,0
155,6,7,3,5,5,7,3,5
156,4,10,10,5,0,6,0,6
157,9,2,6,3,8,5,6,1
158,10,2,1,3,5,0,6,10
159,5,8,4,5,2,5,2,3
160,9,8,3,5,3,0,2,5
161,10,0,8,10,3,3,2,7
162,8,4,2,1,7,2,1,8
163,1,7,9,7,6,6,10,3
164,4,4,0,0,4,1,5,9
165,5,2,4,9,3,1,10,0
166,5,0,4,6,2,7,5,0
167,9,3,0,5,9,9,9,10
168,3,1,3,9,4,0,3,2
169,9,9,6,4,0,4,0,6
170,0,4,8,6,6,6,4,6
171,6,9,0,3,7,10,5,6
172,5,6,8,5,10,8,9,1
173,5,2,10,0,4,4,9,3
174,4,3,2,0,4,7,7,1
175,1,7,7,10,6,3,2,2
176,9,8,3,6,2,3,2,1
177,8,3,5,8,4,0,5,3
178,3,3,4,5,5,8,1,2
179,3,5,1,2,4,0,7,8
180,10,6,9,4,9,9,7,8
181,3,4,7,6,2,4,5,0
182,3,6,3,8,5,8,0,4
183,7,1,10,2,7,5,4,5
184,10,5,3,7,2,6,4,1
185,10,8,6,4,3,7,3,8
