0,1,2,3,4,5,6,7,8
96,63,9,5,89,74,11,91,2
21,27,1,68,1,39,45,33,60
34,63,1,2,70,68,42,82,56
41,27,8,25,37,74,54,97,12
75,2,9,61,3,51,16,17,31
22,90,9,56,86,57,74,52,80
68,44,0,18,63,65,23,45,90
97,77,2,69,80,6,30,70,33
82,16,8,99,91,49,32,20,27
35,81,0,99,58,46,43,94,24
8,66,2,98,71,12,91,77,13
90,57,2,62,31,77,20,52,56
13,84,8,16,38,78,99,95,80
99,69,9,48,64,24,56,34,85
15,78,1,83,87,23,88,12,92
91,12,6,89,95,71,89,57,94
34,20,6,11,21,43,89,84,76
59,57,2,15,13,77,25,52,42
79,29,0,100,34,43,12,87,35
50,46,9,21,24,91,34,60,88
32,75,6,53,14,9,75,68,69
88,11,2,60,93,52,37,46,22
11,16,0,32,69,56,60,9,14
34,42,3,55,93,86,21,41,46
32,89,9,49,24,8,41,22,33
98,85,2,8,20,93,100,39,76
29,51,6,20,2,5,76,58,52
98,82,9,5,40,96,90,79,2
2,96,4,3,99,36,71,74,92
78,5,3,24,9,94,42,73,5
61,42,6,38,59,38,83,10,3
95,22,5,71,68,47,76,92,8
75,75,7,26,77,1,12,6,83
13,29,6,58,41,36,22,27,60
5,100,6,81,47,70,79,94,15
69,70,1,54,48,70,80,61,31
11,25,5,37,40,91,63,6,28
93,37,6,82,100,19,3,87,58
20,78,8,57,31,52,42,22,90
31,66,1,54,56,35,57,18,79
43,91,6,71,87,100,90,41,58
65,98,8,100,48,45,64,3,94
37,76,3,87,8,9,42,49,16
46,19,1,31,55,70,49,70,11
28,37,7,91,70,3,6,80,45
29,40,3,88,45,26,83,57,93
42,20,0,71,73,96,76,2,89
20,2,0,1,35,78,7,57,86
45,44,5,24,34,88,19,72,39
99,4,8,54,66,8,12,84,91
82,34,9,81,12,80,73,11,60
51,95,0,21,53,57,56,16,41
20,6,3,38,98,15,92,37,12
9,66,4,66,42,24,26,32,42
85,7,1,20,64,93,100,37,80
81,21,1,6,2,52,53,99,1
53,55,7,74,19,59,78,29,47
44,100,9,67,93,65,50,79,91
43,79,6,26,50,6,85,95,3
18,26,1,65,11,34,49,21,9
35,81,5,67,79,59,70,22,92
77,46,3,80,94,63,51,87,53
88,89,4,91,77,91,26,70,32
97,96,9,29,88,18,36,45,47
75,79,1,63,66,58,84,32,72
3,14,0,8,13,24,99,81,30
86,33,7,43,1,66,97,68,92
90,98,6,88,89,55,69,22,33
35,32,5,19,67,66,9,62,56
12,41,9,40,90,17,67,75,15
9,4,6,5,59,60,33,27,70
76,10,0,21,79,74,67,87,49
55,31,10,93,93,2,78,94,28
75,5,9,41,49,73,10,30,80
0,26,6,6,69,76,58,61,14
10,63,9,63,7,61,87,10,33
36,59,4,71,94,39,85,40,70
83,15,7,4,15,62,0,23,3
93,94,10,1,76,14,38,40,99
18,67,8,43,15,84,17,100,81
79,31,5,96,45,60,19,99,81
36,73,10,58,65,49,46,18,78
4,27,2,52,13,95,2,47,10
57,65,0,69,23,94,46,96,56
54,43,6,44,61,85,1,72,53
40,77,10,52,43,97,86,13,30
60,54,10,11,34,12,15,83,44
75,69,7,20,25,18,34,97,85
57,30,0,64,86,7,79,96,69
29,90,6,99,4,4,88,92,14
30,95,9,47,28,80,39,15,6
3,3,3,33,78,86,26,97,77
57,85,0,61,13,41,62,28,37
23,88,6,68,69,27,43,15,14
92,6,7,93,57,62,73,4,24
4,32,5,8,50,59,77,9,44
48,52,5,39,61,62,28,69,12
10,74,0,46,88,34,18,94,35
57,35,4,99,23,57,42,82,3
40,60,3,100,30,88,13,69,78
38,5,0,2,85,22,65,53,75
34,71,2,68,88,19,66,99,25
61,12,2,13,72,18,49,7,48
59,75,7,93,59,79,82,90,5
100,4,7,19,16,50,89,56,41
25,95,4,36,16,55,96,12,50
44,42,0,85,37,41,15,33,37
74,54,9,70,80,94,98,24,0
27,94,8,45,66,10,56,87,26
68,2,7,64,14,17,71,2,79
74,28,5,15,67,50,65,24,9
54,8,3,18,33,38,55,84,70
68,79,7,47,76,47,48,42,96
26,44,7,28,47,98,69,93,2
73,53,9,83,37,1,84,41,30
5,36,0,65,92,36,85,13,17
83,87,4,6,40,15,21,7,42
17,76,10,24,94,84,34,65,65
38,1,2,84,79,39,75,14,97
34,41,3,34,45,18,30,99,60
77,6,5,79,78,20,76,68,97
30,21,7,71,98,48,99,77,53
38,73,3,19,61,18,0,45,43
92,79,9,20,45,6,0,96,21
32,13,7,21,10,70,37,36,71
32,9,0,56,16,9,51,56,46
53,59,0,89,77,88,71,50,25
38,33,5,94,44,84,25,10,68
2,46,3,56,5,2,24,35,8
17,77,2,98,24,5,82,1,79
85,79,5,98,94,14,27,89,7
7,99,6,94,24,51,23,16,19
41,36,5,31,5,38,43,13,28
59,89,5,93,4,94,26,50,99
68,8,8,11,82,79,18,51,100
69,27,4,30,76,52,28,81,32
77,18,3,57,58,40,2,21,16
85,14,4,30,14,57,74,25,93
32,78,7,46,85,25,61,62,82
24,25,2,91,23,53,47,6,85
60,60,9,54,19,24,13,28,39
31,76,6,47,60,3,36,32,8
46,38,8,17,3,75,20,79,30
19,89,7,38,56,22,29,30,96
53,82,8,98,90,45,75,0,57
21,65,2,24,19,73,47,14,48
40,6,0,71,75,8,39,95,27
75,98,2,68,32,11,37,0,52
25,73,9,81,91,52,35,78,93
56,40,1,60,47,1,45,25,43
4,60,5,96,45,76,36,65,54
38,87,0,25,1,94,23,45,8
4,17,6,17,56,83,88,72,68
64,25,4,85,31,60,93,88,69
20,71,4,40,77,5,39,36,6
86,17,1,12,53,89,3,81,12
27,40,4,18,68,26,17,27,97
7,56,10,45,79,90,99,85,79
49,21,6,68,91,85,30,45,39
87,21,7,37,9,80,62,25,72
7,37,2,37,68,68,97,84,75
27,78,8,95,93,37,54,18,45
73,24,1,96,9,59,10,27,49
86,99,3,37,73,46,48,25,29
13,36,6,81,28,27,87,41,56
2,71,9,7,2,61,9,82,1
34,30,4,2,23,73,18,85,30
48,39,2,12,90,39,4,23,10
89,31,8,83,40,60,30,99,68
45,70,8,0,44,83,53,47,28
85,82,9,10,93,40,98,63,49
92,16,6,20,84,91,71,35,58
47,85,4,8,77,30,88,50,49
93,74,6,12,70,68,17,17,74
52,72,8,8,49,11,86,70,59
2,77,1,50,91,52,54,29,0
46,40,2,11,60,88,13,85,37
59,80,6,64,62,49,0,55,57
17,68,5,23,23,32,28,14,51
61,45,9,2,52,62,100,12,20
99,90,6,14,69,67,29,94,15
51,23,6,63,68,8,21,92,15
96,77,5,39,14,82,36,55,34
