,0,1,2,3,4,5,6,7,8,9,10
0,10,2,9,9,2,1,2,7,7,7,0
1,2,1,3,7,0,10,10,3,9,0,4
2,6,1,6,4,5,0,7,0,1,6,5
3,3,5,10,9,2,0,0,8,3,6,10
4,10,3,7,5,10,2,3,7,0,1,10
5,7,7,7,5,8,10,5,5,6,3,8
6,4,2,3,6,6,7,9,0,6,4,10
7,8,3,1,6,1,9,4,5,6,6,4
8,9,3,2,5,5,1,8,7,5,7,5
9,5,0,8,5,5,5,3,7,2,10,7
10,2,3,3,4,3,4,3,0,8,6,1
11,2,10,9,2,7,4,3,7,2,2,7
12,10,9,10,1,10,10,4,4,1,1,0
13,5,0,5,3,10,10,2,3,0,6,9
14,0,4,3,1,7,9,8,0,3,2,4
15,7,2,6,10,10,10,1,7,5,10,5
16,1,2,4,10,0,5,2,6,8,4,1
17,4,9,4,4,9,5,6,9,6,10,4
18,6,1,7,0,8,9,9,1,1,5,10
19,9,3,5,5,5,6,6,3,2,8,3
20,2,0,4,2,4,10,5,5,9,2,7
21,0,4,9,10,7,5,8,0,3,5,10
22,4,9,3,7,8,5,4,6,6,5,9
23,4,0,10,0,2,6,10,2,0,4,4
24,1,8,6,6,1,3,5,3,7,6,2
25,6,10,3,5,8,7,3,8,7,1,6
26,1,0,8,7,6,7,5,9,0,7,3
27,0,1,0,3,8,6,0,3,9,8,3
28,2,0,5,7,1,8,8,1,3,0,4
29,8,0,6,1,5,8,2,3,3,3,4
30,2,0,4,5,8,9,3,5,9,5,6
31,5,7,3,9,10,3,5,1,3,4,10
32,5,4,1,0,2,0,5,5,1,6,3
33,10,0,10,6,1,3,8,2,1,1,9
34,9,2,10,9,8,8,8,6,9,3,5
35,8,8,3,10,0,10,6,7,1,7,7
36,5,6,7,3,0,1,8,9,3,3,4
37,4,0,2,9,1,2,9,8,5,5,8
38,5,6,3,0,9,3,0,10,0,5,9
39,1,10,9,5,8,0,5,10,7,0,9
40,2,9,0,2,6,2,9,6,4,5,4
41,10,8,9,4,1,9,5,10,9,10,6
42,4,4,2,3,2,10,2,10,1,1,3
43,10,6,0,7,10,4,0,10,5,3,6
44,5,3,4,6,4,7,9,3,6,7,7
45,9,9,10,0,9,8,5,5,8,3,1
46,7,3,3,1,7,10,6,0,4,4,10
47,6,2,0,1,6,2,0,6,5,6,9
48,7,10,8,10,0,6,3,6,9,7,6
49,5,5,10,9,8,3,8,9,8,9,4
50,10,2,9,8,1,8,1,3,1,6,10
51,8,2,10,4,10,1,0,0,10,9,9
52,2,5,4,4,4,4,0,3,9,5,3
53,3,4,0,1,9,9,3,10,6,8,2
54,8,4,1,3,0,4,9,2,10,6,1
55,10,5,4,8,8,8,3,2,7,5,8
56,4,0,6,4,6,7,1,10,0,8,9
57,2,0,5,2,1,4,10,5,8,7,3
58,8,8,10,10,6,7,6,5,10,7,7
59,6,8,10,3,9,7,7,4,7,7,8
60,7,0,10,1,9,0,7,7,3,6,5
61,2,4,10,8,10,0,5,0,6,3,8
62,3,9,3,6,8,0,4,0,3,3,3
63,1,7,2,9,1,9,0,4,10,10,2
64,5,0,1,7,6,8,1,7,2,6,6
65,4,6,1,0,6,7,0,9,4,6,4
66,3,2,1,2,0,3,0,4,9,3,10
67,9,2,2,8,2,8,7,10,0,6,7
68,5,6,4,9,0,5,6,9,6,7,10
69,9,9,8,4,9,3,5,9,7,3,6
70,10,1,0,1,1,3,9,9,9,2,5
71,5,5,7,3,3,2,1,7,7,0,10
72,6,8,10,2,10,8,0,2,10,5,2
73,5,10,3,5,1,5,2,8,3,4,0
74,1,2,0,2,8,0,9,3,8,8,1
75,5,10,7,10,4,6,4,9,1,1,1
76,2,10,5,8,2,4,5,5,5,1,10
77,0,6,9,10,1,9,0,2,4,2,8
78,7,1,3,6,4,0,1,6,9,3,3
79,6,5,7,7,5,10,1,5,7,5,0
80,9,9,3,2,5,10,5,9,1,1,1
81,0,9,10,3,7,6,7,6,4,5,9
82,3,6,9,8,7,6,4,1,7,10,6
83,1,5,6,5,5,10,6,9,7,10,6
84,4,10,3,4,2,9,5,8,1,4,0
85,7,5,10,9,8,5,6,2,6,6,10
86,8,10,3,9,5,1,4,1,10,9,9
87,9,3,3,2,2,2,4,8,2,8,6
88,0,3,3,1,9,4,9,2,3,2,8
89,3,1,7,8,9,0,10,8,4,7,2
90,7,1,3,1,2,10,7,3,10,7,10
91,2,5,0,7,6,10,6,9,5,2,7
92,3,5,0,0,9,8,2,7,3,2,9
93,0,7,6,7,6,10,1,7,2,4,4
94,5,10,0,1,2,3,8,6,3,0,6
95,5,7,7,5,2,7,2,2,8,8,2
96,5,5,0,3,4,5,0,9,3,3,7
97,1,8,2,8,0,5,7,1,3,8,10
98,4,3,6,2,1,2,7,7,8,1,9
99,6,4,9,8,1,0,1,4,1,3,5
100,7,2,7,5,1,4,0,9,8,1,6
101,3,8,6,1,0,0,10,5,4,6,10
102,7,3,7,0,1,9,4,0,9,1,1
103,1,6,6,0,1,8,0,8,1,5,6
104,10,9,10,1,8,1,1,3,4,6,0
105,1,0,3,3,3,1,9,0,1,6,3
106,1,6,1,5,5,9,1,4,3,2,4
107,7,4,10,0,8,8,6,4,10,1,10
108,8,0,4,9,5,5,9,9,4,7,1
109,8,9,9,5,6,6,5,3,5,1,1
110,1,6,8,2,3,5,6,6,9,1,4
111,1,3,8,7,0,8,10,10,4,3,1
112,7,1,3,9,8,9,3,6,1,10,5
113,9,9,0,5,4,4,3,7,6,0,6
114,5,10,8,1,5,5,4,3,1,3,4
115,7,5,1,10,3,8,10,10,3,1,4
116,4,1,1,9,10,0,8,8,1,1,1
117,8,9,9,7,4,9,6,8,7,0,0
118,6,10,7,9,10,6,0,6,0,5,0
119,9,6,10,8,1,5,6,1,5,3,2
120,2,3,4,5,9,6,7,2,7,8,10
121,1,10,10,7,9,6,4,7,7,0,5
122,7,7,0,3,6,4,8,9,4,6,7
123,4,10,3,8,9,2,7,2,1,5,2
124,5,4,9,9,10,0,3,1,2,0,9
125,10,5,9,0,3,5,2,9,10,4,7
126,3,9,4,7,8,1,5,9,0,3,5
127,8,10,8,5,6,1,4,5,0,5,4
128,4,5,0,9,1,7,7,5,0,4,0
129,4,0,3,1,0,6,4,1,10,3,8
130,9,2,3,9,1,8,8,0,10,3,4
131,1,8,2,6,10,2,5,1,2,3,8
132,9,6,2,0,9,1,1,8,9,6,8
133,10,0,4,10,8,6,4,1,0,0,8
134,3,10,8,3,1,6,4,6,2,0,10
135,3,10,5,6,10,6,4,6,9,7,5
136,6,4,0,4,2,2,3,5,5,8,6
137,9,6,10,7,10,0,5,4,1,3,4
138,4,5,9,3,3,8,1,5,10,9,6
139,4,5,6,0,1,7,9,0,8,3,4
140,0,7,0,5,5,1,1,3,2,5,4
141,5,9,2,1,8,5,3,3,1,10,5
142,1,3,6,3,3,6,10,9,3,4,1
143,1,1,2,10,9,6,9,0,1,10,5
144,2,5,4,5,7,7,5,5,5,6,8
145,10,7,8,6,6,6,7,2,9,2,10
146,6,4,4,3,3,7,9,3,10,5,1
147,4,6,8,10,1,3,10,8,7,1,4
148,0,2,8,7,2,5,9,3,5,8,9
149,7,0,9,3,4,6,10,10,3,10,6
150,10,2,8,1,4,6,8,2,6,4,10
151,10,0,10,6,9,2,4,8,8,1,9
152,4,1,2,5,6,0,7,0,8,10,4
153,0,2,8,8,6,7,3,6,3,0,5
154,6,6,10,5,10,3,1,0,10,10,3
155,4,0,2,7,3,6,7,0,3,10,2
156,8,0,0,10,0,7,8,4,10,1,2
157,0,4,5,8,6,0,1,4,8,4,1
158,0,1,9,5,2,8,8,6,1,4,3
159,1,4,3,6,5,4,3,4,10,7,8
160,6,3,4,1,5,9,6,1,5,6,4
161,10,10,9,6,10,2,0,0,7,9,0
162,1,10,10,4,0,1,0,2,8,3,5
163,2,6,8,9,3,6,0,3,3,5,1
164,0,1,4,2,9,6,9,6,5,10,4
165,2,7,5,5,6,7,1,7,7,2,7
166,0,0,1,1,8,2,0,6,6,1,0
167,7,7,10,5,4,1,2,7,4,3,6
168,0,0,6,10,4,1,3,3,4,3,6
169,10,10,1,9,6,0,8,0,2,1,3
170,1,9,0,0,0,10,6,4,4,7,2
171,1,4,7,5,3,10,5,5,2,4,1
172,10,4,4,10,6,1,7,9,10,3,8
173,5,10,5,8,0,2,5,8,2,2,9
174,8,3,5,6,9,0,10,5,8,5,5
175,2,5,2,2,7,1,2,4,9,1,5
176,3,3,4,5,7,4,3,8,10,1,0
177,2,8,8,8,5,8,9,4,1,7,1
178,0,6,5,9,1,6,6,5,5,0,3
179,6,8,5,0,7,3,8,0,10,8,4
180,6,6,7,7,8,6,7,4,3,2,0
181,9,8,2,3,5,2,3,4,7,5,2
182,5,6,4,5,7,8,6,8,5,8,6
183,7,7,8,8,9,8,8,1,2,10,9
184,3,3,7,9,4,5,10,8,4,8,3
185,0,7,8,0,0,10,1,8,3,0,6
186,1,5,4,4,9,8,5,2,10,8,9
187,6,2,1,1,4,0,1,3,3,0,8
188,7,4,5,3,1,3,3,3,4,9,10
189,5,4,0,4,9,10,8,9,10,0,2
190,9,0,5,0,10,3,1,2,2,10,3
191,0,8,10,4,2,7,3,9,9,2,4
192,5,5,5,6,1,5,4,3,7,6,3
193,10,0,9,9,9,0,2,0,3,1,3
194,1,3,9,5,9,8,0,2,4,5,5
195,5,0,6,2,9,1,8,8,7,3,7
196,4,1,9,7,8,4,3,4,3,4,3
197,8,1,6,8,5,0,5,9,4,2,2
198,8,5,9,5,2,1,9,3,10,4,4
199,8,8,6,9,2,3,6,6,8,6,5
200,6,3,7,1,10,2,8,5,4,10,2
201,9,10,3,10,1,9,6,3,6,2,5
202,0,6,3,3,8,10,7,2,10,6,5
203,2,5,8,3,0,2,6,8,10,0,4
204,2,8,6,10,0,9,10,10,5,8,7
205,9,2,6,10,10,7,5,7,8,1,9
206,3,3,4,1,6,9,7,6,9,10,8
207,9,2,1,7,4,5,8,0,0,10,4
208,1,1,10,1,0,7,10,4,2,9,10
209,7,5,0,4,8,10,1,3,10,1,7
210,0,8,8,7,2,0,3,6,3,6,0
211,1,10,8,0,1,3,0,10,7,2,3
212,2,0,3,5,0,1,5,10,0,1,10
213,7,0,9,10,6,1,3,7,8,6,7
214,2,4,3,1,2,8,0,2,4,0,0
215,1,8,6,5,1,0,10,1,1,9,9
216,1,4,3,9,4,5,5,7,2,6,3
217,4,1,7,6,10,1,2,0,0,8,3
218,3,10,1,3,3,0,5,6,7,0,3
219,8,10,10,6,1,9,5,5,0,4,5
220,1,1,3,1,3,6,1,10,7,7,0
221,9,7,0,7,5,1,1,7,2,1,3
222,4,9,0,4,6,9,10,3,8,1,8
223,10,3,9,9,5,4,2,3,2,5,6
224,6,9,3,10,5,10,5,9,10,9,6
225,1,4,8,1,1,5,1,6,2,1,1
226,4,7,0,8,6,4,4,6,7,3,9
227,0,7,10,9,10,8,8,0,5,10,2
228,6,8,1,3,8,0,7,8,5,1,6
229,10,4,0,3,1,4,3,5,9,8,9
230,1,1,6,9,8,3,1,10,7,1,6
231,7,10,10,7,2,4,2,6,0,8,8
232,7,6,4,5,3,10,10,9,10,0,9
233,8,9,4,6,2,4,3,1,0,7,9
234,8,8,4,10,6,9,9,2,2,0,0
235,6,3,8,0,4,4,6,6,5,8,4
236,9,9,0,9,1,8,5,8,3,9,0
237,4,6,1,8,6,5,8,1,5,5,10
