0,1,2,3,4,5,6,7,8,9,10,11
61,2,6,1,5,6,6,10,72,2,0,7
3,8,4,0,9,6,9,10,18,9,8,0
50,6,5,8,4,5,7,10,47,5,9,5
73,4,3,2,10,3,5,10,40,4,8,4
11,7,8,3,0,9,10,10,59,4,9,10
41,10,3,2,8,7,10,10,83,5,0,3
36,3,9,4,0,1,7,10,13,4,0,9
28,10,10,2,1,9,1,10,10,5,2,3
6,3,1,9,6,6,7,10,17,0,4,6
54,10,3,4,6,2,5,10,85,7,7,6
52,2,8,4,3,2,4,10,65,6,3,7
93,2,2,0,6,5,0,10,21,0,10,0
72,3,10,3,1,1,2,10,15,6,7,0
44,9,1,0,1,7,2,10,79,7,0,9
96,1,0,1,1,2,0,2,66,1,8,8
44,8,8,0,5,8,5,6,97,9,4,9
39,8,10,9,5,10,0,10,28,9,10,7
68,3,9,0,5,4,5,10,61,4,5,4
0,4,2,8,1,2,4,4,42,0,0,7
38,7,5,8,2,9,9,10,14,1,7,4
82,2,6,4,2,9,5,10,18,3,9,9
9,4,4,9,0,8,3,10,0,5,3,2
5,3,1,5,6,3,0,10,67,3,6,10
79,9,7,3,3,0,3,10,15,3,6,9
87,3,1,2,10,1,9,7,38,7,1,9
38,3,0,0,4,1,3,10,13,9,0,9
19,7,10,3,2,2,9,10,85,5,4,1
35,2,2,2,0,4,7,10,35,1,5,6
90,1,0,0,6,2,0,10,48,0,7,0
94,10,2,5,8,2,10,10,43,8,7,1
54,1,10,2,6,3,0,10,16,9,7,10
27,8,0,7,0,1,0,7,40,9,3,9
41,0,1,5,7,1,2,10,87,7,8,1
62,6,10,5,5,1,1,10,90,9,1,9
23,7,3,10,6,3,2,10,12,8,4,3
85,4,9,5,6,3,3,10,77,5,8,9
67,4,1,10,1,3,4,10,75,6,5,2
71,6,6,0,2,0,3,4,30,0,3,3
81,10,3,1,9,3,10,10,67,6,5,1
9,3,3,3,5,2,1,10,81,1,6,0
24,0,2,2,9,2,1,10,2,3,10,6
4,8,0,3,2,6,10,10,65,0,3,2
90,7,5,4,2,3,3,10,24,3,2,2
56,5,8,1,8,8,3,10,4,10,1,6
26,5,7,2,8,8,1,10,42,0,3,7
35,0,6,5,5,7,9,10,73,2,7,5
30,1,1,7,0,1,8,10,62,2,8,7
95,0,2,8,0,10,8,10,35,7,2,8
29,10,9,6,0,7,9,10,74,0,4,4
95,9,4,1,10,8,4,10,0,2,10,1
80,5,7,7,2,1,10,10,53,6,1,0
90,8,4,7,5,10,7,10,14,4,8,5
18,10,9,8,1,0,8,10,63,5,9,8
42,1,4,1,1,10,5,10,51,5,6,2
1,2,10,8,3,4,0,10,4,5,1,0
43,0,0,9,10,4,8,10,70,10,5,7
51,3,8,7,0,7,7,10,0,7,9,3
4,2,1,10,6,4,10,10,5,5,9,4
5,4,2,2,1,4,2,10,97,2,8,0
72,10,10,5,0,10,6,10,51,4,1,3
83,5,1,3,4,4,0,10,75,9,1,1
2,10,5,2,8,5,8,10,20,1,8,5
83,10,8,1,10,6,6,10,42,6,2,7
97,10,8,9,4,7,9,10,24,4,1,3
81,3,5,4,4,3,2,10,36,1,8,5
24,7,2,0,10,0,6,4,32,9,6,10
43,4,0,5,1,5,4,10,10,7,8,3
51,5,9,8,5,6,0,10,1,0,4,5
26,8,2,10,0,8,1,10,69,0,9,0
10,10,0,7,4,9,4,6,66,2,3,8
16,6,4,10,1,7,10,10,11,2,3,7
35,3,3,7,7,2,4,10,45,3,2,6
37,6,0,8,9,5,8,10,82,0,2,0
35,4,5,6,5,0,0,10,0,2,1,5
10,4,6,5,9,7,3,10,47,5,7,6
100,8,4,0,6,4,10,1,42,2,6,6
33,4,2,8,7,1,2,10,23,1,6,8
93,8,3,6,1,0,10,10,32,3,5,9
54,9,1,8,2,7,2,10,54,0,7,2
49,9,7,8,3,7,8,10,99,3,3,1
56,2,6,9,4,6,4,10,86,10,3,9
30,1,3,4,7,10,2,10,14,9,8,3
22,0,10,3,10,2,5,10,86,4,7,10
18,7,8,9,7,5,3,10,18,4,9,2
24,7,4,6,5,6,8,10,59,3,8,7
99,5,2,2,4,9,0,10,82,9,2,4
81,9,7,3,10,5,0,10,31,8,3,7
74,3,3,5,5,1,4,10,25,8,2,7
32,2,9,1,5,2,7,10,87,7,6,8
58,10,4,9,4,7,5,10,4,2,7,3
99,6,8,8,9,10,6,10,70,5,2,7
28,10,3,9,1,4,3,10,54,10,1,9
91,3,0,3,8,6,9,10,52,6,1,3
70,9,2,1,1,1,4,10,84,7,7,9
93,9,8,7,3,4,4,10,22,10,1,8
22,7,10,7,5,2,0,10,4,0,0,6
91,4,7,10,7,8,7,10,92,9,8,0
81,2,5,7,2,3,9,10,56,6,0,0
48,1,3,7,8,3,2,10,82,10,5,10
44,4,9,2,0,0,2,1,58,8,2,7
71,0,0,7,6,3,9,10,29,2,1,3
8,1,8,8,10,5,9,1,78,3,0,1
15,8,7,5,10,4,7,10,18,10,2,4
23,9,6,0,3,2,2,10,47,3,3,3
66,2,8,8,7,4,3,10,57,5,3,10
71,3,0,10,6,5,0,10,64,7,10,3
38,0,3,4,10,8,9,10,5,8,3,1
32,10,6,7,1,3,9,10,33,0,7,0
33,7,3,2,6,7,5,10,96,10,3,4
15,2,3,4,7,7,5,10,58,1,6,8
25,5,8,3,4,8,5,10,86,1,7,4
36,6,3,7,9,3,5,10,33,10,4,4
31,8,6,9,5,1,6,10,59,2,1,10
21,0,0,6,7,6,7,10,49,1,2,9
10,4,1,5,0,5,2,10,40,1,8,1
26,1,2,0,8,4,0,10,36,0,6,1
70,6,2,1,3,4,4,10,36,7,9,0
73,0,10,2,2,0,2,10,67,6,0,7
93,9,7,2,8,3,6,7,97,1,4,0
40,9,3,3,1,4,4,10,1,6,6,5
9,5,3,7,2,1,7,10,27,5,0,8
18,1,7,8,4,5,1,10,55,4,7,4
92,8,2,2,6,9,4,10,56,7,1,2
45,8,10,7,6,9,9,10,43,7,5,4
12,3,4,0,5,6,4,0,74,8,4,9
8,7,9,0,1,7,3,10,70,9,3,10
22,2,10,3,6,9,9,10,49,9,10,3
7,1,2,9,4,10,2,10,59,10,7,7
61,8,4,5,3,2,10,10,34,3,7,4
67,1,8,5,8,5,3,10,29,6,7,6
66,0,10,2,9,1,8,10,30,5,7,7
20,7,7,4,3,9,4,10,62,10,1,7
