,0,1,2,3,4,5,6,7,8,9,10,11,12
0,84,48,53,91,91,31,74,76,56,57,74,55,37
1,97,23,58,30,48,1,3,63,80,83,87,93,14
2,60,60,72,79,54,5,8,27,53,78,43,64,53
3,49,73,84,15,33,60,97,33,35,32,70,38,43
4,34,74,10,27,52,46,93,40,79,52,26,71,76
5,75,94,22,9,86,32,7,45,37,72,5,17,48
6,79,86,35,40,74,33,24,24,25,86,75,70,22
7,58,71,83,98,40,32,90,100,71,95,29,68,23
8,37,26,6,47,20,94,89,61,36,42,86,5,78
9,93,32,88,72,48,43,72,58,56,30,19,27,34
10,80,10,56,92,8,31,2,60,15,55,42,41,34
11,58,62,42,2,91,40,94,85,32,21,50,12,87
12,72,44,82,39,14,59,35,51,65,96,13,47,99
13,2,9,20,70,9,89,5,100,87,2,81,32,13
14,23,70,31,44,17,24,72,34,89,63,2,9,61
15,6,50,27,88,49,61,38,62,81,69,3,73,70
16,79,16,38,84,55,46,66,34,29,53,36,63,22
17,69,15,33,93,77,23,27,42,76,7,67,50,63
18,77,55,37,22,99,16,34,99,2,28,6,28,74
19,59,50,96,17,53,35,87,35,43,26,24,49,39
20,93,14,95,67,54,87,12,92,0,4,23,59,18
21,37,76,21,71,69,8,66,53,38,70,34,33,18
22,6,3,58,11,69,63,21,80,5,77,15,79,76
23,75,66,9,55,61,48,96,54,59,9,92,34,33
24,26,18,91,92,55,56,68,25,42,7,56,67,36
25,2,7,42,25,15,41,30,54,25,2,95,24,3
26,1,38,4,58,98,15,73,3,15,55,35,93,23
27,16,21,94,28,62,4,6,11,41,32,99,70,86
28,47,19,33,90,70,70,100,18,83,78,51,6,59
29,93,55,17,83,29,39,61,59,8,59,52,59,19
30,9,29,43,81,16,58,10,66,92,0,20,98,69
31,81,34,24,41,34,49,73,46,60,75,10,82,70
32,94,76,62,62,6,38,0,95,73,9,77,1,34
33,72,3,86,84,2,4,15,7,49,74,20,41,83
34,64,82,59,83,16,14,87,81,64,22,24,30,33
35,62,97,53,12,54,70,22,10,53,3,19,22,74
36,73,46,32,8,79,38,67,39,87,75,100,50,6
37,43,82,74,13,73,9,68,83,22,66,5,61,30
