0,1,2,3,4
42,88,1,71,10
42,62,9,13,10
42,44,4,45,10
4,97,3,47,10
74,98,6,28,10
27,63,9,71,10
52,34,6,49,10
52,70,0,15,10
71,99,0,17,10
41,73,6,45,10
18,10,6,4,6
3,78,4,29,10
5,56,7,75,1
48,4,9,56,10
69,28,7,74,10
94,79,1,9,10
5,53,5,62,10
14,40,0,29,10
12,86,5,83,10
90,81,7,29,10
46,7,4,56,10
20,27,5,72,10
39,24,2,54,10
38,30,3,58,10
15,25,9,7,10
100,66,5,51,10
41,20,1,26,10
27,11,2,41,10
26,29,3,65,10
3,18,9,9,10
79,69,4,5,10
47,73,9,44,1
73,30,2,30,10
52,94,10,4,10
75,44,8,23,10
99,30,6,53,10
32,69,10,11,10
25,22,7,86,10
78,89,10,61,10
33,53,2,18,10
28,13,4,27,9
93,59,3,80,10
20,92,10,42,10
93,84,10,39,10
24,5,7,39,10
2,63,2,68,10
17,38,2,48,10
74,25,2,20,10
13,28,4,19,10
63,79,5,99,10
66,34,0,64,10
7,69,1,39,7
62,63,5,71,10
45,73,0,13,10
3,21,0,76,10
39,74,5,58,10
22,67,6,5,7
5,7,5,61,10
34,27,5,11,10
65,61,1,58,10
85,6,1,68,10
89,66,10,5,10
11,60,0,46,10
0,24,5,95,10
74,48,6,15,3
57,75,10,44,10
16,11,10,0,10
50,90,4,19,10
6,88,5,49,10
52,85,4,90,10
39,9,0,63,10
84,82,7,26,10
90,9,8,26,10
99,0,4,61,10
63,75,4,73,10
83,13,6,6,10
46,39,5,86,10
43,97,2,14,10
85,26,6,74,2
75,25,5,32,10
4,95,9,31,2
40,92,2,98,10
94,63,5,12,10
2,88,6,75,10
9,93,4,2,0
39,4,4,98,10
1,81,0,58,10
21,54,4,73,10
46,79,6,17,10
75,57,4,53,10
75,43,8,69,10
78,39,7,12,10
78,98,10,24,10
51,74,6,39,10
36,62,5,100,10
47,5,6,89,10
75,4,2,56,10
47,54,9,87,10
53,33,2,36,10
1,27,9,20,10
76,6,3,76,10
59,4,7,43,10
28,3,10,76,10
57,47,9,0,10
49,9,6,27,10
6,74,0,81,10
65,66,1,21,10
97,57,0,96,10
80,50,9,57,0
27,9,5,36,10
85,47,1,57,10
68,57,0,79,10
58,79,0,49,10
