0,1,2,3,4,5
72,40,87,39,49,40
50,22,37,27,91,60
82,12,3,63,51,45
97,46,9,68,47,74
8,29,4,29,89,54
42,35,85,81,36,36
6,40,78,12,61,6
56,87,32,36,34,33
79,47,87,37,19,70
80,27,91,19,85,8
53,88,29,60,43,51
28,60,78,99,86,42
14,8,9,54,79,33
90,40,83,91,75,58
72,10,89,100,16,65
12,89,22,72,57,62
13,44,29,37,50,11
62,67,11,46,90,12
5,99,75,11,81,99
38,50,33,95,37,97
16,28,17,81,34,53
6,15,4,92,54,76
96,70,32,43,14,97
14,95,58,13,17,41
74,68,2,38,10,78
15,28,82,41,47,55
70,97,6,87,45,27
70,87,0,70,63,27
97,100,72,68,11,50
9,3,61,9,29,30
59,87,57,82,65,63
37,10,48,43,67,93
47,35,9,17,100,16
34,61,54,81,27,22
86,11,36,21,1,9
98,98,40,18,64,26
2,0,49,63,87,30
17,24,74,89,47,97
4,83,18,40,76,90
68,2,19,73,63,12
97,41,8,56,10,98
43,10,6,21,9,73
95,87,18,72,48,96
74,78,94,2,68,39
39,78,99,77,90,78
9,19,0,4,87,81
57,92,20,51,100,19
30,19,19,87,86,69
72,64,12,94,52,44
27,98,97,48,51,43
65,16,12,20,28,5
62,53,57,17,39,14
49,85,36,4,53,37
92,67,84,30,46,60
24,56,65,54,19,64
80,52,66,47,100,82
97,14,74,6,51,100
99,25,25,97,19,100
71,92,14,69,38,94
62,23,94,69,76,23
9,26,29,43,67,73
9,31,91,28,57,4
85,45,47,6,12,85
25,27,36,59,90,48
49,80,23,89,74,93
42,95,17,42,39,42
32,2,40,73,31,49
30,89,24,71,1,94
51,18,47,32,53,85
8,77,21,97,38,29
10,17,40,6,72,82
43,48,34,51,54,87
30,93,20,84,25,55
4,59,56,78,80,58
79,65,79,69,50,53
95,99,39,69,92,61
53,94,84,34,62,86
30,20,24,74,48,70
20,73,25,51,74,70
16,82,15,51,80,1
90,66,98,91,100,21
25,16,52,5,55,91
82,39,37,80,62,75
36,54,61,93,40,37
82,52,46,40,36,81
86,22,97,18,29,89
8,11,20,96,77,97
79,10,21,28,7,70
79,65,44,85,19,70
14,55,38,13,35,1
11,7,78,45,76,2
1,67,22,23,55,80
58,79,80,23,31,8
93,80,49,9,45,72
86,74,36,48,96,22
96,80,75,72,28,15
10,67,8,87,57,14
4,80,33,61,25,65
12,40,43,18,67,1
51,82,60,56,75,7
9,9,74,60,43,78
20,54,1,61,58,25
46,9,49,64,54,43
43,79,9,91,71,71
17,67,81,77,67,84
47,65,61,0,93,38
36,33,84,80,50,52
74,79,16,88,1,81
52,18,43,66,94,74
83,81,100,52,74,29
58,59,10,12,69,72
58,41,2,79,9,26
26,21,20,40,25,60
94,58,45,50,47,39
21,1,98,6,32,20
14,41,33,65,85,100
84,74,88,49,54,75
68,31,47,53,29,19
69,95,75,11,73,44
53,74,85,43,14,47
19,9,51,85,74,56
57,98,18,75,12,55
97,11,11,68,47,96
53,65,34,6,29,19
8,98,40,32,12,69
16,92,55,27,90,61
12,66,28,54,57,93
30,4,91,84,6,2
26,90,99,7,52,1
43,21,91,36,100,32
73,63,66,8,68,62
77,84,59,83,73,71
61,71,42,71,89,53
73,64,2,73,84,22
92,44,51,42,60,78
32,50,41,55,34,99
30,42,79,45,63,25
22,92,15,14,95,51
81,22,61,32,45,80
19,8,50,30,80,93
98,52,38,97,54,30
18,17,3,70,98,1
65,23,0,66,44,83
5,28,94,14,97,23
90,67,68,18,10,80
64,42,23,17,56,2
56,11,50,97,86,75
28,93,26,19,8,99
92,24,3,41,72,80
9,71,17,8,40,63
42,84,68,42,91,58
75,74,80,14,27,99
8,44,47,83,81,39
95,19,42,40,39,59
80,46,84,36,28,18
38,24,99,89,65,5
74,86,95,38,35,2
38,74,65,15,93,60
18,32,72,40,60,29
54,56,24,33,10,54
71,73,93,25,97,50
99,71,81,64,23,61
64,11,26,14,56,85
50,95,89,40,24,34
56,16,53,75,37,18
66,2,36,34,28,13
18,75,35,60,42,34
3,30,0,13,89,57
99,93,80,91,10,73
6,85,32,30,58,27
22,71,63,85,63,81
35,81,18,0,50,41
22,66,93,53,86,80
56,52,32,38,91,74
