0,1,2,3,4,5
72,10,10,39,49,10
50,10,10,27,91,10
82,10,3,63,51,10
97,10,9,68,47,10
8,10,4,29,89,10
42,10,10,81,36,10
6,10,10,12,61,6
56,10,10,36,34,10
79,10,10,37,19,10
80,10,10,19,85,8
53,10,10,60,43,10
28,10,10,99,86,10
14,8,9,54,79,10
90,10,10,91,75,10
72,10,10,100,16,10
12,10,10,72,57,10
13,10,10,37,50,10
62,10,10,46,90,10
5,10,10,11,81,10
38,10,10,95,37,10
16,10,10,81,34,10
6,10,4,92,54,10
96,10,10,43,14,10
14,10,10,13,17,10
74,10,2,38,10,10
15,10,10,41,47,10
70,10,6,87,45,10
70,10,0,70,63,10
97,10,10,68,11,10
9,3,10,9,29,10
59,10,10,82,65,10
37,10,10,43,67,10
47,10,9,17,100,10
34,10,10,81,27,10
86,10,10,21,1,9
98,10,10,18,64,10
2,0,10,63,87,10
17,10,10,89,47,10
4,10,10,40,76,10
68,2,10,73,63,10
97,10,8,56,10,10
43,10,6,21,9,10
95,10,10,72,48,10
74,10,10,2,68,10
39,10,10,77,90,10
9,10,0,4,87,10
57,10,10,51,100,10
30,10,10,87,86,10
72,10,10,94,52,10
27,10,10,48,51,10
65,10,10,20,28,5
62,10,10,17,39,10
49,10,10,4,53,10
92,10,10,30,46,10
24,10,10,54,19,10
80,10,10,47,100,10
97,10,10,6,51,10
99,10,10,97,19,10
71,10,10,69,38,10
62,10,10,69,76,10
9,10,10,43,67,10
9,10,10,28,57,4
85,10,10,6,12,10
25,10,10,59,90,10
49,10,10,89,74,10
42,10,10,42,39,10
32,2,10,73,31,10
30,10,10,71,1,10
51,10,10,32,53,10
8,10,10,97,38,10
10,10,10,6,72,10
43,10,10,51,54,10
30,10,10,84,25,10
4,10,10,78,80,10
79,10,10,69,50,10
95,10,10,69,92,10
53,10,10,34,62,10
30,10,10,74,48,10
20,10,10,51,74,10
16,10,10,51,80,1
90,10,10,91,100,10
25,10,10,5,55,10
82,10,10,80,62,10
36,10,10,93,40,10
82,10,10,40,36,10
86,10,10,18,29,10
8,10,10,96,77,10
79,10,10,28,7,10
79,10,10,85,19,10
14,10,10,13,35,1
11,7,10,45,76,2
1,10,10,23,55,10
58,10,10,23,31,8
93,10,10,9,45,10
86,10,10,48,96,10
96,10,10,72,28,10
10,10,8,87,57,10
4,10,10,61,25,10
12,10,10,18,67,1
51,10,10,56,75,7
9,9,10,60,43,10
20,10,1,61,58,10
46,9,10,64,54,10
43,10,9,91,71,10
17,10,10,77,67,10
47,10,10,0,93,10
36,10,10,80,50,10
74,10,10,88,1,10
52,10,10,66,94,10
83,10,10,52,74,10
58,10,10,12,69,10
58,10,2,79,9,10
26,10,10,40,25,10
94,10,10,50,47,10
21,1,10,6,32,10
14,10,10,65,85,10
84,10,10,49,54,10
68,10,10,53,29,10
69,10,10,11,73,10
53,10,10,43,14,10
19,9,10,85,74,10
57,10,10,75,12,10
97,10,10,68,47,10
53,10,10,6,29,10
8,10,10,32,12,10
16,10,10,27,90,10
12,10,10,54,57,10
30,4,10,84,6,2
26,10,10,7,52,1
43,10,10,36,100,10
73,10,10,8,68,10
77,10,10,83,73,10
61,10,10,71,89,10
73,10,2,73,84,10
92,10,10,42,60,10
32,10,10,55,34,10
30,10,10,45,63,10
22,10,10,14,95,10
81,10,10,32,45,10
19,8,10,30,80,10
98,10,10,97,54,10
18,10,3,70,98,1
